"lab2","population","treatment","flask","species","day","latbb80","latbb50","latbb1"
"mp.HC.LP.HF.18.poptre.1","mp","HC.LP.HF",18,"poptre",34,NA,34,31
"mp.HC.LP.HF.18.sorsco.1","mp","HC.LP.HF",18,"sorsco",7,19,17,17
"mp.HC.LP.HF.19.amealn.1","mp","HC.LP.HF",19,"amealn",7,7,7,7
"mp.HC.LP.HF.19.loninv.1","mp","HC.LP.HF",19,"loninv",10,NA,NA,NA
"mp.HC.LP.HF.2.alninc.1","mp","HC.LP.HF",2,"alninc",16,23,19,12
"mp.HC.LP.HF.2.poptre.1","mp","HC.LP.HF",2,"poptre",40,NA,NA,23
"mp.HC.LP.HF.20.alninc.1","mp","HC.LP.HF",20,"alninc",17,31,23,17
"mp.HC.LP.HF.20.alninc.2","mp","HC.LP.HF",20,"alninc",17,NA,25,20
"mp.HC.LP.HF.20.poptre.1","mp","HC.LP.HF",20,"poptre",23,NA,NA,NA
"mp.HC.LP.HF.21.popbal.1","mp","HC.LP.HF",21,"popbal",16,16,16,12
"mp.HC.LP.HF.21.rhoalb.1","mp","HC.LP.HF",21,"rhoalb",16,NA,NA,26
"mp.HC.LP.HF.21.spipyr.1","mp","HC.LP.HF",21,"spipyr",13,NA,10,10
"mp.HC.LP.HF.22.alnvir.1","mp","HC.LP.HF",22,"alnvir",48,54,48,45
"mp.HC.LP.HF.22.amealn.1","mp","HC.LP.HF",22,"amealn",7,0,0,0
"mp.HC.LP.HF.22.corsto.1","mp","HC.LP.HF",22,"corsto",10,20,10,10
"mp.HC.LP.HF.22.shecan.1","mp","HC.LP.HF",22,"shecan",20,28,28,13
"mp.HC.LP.HF.23.alnvir.1","mp","HC.LP.HF",23,"alnvir",23,23,23,23
"mp.HC.LP.HF.23.rhoalb.1","mp","HC.LP.HF",23,"rhoalb",17,NA,NA,17
"mp.HC.LP.HF.24.acegla.1","mp","HC.LP.HF",24,"acegla",40,NA,NA,54
"mp.HC.LP.HF.24.acegla.2","mp","HC.LP.HF",24,"acegla",13,NA,NA,NA
"mp.HC.LP.HF.24.sorsco.1","mp","HC.LP.HF",24,"sorsco",20,NA,NA,17
"mp.HC.LP.HF.24.vibedu.1","mp","HC.LP.HF",24,"vibedu",13,NA,20,13
"mp.HC.LP.HF.25.alnvir.1","mp","HC.LP.HF",25,"alnvir",34,54,54,34
"mp.HC.LP.HF.25.corsto.1","mp","HC.LP.HF",25,"corsto",8,8,8,8
"mp.HC.LP.HF.25.shecan.1","mp","HC.LP.HF",25,"shecan",20,31,28,17
"mp.HC.LP.HF.26.alninc.1","mp","HC.LP.HF",26,"alninc",23,25,25,23
"mp.HC.LP.HF.26.alnvir.1","mp","HC.LP.HF",26,"alnvir",31,34,34,31
"mp.HC.LP.HF.26.loninv.1","mp","HC.LP.HF",26,"loninv",16,NA,NA,13
"mp.HC.LP.HF.26.popbal.1","mp","HC.LP.HF",26,"popbal",23,23,23,23
"mp.HC.LP.HF.27.loninv.1","mp","HC.LP.HF",27,"loninv",12,NA,NA,12
"mp.HC.LP.HF.27.shecan.1","mp","HC.LP.HF",27,"shecan",23,NA,NA,23
"mp.HC.LP.HF.27.spibet.1","mp","HC.LP.HF",27,"spibet",12,NA,NA,NA
"mp.HC.LP.HF.27.vibedu.1","mp","HC.LP.HF",27,"vibedu",84,NA,NA,26
"mp.HC.LP.HF.28.corsto.1","mp","HC.LP.HF",28,"corsto",10,NA,10,10
"mp.HC.LP.HF.28.spipyr.1","mp","HC.LP.HF",28,"spipyr",7,7,7,7
"mp.HC.LP.HF.29.amealn.1","mp","HC.LP.HF",29,"amealn",10,10,10,10
"mp.HC.LP.HF.29.amealn.2","mp","HC.LP.HF",29,"amealn",10,17,17,10
"mp.HC.LP.HF.3.poptre.1","mp","HC.LP.HF",3,"poptre",34,NA,NA,NA
"mp.HC.LP.HF.3.rhoalb.1","mp","HC.LP.HF",3,"rhoalb",17,NA,NA,17
"mp.HC.LP.HF.30.loninv.1","mp","HC.LP.HF",30,"loninv",10,NA,NA,NA
"mp.HC.LP.HF.30.rhoalb.1","mp","HC.LP.HF",30,"rhoalb",16,NA,NA,31
"mp.HC.LP.HF.30.samrac.1","mp","HC.LP.HF",30,"samrac",25,NA,23,23
"mp.HC.LP.HF.31.alnvir.1","mp","HC.LP.HF",31,"alnvir",10,42,42,31
"mp.HC.LP.HF.31.shecan.1","mp","HC.LP.HF",31,"shecan",16,31,23,16
"mp.HC.LP.HF.31.shecan.2","mp","HC.LP.HF",31,"shecan",19,23,23,19
"mp.HC.LP.HF.32.popbal.1","mp","HC.LP.HF",32,"popbal",19,NA,NA,NA
"mp.HC.LP.HF.32.spibet.1","mp","HC.LP.HF",32,"spibet",16,16,13,13
"mp.HC.LP.HF.32.vibedu.1","mp","HC.LP.HF",32,"vibedu",12,NA,16,12
"mp.HC.LP.HF.33.riblac.1","mp","HC.LP.HF",33,"riblac",10,NA,34,10
"mp.HC.LP.HF.34.alninc.1","mp","HC.LP.HF",34,"alninc",13,19,16,16
"mp.HC.LP.HF.34.alninc.2","mp","HC.LP.HF",34,"alninc",13,13,13,13
"mp.HC.LP.HF.34.corsto.1","mp","HC.LP.HF",34,"corsto",10,12,10,10
"mp.HC.LP.HF.34.sorsco.1","mp","HC.LP.HF",34,"sorsco",19,42,16,16
"mp.HC.LP.HF.35.alnvir.1","mp","HC.LP.HF",35,"alnvir",34,NA,NA,45
"mp.HC.LP.HF.35.spipyr.1","mp","HC.LP.HF",35,"spipyr",26,NA,23,17
"mp.HC.LP.HF.36.amealn.1","mp","HC.LP.HF",36,"amealn",10,26,17,10
"mp.HC.LP.HF.36.corsto.1","mp","HC.LP.HF",36,"corsto",10,13,13,13
"mp.HC.LP.HF.36.spipyr.1","mp","HC.LP.HF",36,"spipyr",13,NA,13,13
"mp.HC.LP.HF.37.poptre.1","mp","HC.LP.HF",37,"poptre",31,NA,NA,NA
"mp.HC.LP.HF.37.spibet.1","mp","HC.LP.HF",37,"spibet",7,7,7,7
"mp.HC.LP.HF.37.spipyr.1","mp","HC.LP.HF",37,"spipyr",13,42,13,13
"mp.HC.LP.HF.38.riblac.1","mp","HC.LP.HF",38,"riblac",37,NA,37,0
"mp.HC.LP.HF.38.samrac.1","mp","HC.LP.HF",38,"samrac",16,NA,NA,NA
"mp.HC.LP.HF.38.samrac.2","mp","HC.LP.HF",38,"samrac",12,16,12,12
"mp.HC.LP.HF.38.sorsco.1","mp","HC.LP.HF",38,"sorsco",16,NA,NA,NA
"mp.HC.LP.HF.39.popbal.1","mp","HC.LP.HF",39,"popbal",20,NA,NA,NA
"mp.HC.LP.HF.39.popbal.2","mp","HC.LP.HF",39,"popbal",20,20,20,20
"mp.HC.LP.HF.39.rhoalb.1","mp","HC.LP.HF",39,"rhoalb",12,12,12,12
"mp.HC.LP.HF.4.popbal.1","mp","HC.LP.HF",4,"popbal",17,NA,NA,NA
"mp.HC.LP.HF.4.riblac.1","mp","HC.LP.HF",4,"riblac",37,NA,NA,26
"mp.HC.LP.HF.40.alnvir.1","mp","HC.LP.HF",40,"alnvir",28,31,28,28
"mp.HC.LP.HF.40.amealn.1","mp","HC.LP.HF",40,"amealn",10,10,10,10
"mp.HC.LP.HF.40.rubpar.1","mp","HC.LP.HF",40,"rubpar",23,NA,NA,19
"mp.HC.LP.HF.40.vibedu.1","mp","HC.LP.HF",40,"vibedu",16,12,10,10
"mp.HC.LP.HF.5.samrac.1","mp","HC.LP.HF",5,"samrac",23,NA,26,26
"mp.HC.LP.HF.5.spipyr.1","mp","HC.LP.HF",5,"spipyr",17,20,17,17
"mp.HC.LP.HF.6.acegla.1","mp","HC.LP.HF",6,"acegla",20,NA,NA,26
"mp.HC.LP.HF.6.samrac.1","mp","HC.LP.HF",6,"samrac",20,23,17,17
"mp.HC.LP.HF.6.sorsco.1","mp","HC.LP.HF",6,"sorsco",20,NA,NA,NA
"mp.HC.LP.HF.7.riblac.1","mp","HC.LP.HF",7,"riblac",34,45,42,31
"mp.HC.LP.HF.7.sorsco.1","mp","HC.LP.HF",7,"sorsco",16,16,16,16
"mp.HC.LP.HF.7.vacmem.1","mp","HC.LP.HF",7,"vacmem",16,NA,NA,16
"mp.HC.LP.HF.8.corsto.1","mp","HC.LP.HF",8,"corsto",17,NA,17,17
"mp.HC.LP.HF.8.shecan.1","mp","HC.LP.HF",8,"shecan",19,31,23,23
"mp.HC.LP.HF.9.riblac.1","mp","HC.LP.HF",9,"riblac",20,NA,37,23
"mp.HC.LP.HF.9.spibet.1","mp","HC.LP.HF",9,"spibet",17,NA,NA,17
"mp.HC.LP.LF.1.amealn.1","mp","HC.LP.LF",1,"amealn",19,19,19,13
"mp.HC.LP.LF.1.rhoalb.1","mp","HC.LP.LF",1,"rhoalb",27,NA,NA,NA
"mp.HC.LP.LF.1.samrac.1","mp","HC.LP.LF",1,"samrac",33,NA,61,61
"mp.HC.LP.LF.10.alninc.1","mp","HC.LP.LF",10,"alninc",30,33,33,33
"mp.HC.LP.LF.10.rhoalb.1","mp","HC.LP.LF",10,"rhoalb",19,24,24,24
"mp.HC.LP.LF.10.shecan.1","mp","HC.LP.LF",10,"shecan",43,54,33,24
"mp.HC.LP.LF.10.spibet.1","mp","HC.LP.LF",10,"spibet",19,NA,NA,19
"mp.HC.LP.LF.11.alninc.1","mp","HC.LP.LF",11,"alninc",33,NA,39,33
"mp.HC.LP.LF.11.poptre.1","mp","HC.LP.LF",11,"poptre",67,33,33,33
"mp.HC.LP.LF.11.rubpar.1","mp","HC.LP.LF",11,"rubpar",39,39,30,30
"mp.HC.LP.LF.12.poptre.1","mp","HC.LP.LF",12,"poptre",58,NA,76,58
"mp.HC.LP.LF.12.vibedu.1","mp","HC.LP.LF",12,"vibedu",16,16,12,8
"mp.HC.LP.LF.13.acegla.1","mp","HC.LP.LF",13,"acegla",7,NA,55,49
"mp.HC.LP.LF.13.alnvir.1","mp","HC.LP.LF",13,"alnvir",61,61,61,61
"mp.HC.LP.LF.13.vibedu.1","mp","HC.LP.LF",13,"vibedu",19,19,16,13
"mp.HC.LP.LF.14.amealn.1","mp","HC.LP.LF",14,"amealn",30,36,36,30
"mp.HC.LP.LF.14.amealn.2","mp","HC.LP.LF",14,"amealn",13,16,13,13
"mp.HC.LP.LF.14.popbal.1","mp","HC.LP.LF",14,"popbal",24,NA,NA,NA
"mp.HC.LP.LF.14.riblac.1","mp","HC.LP.LF",14,"riblac",0,NA,NA,NA
"mp.HC.LP.LF.15.corsto.1","mp","HC.LP.LF",15,"corsto",19,19,19,19
"mp.HC.LP.LF.16.acegla.1","mp","HC.LP.LF",16,"acegla",33,NA,NA,NA
"mp.HC.LP.LF.16.alninc.1","mp","HC.LP.LF",16,"alninc",24,NA,NA,NA
"mp.HC.LP.LF.16.corsto.1","mp","HC.LP.LF",16,"corsto",19,19,19,19
"mp.HC.LP.LF.17.rhoalb.1","mp","HC.LP.LF",17,"rhoalb",0,NA,NA,0
"mp.HC.LP.LF.17.rubpar.1","mp","HC.LP.LF",17,"rubpar",58,NA,36,33
"mp.HC.LP.LF.17.rubpar.2","mp","HC.LP.LF",17,"rubpar",33,NA,NA,33
"mp.HC.LP.LF.18.alninc.1","mp","HC.LP.LF",18,"alninc",16,24,24,24
"mp.HC.LP.LF.18.corsto.1","mp","HC.LP.LF",18,"corsto",12,12,12,12
"mp.HC.LP.LF.18.vibedu.1","mp","HC.LP.LF",18,"vibedu",12,NA,NA,12
"mp.HC.LP.LF.19.popbal.1","mp","HC.LP.LF",19,"popbal",33,33,33,33
"mp.HC.LP.LF.19.rhoalb.1","mp","HC.LP.LF",19,"rhoalb",27,NA,NA,49
"mp.HC.LP.LF.19.shecan.1","mp","HC.LP.LF",19,"shecan",33,36,33,33
"mp.HC.LP.LF.2.acegla.1","mp","HC.LP.LF",2,"acegla",36,NA,NA,NA
"mp.HC.LP.LF.2.alnvir.1","mp","HC.LP.LF",2,"alnvir",36,39,39,39
"mp.HC.LP.LF.2.samrac.1","mp","HC.LP.LF",2,"samrac",84,42,42,42
"mp.HC.LP.LF.2.shecan.1","mp","HC.LP.LF",2,"shecan",36,39,33,27
"mp.HC.LP.LF.20.alnvir.1","mp","HC.LP.LF",20,"alnvir",49,52,49,43
"mp.HC.LP.LF.20.sorsco.1","mp","HC.LP.LF",20,"sorsco",19,NA,NA,NA
"mp.HC.LP.LF.21.corsto.1","mp","HC.LP.LF",21,"corsto",19,19,19,19
"mp.HC.LP.LF.21.shecan.1","mp","HC.LP.LF",21,"shecan",27,NA,30,27
"mp.HC.LP.LF.21.vibedu.1","mp","HC.LP.LF",21,"vibedu",19,24,16,16
"mp.HC.LP.LF.22.acegla.1","mp","HC.LP.LF",22,"acegla",27,NA,NA,NA
"mp.HC.LP.LF.22.alninc.1","mp","HC.LP.LF",22,"alninc",24,NA,NA,NA
"mp.HC.LP.LF.22.sorsco.1","mp","HC.LP.LF",22,"sorsco",10,NA,NA,NA
"mp.HC.LP.LF.22.spipyr.1","mp","HC.LP.LF",22,"spipyr",19,NA,27,19
"mp.HC.LP.LF.24.popbal.1","mp","HC.LP.LF",24,"popbal",27,NA,NA,NA
"mp.HC.LP.LF.24.popbal.2","mp","HC.LP.LF",24,"popbal",30,NA,NA,NA
"mp.HC.LP.LF.24.spibet.1","mp","HC.LP.LF",24,"spibet",10,NA,10,10
"mp.HC.LP.LF.25.alninc.1","mp","HC.LP.LF",25,"alninc",25,25,25,25
"mp.HC.LP.LF.25.samrac.1","mp","HC.LP.LF",25,"samrac",33,NA,NA,NA
"mp.HC.LP.LF.26.poptre.1","mp","HC.LP.LF",26,"poptre",52,NA,NA,NA
"mp.HC.LP.LF.26.rhoalb.1","mp","HC.LP.LF",26,"rhoalb",27,NA,NA,30
"mp.HC.LP.LF.26.samrac.1","mp","HC.LP.LF",26,"samrac",49,NA,NA,NA
"mp.HC.LP.LF.27.acegla.1","mp","HC.LP.LF",27,"acegla",84,NA,NA,84
"mp.HC.LP.LF.27.loninv.1","mp","HC.LP.LF",27,"loninv",10,NA,NA,NA
"mp.HC.LP.LF.28.acegla.1","mp","HC.LP.LF",28,"acegla",43,NA,NA,NA
"mp.HC.LP.LF.28.alninc.1","mp","HC.LP.LF",28,"alninc",24,NA,NA,NA
"mp.HC.LP.LF.28.rhoalb.1","mp","HC.LP.LF",28,"rhoalb",5,NA,NA,NA
"mp.HC.LP.LF.29.poptre.1","mp","HC.LP.LF",29,"poptre",39,NA,NA,NA
"mp.HC.LP.LF.29.vibedu.1","mp","HC.LP.LF",29,"vibedu",52,NA,19,16
"mp.HC.LP.LF.29.vibedu.2","mp","HC.LP.LF",29,"vibedu",30,19,19,13
"mp.HC.LP.LF.3.acegla.1","mp","HC.LP.LF",3,"acegla",42,73,70,70
"mp.HC.LP.LF.3.popbal.1","mp","HC.LP.LF",3,"popbal",42,46,42,42
"mp.HC.LP.LF.3.sorsco.1","mp","HC.LP.LF",3,"sorsco",24,NA,NA,NA
"mp.HC.LP.LF.3.sorsco.2","mp","HC.LP.LF",3,"sorsco",24,NA,NA,NA
"mp.HC.LP.LF.30.poptre.1","mp","HC.LP.LF",30,"poptre",52,NA,NA,52
"mp.HC.LP.LF.30.rhoalb.1","mp","HC.LP.LF",30,"rhoalb",10,NA,NA,16
"mp.HC.LP.LF.30.spipyr.1","mp","HC.LP.LF",30,"spipyr",16,NA,16,16
"mp.HC.LP.LF.31.alninc.1","mp","HC.LP.LF",31,"alninc",24,30,30,30
"mp.HC.LP.LF.31.corsto.1","mp","HC.LP.LF",31,"corsto",19,27,19,19
"mp.HC.LP.LF.31.loninv.1","mp","HC.LP.LF",31,"loninv",24,19,19,19
"mp.HC.LP.LF.32.loninv.1","mp","HC.LP.LF",32,"loninv",13,NA,NA,NA
"mp.HC.LP.LF.32.riblac.1","mp","HC.LP.LF",32,"riblac",24,NA,NA,NA
"mp.HC.LP.LF.32.vacmem.1","mp","HC.LP.LF",32,"vacmem",24,NA,NA,24
"mp.HC.LP.LF.33.acegla.1","mp","HC.LP.LF",33,"acegla",0,NA,NA,NA
"mp.HC.LP.LF.33.alnvir.1","mp","HC.LP.LF",33,"alnvir",55,58,55,55
"mp.HC.LP.LF.33.amealn.1","mp","HC.LP.LF",33,"amealn",24,24,24,24
"mp.HC.LP.LF.33.vibedu.1","mp","HC.LP.LF",33,"vibedu",24,30,24,20
"mp.HC.LP.LF.34.alnvir.1","mp","HC.LP.LF",34,"alnvir",52,64,55,52
"mp.HC.LP.LF.34.amealn.1","mp","HC.LP.LF",34,"amealn",10,10,10,10
"mp.HC.LP.LF.34.vibedu.1","mp","HC.LP.LF",34,"vibedu",19,NA,24,13
"mp.HC.LP.LF.35.alnvir.1","mp","HC.LP.LF",35,"alnvir",42,NA,61,42
"mp.HC.LP.LF.35.sorsco.1","mp","HC.LP.LF",35,"sorsco",13,NA,NA,NA
"mp.HC.LP.LF.35.spibet.1","mp","HC.LP.LF",35,"spibet",33,NA,NA,33
"mp.HC.LP.LF.36.amealn.1","mp","HC.LP.LF",36,"amealn",20,20,20,13
"mp.HC.LP.LF.36.popbal.1","mp","HC.LP.LF",36,"popbal",33,NA,NA,NA
"mp.HC.LP.LF.36.rubpar.1","mp","HC.LP.LF",36,"rubpar",4,NA,30,24
"mp.HC.LP.LF.37.amealn.1","mp","HC.LP.LF",37,"amealn",10,13,13,10
"mp.HC.LP.LF.37.shecan.1","mp","HC.LP.LF",37,"shecan",33,61,39,30
"mp.HC.LP.LF.37.sorsco.1","mp","HC.LP.LF",37,"sorsco",24,24,24,24
"mp.HC.LP.LF.38.alnvir.1","mp","HC.LP.LF",38,"alnvir",55,61,61,58
"mp.HC.LP.LF.38.corsto.1","mp","HC.LP.LF",38,"corsto",16,NA,16,16
"mp.HC.LP.LF.39.poptre.1","mp","HC.LP.LF",39,"poptre",39,NA,NA,NA
"mp.HC.LP.LF.39.samrac.1","mp","HC.LP.LF",39,"samrac",10,NA,NA,NA
"mp.HC.LP.LF.4.alnvir.1","mp","HC.LP.LF",4,"alnvir",55,63,63,58
"mp.HC.LP.LF.4.corsto.1","mp","HC.LP.LF",4,"corsto",10,13,13,10
"mp.HC.LP.LF.4.rhoalb.1","mp","HC.LP.LF",4,"rhoalb",30,NA,NA,39
"mp.HC.LP.LF.40.loninv.1","mp","HC.LP.LF",40,"loninv",13,NA,58,30
"mp.HC.LP.LF.40.spipyr.1","mp","HC.LP.LF",40,"spipyr",33,NA,NA,NA
"mp.HC.LP.LF.5.poptre.1","mp","HC.LP.LF",5,"poptre",36,NA,NA,NA
"mp.HC.LP.LF.5.shecan.1","mp","HC.LP.LF",5,"shecan",39,39,39,30
"mp.HC.LP.LF.5.shecan.2","mp","HC.LP.LF",5,"shecan",33,70,33,24
"mp.HC.LP.LF.6.sorsco.1","mp","HC.LP.LF",6,"sorsco",20,NA,NA,NA
"mp.HC.LP.LF.6.spipyr.1","mp","HC.LP.LF",6,"spipyr",20,NA,NA,20
"mp.HC.LP.LF.6.spipyr.2","mp","HC.LP.LF",6,"spipyr",24,NA,NA,24
"mp.HC.LP.LF.7.popbal.1","mp","HC.LP.LF",7,"popbal",30,NA,NA,NA
"mp.HC.LP.LF.7.sorsco.1","mp","HC.LP.LF",7,"sorsco",24,NA,30,24
"mp.HC.LP.LF.8.loninv.1","mp","HC.LP.LF",8,"loninv",19,NA,NA,36
"mp.HC.LP.LF.8.shecan.1","mp","HC.LP.LF",8,"shecan",30,39,36,27
"mp.HC.LP.LF.8.spipyr.1","mp","HC.LP.LF",8,"spipyr",25,NA,NA,19
"mp.HC.LP.LF.9.amealn.1","mp","HC.LP.LF",9,"amealn",10,NA,13,13
"mp.HC.LP.LF.9.loninv.1","mp","HC.LP.LF",9,"loninv",19,NA,NA,NA
"mp.HC.LP.LF.9.spipyr.1","mp","HC.LP.LF",9,"spipyr",24,NA,NA,19
"mp.LC.HP.HF.1.amealn.1","mp","LC.HP.HF",1,"amealn",19,23,23,23
"mp.LC.HP.HF.1.poptre.1","mp","LC.HP.HF",1,"poptre",46,NA,NA,NA
"mp.LC.HP.HF.10.alnvir.1","mp","LC.HP.HF",10,"alnvir",39,NA,NA,15
"mp.LC.HP.HF.10.spipyr.1","mp","LC.HP.HF",10,"spipyr",23,27,27,19
"mp.LC.HP.HF.11.alninc.1","mp","LC.HP.HF",11,"alninc",27,27,27,27
"mp.LC.HP.HF.11.amealn.1","mp","LC.HP.HF",11,"amealn",22,31,31,31
"mp.LC.HP.HF.11.vacmem.1","mp","LC.HP.HF",11,"vacmem",15,NA,19,17
"mp.LC.HP.HF.12.poptre.1","mp","LC.HP.HF",12,"poptre",40,37,33,29
"mp.LC.HP.HF.12.riblac.1","mp","LC.HP.HF",12,"riblac",31,NA,NA,19
"mp.LC.HP.HF.12.sorsco.1","mp","LC.HP.HF",12,"sorsco",19,NA,NA,27
"mp.LC.HP.HF.12.spipyr.1","mp","LC.HP.HF",12,"spipyr",29,29,29,29
"mp.LC.HP.HF.13.alninc.1","mp","LC.HP.HF",13,"alninc",31,36,36,31
"mp.LC.HP.HF.13.loninv.1","mp","LC.HP.HF",13,"loninv",78,NA,NA,40
"mp.LC.HP.HF.13.popbal.1","mp","LC.HP.HF",13,"popbal",31,36,27,23
"mp.LC.HP.HF.14.rhoalb.1","mp","LC.HP.HF",14,"rhoalb",15,NA,NA,22
"mp.LC.HP.HF.14.sorsco.1","mp","LC.HP.HF",14,"sorsco",19,NA,22,17
"mp.LC.HP.HF.14.vibedu.1","mp","LC.HP.HF",14,"vibedu",22,NA,NA,22
"mp.LC.HP.HF.15.amealn.1","mp","LC.HP.HF",15,"amealn",25,NA,31,25
"mp.LC.HP.HF.15.rhoalb.1","mp","LC.HP.HF",15,"rhoalb",19,NA,NA,NA
"mp.LC.HP.HF.15.samrac.1","mp","LC.HP.HF",15,"samrac",31,NA,NA,NA
"mp.LC.HP.HF.16.corsto.1","mp","LC.HP.HF",16,"corsto",9,10,10,10
"mp.LC.HP.HF.16.rhoalb.1","mp","LC.HP.HF",16,"rhoalb",19,NA,NA,NA
"mp.LC.HP.HF.16.riblac.1","mp","LC.HP.HF",16,"riblac",17,NA,NA,19
"mp.LC.HP.HF.16.spibet.1","mp","LC.HP.HF",16,"spibet",23,NA,NA,NA
"mp.LC.HP.HF.17.alninc.1","mp","LC.HP.HF",17,"alninc",25,31,31,25
"mp.LC.HP.HF.17.amealn.1","mp","LC.HP.HF",17,"amealn",19,34,27,22
"mp.LC.HP.HF.17.sorsco.1","mp","LC.HP.HF",17,"sorsco",22,NA,22,22
"mp.LC.HP.HF.17.vibedu.1","mp","LC.HP.HF",17,"vibedu",15,NA,NA,NA
"mp.LC.HP.HF.18.riblac.1","mp","LC.HP.HF",18,"riblac",15,NA,NA,15
"mp.LC.HP.HF.18.spipyr.1","mp","LC.HP.HF",18,"spipyr",15,31,23,17
"mp.LC.HP.HF.18.spipyr.2","mp","LC.HP.HF",18,"spipyr",23,NA,19,17
"mp.LC.HP.HF.19.alnvir.1","mp","LC.HP.HF",19,"alnvir",49,53,53,49
"mp.LC.HP.HF.19.alnvir.2","mp","LC.HP.HF",19,"alnvir",57,63,63,63
"mp.LC.HP.HF.19.samrac.1","mp","LC.HP.HF",19,"samrac",46,NA,49,49
"mp.LC.HP.HF.2.loninv.1","mp","LC.HP.HF",2,"loninv",10,NA,NA,10
"mp.LC.HP.HF.2.poptre.1","mp","LC.HP.HF",2,"poptre",27,25,25,22
"mp.LC.HP.HF.2.spibet.1","mp","LC.HP.HF",2,"spibet",15,25,17,15
"mp.LC.HP.HF.20.rhoalb.1","mp","LC.HP.HF",20,"rhoalb",15,NA,NA,19
"mp.LC.HP.HF.20.riblac.1","mp","LC.HP.HF",20,"riblac",23,NA,NA,19
"mp.LC.HP.HF.21.rhoalb.1","mp","LC.HP.HF",21,"rhoalb",16,NA,19,19
"mp.LC.HP.HF.21.spipyr.1","mp","LC.HP.HF",21,"spipyr",19,NA,15,15
"mp.LC.HP.HF.22.alninc.1","mp","LC.HP.HF",22,"alninc",36,42,36,36
"mp.LC.HP.HF.22.alninc.2","mp","LC.HP.HF",22,"alninc",21,25,21,21
"mp.LC.HP.HF.22.spibet.1","mp","LC.HP.HF",22,"spibet",16,25,21,21
"mp.LC.HP.HF.23.alnvir.1","mp","LC.HP.HF",23,"alnvir",49,NA,NA,60
"mp.LC.HP.HF.23.popbal.1","mp","LC.HP.HF",23,"popbal",27,31,27,27
"mp.LC.HP.HF.23.rhoalb.1","mp","LC.HP.HF",23,"rhoalb",16,NA,NA,19
"mp.LC.HP.HF.23.vacmem.1","mp","LC.HP.HF",23,"vacmem",25,NA,53,25
"mp.LC.HP.HF.24.poptre.1","mp","LC.HP.HF",24,"poptre",53,NA,NA,NA
"mp.LC.HP.HF.24.sorsco.1","mp","LC.HP.HF",24,"sorsco",19,NA,NA,NA
"mp.LC.HP.HF.25.amealn.1","mp","LC.HP.HF",25,"amealn",16,25,23,16
"mp.LC.HP.HF.25.corsto.1","mp","LC.HP.HF",25,"corsto",15,27,16,15
"mp.LC.HP.HF.26.acegla.1","mp","LC.HP.HF",26,"acegla",23,NA,NA,NA
"mp.LC.HP.HF.26.alnvir.1","mp","LC.HP.HF",26,"alnvir",46,66,66,39
"mp.LC.HP.HF.26.vibedu.1","mp","LC.HP.HF",26,"vibedu",21,NA,NA,NA
"mp.LC.HP.HF.26.vibedu.2","mp","LC.HP.HF",26,"vibedu",19,NA,NA,NA
"mp.LC.HP.HF.27.alninc.1","mp","LC.HP.HF",27,"alninc",23,42,36,34
"mp.LC.HP.HF.27.amealn.1","mp","LC.HP.HF",27,"amealn",23,27,25,19
"mp.LC.HP.HF.27.spibet.1","mp","LC.HP.HF",27,"spibet",23,NA,34,23
"mp.LC.HP.HF.28.corsto.1","mp","LC.HP.HF",28,"corsto",9,NA,25,15
"mp.LC.HP.HF.28.popbal.1","mp","LC.HP.HF",28,"popbal",31,46,34,25
"mp.LC.HP.HF.28.vacmem.1","mp","LC.HP.HF",28,"vacmem",15,NA,23,10
"mp.LC.HP.HF.29.rubpar.1","mp","LC.HP.HF",29,"rubpar",23,23,23,23
"mp.LC.HP.HF.29.shecan.1","mp","LC.HP.HF",29,"shecan",25,27,25,23
"mp.LC.HP.HF.29.shecan.2","mp","LC.HP.HF",29,"shecan",23,42,23,19
"mp.LC.HP.HF.3.amealn.1","mp","LC.HP.HF",3,"amealn",9,25,19,15
"mp.LC.HP.HF.3.popbal.1","mp","LC.HP.HF",3,"popbal",31,NA,34,31
"mp.LC.HP.HF.3.sorsco.1","mp","LC.HP.HF",3,"sorsco",17,NA,NA,NA
"mp.LC.HP.HF.30.rubpar.1","mp","LC.HP.HF",30,"rubpar",17,NA,NA,25
"mp.LC.HP.HF.30.samrac.1","mp","LC.HP.HF",30,"samrac",9,15,15,15
"mp.LC.HP.HF.31.corsto.1","mp","LC.HP.HF",31,"corsto",19,NA,NA,23
"mp.LC.HP.HF.31.riblac.1","mp","LC.HP.HF",31,"riblac",19,NA,NA,19
"mp.LC.HP.HF.31.vacmem.1","mp","LC.HP.HF",31,"vacmem",19,NA,NA,19
"mp.LC.HP.HF.32.alninc.1","mp","LC.HP.HF",32,"alninc",31,53,33,33
"mp.LC.HP.HF.32.poptre.1","mp","LC.HP.HF",32,"poptre",42,NA,NA,NA
"mp.LC.HP.HF.32.sorsco.1","mp","LC.HP.HF",32,"sorsco",18,NA,NA,NA
"mp.LC.HP.HF.32.spibet.1","mp","LC.HP.HF",32,"spibet",37,49,37,37
"mp.LC.HP.HF.33.amealn.1","mp","LC.HP.HF",33,"amealn",22,25,22,22
"mp.LC.HP.HF.33.popbal.1","mp","LC.HP.HF",33,"popbal",25,31,29,25
