"lab2","population","treatment","flask","species","day","latbb80","latbb50","latbb1"
"mp.HC.HP.HF.27.vacmem.1","mp","HC.HP.HF",27,"vacmem",10,NA,NA,8
"mp.HC.HP.HF.28.alninc.1","mp","HC.HP.HF",28,"alninc",22,22,22,22
"mp.HC.HP.HF.28.amealn.1","mp","HC.HP.HF",28,"amealn",7,13,7,7
"mp.HC.HP.HF.28.spibet.1","mp","HC.HP.HF",28,"spibet",10,10,10,10
"mp.HC.HP.HF.28.spipyr.1","mp","HC.HP.HF",28,"spipyr",16,NA,19,13
"mp.HC.HP.HF.29.amealn.1","mp","HC.HP.HF",29,"amealn",10,NA,22,12
"mp.HC.HP.HF.29.poptre.1","mp","HC.HP.HF",29,"poptre",40,NA,NA,NA
"mp.HC.HP.HF.29.sorsco.1","mp","HC.HP.HF",29,"sorsco",12,NA,NA,NA
"mp.HC.HP.HF.29.vibedu.1","mp","HC.HP.HF",29,"vibedu",10,NA,19,10
"mp.HC.HP.HF.3.alnvir.1","mp","HC.HP.HF",3,"alnvir",40,NA,42,28
"mp.HC.HP.HF.3.spibet.1","mp","HC.HP.HF",3,"spibet",16,13,13,13
"mp.HC.HP.HF.30.loninv.1","mp","HC.HP.HF",30,"loninv",10,NA,13,13
"mp.HC.HP.HF.30.popbal.1","mp","HC.HP.HF",30,"popbal",16,NA,NA,NA
"mp.HC.HP.HF.30.sorsco.1","mp","HC.HP.HF",30,"sorsco",10,NA,13,10
"mp.HC.HP.HF.31.acegla.1","mp","HC.HP.HF",31,"acegla",23,NA,NA,28
"mp.HC.HP.HF.31.amealn.1","mp","HC.HP.HF",31,"amealn",10,19,10,10
"mp.HC.HP.HF.31.shecan.1","mp","HC.HP.HF",31,"shecan",19,31,26,13
"mp.HC.HP.HF.31.shecan.2","mp","HC.HP.HF",31,"shecan",19,23,23,19
"mp.HC.HP.HF.32.spibet.1","mp","HC.HP.HF",32,"spibet",10,NA,10,10
"mp.HC.HP.HF.32.vacmem.1","mp","HC.HP.HF",32,"vacmem",28,NA,NA,15
"mp.HC.HP.HF.32.vibedu.1","mp","HC.HP.HF",32,"vibedu",12,NA,12,10
"mp.HC.HP.HF.33.alninc.1","mp","HC.HP.HF",33,"alninc",10,15,15,15
"mp.HC.HP.HF.33.alninc.2","mp","HC.HP.HF",33,"alninc",15,25,19,15
"mp.HC.HP.HF.33.amealn.1","mp","HC.HP.HF",33,"amealn",7,10,7,7
"mp.HC.HP.HF.34.alnvir.1","mp","HC.HP.HF",34,"alnvir",23,23,23,23
"mp.HC.HP.HF.34.loninv.1","mp","HC.HP.HF",34,"loninv",10,NA,NA,NA
"mp.HC.HP.HF.34.riblac.1","mp","HC.HP.HF",34,"riblac",13,NA,NA,13
"mp.HC.HP.HF.34.samrac.1","mp","HC.HP.HF",34,"samrac",13,51,23,19
"mp.HC.HP.HF.35.popbal.1","mp","HC.HP.HF",35,"popbal",17,NA,NA,NA
"mp.HC.HP.HF.35.rhoalb.1","mp","HC.HP.HF",35,"rhoalb",13,NA,NA,17
"mp.HC.HP.HF.35.samrac.1","mp","HC.HP.HF",35,"samrac",13,NA,NA,NA
"mp.HC.HP.HF.35.spibet.1","mp","HC.HP.HF",35,"spibet",17,NA,17,17
"mp.HC.HP.HF.36.alninc.1","mp","HC.HP.HF",36,"alninc",23,25,25,23
"mp.HC.HP.HF.36.corsto.1","mp","HC.HP.HF",36,"corsto",10,25,10,10
"mp.HC.HP.HF.36.poptre.1","mp","HC.HP.HF",36,"poptre",31,28,28,28
"mp.HC.HP.HF.36.poptre.2","mp","HC.HP.HF",36,"poptre",31,NA,NA,NA
"mp.HC.HP.HF.37.popbal.1","mp","HC.HP.HF",37,"popbal",17,NA,NA,NA
"mp.HC.HP.HF.37.rubpar.1","mp","HC.HP.HF",37,"rubpar",17,NA,NA,17
"mp.HC.HP.HF.37.vibedu.1","mp","HC.HP.HF",37,"vibedu",19,NA,NA,NA
"mp.HC.HP.HF.38.corsto.1","mp","HC.HP.HF",38,"corsto",7,10,10,7
"mp.HC.HP.HF.38.popbal.1","mp","HC.HP.HF",38,"popbal",17,NA,NA,NA
"mp.HC.HP.HF.38.riblac.1","mp","HC.HP.HF",38,"riblac",26,NA,NA,26
"mp.HC.HP.HF.38.vacmem.1","mp","HC.HP.HF",38,"vacmem",10,NA,NA,10
"mp.HC.HP.HF.39.alnvir.1","mp","HC.HP.HF",39,"alnvir",26,26,26,23
"mp.HC.HP.HF.39.rhoalb.1","mp","HC.HP.HF",39,"rhoalb",13,NA,NA,13
"mp.HC.HP.HF.39.sorsco.1","mp","HC.HP.HF",39,"sorsco",13,NA,NA,NA
"mp.HC.HP.HF.4.popbal.1","mp","HC.HP.HF",4,"popbal",19,19,19,19
"mp.HC.HP.HF.4.sorsco.1","mp","HC.HP.HF",4,"sorsco",19,16,13,13
"mp.HC.HP.HF.40.alnvir.1","mp","HC.HP.HF",40,"alnvir",19,22,22,19
"mp.HC.HP.HF.40.corsto.1","mp","HC.HP.HF",40,"corsto",10,19,10,10
"mp.HC.HP.HF.40.spipyr.1","mp","HC.HP.HF",40,"spipyr",10,NA,26,10
"mp.HC.HP.HF.40.vibedu.1","mp","HC.HP.HF",40,"vibedu",12,NA,NA,10
"mp.HC.HP.HF.5.alnvir.1","mp","HC.HP.HF",5,"alnvir",60,57,57,34
"mp.HC.HP.HF.5.corsto.1","mp","HC.HP.HF",5,"corsto",7,10,10,7
"mp.HC.HP.HF.6.loninv.1","mp","HC.HP.HF",6,"loninv",5,NA,NA,NA
"mp.HC.HP.HF.6.rubpar.1","mp","HC.HP.HF",6,"rubpar",31,NA,31,19
