"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1","treatment"
"673","mp.LC.HP.HF.17.alninc.1","mp","LC","HP","HF",17,"alninc",25,1,31,31,25,"LC.HP.HF"
"674","mp.LC.HP.HF.17.amealn.1","mp","LC","HP","HF",17,"amealn",19,1,34,27,22,"LC.HP.HF"
"675","mp.LC.HP.HF.17.sorsco.1","mp","LC","HP","HF",17,"sorsco",22,1,NA,22,22,"LC.HP.HF"
"676","mp.LC.HP.HF.17.vibedu.1","mp","LC","HP","HF",17,"vibedu",15,1,NA,NA,NA,"LC.HP.HF"
"677","mp.LC.HP.HF.18.loninv.1","mp","LC","HP","HF",18,"loninv",NA,0,NA,NA,NA,"LC.HP.HF"
"678","mp.LC.HP.HF.18.riblac.1","mp","LC","HP","HF",18,"riblac",15,1,NA,NA,15,"LC.HP.HF"
"679","mp.LC.HP.HF.18.spipyr.1","mp","LC","HP","HF",18,"spipyr",15,1,31,23,17,"LC.HP.HF"
"680","mp.LC.HP.HF.18.spipyr.2","mp","LC","HP","HF",18,"spipyr",17,1,NA,19,17,"LC.HP.HF"
"681","mp.LC.HP.HF.19.acegla.1","mp","LC","HP","HF",19,"acegla",NA,0,NA,NA,NA,"LC.HP.HF"
"682","mp.LC.HP.HF.19.alnvir.1","mp","LC","HP","HF",19,"alnvir",49,1,53,53,49,"LC.HP.HF"
"683","mp.LC.HP.HF.19.alnvir.2","mp","LC","HP","HF",19,"alnvir",57,1,63,63,63,"LC.HP.HF"
"684","mp.LC.HP.HF.19.samrac.1","mp","LC","HP","HF",19,"samrac",46,1,NA,49,49,"LC.HP.HF"
"685","mp.LC.HP.HF.2.loninv.1","mp","LC","HP","HF",2,"loninv",10,1,NA,NA,10,"LC.HP.HF"
"686","mp.LC.HP.HF.2.menfer.1","mp","LC","HP","HF",2,"menfer",40,1,NA,NA,40,"LC.HP.HF"
"687","mp.LC.HP.HF.2.poptre.1","mp","LC","HP","HF",2,"poptre",22,1,25,25,22,"LC.HP.HF"
"688","mp.LC.HP.HF.2.spibet.1","mp","LC","HP","HF",2,"spibet",15,1,25,17,15,"LC.HP.HF"
"689","mp.LC.HP.HF.20.acegla.1","mp","LC","HP","HF",20,"acegla",NA,0,NA,NA,NA,"LC.HP.HF"
"690","mp.LC.HP.HF.20.rhoalb.1","mp","LC","HP","HF",20,"rhoalb",15,1,NA,NA,19,"LC.HP.HF"
"691","mp.LC.HP.HF.20.riblac.1","mp","LC","HP","HF",20,"riblac",19,1,NA,NA,19,"LC.HP.HF"
"692","mp.LC.HP.HF.20.sorsco.1","mp","LC","HP","HF",20,"sorsco",NA,0,NA,NA,NA,"LC.HP.HF"
"693","mp.LC.HP.HF.20.spibet.1","mp","LC","HP","HF",20,"spibet",37,1,NA,NA,37,"LC.HP.HF"
"694","mp.LC.HP.HF.21.acegla.1","mp","LC","HP","HF",21,"acegla",42,1,NA,NA,42,"LC.HP.HF"
"695","mp.LC.HP.HF.21.menfer.1","mp","LC","HP","HF",21,"menfer",23,1,27,23,23,"LC.HP.HF"
"696","mp.LC.HP.HF.21.rhoalb.1","mp","LC","HP","HF",21,"rhoalb",16,1,NA,19,19,"LC.HP.HF"
"697","mp.LC.HP.HF.21.spipyr.1","mp","LC","HP","HF",21,"spipyr",15,1,NA,15,15,"LC.HP.HF"
"698","mp.LC.HP.HF.22.acegla.1","mp","LC","HP","HF",22,"acegla",57,1,NA,NA,57,"LC.HP.HF"
"699","mp.LC.HP.HF.22.alninc.1","mp","LC","HP","HF",22,"alninc",36,1,42,36,36,"LC.HP.HF"
"700","mp.LC.HP.HF.22.alninc.2","mp","LC","HP","HF",22,"alninc",21,1,25,21,21,"LC.HP.HF"
"701","mp.LC.HP.HF.22.spibet.1","mp","LC","HP","HF",22,"spibet",16,1,25,21,21,"LC.HP.HF"
"702","mp.LC.HP.HF.23.alnvir.1","mp","LC","HP","HF",23,"alnvir",49,1,NA,NA,60,"LC.HP.HF"
"703","mp.LC.HP.HF.23.popbal.1","mp","LC","HP","HF",23,"popbal",27,1,31,27,27,"LC.HP.HF"
"704","mp.LC.HP.HF.23.rhoalb.1","mp","LC","HP","HF",23,"rhoalb",16,1,NA,NA,19,"LC.HP.HF"
"705","mp.LC.HP.HF.23.vacmem.1","mp","LC","HP","HF",23,"vacmem",25,1,NA,53,25,"LC.HP.HF"
"706","mp.LC.HP.HF.24.poptre.1","mp","LC","HP","HF",24,"poptre",53,1,NA,NA,NA,"LC.HP.HF"
"707","mp.LC.HP.HF.24.sorsco.1","mp","LC","HP","HF",24,"sorsco",19,1,NA,NA,NA,"LC.HP.HF"
"708","mp.LC.HP.HF.24.symalb.1","mp","LC","HP","HF",24,"symalb",40,1,NA,NA,40,"LC.HP.HF"
"709","mp.LC.HP.HF.24.vacmem.1","mp","LC","HP","HF",24,"vacmem",19,1,NA,NA,19,"LC.HP.HF"
"710","mp.LC.HP.HF.25.alninc.1","mp","LC","HP","HF",25,"alninc",27,1,31,27,27,"LC.HP.HF"
"711","mp.LC.HP.HF.25.amealn.1","mp","LC","HP","HF",25,"amealn",16,1,25,23,16,"LC.HP.HF"
"712","mp.LC.HP.HF.25.corsto.1","mp","LC","HP","HF",25,"corsto",15,1,27,16,15,"LC.HP.HF"
"713","mp.LC.HP.HF.25.symalb.1","mp","LC","HP","HF",25,"symalb",33,1,NA,NA,33,"LC.HP.HF"
"714","mp.LC.HP.HF.26.acegla.1","mp","LC","HP","HF",26,"acegla",23,1,NA,NA,NA,"LC.HP.HF"
"715","mp.LC.HP.HF.26.alnvir.1","mp","LC","HP","HF",26,"alnvir",39,1,66,66,39,"LC.HP.HF"
"716","mp.LC.HP.HF.26.vibedu.1","mp","LC","HP","HF",26,"vibedu",21,1,NA,NA,NA,"LC.HP.HF"
"717","mp.LC.HP.HF.26.vibedu.2","mp","LC","HP","HF",26,"vibedu",19,1,NA,NA,NA,"LC.HP.HF"
"718","mp.LC.HP.HF.27.alninc.1","mp","LC","HP","HF",27,"alninc",23,1,42,36,34,"LC.HP.HF"
"719","mp.LC.HP.HF.27.amealn.1","mp","LC","HP","HF",27,"amealn",19,1,27,25,19,"LC.HP.HF"
"720","mp.LC.HP.HF.27.samrac.1","mp","LC","HP","HF",27,"samrac",78,1,NA,78,78,"LC.HP.HF"
"721","mp.LC.HP.HF.27.spibet.1","mp","LC","HP","HF",27,"spibet",23,1,NA,34,23,"LC.HP.HF"
"722","mp.LC.HP.HF.28.acegla.1","mp","LC","HP","HF",28,"acegla",53,1,NA,NA,53,"LC.HP.HF"
"723","mp.LC.HP.HF.28.corsto.1","mp","LC","HP","HF",28,"corsto",9,1,NA,25,15,"LC.HP.HF"
"724","mp.LC.HP.HF.28.popbal.1","mp","LC","HP","HF",28,"popbal",25,1,46,34,25,"LC.HP.HF"
"725","mp.LC.HP.HF.28.vacmem.1","mp","LC","HP","HF",28,"vacmem",10,1,NA,23,10,"LC.HP.HF"
"726","mp.LC.HP.HF.29.rubpar.1","mp","LC","HP","HF",29,"rubpar",23,1,23,23,23,"LC.HP.HF"
"727","mp.LC.HP.HF.29.shecan.1","mp","LC","HP","HF",29,"shecan",23,1,27,25,23,"LC.HP.HF"
"728","mp.LC.HP.HF.29.shecan.2","mp","LC","HP","HF",29,"shecan",19,1,42,23,19,"LC.HP.HF"
"729","mp.LC.HP.HF.29.symalb.1","mp","LC","HP","HF",29,"symalb",40,1,NA,NA,40,"LC.HP.HF"
"730","mp.LC.HP.HF.3.amealn.1","mp","LC","HP","HF",3,"amealn",9,1,25,19,15,"LC.HP.HF"
"731","mp.LC.HP.HF.3.popbal.1","mp","LC","HP","HF",3,"popbal",31,1,NA,34,31,"LC.HP.HF"
"732","mp.LC.HP.HF.3.poptre.1","mp","LC","HP","HF",3,"poptre",NA,0,NA,NA,NA,"LC.HP.HF"
"733","mp.LC.HP.HF.3.sorsco.1","mp","LC","HP","HF",3,"sorsco",17,1,NA,NA,NA,"LC.HP.HF"
"734","mp.LC.HP.HF.30.rubpar.1","mp","LC","HP","HF",30,"rubpar",17,1,NA,NA,25,"LC.HP.HF"
"735","mp.LC.HP.HF.30.samrac.1","mp","LC","HP","HF",30,"samrac",9,1,15,15,15,"LC.HP.HF"
"736","mp.LC.HP.HF.30.symalb.1","mp","LC","HP","HF",30,"symalb",31,1,NA,31,31,"LC.HP.HF"
"737","mp.LC.HP.HF.30.symalb.2","mp","LC","HP","HF",30,"symalb",19,1,NA,NA,19,"LC.HP.HF"
"738","mp.LC.HP.HF.31.corsto.1","mp","LC","HP","HF",31,"corsto",19,1,NA,NA,23,"LC.HP.HF"
"739","mp.LC.HP.HF.31.riblac.1","mp","LC","HP","HF",31,"riblac",19,1,NA,NA,19,"LC.HP.HF"
"740","mp.LC.HP.HF.31.vacmem.1","mp","LC","HP","HF",31,"vacmem",19,1,NA,NA,19,"LC.HP.HF"
"741","mp.LC.HP.HF.31.vacmem.2","mp","LC","HP","HF",31,"vacmem",31,1,NA,NA,31,"LC.HP.HF"
"742","mp.LC.HP.HF.32.alninc.1","mp","LC","HP","HF",32,"alninc",31,1,53,33,33,"LC.HP.HF"
"743","mp.LC.HP.HF.32.poptre.1","mp","LC","HP","HF",32,"poptre",42,1,NA,NA,NA,"LC.HP.HF"
"744","mp.LC.HP.HF.32.sorsco.1","mp","LC","HP","HF",32,"sorsco",18,1,NA,NA,NA,"LC.HP.HF"
"745","mp.LC.HP.HF.32.spibet.1","mp","LC","HP","HF",32,"spibet",37,1,49,37,37,"LC.HP.HF"
"746","mp.LC.HP.HF.32.spibet.2","mp","LC","HP","HF",32,"spibet",23,1,NA,33,23,"LC.HP.HF"
"747","mp.LC.HP.HF.33.amealn.1","mp","LC","HP","HF",33,"amealn",22,1,25,22,22,"LC.HP.HF"
"748","mp.LC.HP.HF.33.menfer.1","mp","LC","HP","HF",33,"menfer",40,1,NA,NA,40,"LC.HP.HF"
"749","mp.LC.HP.HF.33.popbal.1","mp","LC","HP","HF",33,"popbal",25,1,31,29,25,"LC.HP.HF"
"750","mp.LC.HP.HF.33.vacmem.1","mp","LC","HP","HF",33,"vacmem",17,1,NA,27,17,"LC.HP.HF"
"751","mp.LC.HP.HF.34.menfer.1","mp","LC","HP","HF",34,"menfer",37,1,37,37,37,"LC.HP.HF"
"752","mp.LC.HP.HF.34.popbal.1","mp","LC","HP","HF",34,"popbal",27,1,29,27,27,"LC.HP.HF"
"753","mp.LC.HP.HF.34.rubpar.1","mp","LC","HP","HF",34,"rubpar",27,1,NA,31,27,"LC.HP.HF"
"754","mp.LC.HP.HF.34.shecan.1","mp","LC","HP","HF",34,"shecan",23,1,29,27,23,"LC.HP.HF"
"755","mp.LC.HP.HF.35.loninv.1","mp","LC","HP","HF",35,"loninv",42,1,NA,NA,42,"LC.HP.HF"
"756","mp.LC.HP.HF.35.popbal.1","mp","LC","HP","HF",35,"popbal",21,1,NA,78,31,"LC.HP.HF"
"757","mp.LC.HP.HF.35.spibet.1","mp","LC","HP","HF",35,"spibet",16,1,23,16,16,"LC.HP.HF"
"758","mp.LC.HP.HF.35.vibedu.1","mp","LC","HP","HF",35,"vibedu",21,1,NA,NA,NA,"LC.HP.HF"
"759","mp.LC.HP.HF.36.alnvir.1","mp","LC","HP","HF",36,"alnvir",39,1,NA,NA,42,"LC.HP.HF"
"760","mp.LC.HP.HF.36.menfer.1","mp","LC","HP","HF",36,"menfer",39,1,NA,NA,39,"LC.HP.HF"
"761","mp.LC.HP.HF.36.poptre.1","mp","LC","HP","HF",36,"poptre",27,1,29,29,27,"LC.HP.HF"
"762","mp.LC.HP.HF.36.rubpar.1","mp","LC","HP","HF",36,"rubpar",17,1,NA,NA,17,"LC.HP.HF"
"763","mp.LC.HP.HF.37.alnvir.1","mp","LC","HP","HF",37,"alnvir",17,1,NA,NA,NA,"LC.HP.HF"
"764","mp.LC.HP.HF.37.loninv.1","mp","LC","HP","HF",37,"loninv",39,1,NA,NA,NA,"LC.HP.HF"
"765","mp.LC.HP.HF.37.poptre.1","mp","LC","HP","HF",37,"poptre",25,1,25,25,25,"LC.HP.HF"
"766","mp.LC.HP.HF.37.vibedu.1","mp","LC","HP","HF",37,"vibedu",17,1,NA,NA,19,"LC.HP.HF"
"767","mp.LC.HP.HF.38.popbal.1","mp","LC","HP","HF",38,"popbal",29,1,33,29,29,"LC.HP.HF"
"768","mp.LC.HP.HF.38.rubpar.1","mp","LC","HP","HF",38,"rubpar",23,1,23,23,23,"LC.HP.HF"
"769","mp.LC.HP.HF.38.samrac.1","mp","LC","HP","HF",38,"samrac",53,1,78,53,53,"LC.HP.HF"
"770","mp.LC.HP.HF.38.shecan.1","mp","LC","HP","HF",38,"shecan",23,1,NA,NA,23,"LC.HP.HF"
"771","mp.LC.HP.HF.39.acegla.1","mp","LC","HP","HF",39,"acegla",57,1,NA,57,57,"LC.HP.HF"
"772","mp.LC.HP.HF.39.corsto.1","mp","LC","HP","HF",39,"corsto",15,1,23,17,15,"LC.HP.HF"
"773","mp.LC.HP.HF.39.samrac.1","mp","LC","HP","HF",39,"samrac",40,1,NA,NA,NA,"LC.HP.HF"
"774","mp.LC.HP.HF.39.shecan.1","mp","LC","HP","HF",39,"shecan",21,1,NA,NA,15,"LC.HP.HF"
"775","mp.LC.HP.HF.4.corsto.1","mp","LC","HP","HF",4,"corsto",17,1,23,19,17,"LC.HP.HF"
"776","mp.LC.HP.HF.4.shecan.1","mp","LC","HP","HF",4,"shecan",15,1,31,29,23,"LC.HP.HF"
"777","mp.LC.HP.HF.4.shecan.2","mp","LC","HP","HF",4,"shecan",19,1,25,23,19,"LC.HP.HF"
"778","mp.LC.HP.HF.4.symalb.1","mp","LC","HP","HF",4,"symalb",36,1,NA,NA,36,"LC.HP.HF"
"779","mp.LC.HP.HF.40.corsto.1","mp","LC","HP","HF",40,"corsto",15,1,21,17,15,"LC.HP.HF"
"780","mp.LC.HP.HF.40.rhoalb.1","mp","LC","HP","HF",40,"rhoalb",19,1,NA,NA,19,"LC.HP.HF"
"781","mp.LC.HP.HF.40.rubpar.1","mp","LC","HP","HF",40,"rubpar",21,1,NA,23,21,"LC.HP.HF"
"782","mp.LC.HP.HF.40.shecan.1","mp","LC","HP","HF",40,"shecan",23,1,NA,NA,23,"LC.HP.HF"
"783","mp.LC.HP.HF.5.alnvir.1","mp","LC","HP","HF",5,"alnvir",53,1,NA,57,53,"LC.HP.HF"
"784","mp.LC.HP.HF.5.loninv.1","mp","LC","HP","HF",5,"loninv",22,1,NA,NA,NA,"LC.HP.HF"
"785","mp.LC.HP.HF.5.sorsco.1","mp","LC","HP","HF",5,"sorsco",22,1,34,29,29,"LC.HP.HF"
"786","mp.LC.HP.HF.5.spipyr.1","mp","LC","HP","HF",5,"spipyr",29,1,NA,NA,29,"LC.HP.HF"
"787","mp.LC.HP.HF.6.corsto.1","mp","LC","HP","HF",6,"corsto",10,1,15,15,15,"LC.HP.HF"
"788","mp.LC.HP.HF.6.loninv.1","mp","LC","HP","HF",6,"loninv",15,1,NA,40,15,"LC.HP.HF"
"789","mp.LC.HP.HF.6.riblac.1","mp","LC","HP","HF",6,"riblac",15,1,NA,23,15,"LC.HP.HF"
"790","mp.LC.HP.HF.6.rubpar.1","mp","LC","HP","HF",6,"rubpar",23,1,27,23,23,"LC.HP.HF"
"791","mp.LC.HP.HF.7.riblac.1","mp","LC","HP","HF",7,"riblac",15,1,NA,36,19,"LC.HP.HF"
"792","mp.LC.HP.HF.7.rubpar.1","mp","LC","HP","HF",7,"rubpar",22,1,NA,57,27,"LC.HP.HF"
"793","mp.LC.HP.HF.7.spipyr.1","mp","LC","HP","HF",7,"spipyr",15,1,NA,17,15,"LC.HP.HF"
"794","mp.LC.HP.HF.7.vibedu.1","mp","LC","HP","HF",7,"vibedu",17,1,NA,NA,17,"LC.HP.HF"
"795","mp.LC.HP.HF.8.rhoalb.1","mp","LC","HP","HF",8,"rhoalb",18,1,NA,NA,22,"LC.HP.HF"
"796","mp.LC.HP.HF.8.riblac.1","mp","LC","HP","HF",8,"riblac",31,1,NA,NA,31,"LC.HP.HF"
"797","mp.LC.HP.HF.8.spibet.1","mp","LC","HP","HF",8,"spibet",19,1,27,19,19,"LC.HP.HF"
"798","mp.LC.HP.HF.8.spipyr.1","mp","LC","HP","HF",8,"spipyr",19,1,22,19,19,"LC.HP.HF"
"799","mp.LC.HP.HF.9.samrac.1","mp","LC","HP","HF",9,"samrac",19,1,NA,27,27,"LC.HP.HF"
"800","mp.LC.HP.HF.9.samrac.2","mp","LC","HP","HF",9,"samrac",36,1,NA,46,36,"LC.HP.HF"
"801","mp.LC.HP.HF.9.sorsco.1","mp","LC","HP","HF",9,"sorsco",19,1,NA,NA,27,"LC.HP.HF"
"802","mp.LC.HP.HF.9.vibedu.1","mp","LC","HP","HF",9,"vibedu",19,1,NA,NA,22,"LC.HP.HF"
"803","mp.LC.HP.LF.1.amealn.1","mp","LC","HP","LF",1,"amealn",15,1,28,19,15,"LC.HP.LF"
"804","mp.LC.HP.LF.1.menfer.1","mp","LC","HP","LF",1,"menfer",NA,0,NA,NA,NA,"LC.HP.LF"
"805","mp.LC.HP.LF.1.poptre.1","mp","LC","HP","LF",1,"poptre",75,1,NA,NA,NA,"LC.HP.LF"
"806","mp.LC.HP.LF.1.rhoalb.1","mp","LC","HP","LF",1,"rhoalb",22,1,NA,NA,22,"LC.HP.LF"
"807","mp.LC.HP.LF.10.acegla.1","mp","LC","HP","LF",10,"acegla",81,1,NA,NA,81,"LC.HP.LF"
"808","mp.LC.HP.LF.10.shecan.1","mp","LC","HP","LF",10,"shecan",28,1,57,45,28,"LC.HP.LF"
"809","mp.LC.HP.LF.10.spipyr.1","mp","LC","HP","LF",10,"spipyr",28,1,43,39,28,"LC.HP.LF"
"810","mp.LC.HP.LF.10.vacmem.1","mp","LC","HP","LF",10,"vacmem",NA,0,NA,NA,NA,"LC.HP.LF"
"811","mp.LC.HP.LF.11.menfer.1","mp","LC","HP","LF",11,"menfer",NA,0,NA,NA,NA,"LC.HP.LF"
"812","mp.LC.HP.LF.11.shecan.1","mp","LC","HP","LF",11,"shecan",43,1,78,55,43,"LC.HP.LF"
"813","mp.LC.HP.LF.11.spipyr.1","mp","LC","HP","LF",11,"spipyr",39,1,NA,NA,39,"LC.HP.LF"
"814","mp.LC.HP.LF.11.vacmem.1","mp","LC","HP","LF",11,"vacmem",24,1,NA,NA,24,"LC.HP.LF"
"815","mp.LC.HP.LF.12.amealn.1","mp","LC","HP","LF",12,"amealn",28,1,45,43,28,"LC.HP.LF"
"816","mp.LC.HP.LF.12.amealn.2","mp","LC","HP","LF",12,"amealn",28,1,45,37,28,"LC.HP.LF"
"817","mp.LC.HP.LF.12.sorsco.1","mp","LC","HP","LF",12,"sorsco",26,1,NA,28,26,"LC.HP.LF"
"818","mp.LC.HP.LF.12.sorsco.2","mp","LC","HP","LF",12,"sorsco",37,1,NA,49,37,"LC.HP.LF"
"819","mp.LC.HP.LF.13.acegla.1","mp","LC","HP","LF",13,"acegla",NA,0,NA,NA,NA,"LC.HP.LF"
"820","mp.LC.HP.LF.13.alninc.1","mp","LC","HP","LF",13,"alninc",43,1,53,48,45,"LC.HP.LF"
"821","mp.LC.HP.LF.13.shecan.1","mp","LC","HP","LF",13,"shecan",39,1,NA,NA,39,"LC.HP.LF"
"822","mp.LC.HP.LF.13.spipyr.1","mp","LC","HP","LF",13,"spipyr",57,1,NA,NA,57,"LC.HP.LF"
"823","mp.LC.HP.LF.14.acegla.1","mp","LC","HP","LF",14,"acegla",17,1,NA,NA,17,"LC.HP.LF"
"824","mp.LC.HP.LF.14.loninv.1","mp","LC","HP","LF",14,"loninv",NA,0,NA,NA,NA,"LC.HP.LF"
"825","mp.LC.HP.LF.14.menfer.1","mp","LC","HP","LF",14,"menfer",NA,0,NA,NA,NA,"LC.HP.LF"
"826","mp.LC.HP.LF.14.poptre.1","mp","LC","HP","LF",14,"poptre",78,1,NA,NA,NA,"LC.HP.LF"
"827","mp.LC.HP.LF.15.alninc.1","mp","LC","HP","LF",15,"alninc",39,1,39,39,39,"LC.HP.LF"
"828","mp.LC.HP.LF.15.rubpar.1","mp","LC","HP","LF",15,"rubpar",36,1,NA,NA,36,"LC.HP.LF"
"829","mp.LC.HP.LF.15.spipyr.1","mp","LC","HP","LF",15,"spipyr",43,1,43,43,43,"LC.HP.LF"
"830","mp.LC.HP.LF.15.vibedu.1","mp","LC","HP","LF",15,"vibedu",36,1,NA,NA,36,"LC.HP.LF"
"831","mp.LC.HP.LF.16.riblac.1","mp","LC","HP","LF",16,"riblac",NA,0,NA,NA,NA,"LC.HP.LF"
"832","mp.LC.HP.LF.16.symalb.1","mp","LC","HP","LF",16,"symalb",45,1,NA,NA,45,"LC.HP.LF"
"833","mp.LC.HP.LF.16.vacmem.1","mp","LC","HP","LF",16,"vacmem",22,1,NA,NA,28,"LC.HP.LF"
"834","mp.LC.HP.LF.16.vibedu.1","mp","LC","HP","LF",16,"vibedu",32,1,NA,NA,37,"LC.HP.LF"
"835","mp.LC.HP.LF.17.alnvir.1","mp","LC","HP","LF",17,"alnvir",69,1,NA,NA,69,"LC.HP.LF"
"836","mp.LC.HP.LF.17.popbal.1","mp","LC","HP","LF",17,"popbal",38,1,55,43,38,"LC.HP.LF"
"837","mp.LC.HP.LF.17.spibet.1","mp","LC","HP","LF",17,"spibet",38,1,NA,NA,NA,"LC.HP.LF"
"838","mp.LC.HP.LF.17.symalb.1","mp","LC","HP","LF",17,"symalb",69,1,NA,NA,69,"LC.HP.LF"
"839","mp.LC.HP.LF.18.alninc.1","mp","LC","HP","LF",18,"alninc",49,1,NA,NA,NA,"LC.HP.LF"
"840","mp.LC.HP.LF.18.popbal.1","mp","LC","HP","LF",18,"popbal",43,1,49,49,49,"LC.HP.LF"
"841","mp.LC.HP.LF.18.samrac.1","mp","LC","HP","LF",18,"samrac",60,1,81,60,60,"LC.HP.LF"
"842","mp.LC.HP.LF.18.samrac.2","mp","LC","HP","LF",18,"samrac",60,1,NA,NA,60,"LC.HP.LF"
"843","mp.LC.HP.LF.19.corsto.1","mp","LC","HP","LF",19,"corsto",17,1,43,24,19,"LC.HP.LF"
"844","mp.LC.HP.LF.19.rhoalb.1","mp","LC","HP","LF",19,"rhoalb",24,1,26,24,24,"LC.HP.LF"
"845","mp.LC.HP.LF.19.vibedu.1","mp","LC","HP","LF",19,"vibedu",31,1,NA,NA,NA,"LC.HP.LF"
"846","mp.LC.HP.LF.19.vibedu.2","mp","LC","HP","LF",19,"vibedu",39,1,NA,NA,39,"LC.HP.LF"
"847","mp.LC.HP.LF.2.popbal.1","mp","LC","HP","LF",2,"popbal",38,1,55,43,38,"LC.HP.LF"
"848","mp.LC.HP.LF.2.rhoalb.1","mp","LC","HP","LF",2,"rhoalb",21,1,24,21,21,"LC.HP.LF"
"849","mp.LC.HP.LF.2.samrac.1","mp","LC","HP","LF",2,"samrac",55,1,78,78,78,"LC.HP.LF"
"850","mp.LC.HP.LF.2.vibedu.1","mp","LC","HP","LF",2,"vibedu",38,1,39,38,38,"LC.HP.LF"
"851","mp.LC.HP.LF.20.corsto.1","mp","LC","HP","LF",20,"corsto",24,1,34,32,28,"LC.HP.LF"
"852","mp.LC.HP.LF.20.corsto.2","mp","LC","HP","LF",20,"corsto",22,1,NA,NA,24,"LC.HP.LF"
"853","mp.LC.HP.LF.20.rhoalb.1","mp","LC","HP","LF",20,"rhoalb",22,1,NA,NA,NA,"LC.HP.LF"
"854","mp.LC.HP.LF.20.vibedu.1","mp","LC","HP","LF",20,"vibedu",28,1,NA,NA,28,"LC.HP.LF"
"855","mp.LC.HP.LF.21.alnvir.1","mp","LC","HP","LF",21,"alnvir",NA,0,NA,NA,NA,"LC.HP.LF"
"856","mp.LC.HP.LF.21.rhoalb.1","mp","LC","HP","LF",21,"rhoalb",24,1,57,57,48,"LC.HP.LF"
"857","mp.LC.HP.LF.21.rubpar.1","mp","LC","HP","LF",21,"rubpar",26,1,26,26,26,"LC.HP.LF"
"858","mp.LC.HP.LF.21.symalb.1","mp","LC","HP","LF",21,"symalb",57,1,NA,NA,57,"LC.HP.LF"
"859","mp.LC.HP.LF.22.alnvir.1","mp","LC","HP","LF",22,"alnvir",17,1,NA,NA,66,"LC.HP.LF"
"860","mp.LC.HP.LF.22.alnvir.2","mp","LC","HP","LF",22,"alnvir",66,1,72,66,66,"LC.HP.LF"
"861","mp.LC.HP.LF.22.samrac.1","mp","LC","HP","LF",22,"samrac",66,1,NA,66,66,"LC.HP.LF"
"862","mp.LC.HP.LF.22.vacmem.1","mp","LC","HP","LF",22,"vacmem",32,1,NA,NA,NA,"LC.HP.LF"
"863","mp.LC.HP.LF.23.loninv.1","mp","LC","HP","LF",23,"loninv",NA,0,NA,NA,NA,"LC.HP.LF"
"864","mp.LC.HP.LF.23.poptre.1","mp","LC","HP","LF",23,"poptre",NA,0,NA,NA,NA,"LC.HP.LF"
"865","mp.LC.HP.LF.23.rubpar.1","mp","LC","HP","LF",23,"rubpar",39,1,NA,NA,39,"LC.HP.LF"
"866","mp.LC.HP.LF.23.sorsco.1","mp","LC","HP","LF",23,"sorsco",22,1,NA,24,22,"LC.HP.LF"
"867","mp.LC.HP.LF.24.amealn.1","mp","LC","HP","LF",24,"amealn",45,1,NA,63,45,"LC.HP.LF"
"868","mp.LC.HP.LF.24.popbal.1","mp","LC","HP","LF",24,"popbal",43,1,NA,NA,NA,"LC.HP.LF"
"869","mp.LC.HP.LF.24.sorsco.1","mp","LC","HP","LF",24,"sorsco",NA,0,NA,NA,NA,"LC.HP.LF"
"870","mp.LC.HP.LF.24.sorsco.2","mp","LC","HP","LF",24,"sorsco",NA,0,NA,NA,NA,"LC.HP.LF"
"871","mp.LC.HP.LF.25.corsto.1","mp","LC","HP","LF",25,"corsto",19,1,43,28,22,"LC.HP.LF"
"872","mp.LC.HP.LF.25.loninv.1","mp","LC","HP","LF",25,"loninv",24,1,NA,NA,24,"LC.HP.LF"
"873","mp.LC.HP.LF.25.spibet.1","mp","LC","HP","LF",25,"spibet",34,1,NA,39,34,"LC.HP.LF"
"874","mp.LC.HP.LF.25.spipyr.1","mp","LC","HP","LF",25,"spipyr",74,1,NA,NA,74,"LC.HP.LF"
"875","mp.LC.HP.LF.26.alnvir.1","mp","LC","HP","LF",26,"alnvir",66,1,NA,NA,66,"LC.HP.LF"
"876","mp.LC.HP.LF.26.poptre.1","mp","LC","HP","LF",26,"poptre",78,1,NA,NA,NA,"LC.HP.LF"
"877","mp.LC.HP.LF.26.rhoalb.1","mp","LC","HP","LF",26,"rhoalb",24,1,NA,NA,24,"LC.HP.LF"
"878","mp.LC.HP.LF.26.riblac.1","mp","LC","HP","LF",26,"riblac",66,1,NA,NA,66,"LC.HP.LF"
"879","mp.LC.HP.LF.27.popbal.1","mp","LC","HP","LF",27,"popbal",46,1,57,57,46,"LC.HP.LF"
"880","mp.LC.HP.LF.27.poptre.1","mp","LC","HP","LF",27,"poptre",NA,0,NA,NA,NA,"LC.HP.LF"
"881","mp.LC.HP.LF.27.rhoalb.1","mp","LC","HP","LF",27,"rhoalb",22,1,39,24,24,"LC.HP.LF"
"882","mp.LC.HP.LF.27.riblac.1","mp","LC","HP","LF",27,"riblac",78,1,NA,NA,78,"LC.HP.LF"
"883","mp.LC.HP.LF.28.menfer.1","mp","LC","HP","LF",28,"menfer",NA,0,NA,NA,NA,"LC.HP.LF"
"884","mp.LC.HP.LF.28.riblac.1","mp","LC","HP","LF",28,"riblac",NA,0,NA,NA,NA,"LC.HP.LF"
"885","mp.LC.HP.LF.28.spipyr.1","mp","LC","HP","LF",28,"spipyr",78,1,NA,NA,78,"LC.HP.LF"
