"lab2","population","treatment","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"mp.HC.HP.LF.33.shecan.1","mp","HC.HP.LF",33,"shecan",27,1,36,30,27
"mp.HC.HP.LF.33.vibedu.1","mp","HC.HP.LF",33,"vibedu",19,1,NA,NA,20
"mp.HC.HP.LF.34.alnvir.1","mp","HC.HP.LF",34,"alnvir",39,1,52,52,49
"mp.HC.HP.LF.34.riblac.1","mp","HC.HP.LF",34,"riblac",36,1,NA,39,36
"mp.HC.HP.LF.34.spibet.1","mp","HC.HP.LF",34,"spibet",24,1,24,24,24
"mp.HC.HP.LF.34.spipyr.1","mp","HC.HP.LF",34,"spipyr",24,1,24,24,24
"mp.HC.HP.LF.35.loninv.1","mp","HC.HP.LF",35,"loninv",20,1,NA,NA,20
"mp.HC.HP.LF.35.loninv.2","mp","HC.HP.LF",35,"loninv",10,1,NA,NA,84
"mp.HC.HP.LF.35.sorsco.1","mp","HC.HP.LF",35,"sorsco",16,1,NA,NA,NA
"mp.HC.HP.LF.35.vacmem.1","mp","HC.HP.LF",35,"vacmem",16,1,NA,NA,16
"mp.HC.HP.LF.36.corsto.1","mp","HC.HP.LF",36,"corsto",16,1,NA,20,20
"mp.HC.HP.LF.36.corsto.2","mp","HC.HP.LF",36,"corsto",13,1,20,20,13
"mp.HC.HP.LF.36.popbal.1","mp","HC.HP.LF",36,"popbal",24,1,24,24,24
"mp.HC.HP.LF.36.vibedu.1","mp","HC.HP.LF",36,"vibedu",16,1,52,20,16
"mp.HC.HP.LF.37.acegla.1","mp","HC.HP.LF",37,"acegla",10,1,NA,58,36
"mp.HC.HP.LF.37.alnvir.1","mp","HC.HP.LF",37,"alnvir",55,1,61,61,55
"mp.HC.HP.LF.37.loninv.1","mp","HC.HP.LF",37,"loninv",10,1,NA,36,10
"mp.HC.HP.LF.37.symalb.1","mp","HC.HP.LF",37,"symalb",10,1,36,20,10
"mp.HC.HP.LF.38.loninv.1","mp","HC.HP.LF",38,"loninv",61,1,NA,NA,61
"mp.HC.HP.LF.38.rubpar.1","mp","HC.HP.LF",38,"rubpar",24,1,NA,27,24
"mp.HC.HP.LF.38.spibet.1","mp","HC.HP.LF",38,"spibet",20,1,NA,NA,20
"mp.HC.HP.LF.38.vacmem.1","mp","HC.HP.LF",38,"vacmem",27,1,NA,NA,27
"mp.HC.HP.LF.39.alninc.1","mp","HC.HP.LF",39,"alninc",36,1,36,36,36
"mp.HC.HP.LF.39.amealn.1","mp","HC.HP.LF",39,"amealn",16,1,36,36,30
"mp.HC.HP.LF.39.spibet.1","mp","HC.HP.LF",39,"spibet",13,1,13,13,13
"mp.HC.HP.LF.39.vibedu.1","mp","HC.HP.LF",39,"vibedu",16,1,NA,16,16
"mp.HC.HP.LF.4.menfer.1","mp","HC.HP.LF",4,"menfer",36,1,NA,NA,36
"mp.HC.HP.LF.4.samrac.1","mp","HC.HP.LF",4,"samrac",20,1,49,49,49
"mp.HC.HP.LF.4.spibet.1","mp","HC.HP.LF",4,"spibet",20,1,NA,20,20
"mp.HC.HP.LF.4.vacmem.1","mp","HC.HP.LF",4,"vacmem",20,1,NA,NA,20
"mp.HC.HP.LF.40.acegla.1","mp","HC.HP.LF",40,"acegla",24,1,43,36,36
"mp.HC.HP.LF.40.acegla.2","mp","HC.HP.LF",40,"acegla",24,1,NA,NA,58
"mp.HC.HP.LF.40.rhoalb.1","mp","HC.HP.LF",40,"rhoalb",20,1,NA,NA,NA
"mp.HC.HP.LF.40.rhoalb.2","mp","HC.HP.LF",40,"rhoalb",13,1,43,24,24
"mp.HC.HP.LF.5.acegla.1","mp","HC.HP.LF",5,"acegla",24,1,39,36,36
"mp.HC.HP.LF.5.menfer.1","mp","HC.HP.LF",5,"menfer",42,1,NA,73,42
"mp.HC.HP.LF.5.symalb.1","mp","HC.HP.LF",5,"symalb",13,1,NA,16,13
"mp.HC.HP.LF.5.symalb.2","mp","HC.HP.LF",5,"symalb",13,1,39,36,13
"mp.HC.HP.LF.6.alnvir.1","mp","HC.HP.LF",6,"alnvir",NA,0,NA,NA,NA
"mp.HC.HP.LF.6.popbal.1","mp","HC.HP.LF",6,"popbal",NA,0,NA,NA,NA
"mp.HC.HP.LF.6.rubpar.1","mp","HC.HP.LF",6,"rubpar",NA,0,NA,NA,NA
"mp.HC.HP.LF.6.rubpar.2","mp","HC.HP.LF",6,"rubpar",NA,0,NA,NA,NA
"mp.HC.HP.LF.7.alnvir.1","mp","HC.HP.LF",7,"alnvir",42,1,61,52,42
"mp.HC.HP.LF.7.amealn.1","mp","HC.HP.LF",7,"amealn",10,1,20,20,10
"mp.HC.HP.LF.7.sorsco.1","mp","HC.HP.LF",7,"sorsco",20,1,NA,NA,NA
"mp.HC.HP.LF.7.vacmem.1","mp","HC.HP.LF",7,"vacmem",20,1,NA,NA,20
"mp.HC.HP.LF.8.corsto.1","mp","HC.HP.LF",8,"corsto",10,1,24,12,12
"mp.HC.HP.LF.8.spibet.1","mp","HC.HP.LF",8,"spibet",12,1,24,24,12
"mp.HC.HP.LF.8.spibet.2","mp","HC.HP.LF",8,"spibet",NA,0,NA,NA,NA
"mp.HC.HP.LF.8.vibedu.1","mp","HC.HP.LF",8,"vibedu",12,1,NA,24,12
"mp.HC.HP.LF.9.alnvir.1","mp","HC.HP.LF",9,"alnvir",49,1,52,49,49
"mp.HC.HP.LF.9.loninv.1","mp","HC.HP.LF",9,"loninv",46,1,NA,84,76
"mp.HC.HP.LF.9.samrac.1","mp","HC.HP.LF",9,"samrac",27,1,NA,27,27
"mp.HC.HP.LF.9.samrac.2","mp","HC.HP.LF",9,"samrac",27,1,46,46,27
"mp.HC.LP.HF.1.alninc.1","mp","HC.LP.HF",1,"alninc",23,1,34,26,23
"mp.HC.LP.HF.1.rhoalb.1","mp","HC.LP.HF",1,"rhoalb",16,1,NA,NA,23
"mp.HC.LP.HF.1.spibet.1","mp","HC.LP.HF",1,"spibet",13,1,NA,NA,NA
"mp.HC.LP.HF.1.symalb.1","mp","HC.LP.HF",1,"symalb",7,1,42,28,7
"mp.HC.LP.HF.10.corsto.1","mp","HC.LP.HF",10,"corsto",13,1,26,17,13
"mp.HC.LP.HF.10.menfer.1","mp","HC.LP.HF",10,"menfer",26,1,NA,31,26
"mp.HC.LP.HF.10.vacmem.1","mp","HC.LP.HF",10,"vacmem",13,1,NA,NA,13
"mp.HC.LP.HF.10.vacmem.2","mp","HC.LP.HF",10,"vacmem",NA,0,NA,NA,NA
"mp.HC.LP.HF.11.popbal.1","mp","HC.LP.HF",11,"popbal",16,1,NA,23,19
"mp.HC.LP.HF.11.samrac.1","mp","HC.LP.HF",11,"samrac",19,1,NA,NA,NA
"mp.HC.LP.HF.11.symalb.1","mp","HC.LP.HF",11,"symalb",16,1,NA,37,16
"mp.HC.LP.HF.11.vibedu.1","mp","HC.LP.HF",11,"vibedu",10,1,NA,13,10
"mp.HC.LP.HF.12.alninc.1","mp","HC.LP.HF",12,"alninc",19,1,23,19,19
"mp.HC.LP.HF.12.corsto.1","mp","HC.LP.HF",12,"corsto",12,1,16,12,12
"mp.HC.LP.HF.12.vacmem.1","mp","HC.LP.HF",12,"vacmem",12,1,NA,NA,12
"mp.HC.LP.HF.12.vibedu.1","mp","HC.LP.HF",12,"vibedu",16,1,NA,NA,16
"mp.HC.LP.HF.13.rhoalb.1","mp","HC.LP.HF",13,"rhoalb",10,1,NA,NA,26
"mp.HC.LP.HF.13.samrac.1","mp","HC.LP.HF",13,"samrac",17,1,NA,NA,17
"mp.HC.LP.HF.13.spibet.1","mp","HC.LP.HF",13,"spibet",10,1,17,17,17
"mp.HC.LP.HF.13.vacmem.1","mp","HC.LP.HF",13,"vacmem",17,1,NA,NA,17
"mp.HC.LP.HF.14.acegla.1","mp","HC.LP.HF",14,"acegla",NA,0,NA,NA,NA
"mp.HC.LP.HF.14.loninv.1","mp","HC.LP.HF",14,"loninv",10,1,NA,NA,13
"mp.HC.LP.HF.14.rhoalb.1","mp","HC.LP.HF",14,"rhoalb",13,1,NA,NA,17
"mp.HC.LP.HF.14.rubpar.1","mp","HC.LP.HF",14,"rubpar",23,1,NA,23,23
"mp.HC.LP.HF.15.loninv.1","mp","HC.LP.HF",15,"loninv",10,1,NA,NA,16
"mp.HC.LP.HF.15.poptre.1","mp","HC.LP.HF",15,"poptre",34,1,34,34,34
"mp.HC.LP.HF.15.sorsco.1","mp","HC.LP.HF",15,"sorsco",12,1,NA,NA,NA
"mp.HC.LP.HF.15.symalb.1","mp","HC.LP.HF",15,"symalb",12,1,NA,26,12
"mp.HC.LP.HF.16.alnvir.1","mp","HC.LP.HF",16,"alnvir",23,1,26,26,26
"mp.HC.LP.HF.16.amealn.1","mp","HC.LP.HF",16,"amealn",7,1,10,10,10
"mp.HC.LP.HF.16.shecan.1","mp","HC.LP.HF",16,"shecan",17,1,31,28,17
"mp.HC.LP.HF.16.symalb.1","mp","HC.LP.HF",16,"symalb",17,1,NA,NA,17
"mp.HC.LP.HF.17.loninv.1","mp","HC.LP.HF",17,"loninv",9,1,NA,NA,9
"mp.HC.LP.HF.17.poptre.1","mp","HC.LP.HF",17,"poptre",31,1,31,31,31
"mp.HC.LP.HF.17.spibet.1","mp","HC.LP.HF",17,"spibet",23,1,23,23,23
"mp.HC.LP.HF.17.vibedu.1","mp","HC.LP.HF",17,"vibedu",12,1,16,13,12
"mp.HC.LP.HF.18.loninv.1","mp","HC.LP.HF",18,"loninv",10,1,10,10,10
"mp.HC.LP.HF.18.poptre.1","mp","HC.LP.HF",18,"poptre",31,1,NA,34,31
"mp.HC.LP.HF.18.sorsco.1","mp","HC.LP.HF",18,"sorsco",7,1,19,17,17
"mp.HC.LP.HF.18.spipyr.1","mp","HC.LP.HF",18,"spipyr",17,1,NA,NA,17
"mp.HC.LP.HF.19.amealn.1","mp","HC.LP.HF",19,"amealn",7,1,7,7,7
"mp.HC.LP.HF.19.loninv.1","mp","HC.LP.HF",19,"loninv",10,1,NA,NA,NA
"mp.HC.LP.HF.19.popbal.1","mp","HC.LP.HF",19,"popbal",NA,0,NA,NA,NA
"mp.HC.LP.HF.19.spibet.1","mp","HC.LP.HF",19,"spibet",28,1,28,28,28
"mp.HC.LP.HF.2.alninc.1","mp","HC.LP.HF",2,"alninc",12,1,23,19,12
"mp.HC.LP.HF.2.menfer.1","mp","HC.LP.HF",2,"menfer",NA,0,NA,NA,NA
"mp.HC.LP.HF.2.poptre.1","mp","HC.LP.HF",2,"poptre",23,1,NA,NA,23
"mp.HC.LP.HF.2.vibedu.1","mp","HC.LP.HF",2,"vibedu",12,1,NA,23,12
"mp.HC.LP.HF.20.alninc.1","mp","HC.LP.HF",20,"alninc",17,1,31,23,17
"mp.HC.LP.HF.20.alninc.2","mp","HC.LP.HF",20,"alninc",17,1,NA,25,20
"mp.HC.LP.HF.20.poptre.1","mp","HC.LP.HF",20,"poptre",23,1,NA,NA,NA
"mp.HC.LP.HF.20.samrac.1","mp","HC.LP.HF",20,"samrac",23,1,NA,NA,23
"mp.HC.LP.HF.21.popbal.1","mp","HC.LP.HF",21,"popbal",12,1,16,16,12
"mp.HC.LP.HF.21.rhoalb.1","mp","HC.LP.HF",21,"rhoalb",16,1,NA,NA,26
"mp.HC.LP.HF.21.spipyr.1","mp","HC.LP.HF",21,"spipyr",10,1,NA,10,10
"mp.HC.LP.HF.21.symalb.1","mp","HC.LP.HF",21,"symalb",10,1,31,10,10
"mp.HC.LP.HF.22.alnvir.1","mp","HC.LP.HF",22,"alnvir",45,1,54,48,45
"mp.HC.LP.HF.22.amealn.1","mp","HC.LP.HF",22,"amealn",0,1,0,0,0
"mp.HC.LP.HF.22.corsto.1","mp","HC.LP.HF",22,"corsto",10,1,20,10,10
"mp.HC.LP.HF.22.shecan.1","mp","HC.LP.HF",22,"shecan",13,1,28,28,13
"mp.HC.LP.HF.23.alnvir.1","mp","HC.LP.HF",23,"alnvir",23,1,23,23,23
"mp.HC.LP.HF.23.menfer.1","mp","HC.LP.HF",23,"menfer",28,1,NA,NA,28
"mp.HC.LP.HF.23.rhoalb.1","mp","HC.LP.HF",23,"rhoalb",17,1,NA,NA,17
"mp.HC.LP.HF.23.vacmem.1","mp","HC.LP.HF",23,"vacmem",20,1,NA,NA,20
"mp.HC.LP.HF.24.acegla.1","mp","HC.LP.HF",24,"acegla",40,1,NA,NA,54
"mp.HC.LP.HF.24.acegla.2","mp","HC.LP.HF",24,"acegla",13,1,NA,NA,NA
"mp.HC.LP.HF.24.sorsco.1","mp","HC.LP.HF",24,"sorsco",17,1,NA,NA,17
"mp.HC.LP.HF.24.vibedu.1","mp","HC.LP.HF",24,"vibedu",13,1,NA,20,13
"mp.HC.LP.HF.25.alnvir.1","mp","HC.LP.HF",25,"alnvir",34,1,54,54,34
"mp.HC.LP.HF.25.corsto.1","mp","HC.LP.HF",25,"corsto",8,1,8,8,8
"mp.HC.LP.HF.25.riblac.1","mp","HC.LP.HF",25,"riblac",31,1,NA,NA,31
"mp.HC.LP.HF.25.shecan.1","mp","HC.LP.HF",25,"shecan",17,1,31,28,17
"mp.HC.LP.HF.26.alninc.1","mp","HC.LP.HF",26,"alninc",23,1,25,25,23
"mp.HC.LP.HF.26.alnvir.1","mp","HC.LP.HF",26,"alnvir",31,1,34,34,31
"mp.HC.LP.HF.26.loninv.1","mp","HC.LP.HF",26,"loninv",13,1,NA,NA,13
"mp.HC.LP.HF.26.popbal.1","mp","HC.LP.HF",26,"popbal",23,1,23,23,23
"mp.HC.LP.HF.27.loninv.1","mp","HC.LP.HF",27,"loninv",12,1,NA,NA,12
"mp.HC.LP.HF.27.shecan.1","mp","HC.LP.HF",27,"shecan",23,1,NA,NA,23
"mp.HC.LP.HF.27.spibet.1","mp","HC.LP.HF",27,"spibet",12,1,NA,NA,NA
"mp.HC.LP.HF.27.vibedu.1","mp","HC.LP.HF",27,"vibedu",26,1,NA,NA,26
"mp.HC.LP.HF.28.corsto.1","mp","HC.LP.HF",28,"corsto",10,1,NA,10,10
"mp.HC.LP.HF.28.rubpar.1","mp","HC.LP.HF",28,"rubpar",23,1,NA,34,23
"mp.HC.LP.HF.28.sorsco.1","mp","HC.LP.HF",28,"sorsco",12,1,NA,NA,12
"mp.HC.LP.HF.28.spipyr.1","mp","HC.LP.HF",28,"spipyr",7,1,7,7,7
"mp.HC.LP.HF.29.amealn.1","mp","HC.LP.HF",29,"amealn",10,1,10,10,10
"mp.HC.LP.HF.29.amealn.2","mp","HC.LP.HF",29,"amealn",10,1,17,17,10
"mp.HC.LP.HF.29.menfer.1","mp","HC.LP.HF",29,"menfer",26,1,NA,NA,26
"mp.HC.LP.HF.29.menfer.2","mp","HC.LP.HF",29,"menfer",28,1,NA,48,28
"mp.HC.LP.HF.3.menfer.1","mp","HC.LP.HF",3,"menfer",26,1,NA,28,26
"mp.HC.LP.HF.3.poptre.1","mp","HC.LP.HF",3,"poptre",34,1,NA,NA,NA
"mp.HC.LP.HF.3.rhoalb.1","mp","HC.LP.HF",3,"rhoalb",17,1,NA,NA,17
"mp.HC.LP.HF.3.vacmem.1","mp","HC.LP.HF",3,"vacmem",NA,0,NA,NA,NA
"mp.HC.LP.HF.30.loninv.1","mp","HC.LP.HF",30,"loninv",10,1,NA,NA,NA
"mp.HC.LP.HF.30.rhoalb.1","mp","HC.LP.HF",30,"rhoalb",16,1,NA,NA,31
"mp.HC.LP.HF.30.rubpar.1","mp","HC.LP.HF",30,"rubpar",23,1,NA,34,23
"mp.HC.LP.HF.30.samrac.1","mp","HC.LP.HF",30,"samrac",23,1,NA,23,23
"mp.HC.LP.HF.31.alnvir.1","mp","HC.LP.HF",31,"alnvir",10,1,42,42,31
"mp.HC.LP.HF.31.shecan.1","mp","HC.LP.HF",31,"shecan",16,1,31,23,16
"mp.HC.LP.HF.31.shecan.2","mp","HC.LP.HF",31,"shecan",19,1,23,23,19
"mp.HC.LP.HF.31.symalb.1","mp","HC.LP.HF",31,"symalb",16,1,NA,NA,16
"mp.HC.LP.HF.32.popbal.1","mp","HC.LP.HF",32,"popbal",19,1,NA,NA,NA
"mp.HC.LP.HF.32.shecan.1","mp","HC.LP.HF",32,"shecan",NA,0,NA,NA,NA
"mp.HC.LP.HF.32.spibet.1","mp","HC.LP.HF",32,"spibet",13,1,16,13,13
"mp.HC.LP.HF.32.vibedu.1","mp","HC.LP.HF",32,"vibedu",12,1,NA,16,12
"mp.HC.LP.HF.33.riblac.1","mp","HC.LP.HF",33,"riblac",10,1,NA,34,10
"mp.HC.LP.HF.33.rubpar.1","mp","HC.LP.HF",33,"rubpar",23,1,NA,23,23
"mp.HC.LP.HF.33.rubpar.2","mp","HC.LP.HF",33,"rubpar",25,1,NA,NA,25
"mp.HC.LP.HF.33.vacmem.1","mp","HC.LP.HF",33,"vacmem",NA,0,NA,NA,NA
"mp.HC.LP.HF.34.alninc.1","mp","HC.LP.HF",34,"alninc",13,1,19,16,16
"mp.HC.LP.HF.34.alninc.2","mp","HC.LP.HF",34,"alninc",13,1,13,13,13
"mp.HC.LP.HF.34.corsto.1","mp","HC.LP.HF",34,"corsto",10,1,12,10,10
"mp.HC.LP.HF.34.sorsco.1","mp","HC.LP.HF",34,"sorsco",16,1,42,16,16
"mp.HC.LP.HF.35.acegla.1","mp","HC.LP.HF",35,"acegla",NA,0,NA,NA,NA
"mp.HC.LP.HF.35.alnvir.1","mp","HC.LP.HF",35,"alnvir",34,1,NA,NA,45
"mp.HC.LP.HF.35.rubpar.1","mp","HC.LP.HF",35,"rubpar",26,1,NA,28,26
"mp.HC.LP.HF.35.spipyr.1","mp","HC.LP.HF",35,"spipyr",17,1,NA,23,17
"mp.HC.LP.HF.36.amealn.1","mp","HC.LP.HF",36,"amealn",10,1,26,17,10
"mp.HC.LP.HF.36.corsto.1","mp","HC.LP.HF",36,"corsto",10,1,13,13,13
"mp.HC.LP.HF.36.spipyr.1","mp","HC.LP.HF",36,"spipyr",13,1,NA,13,13
"mp.HC.LP.HF.36.symalb.1","mp","HC.LP.HF",36,"symalb",17,1,NA,NA,17
"mp.HC.LP.HF.37.poptre.1","mp","HC.LP.HF",37,"poptre",31,1,NA,NA,NA
"mp.HC.LP.HF.37.rubpar.1","mp","HC.LP.HF",37,"rubpar",34,1,NA,34,34
"mp.HC.LP.HF.37.spibet.1","mp","HC.LP.HF",37,"spibet",7,1,7,7,7
"mp.HC.LP.HF.37.spipyr.1","mp","HC.LP.HF",37,"spipyr",13,1,42,13,13
"mp.HC.LP.HF.38.riblac.1","mp","HC.LP.HF",38,"riblac",0,1,NA,37,0
"mp.HC.LP.HF.38.samrac.1","mp","HC.LP.HF",38,"samrac",16,1,NA,NA,NA
"mp.HC.LP.HF.38.samrac.2","mp","HC.LP.HF",38,"samrac",12,1,16,12,12
"mp.HC.LP.HF.38.sorsco.1","mp","HC.LP.HF",38,"sorsco",16,1,NA,NA,NA
"mp.HC.LP.HF.39.menfer.1","mp","HC.LP.HF",39,"menfer",37,1,NA,60,37
"mp.HC.LP.HF.39.popbal.1","mp","HC.LP.HF",39,"popbal",20,1,NA,NA,NA
"mp.HC.LP.HF.39.popbal.2","mp","HC.LP.HF",39,"popbal",20,1,20,20,20
"mp.HC.LP.HF.39.rhoalb.1","mp","HC.LP.HF",39,"rhoalb",12,1,12,12,12
"mp.HC.LP.HF.4.acegla.1","mp","HC.LP.HF",4,"acegla",NA,0,NA,NA,NA
"mp.HC.LP.HF.4.amealn.1","mp","HC.LP.HF",4,"amealn",NA,0,NA,NA,NA
"mp.HC.LP.HF.4.popbal.1","mp","HC.LP.HF",4,"popbal",17,1,NA,NA,NA
"mp.HC.LP.HF.4.riblac.1","mp","HC.LP.HF",4,"riblac",26,1,NA,NA,26
"mp.HC.LP.HF.40.alnvir.1","mp","HC.LP.HF",40,"alnvir",28,1,31,28,28
"mp.HC.LP.HF.40.amealn.1","mp","HC.LP.HF",40,"amealn",10,1,10,10,10
"mp.HC.LP.HF.40.rubpar.1","mp","HC.LP.HF",40,"rubpar",19,1,NA,NA,19
"mp.HC.LP.HF.40.vibedu.1","mp","HC.LP.HF",40,"vibedu",10,1,12,10,10
"mp.HC.LP.HF.41.amealn.1","mp","HC.LP.HF",41,"amealn",5,1,NA,NA,5
"mp.HC.LP.HF.5.acegla.1","mp","HC.LP.HF",5,"acegla",NA,0,NA,NA,NA
"mp.HC.LP.HF.5.riblac.1","mp","HC.LP.HF",5,"riblac",26,1,NA,NA,26
"mp.HC.LP.HF.5.samrac.1","mp","HC.LP.HF",5,"samrac",23,1,NA,26,26
"mp.HC.LP.HF.5.spipyr.1","mp","HC.LP.HF",5,"spipyr",17,1,20,17,17
"mp.HC.LP.HF.6.acegla.1","mp","HC.LP.HF",6,"acegla",20,1,NA,NA,26
"mp.HC.LP.HF.6.menfer.1","mp","HC.LP.HF",6,"menfer",23,1,NA,26,23
"mp.HC.LP.HF.6.samrac.1","mp","HC.LP.HF",6,"samrac",17,1,23,17,17
"mp.HC.LP.HF.6.sorsco.1","mp","HC.LP.HF",6,"sorsco",20,1,NA,NA,NA
"mp.HC.LP.HF.7.riblac.1","mp","HC.LP.HF",7,"riblac",31,1,45,42,31
"mp.HC.LP.HF.7.sorsco.1","mp","HC.LP.HF",7,"sorsco",16,1,16,16,16
"mp.HC.LP.HF.7.symalb.1","mp","HC.LP.HF",7,"symalb",13,1,NA,28,13
"mp.HC.LP.HF.7.vacmem.1","mp","HC.LP.HF",7,"vacmem",16,1,NA,NA,16
"mp.HC.LP.HF.8.corsto.1","mp","HC.LP.HF",8,"corsto",17,1,NA,17,17
"mp.HC.LP.HF.8.poptre.1","mp","HC.LP.HF",8,"poptre",23,1,23,23,23
"mp.HC.LP.HF.8.riblac.1","mp","HC.LP.HF",8,"riblac",31,1,78,42,31
"mp.HC.LP.HF.8.shecan.1","mp","HC.LP.HF",8,"shecan",19,1,31,23,23
"mp.HC.LP.HF.9.acegla.1","mp","HC.LP.HF",9,"acegla",NA,0,NA,NA,NA
"mp.HC.LP.HF.9.riblac.1","mp","HC.LP.HF",9,"riblac",20,1,NA,37,23
"mp.HC.LP.HF.9.spibet.1","mp","HC.LP.HF",9,"spibet",17,1,NA,NA,17
"mp.HC.LP.HF.9.spipyr.1","mp","HC.LP.HF",9,"spipyr",17,1,NA,NA,17
"mp.HC.LP.LF.1.amealn.1","mp","HC.LP.LF",1,"amealn",13,1,20,20,13
"mp.HC.LP.LF.1.rhoalb.1","mp","HC.LP.LF",1,"rhoalb",30,1,NA,NA,NA
"mp.HC.LP.LF.1.samrac.1","mp","HC.LP.LF",1,"samrac",33,1,NA,61,61
"mp.HC.LP.LF.1.spibet.1","mp","HC.LP.LF",1,"spibet",NA,0,NA,NA,NA
"mp.HC.LP.LF.10.alninc.1","mp","HC.LP.LF",10,"alninc",30,1,33,33,33
"mp.HC.LP.LF.10.rhoalb.1","mp","HC.LP.LF",10,"rhoalb",20,1,24,24,24
"mp.HC.LP.LF.10.shecan.1","mp","HC.LP.LF",10,"shecan",24,1,54,33,24
"mp.HC.LP.LF.10.spibet.1","mp","HC.LP.LF",10,"spibet",20,1,NA,NA,20
"mp.HC.LP.LF.11.alninc.1","mp","HC.LP.LF",11,"alninc",33,1,NA,39,33
"mp.HC.LP.LF.11.poptre.1","mp","HC.LP.LF",11,"poptre",33,1,33,33,33
"mp.HC.LP.LF.11.rubpar.1","mp","HC.LP.LF",11,"rubpar",30,1,39,30,30
"mp.HC.LP.LF.11.samrac.1","mp","HC.LP.LF",11,"samrac",30,1,33,30,30
"mp.HC.LP.LF.12.menfer.1","mp","HC.LP.LF",12,"menfer",33,1,NA,58,33
"mp.HC.LP.LF.12.poptre.1","mp","HC.LP.LF",12,"poptre",58,1,NA,76,58
"mp.HC.LP.LF.12.symalb.1","mp","HC.LP.LF",12,"symalb",16,1,NA,58,16
"mp.HC.LP.LF.12.vibedu.1","mp","HC.LP.LF",12,"vibedu",9,1,16,12,9
"mp.HC.LP.LF.13.acegla.1","mp","HC.LP.LF",13,"acegla",7,1,NA,55,49
"mp.HC.LP.LF.13.alnvir.1","mp","HC.LP.LF",13,"alnvir",61,1,61,61,61
"mp.HC.LP.LF.13.rubpar.1","mp","HC.LP.LF",13,"rubpar",33,1,58,33,33
"mp.HC.LP.LF.13.vibedu.1","mp","HC.LP.LF",13,"vibedu",13,1,20,16,13
"mp.HC.LP.LF.14.amealn.1","mp","HC.LP.LF",14,"amealn",30,1,36,36,30
"mp.HC.LP.LF.14.amealn.2","mp","HC.LP.LF",14,"amealn",13,1,16,13,13
"mp.HC.LP.LF.14.popbal.1","mp","HC.LP.LF",14,"popbal",24,1,NA,NA,NA
"mp.HC.LP.LF.14.riblac.1","mp","HC.LP.LF",14,"riblac",0,1,NA,NA,NA
"mp.HC.LP.LF.15.corsto.1","mp","HC.LP.LF",15,"corsto",20,1,20,20,20
"mp.HC.LP.LF.15.riblac.1","mp","HC.LP.LF",15,"riblac",NA,0,NA,NA,NA
"mp.HC.LP.LF.15.rubpar.1","mp","HC.LP.LF",15,"rubpar",39,1,NA,NA,39
"mp.HC.LP.LF.15.vacmem.1","mp","HC.LP.LF",15,"vacmem",33,1,NA,NA,33
"mp.HC.LP.LF.16.acegla.1","mp","HC.LP.LF",16,"acegla",33,1,NA,NA,NA
"mp.HC.LP.LF.16.alninc.1","mp","HC.LP.LF",16,"alninc",24,1,NA,NA,NA
"mp.HC.LP.LF.16.corsto.1","mp","HC.LP.LF",16,"corsto",20,1,20,20,20
"mp.HC.LP.LF.16.spibet.1","mp","HC.LP.LF",16,"spibet",NA,0,NA,NA,NA
"mp.HC.LP.LF.17.rhoalb.1","mp","HC.LP.LF",17,"rhoalb",0,1,NA,NA,0
"mp.HC.LP.LF.17.riblac.1","mp","HC.LP.LF",17,"riblac",43,1,64,64,43
"mp.HC.LP.LF.17.rubpar.1","mp","HC.LP.LF",17,"rubpar",33,1,NA,36,33
"mp.HC.LP.LF.17.rubpar.2","mp","HC.LP.LF",17,"rubpar",33,1,NA,NA,33
"mp.HC.LP.LF.18.alninc.1","mp","HC.LP.LF",18,"alninc",16,1,24,24,24
"mp.HC.LP.LF.18.corsto.1","mp","HC.LP.LF",18,"corsto",12,1,12,12,12
"mp.HC.LP.LF.18.symalb.1","mp","HC.LP.LF",18,"symalb",30,1,NA,67,30
"mp.HC.LP.LF.18.vibedu.1","mp","HC.LP.LF",18,"vibedu",12,1,NA,NA,12
"mp.HC.LP.LF.19.popbal.1","mp","HC.LP.LF",19,"popbal",33,1,33,33,33
"mp.HC.LP.LF.19.poptre.1","mp","HC.LP.LF",19,"poptre",NA,0,NA,NA,NA
"mp.HC.LP.LF.19.rhoalb.1","mp","HC.LP.LF",19,"rhoalb",30,1,NA,NA,49
"mp.HC.LP.LF.19.shecan.1","mp","HC.LP.LF",19,"shecan",33,1,36,33,33
"mp.HC.LP.LF.2.acegla.1","mp","HC.LP.LF",2,"acegla",36,1,NA,NA,NA
"mp.HC.LP.LF.2.alnvir.1","mp","HC.LP.LF",2,"alnvir",36,1,39,39,39
"mp.HC.LP.LF.2.samrac.1","mp","HC.LP.LF",2,"samrac",42,1,42,42,42
"mp.HC.LP.LF.2.shecan.1","mp","HC.LP.LF",2,"shecan",30,1,39,33,30
"mp.HC.LP.LF.20.alnvir.1","mp","HC.LP.LF",20,"alnvir",43,1,52,49,43
"mp.HC.LP.LF.20.loninv.1","mp","HC.LP.LF",20,"loninv",33,1,NA,NA,33
"mp.HC.LP.LF.20.rubpar.1","mp","HC.LP.LF",20,"rubpar",30,1,36,30,30
"mp.HC.LP.LF.20.sorsco.1","mp","HC.LP.LF",20,"sorsco",20,1,NA,NA,NA
"mp.HC.LP.LF.21.corsto.1","mp","HC.LP.LF",21,"corsto",20,1,20,20,20
