"lab2","population","treatment","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"mp.HC.HP.HF.14.amealn.1","mp","HC.HP.HF",14,"amealn",5,1,5,5,5
"mp.HC.HP.HF.14.spibet.1","mp","HC.HP.HF",14,"spibet",10,1,40,10,10
"mp.HC.HP.HF.14.spipyr.1","mp","HC.HP.HF",14,"spipyr",16,1,NA,NA,16
"mp.HC.HP.HF.15.alnvir.1","mp","HC.HP.HF",15,"alnvir",19,1,19,19,19
"mp.HC.HP.HF.15.poptre.1","mp","HC.HP.HF",15,"poptre",34,1,NA,NA,34
"mp.HC.HP.HF.15.rhoalb.1","mp","HC.HP.HF",15,"rhoalb",13,1,NA,NA,17
"mp.HC.HP.HF.15.spibet.1","mp","HC.HP.HF",15,"spibet",10,1,NA,NA,13
"mp.HC.HP.HF.16.loninv.1","mp","HC.HP.HF",16,"loninv",7,1,NA,NA,NA
"mp.HC.HP.HF.16.poptre.1","mp","HC.HP.HF",16,"poptre",28,1,31,28,28
"mp.HC.HP.HF.16.samrac.1","mp","HC.HP.HF",16,"samrac",16,1,NA,NA,NA
"mp.HC.HP.HF.16.spibet.1","mp","HC.HP.HF",16,"spibet",13,1,13,13,13
"mp.HC.HP.HF.17.acegla.1","mp","HC.HP.HF",17,"acegla",16,1,NA,NA,22
"mp.HC.HP.HF.17.alninc.1","mp","HC.HP.HF",17,"alninc",22,1,25,25,22
"mp.HC.HP.HF.17.alninc.2","mp","HC.HP.HF",17,"alninc",22,1,25,22,22
"mp.HC.HP.HF.17.samrac.1","mp","HC.HP.HF",17,"samrac",10,1,NA,NA,NA
"mp.HC.HP.HF.18.poptre.1","mp","HC.HP.HF",18,"poptre",31,1,37,37,37
"mp.HC.HP.HF.18.samrac.1","mp","HC.HP.HF",18,"samrac",19,1,NA,NA,NA
"mp.HC.HP.HF.18.spipyr.1","mp","HC.HP.HF",18,"spipyr",12,1,NA,26,16
"mp.HC.HP.HF.18.vibedu.1","mp","HC.HP.HF",18,"vibedu",7,1,26,12,7
"mp.HC.HP.HF.19.shecan.1","mp","HC.HP.HF",19,"shecan",16,1,23,23,16
"mp.HC.HP.HF.19.symalb.1","mp","HC.HP.HF",19,"symalb",10,1,NA,13,10
"mp.HC.HP.HF.19.vacmem.1","mp","HC.HP.HF",19,"vacmem",13,1,NA,NA,13
"mp.HC.HP.HF.19.vacmem.2","mp","HC.HP.HF",19,"vacmem",10,1,NA,28,10
"mp.HC.HP.HF.2.acegla.1","mp","HC.HP.HF",2,"acegla",NA,0,NA,NA,NA
"mp.HC.HP.HF.2.menfer.1","mp","HC.HP.HF",2,"menfer",31,1,34,31,31
"mp.HC.HP.HF.2.menfer.2","mp","HC.HP.HF",2,"menfer",26,1,84,42,26
"mp.HC.HP.HF.2.rhoalb.1","mp","HC.HP.HF",2,"rhoalb",7,1,19,19,13
"mp.HC.HP.HF.20.menfer.1","mp","HC.HP.HF",20,"menfer",26,1,NA,NA,26
"mp.HC.HP.HF.20.rhoalb.1","mp","HC.HP.HF",20,"rhoalb",7,1,26,19,7
"mp.HC.HP.HF.20.shecan.1","mp","HC.HP.HF",20,"shecan",13,1,23,19,13
"mp.HC.HP.HF.20.spipyr.1","mp","HC.HP.HF",20,"spipyr",13,1,NA,26,13
"mp.HC.HP.HF.21.acegla.1","mp","HC.HP.HF",21,"acegla",23,1,NA,45,42
"mp.HC.HP.HF.21.sorsco.1","mp","HC.HP.HF",21,"sorsco",13,1,NA,NA,NA
"mp.HC.HP.HF.21.spipyr.1","mp","HC.HP.HF",21,"spipyr",13,1,13,13,13
"mp.HC.HP.HF.21.vibedu.1","mp","HC.HP.HF",21,"vibedu",10,1,NA,13,13
"mp.HC.HP.HF.22.loninv.1","mp","HC.HP.HF",22,"loninv",10,1,19,19,19
"mp.HC.HP.HF.22.samrac.1","mp","HC.HP.HF",22,"samrac",10,1,23,16,16
"mp.HC.HP.HF.22.sorsco.1","mp","HC.HP.HF",22,"sorsco",10,1,NA,NA,NA
"mp.HC.HP.HF.22.spipyr.1","mp","HC.HP.HF",22,"spipyr",16,1,NA,NA,26
"mp.HC.HP.HF.23.loninv.1","mp","HC.HP.HF",23,"loninv",10,1,NA,NA,13
"mp.HC.HP.HF.23.riblac.1","mp","HC.HP.HF",23,"riblac",19,1,NA,NA,19
"mp.HC.HP.HF.23.rubpar.1","mp","HC.HP.HF",23,"rubpar",19,1,NA,19,19
"mp.HC.HP.HF.23.symalb.1","mp","HC.HP.HF",23,"symalb",10,1,NA,13,10
"mp.HC.HP.HF.24.poptre.1","mp","HC.HP.HF",24,"poptre",42,1,NA,45,45
"mp.HC.HP.HF.24.riblac.1","mp","HC.HP.HF",24,"riblac",12,1,NA,NA,12
"mp.HC.HP.HF.24.shecan.1","mp","HC.HP.HF",24,"shecan",19,1,31,22,19
"mp.HC.HP.HF.24.vibedu.1","mp","HC.HP.HF",24,"vibedu",10,1,NA,NA,10
"mp.HC.HP.HF.25.acegla.1","mp","HC.HP.HF",25,"acegla",34,1,NA,NA,NA
"mp.HC.HP.HF.25.acegla.2","mp","HC.HP.HF",25,"acegla",NA,0,NA,NA,NA
"mp.HC.HP.HF.25.popbal.1","mp","HC.HP.HF",25,"popbal",16,1,19,19,16
"mp.HC.HP.HF.25.samrac.1","mp","HC.HP.HF",25,"samrac",13,1,NA,48,48
"mp.HC.HP.HF.26.loninv.1","mp","HC.HP.HF",26,"loninv",10,1,NA,NA,NA
"mp.HC.HP.HF.26.riblac.1","mp","HC.HP.HF",26,"riblac",10,1,28,22,10
"mp.HC.HP.HF.26.sorsco.1","mp","HC.HP.HF",26,"sorsco",13,1,NA,13,13
"mp.HC.HP.HF.26.vibedu.1","mp","HC.HP.HF",26,"vibedu",13,1,19,13,13
"mp.HC.HP.HF.27.amealn.1","mp","HC.HP.HF",27,"amealn",4,1,10,4,4
"mp.HC.HP.HF.27.rubpar.1","mp","HC.HP.HF",27,"rubpar",19,1,NA,23,19
"mp.HC.HP.HF.27.shecan.1","mp","HC.HP.HF",27,"shecan",16,1,19,19,16
"mp.HC.HP.HF.27.vacmem.1","mp","HC.HP.HF",27,"vacmem",10,1,NA,NA,10
"mp.HC.HP.HF.28.alninc.1","mp","HC.HP.HF",28,"alninc",22,1,22,22,22
"mp.HC.HP.HF.28.amealn.1","mp","HC.HP.HF",28,"amealn",7,1,13,7,7
"mp.HC.HP.HF.28.spibet.1","mp","HC.HP.HF",28,"spibet",10,1,10,10,10
"mp.HC.HP.HF.28.spipyr.1","mp","HC.HP.HF",28,"spipyr",13,1,NA,19,13
"mp.HC.HP.HF.29.amealn.1","mp","HC.HP.HF",29,"amealn",10,1,NA,22,12
