"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"59","mp.HC.HP.HF.22.sorsco.1","mp","HC","HP","HF",22,"sorsco",10,1,NA,NA,NA
"60","mp.HC.HP.HF.22.spipyr.1","mp","HC","HP","HF",22,"spipyr",16,1,NA,NA,26
"61","mp.HC.HP.HF.23.loninv.1","mp","HC","HP","HF",23,"loninv",10,1,NA,NA,13
"62","mp.HC.HP.HF.23.riblac.1","mp","HC","HP","HF",23,"riblac",19,1,NA,NA,19
"63","mp.HC.HP.HF.23.rubpar.1","mp","HC","HP","HF",23,"rubpar",19,1,NA,19,19
"64","mp.HC.HP.HF.23.symalb.1","mp","HC","HP","HF",23,"symalb",10,1,NA,13,10
"65","mp.HC.HP.HF.24.poptre.1","mp","HC","HP","HF",24,"poptre",42,1,NA,45,45
"66","mp.HC.HP.HF.24.riblac.1","mp","HC","HP","HF",24,"riblac",12,1,NA,NA,12
"67","mp.HC.HP.HF.24.shecan.1","mp","HC","HP","HF",24,"shecan",19,1,31,22,19
"68","mp.HC.HP.HF.24.vibedu.1","mp","HC","HP","HF",24,"vibedu",10,1,NA,NA,10
"69","mp.HC.HP.HF.25.acegla.1","mp","HC","HP","HF",25,"acegla",34,1,NA,NA,NA
"70","mp.HC.HP.HF.25.acegla.2","mp","HC","HP","HF",25,"acegla",NA,0,NA,NA,NA
"71","mp.HC.HP.HF.25.popbal.1","mp","HC","HP","HF",25,"popbal",16,1,19,19,16
"72","mp.HC.HP.HF.25.samrac.1","mp","HC","HP","HF",25,"samrac",13,1,NA,48,48
"73","mp.HC.HP.HF.26.loninv.1","mp","HC","HP","HF",26,"loninv",10,1,NA,NA,NA
"74","mp.HC.HP.HF.26.riblac.1","mp","HC","HP","HF",26,"riblac",10,1,28,22,10
"75","mp.HC.HP.HF.26.sorsco.1","mp","HC","HP","HF",26,"sorsco",13,1,NA,13,13
"76","mp.HC.HP.HF.26.vibedu.1","mp","HC","HP","HF",26,"vibedu",13,1,19,13,13
"77","mp.HC.HP.HF.27.amealn.1","mp","HC","HP","HF",27,"amealn",4,1,10,4,4
"78","mp.HC.HP.HF.27.rubpar.1","mp","HC","HP","HF",27,"rubpar",19,1,NA,23,19
"79","mp.HC.HP.HF.27.shecan.1","mp","HC","HP","HF",27,"shecan",15,1,19,19,15
"80","mp.HC.HP.HF.27.vacmem.1","mp","HC","HP","HF",27,"vacmem",8,1,NA,NA,8
"81","mp.HC.HP.HF.28.alninc.1","mp","HC","HP","HF",28,"alninc",22,1,22,22,22
"82","mp.HC.HP.HF.28.amealn.1","mp","HC","HP","HF",28,"amealn",7,1,13,7,7
"83","mp.HC.HP.HF.28.spibet.1","mp","HC","HP","HF",28,"spibet",10,1,10,10,10
"84","mp.HC.HP.HF.28.spipyr.1","mp","HC","HP","HF",28,"spipyr",13,1,NA,19,13
"85","mp.HC.HP.HF.29.amealn.1","mp","HC","HP","HF",29,"amealn",10,1,NA,22,12
"86","mp.HC.HP.HF.29.poptre.1","mp","HC","HP","HF",29,"poptre",40,1,NA,NA,NA
"87","mp.HC.HP.HF.29.sorsco.1","mp","HC","HP","HF",29,"sorsco",12,1,NA,NA,NA
"88","mp.HC.HP.HF.29.vibedu.1","mp","HC","HP","HF",29,"vibedu",10,1,NA,19,10
"89","mp.HC.HP.HF.3.alnvir.1","mp","HC","HP","HF",3,"alnvir",28,1,NA,42,28
"90","mp.HC.HP.HF.3.spibet.1","mp","HC","HP","HF",3,"spibet",13,1,13,13,13
"91","mp.HC.HP.HF.3.spibet.2","mp","HC","HP","HF",3,"spibet",13,1,NA,NA,13
"92","mp.HC.HP.HF.30.loninv.1","mp","HC","HP","HF",30,"loninv",10,1,NA,13,13
"93","mp.HC.HP.HF.30.menfer.1","mp","HC","HP","HF",30,"menfer",23,1,NA,NA,23
"94","mp.HC.HP.HF.30.popbal.1","mp","HC","HP","HF",30,"popbal",16,1,NA,NA,NA
"95","mp.HC.HP.HF.30.sorsco.1","mp","HC","HP","HF",30,"sorsco",10,1,NA,13,10
"96","mp.HC.HP.HF.31.acegla.1","mp","HC","HP","HF",31,"acegla",23,1,NA,NA,28
"97","mp.HC.HP.HF.31.amealn.1","mp","HC","HP","HF",31,"amealn",10,1,19,10,10
"98","mp.HC.HP.HF.31.shecan.1","mp","HC","HP","HF",31,"shecan",13,1,31,26,13
"99","mp.HC.HP.HF.31.shecan.2","mp","HC","HP","HF",31,"shecan",19,1,23,23,19
"100","mp.HC.HP.HF.32.menfer.1","mp","HC","HP","HF",32,"menfer",23,1,NA,NA,23
"101","mp.HC.HP.HF.32.spibet.1","mp","HC","HP","HF",32,"spibet",10,1,NA,10,10
"102","mp.HC.HP.HF.32.vacmem.1","mp","HC","HP","HF",32,"vacmem",15,1,NA,NA,15
"103","mp.HC.HP.HF.32.vibedu.1","mp","HC","HP","HF",32,"vibedu",10,1,NA,12,10
"104","mp.HC.HP.HF.33.alninc.1","mp","HC","HP","HF",33,"alninc",10,1,15,15,15
"105","mp.HC.HP.HF.33.alninc.2","mp","HC","HP","HF",33,"alninc",15,1,25,19,15
"106","mp.HC.HP.HF.33.amealn.1","mp","HC","HP","HF",33,"amealn",7,1,10,7,7
