"","lab2","population","chill","photo","force","flask","species","tbb","nl","latbb80","latbb50","latbb1"
"620","mp.HC.LP.LF.40.spipyr.1","mp","HC","LP","LF",40,"spipyr",33,1,NA,NA,NA
"621","mp.HC.LP.LF.5.poptre.1","mp","HC","LP","LF",5,"poptre",36,1,NA,NA,NA
"622","mp.HC.LP.LF.5.shecan.1","mp","HC","LP","LF",5,"shecan",30,1,39,39,30
"623","mp.HC.LP.LF.5.shecan.2","mp","HC","LP","LF",5,"shecan",24,1,70,33,24
"624","mp.HC.LP.LF.5.symalb.1","mp","HC","LP","LF",5,"symalb",19,1,33,27,19
"625","mp.HC.LP.LF.6.menfer.1","mp","HC","LP","LF",6,"menfer",36,1,NA,NA,36
"626","mp.HC.LP.LF.6.sorsco.1","mp","HC","LP","LF",6,"sorsco",20,1,NA,NA,NA
"627","mp.HC.LP.LF.6.spipyr.1","mp","HC","LP","LF",6,"spipyr",20,1,NA,NA,20
"628","mp.HC.LP.LF.6.spipyr.2","mp","HC","LP","LF",6,"spipyr",24,1,NA,NA,24
"629","mp.HC.LP.LF.7.menfer.1","mp","HC","LP","LF",7,"menfer",49,1,NA,NA,49
"630","mp.HC.LP.LF.7.popbal.1","mp","HC","LP","LF",7,"popbal",30,1,NA,NA,NA
"631","mp.HC.LP.LF.7.sorsco.1","mp","HC","LP","LF",7,"sorsco",24,1,NA,30,24
"632","mp.HC.LP.LF.7.vacmem.1","mp","HC","LP","LF",7,"vacmem",36,1,NA,NA,36
"633","mp.HC.LP.LF.8.loninv.1","mp","HC","LP","LF",8,"loninv",19,1,NA,NA,36
"634","mp.HC.LP.LF.8.riblac.1","mp","HC","LP","LF",8,"riblac",NA,0,NA,NA,NA
"635","mp.HC.LP.LF.8.shecan.1","mp","HC","LP","LF",8,"shecan",27,1,39,36,27
"636","mp.HC.LP.LF.8.spipyr.1","mp","HC","LP","LF",8,"spipyr",19,1,NA,NA,19
"637","mp.HC.LP.LF.9.amealn.1","mp","HC","LP","LF",9,"amealn",10,1,NA,13,13
"638","mp.HC.LP.LF.9.loninv.1","mp","HC","LP","LF",9,"loninv",19,1,NA,NA,NA
"639","mp.HC.LP.LF.9.spibet.1","mp","HC","LP","LF",9,"spibet",43,1,NA,NA,43
"640","mp.HC.LP.LF.9.spipyr.1","mp","HC","LP","LF",9,"spipyr",19,1,NA,NA,19
"641","mp.LC.HP.HF.1.amealn.1","mp","LC","HP","HF",1,"amealn",19,1,23,23,23
"642","mp.LC.HP.HF.1.menfer.1","mp","LC","HP","HF",1,"menfer",25,1,27,27,25
"643","mp.LC.HP.HF.1.poptre.1","mp","LC","HP","HF",1,"poptre",46,1,NA,NA,NA
"644","mp.LC.HP.HF.1.symalb.1","mp","LC","HP","HF",1,"symalb",31,1,NA,NA,31
"645","mp.LC.HP.HF.10.alnvir.1","mp","LC","HP","HF",10,"alnvir",21,1,NA,NA,15
"646","mp.LC.HP.HF.10.loninv.1","mp","LC","HP","HF",10,"loninv",23,1,NA,NA,23
"647","mp.LC.HP.HF.10.menfer.1","mp","LC","HP","HF",10,"menfer",31,1,NA,NA,31
"648","mp.LC.HP.HF.10.spipyr.1","mp","LC","HP","HF",10,"spipyr",19,1,27,27,19
"649","mp.LC.HP.HF.11.acegla.1","mp","LC","HP","HF",11,"acegla",NA,0,NA,NA,NA
"650","mp.LC.HP.HF.11.alninc.1","mp","LC","HP","HF",11,"alninc",27,1,27,27,27
"651","mp.LC.HP.HF.11.amealn.1","mp","LC","HP","HF",11,"amealn",22,1,31,31,31
"652","mp.LC.HP.HF.11.vacmem.1","mp","LC","HP","HF",11,"vacmem",15,1,NA,19,17
"653","mp.LC.HP.HF.12.poptre.1","mp","LC","HP","HF",12,"poptre",29,1,37,33,29
"654","mp.LC.HP.HF.12.riblac.1","mp","LC","HP","HF",12,"riblac",19,1,NA,NA,19
"655","mp.LC.HP.HF.12.sorsco.1","mp","LC","HP","HF",12,"sorsco",19,1,NA,NA,27
"656","mp.LC.HP.HF.12.spipyr.1","mp","LC","HP","HF",12,"spipyr",29,1,29,29,29
"657","mp.LC.HP.HF.13.alninc.1","mp","LC","HP","HF",13,"alninc",31,1,36,36,31
"658","mp.LC.HP.HF.13.loninv.1","mp","LC","HP","HF",13,"loninv",40,1,NA,NA,40
"659","mp.LC.HP.HF.13.popbal.1","mp","LC","HP","HF",13,"popbal",23,1,36,27,23
"660","mp.LC.HP.HF.13.vacmem.1","mp","LC","HP","HF",13,"vacmem",19,1,NA,NA,19
"661","mp.LC.HP.HF.14.rhoalb.1","mp","LC","HP","HF",14,"rhoalb",15,1,NA,NA,22
"662","mp.LC.HP.HF.14.sorsco.1","mp","LC","HP","HF",14,"sorsco",17,1,NA,22,17
"663","mp.LC.HP.HF.14.symalb.1","mp","LC","HP","HF",14,"symalb",19,1,19,19,19
"664","mp.LC.HP.HF.14.vibedu.1","mp","LC","HP","HF",14,"vibedu",22,1,NA,NA,22
"665","mp.LC.HP.HF.15.amealn.1","mp","LC","HP","HF",15,"amealn",25,1,NA,31,25
"666","mp.LC.HP.HF.15.menfer.1","mp","LC","HP","HF",15,"menfer",NA,0,NA,NA,NA
"667","mp.LC.HP.HF.15.rhoalb.1","mp","LC","HP","HF",15,"rhoalb",19,1,NA,NA,NA
"668","mp.LC.HP.HF.15.samrac.1","mp","LC","HP","HF",15,"samrac",31,1,NA,NA,NA
"669","mp.LC.HP.HF.16.corsto.1","mp","LC","HP","HF",16,"corsto",9,1,10,10,10
"670","mp.LC.HP.HF.16.rhoalb.1","mp","LC","HP","HF",16,"rhoalb",19,1,NA,NA,NA
"671","mp.LC.HP.HF.16.riblac.1","mp","LC","HP","HF",16,"riblac",17,1,NA,NA,19
"672","mp.LC.HP.HF.16.spibet.1","mp","LC","HP","HF",16,"spibet",23,1,NA,NA,NA
"673","mp.LC.HP.HF.17.alninc.1","mp","LC","HP","HF",17,"alninc",25,1,31,31,25
"674","mp.LC.HP.HF.17.amealn.1","mp","LC","HP","HF",17,"amealn",19,1,34,27,22
"675","mp.LC.HP.HF.17.sorsco.1","mp","LC","HP","HF",17,"sorsco",22,1,NA,22,22
"676","mp.LC.HP.HF.17.vibedu.1","mp","LC","HP","HF",17,"vibedu",15,1,NA,NA,NA
"677","mp.LC.HP.HF.18.loninv.1","mp","LC","HP","HF",18,"loninv",NA,0,NA,NA,NA
"678","mp.LC.HP.HF.18.riblac.1","mp","LC","HP","HF",18,"riblac",15,1,NA,NA,15
"679","mp.LC.HP.HF.18.spipyr.1","mp","LC","HP","HF",18,"spipyr",15,1,31,23,17
"680","mp.LC.HP.HF.18.spipyr.2","mp","LC","HP","HF",18,"spipyr",17,1,NA,19,17
"681","mp.LC.HP.HF.19.acegla.1","mp","LC","HP","HF",19,"acegla",NA,0,NA,NA,NA
"682","mp.LC.HP.HF.19.alnvir.1","mp","LC","HP","HF",19,"alnvir",49,1,53,53,49
"683","mp.LC.HP.HF.19.alnvir.2","mp","LC","HP","HF",19,"alnvir",57,1,63,63,63
"684","mp.LC.HP.HF.19.samrac.1","mp","LC","HP","HF",19,"samrac",46,1,NA,49,49
"685","mp.LC.HP.HF.2.loninv.1","mp","LC","HP","HF",2,"loninv",10,1,NA,NA,10
"686","mp.LC.HP.HF.2.menfer.1","mp","LC","HP","HF",2,"menfer",40,1,NA,NA,40
"687","mp.LC.HP.HF.2.poptre.1","mp","LC","HP","HF",2,"poptre",22,1,25,25,22
"688","mp.LC.HP.HF.2.spibet.1","mp","LC","HP","HF",2,"spibet",15,1,25,17,15
"689","mp.LC.HP.HF.20.acegla.1","mp","LC","HP","HF",20,"acegla",NA,0,NA,NA,NA
"690","mp.LC.HP.HF.20.rhoalb.1","mp","LC","HP","HF",20,"rhoalb",15,1,NA,NA,19
"691","mp.LC.HP.HF.20.riblac.1","mp","LC","HP","HF",20,"riblac",19,1,NA,NA,19
"692","mp.LC.HP.HF.20.sorsco.1","mp","LC","HP","HF",20,"sorsco",NA,0,NA,NA,NA
"693","mp.LC.HP.HF.20.spibet.1","mp","LC","HP","HF",20,"spibet",37,1,NA,NA,37
"694","mp.LC.HP.HF.21.acegla.1","mp","LC","HP","HF",21,"acegla",42,1,NA,NA,42
"695","mp.LC.HP.HF.21.menfer.1","mp","LC","HP","HF",21,"menfer",23,1,27,23,23
"696","mp.LC.HP.HF.21.rhoalb.1","mp","LC","HP","HF",21,"rhoalb",16,1,NA,19,19
"697","mp.LC.HP.HF.21.spipyr.1","mp","LC","HP","HF",21,"spipyr",15,1,NA,15,15
"698","mp.LC.HP.HF.22.acegla.1","mp","LC","HP","HF",22,"acegla",57,1,NA,NA,57
"699","mp.LC.HP.HF.22.alninc.1","mp","LC","HP","HF",22,"alninc",36,1,42,36,36
"700","mp.LC.HP.HF.22.alninc.2","mp","LC","HP","HF",22,"alninc",21,1,25,21,21
"701","mp.LC.HP.HF.22.spibet.1","mp","LC","HP","HF",22,"spibet",16,1,25,21,21
"702","mp.LC.HP.HF.23.alnvir.1","mp","LC","HP","HF",23,"alnvir",49,1,NA,NA,60
"703","mp.LC.HP.HF.23.popbal.1","mp","LC","HP","HF",23,"popbal",27,1,31,27,27
"704","mp.LC.HP.HF.23.rhoalb.1","mp","LC","HP","HF",23,"rhoalb",16,1,NA,NA,19
"705","mp.LC.HP.HF.23.vacmem.1","mp","LC","HP","HF",23,"vacmem",25,1,NA,53,25
"706","mp.LC.HP.HF.24.poptre.1","mp","LC","HP","HF",24,"poptre",53,1,NA,NA,NA
"707","mp.LC.HP.HF.24.sorsco.1","mp","LC","HP","HF",24,"sorsco",19,1,NA,NA,NA
"708","mp.LC.HP.HF.24.symalb.1","mp","LC","HP","HF",24,"symalb",40,1,NA,NA,40
"709","mp.LC.HP.HF.24.vacmem.1","mp","LC","HP","HF",24,"vacmem",19,1,NA,NA,19
"710","mp.LC.HP.HF.25.alninc.1","mp","LC","HP","HF",25,"alninc",27,1,31,27,27
"711","mp.LC.HP.HF.25.amealn.1","mp","LC","HP","HF",25,"amealn",16,1,25,23,16
"712","mp.LC.HP.HF.25.corsto.1","mp","LC","HP","HF",25,"corsto",15,1,27,16,15
"713","mp.LC.HP.HF.25.symalb.1","mp","LC","HP","HF",25,"symalb",33,1,NA,NA,33
"714","mp.LC.HP.HF.26.acegla.1","mp","LC","HP","HF",26,"acegla",23,1,NA,NA,NA
"715","mp.LC.HP.HF.26.alnvir.1","mp","LC","HP","HF",26,"alnvir",39,1,66,66,39
"716","mp.LC.HP.HF.26.vibedu.1","mp","LC","HP","HF",26,"vibedu",21,1,NA,NA,NA
"717","mp.LC.HP.HF.26.vibedu.2","mp","LC","HP","HF",26,"vibedu",19,1,NA,NA,NA
"718","mp.LC.HP.HF.27.alninc.1","mp","LC","HP","HF",27,"alninc",23,1,42,36,34
"719","mp.LC.HP.HF.27.amealn.1","mp","LC","HP","HF",27,"amealn",19,1,27,25,19
"720","mp.LC.HP.HF.27.samrac.1","mp","LC","HP","HF",27,"samrac",78,1,NA,78,78
"721","mp.LC.HP.HF.27.spibet.1","mp","LC","HP","HF",27,"spibet",23,1,NA,34,23
"722","mp.LC.HP.HF.28.acegla.1","mp","LC","HP","HF",28,"acegla",53,1,NA,NA,53
"723","mp.LC.HP.HF.28.corsto.1","mp","LC","HP","HF",28,"corsto",9,1,NA,25,15
"724","mp.LC.HP.HF.28.popbal.1","mp","LC","HP","HF",28,"popbal",25,1,46,34,25
"725","mp.LC.HP.HF.28.vacmem.1","mp","LC","HP","HF",28,"vacmem",10,1,NA,23,10
"726","mp.LC.HP.HF.29.rubpar.1","mp","LC","HP","HF",29,"rubpar",23,1,23,23,23
"727","mp.LC.HP.HF.29.shecan.1","mp","LC","HP","HF",29,"shecan",23,1,27,25,23
"728","mp.LC.HP.HF.29.shecan.2","mp","LC","HP","HF",29,"shecan",19,1,42,23,19
"729","mp.LC.HP.HF.29.symalb.1","mp","LC","HP","HF",29,"symalb",40,1,NA,NA,40
"730","mp.LC.HP.HF.3.amealn.1","mp","LC","HP","HF",3,"amealn",9,1,25,19,15
"731","mp.LC.HP.HF.3.popbal.1","mp","LC","HP","HF",3,"popbal",31,1,NA,34,31
"732","mp.LC.HP.HF.3.poptre.1","mp","LC","HP","HF",3,"poptre",NA,0,NA,NA,NA
"733","mp.LC.HP.HF.3.sorsco.1","mp","LC","HP","HF",3,"sorsco",17,1,NA,NA,NA
"734","mp.LC.HP.HF.30.rubpar.1","mp","LC","HP","HF",30,"rubpar",17,1,NA,NA,25
"735","mp.LC.HP.HF.30.samrac.1","mp","LC","HP","HF",30,"samrac",9,1,15,15,15
"736","mp.LC.HP.HF.30.symalb.1","mp","LC","HP","HF",30,"symalb",31,1,NA,31,31
"737","mp.LC.HP.HF.30.symalb.2","mp","LC","HP","HF",30,"symalb",19,1,NA,NA,19
"738","mp.LC.HP.HF.31.corsto.1","mp","LC","HP","HF",31,"corsto",19,1,NA,NA,23
"739","mp.LC.HP.HF.31.riblac.1","mp","LC","HP","HF",31,"riblac",19,1,NA,NA,19
"740","mp.LC.HP.HF.31.vacmem.1","mp","LC","HP","HF",31,"vacmem",19,1,NA,NA,19
"741","mp.LC.HP.HF.31.vacmem.2","mp","LC","HP","HF",31,"vacmem",31,1,NA,NA,31
"742","mp.LC.HP.HF.32.alninc.1","mp","LC","HP","HF",32,"alninc",31,1,53,33,33
"743","mp.LC.HP.HF.32.poptre.1","mp","LC","HP","HF",32,"poptre",42,1,NA,NA,NA
"744","mp.LC.HP.HF.32.sorsco.1","mp","LC","HP","HF",32,"sorsco",18,1,NA,NA,NA
"745","mp.LC.HP.HF.32.spibet.1","mp","LC","HP","HF",32,"spibet",37,1,49,37,37
"746","mp.LC.HP.HF.32.spibet.2","mp","LC","HP","HF",32,"spibet",23,1,NA,33,23
"747","mp.LC.HP.HF.33.amealn.1","mp","LC","HP","HF",33,"amealn",22,1,25,22,22
"748","mp.LC.HP.HF.33.menfer.1","mp","LC","HP","HF",33,"menfer",40,1,NA,NA,40
"749","mp.LC.HP.HF.33.popbal.1","mp","LC","HP","HF",33,"popbal",25,1,31,29,25
"750","mp.LC.HP.HF.33.vacmem.1","mp","LC","HP","HF",33,"vacmem",17,1,NA,27,17
"751","mp.LC.HP.HF.34.menfer.1","mp","LC","HP","HF",34,"menfer",37,1,37,37,37
"752","mp.LC.HP.HF.34.popbal.1","mp","LC","HP","HF",34,"popbal",27,1,29,27,27
"753","mp.LC.HP.HF.34.rubpar.1","mp","LC","HP","HF",34,"rubpar",27,1,NA,31,27
"754","mp.LC.HP.HF.34.shecan.1","mp","LC","HP","HF",34,"shecan",23,1,29,27,23
"755","mp.LC.HP.HF.35.loninv.1","mp","LC","HP","HF",35,"loninv",42,1,NA,NA,42
"756","mp.LC.HP.HF.35.popbal.1","mp","LC","HP","HF",35,"popbal",21,1,NA,78,31
"757","mp.LC.HP.HF.35.spibet.1","mp","LC","HP","HF",35,"spibet",16,1,23,16,16
"758","mp.LC.HP.HF.35.vibedu.1","mp","LC","HP","HF",35,"vibedu",21,1,NA,NA,NA
"759","mp.LC.HP.HF.36.alnvir.1","mp","LC","HP","HF",36,"alnvir",39,1,NA,NA,42
"760","mp.LC.HP.HF.36.menfer.1","mp","LC","HP","HF",36,"menfer",39,1,NA,NA,39
"761","mp.LC.HP.HF.36.poptre.1","mp","LC","HP","HF",36,"poptre",27,1,29,29,27
"762","mp.LC.HP.HF.36.rubpar.1","mp","LC","HP","HF",36,"rubpar",17,1,NA,NA,17
"763","mp.LC.HP.HF.37.alnvir.1","mp","LC","HP","HF",37,"alnvir",17,1,NA,NA,NA
"764","mp.LC.HP.HF.37.loninv.1","mp","LC","HP","HF",37,"loninv",39,1,NA,NA,NA
"765","mp.LC.HP.HF.37.poptre.1","mp","LC","HP","HF",37,"poptre",25,1,25,25,25
"766","mp.LC.HP.HF.37.vibedu.1","mp","LC","HP","HF",37,"vibedu",17,1,NA,NA,19
"767","mp.LC.HP.HF.38.popbal.1","mp","LC","HP","HF",38,"popbal",29,1,33,29,29
"768","mp.LC.HP.HF.38.rubpar.1","mp","LC","HP","HF",38,"rubpar",23,1,23,23,23
"769","mp.LC.HP.HF.38.samrac.1","mp","LC","HP","HF",38,"samrac",53,1,78,53,53
"770","mp.LC.HP.HF.38.shecan.1","mp","LC","HP","HF",38,"shecan",23,1,NA,NA,23
"771","mp.LC.HP.HF.39.acegla.1","mp","LC","HP","HF",39,"acegla",57,1,NA,57,57
"772","mp.LC.HP.HF.39.corsto.1","mp","LC","HP","HF",39,"corsto",15,1,23,17,15
"773","mp.LC.HP.HF.39.samrac.1","mp","LC","HP","HF",39,"samrac",40,1,NA,NA,NA
"774","mp.LC.HP.HF.39.shecan.1","mp","LC","HP","HF",39,"shecan",21,1,NA,NA,15
"775","mp.LC.HP.HF.4.corsto.1","mp","LC","HP","HF",4,"corsto",17,1,23,19,17
"776","mp.LC.HP.HF.4.shecan.1","mp","LC","HP","HF",4,"shecan",15,1,31,29,23
"777","mp.LC.HP.HF.4.shecan.2","mp","LC","HP","HF",4,"shecan",19,1,25,23,19
"778","mp.LC.HP.HF.4.symalb.1","mp","LC","HP","HF",4,"symalb",36,1,NA,NA,36
"779","mp.LC.HP.HF.40.corsto.1","mp","LC","HP","HF",40,"corsto",15,1,21,17,15
"780","mp.LC.HP.HF.40.rhoalb.1","mp","LC","HP","HF",40,"rhoalb",19,1,NA,NA,19
"781","mp.LC.HP.HF.40.rubpar.1","mp","LC","HP","HF",40,"rubpar",21,1,NA,23,21
"782","mp.LC.HP.HF.40.shecan.1","mp","LC","HP","HF",40,"shecan",23,1,NA,NA,23
"783","mp.LC.HP.HF.5.alnvir.1","mp","LC","HP","HF",5,"alnvir",53,1,NA,57,53
"784","mp.LC.HP.HF.5.loninv.1","mp","LC","HP","HF",5,"loninv",22,1,NA,NA,NA
"785","mp.LC.HP.HF.5.sorsco.1","mp","LC","HP","HF",5,"sorsco",22,1,34,29,29
"786","mp.LC.HP.HF.5.spipyr.1","mp","LC","HP","HF",5,"spipyr",29,1,NA,NA,29
"787","mp.LC.HP.HF.6.corsto.1","mp","LC","HP","HF",6,"corsto",10,1,15,15,15
"788","mp.LC.HP.HF.6.loninv.1","mp","LC","HP","HF",6,"loninv",15,1,NA,40,15
"789","mp.LC.HP.HF.6.riblac.1","mp","LC","HP","HF",6,"riblac",15,1,NA,23,15
"790","mp.LC.HP.HF.6.rubpar.1","mp","LC","HP","HF",6,"rubpar",23,1,27,23,23
"791","mp.LC.HP.HF.7.riblac.1","mp","LC","HP","HF",7,"riblac",15,1,NA,36,19
"792","mp.LC.HP.HF.7.rubpar.1","mp","LC","HP","HF",7,"rubpar",22,1,NA,57,27
"793","mp.LC.HP.HF.7.spipyr.1","mp","LC","HP","HF",7,"spipyr",15,1,NA,17,15
"794","mp.LC.HP.HF.7.vibedu.1","mp","LC","HP","HF",7,"vibedu",17,1,NA,NA,17
"795","mp.LC.HP.HF.8.rhoalb.1","mp","LC","HP","HF",8,"rhoalb",18,1,NA,NA,22
"796","mp.LC.HP.HF.8.riblac.1","mp","LC","HP","HF",8,"riblac",31,1,NA,NA,31
"797","mp.LC.HP.HF.8.spibet.1","mp","LC","HP","HF",8,"spibet",19,1,27,19,19
"798","mp.LC.HP.HF.8.spipyr.1","mp","LC","HP","HF",8,"spipyr",19,1,22,19,19
"799","mp.LC.HP.HF.9.samrac.1","mp","LC","HP","HF",9,"samrac",19,1,NA,27,27
"800","mp.LC.HP.HF.9.samrac.2","mp","LC","HP","HF",9,"samrac",36,1,NA,46,36
"801","mp.LC.HP.HF.9.sorsco.1","mp","LC","HP","HF",9,"sorsco",19,1,NA,NA,27
"802","mp.LC.HP.HF.9.vibedu.1","mp","LC","HP","HF",9,"vibedu",19,1,NA,NA,22
"803","mp.LC.HP.LF.1.amealn.1","mp","LC","HP","LF",1,"amealn",15,1,28,19,15
"804","mp.LC.HP.LF.1.menfer.1","mp","LC","HP","LF",1,"menfer",NA,0,NA,NA,NA
"805","mp.LC.HP.LF.1.poptre.1","mp","LC","HP","LF",1,"poptre",75,1,NA,NA,NA
"806","mp.LC.HP.LF.1.rhoalb.1","mp","LC","HP","LF",1,"rhoalb",22,1,NA,NA,22
"807","mp.LC.HP.LF.10.acegla.1","mp","LC","HP","LF",10,"acegla",81,1,NA,NA,81
"808","mp.LC.HP.LF.10.shecan.1","mp","LC","HP","LF",10,"shecan",28,1,57,45,28
"809","mp.LC.HP.LF.10.spipyr.1","mp","LC","HP","LF",10,"spipyr",28,1,43,39,28
"810","mp.LC.HP.LF.10.vacmem.1","mp","LC","HP","LF",10,"vacmem",NA,0,NA,NA,NA
"811","mp.LC.HP.LF.11.menfer.1","mp","LC","HP","LF",11,"menfer",NA,0,NA,NA,NA
"812","mp.LC.HP.LF.11.shecan.1","mp","LC","HP","LF",11,"shecan",43,1,78,55,43
"813","mp.LC.HP.LF.11.spipyr.1","mp","LC","HP","LF",11,"spipyr",39,1,NA,NA,39
"814","mp.LC.HP.LF.11.vacmem.1","mp","LC","HP","LF",11,"vacmem",24,1,NA,NA,24
"815","mp.LC.HP.LF.12.amealn.1","mp","LC","HP","LF",12,"amealn",28,1,45,43,28
"816","mp.LC.HP.LF.12.amealn.2","mp","LC","HP","LF",12,"amealn",28,1,45,37,28
"817","mp.LC.HP.LF.12.sorsco.1","mp","LC","HP","LF",12,"sorsco",26,1,NA,28,26
"818","mp.LC.HP.LF.12.sorsco.2","mp","LC","HP","LF",12,"sorsco",37,1,NA,49,37
"819","mp.LC.HP.LF.13.acegla.1","mp","LC","HP","LF",13,"acegla",NA,0,NA,NA,NA
"820","mp.LC.HP.LF.13.alninc.1","mp","LC","HP","LF",13,"alninc",43,1,53,48,45
"821","mp.LC.HP.LF.13.shecan.1","mp","LC","HP","LF",13,"shecan",39,1,NA,NA,39
"822","mp.LC.HP.LF.13.spipyr.1","mp","LC","HP","LF",13,"spipyr",57,1,NA,NA,57
"823","mp.LC.HP.LF.14.acegla.1","mp","LC","HP","LF",14,"acegla",17,1,NA,NA,17
"824","mp.LC.HP.LF.14.loninv.1","mp","LC","HP","LF",14,"loninv",NA,0,NA,NA,NA
"825","mp.LC.HP.LF.14.menfer.1","mp","LC","HP","LF",14,"menfer",NA,0,NA,NA,NA
"826","mp.LC.HP.LF.14.poptre.1","mp","LC","HP","LF",14,"poptre",78,1,NA,NA,NA
"827","mp.LC.HP.LF.15.alninc.1","mp","LC","HP","LF",15,"alninc",39,1,39,39,39
"828","mp.LC.HP.LF.15.rubpar.1","mp","LC","HP","LF",15,"rubpar",36,1,NA,NA,36
"829","mp.LC.HP.LF.15.spipyr.1","mp","LC","HP","LF",15,"spipyr",43,1,43,43,43
"830","mp.LC.HP.LF.15.vibedu.1","mp","LC","HP","LF",15,"vibedu",36,1,NA,NA,36
"831","mp.LC.HP.LF.16.riblac.1","mp","LC","HP","LF",16,"riblac",NA,0,NA,NA,NA
"832","mp.LC.HP.LF.16.symalb.1","mp","LC","HP","LF",16,"symalb",45,1,NA,NA,45
"833","mp.LC.HP.LF.16.vacmem.1","mp","LC","HP","LF",16,"vacmem",22,1,NA,NA,28
"834","mp.LC.HP.LF.16.vibedu.1","mp","LC","HP","LF",16,"vibedu",32,1,NA,NA,37
"835","mp.LC.HP.LF.17.alnvir.1","mp","LC","HP","LF",17,"alnvir",69,1,NA,NA,69
"836","mp.LC.HP.LF.17.popbal.1","mp","LC","HP","LF",17,"popbal",38,1,55,43,38
"837","mp.LC.HP.LF.17.spibet.1","mp","LC","HP","LF",17,"spibet",38,1,NA,NA,NA
"838","mp.LC.HP.LF.17.symalb.1","mp","LC","HP","LF",17,"symalb",69,1,NA,NA,69
"839","mp.LC.HP.LF.18.alninc.1","mp","LC","HP","LF",18,"alninc",49,1,NA,NA,NA
"840","mp.LC.HP.LF.18.popbal.1","mp","LC","HP","LF",18,"popbal",43,1,49,49,49
"841","mp.LC.HP.LF.18.samrac.1","mp","LC","HP","LF",18,"samrac",60,1,81,60,60
"842","mp.LC.HP.LF.18.samrac.2","mp","LC","HP","LF",18,"samrac",60,1,NA,NA,60
"843","mp.LC.HP.LF.19.corsto.1","mp","LC","HP","LF",19,"corsto",17,1,43,24,19
"844","mp.LC.HP.LF.19.rhoalb.1","mp","LC","HP","LF",19,"rhoalb",24,1,26,24,24
"845","mp.LC.HP.LF.19.vibedu.1","mp","LC","HP","LF",19,"vibedu",31,1,NA,NA,NA
"846","mp.LC.HP.LF.19.vibedu.2","mp","LC","HP","LF",19,"vibedu",39,1,NA,NA,39
"847","mp.LC.HP.LF.2.popbal.1","mp","LC","HP","LF",2,"popbal",38,1,55,43,38
"848","mp.LC.HP.LF.2.rhoalb.1","mp","LC","HP","LF",2,"rhoalb",21,1,24,21,21
"849","mp.LC.HP.LF.2.samrac.1","mp","LC","HP","LF",2,"samrac",55,1,78,78,78
"850","mp.LC.HP.LF.2.vibedu.1","mp","LC","HP","LF",2,"vibedu",38,1,39,38,38
"851","mp.LC.HP.LF.20.corsto.1","mp","LC","HP","LF",20,"corsto",24,1,34,32,28
"852","mp.LC.HP.LF.20.corsto.2","mp","LC","HP","LF",20,"corsto",22,1,NA,NA,24
"853","mp.LC.HP.LF.20.rhoalb.1","mp","LC","HP","LF",20,"rhoalb",22,1,NA,NA,NA
"854","mp.LC.HP.LF.20.vibedu.1","mp","LC","HP","LF",20,"vibedu",28,1,NA,NA,28
"855","mp.LC.HP.LF.21.alnvir.1","mp","LC","HP","LF",21,"alnvir",NA,0,NA,NA,NA
"856","mp.LC.HP.LF.21.rhoalb.1","mp","LC","HP","LF",21,"rhoalb",24,1,57,57,48
"857","mp.LC.HP.LF.21.rubpar.1","mp","LC","HP","LF",21,"rubpar",26,1,26,26,26
"858","mp.LC.HP.LF.21.symalb.1","mp","LC","HP","LF",21,"symalb",57,1,NA,NA,57
"859","mp.LC.HP.LF.22.alnvir.1","mp","LC","HP","LF",22,"alnvir",17,1,NA,NA,66
"860","mp.LC.HP.LF.22.alnvir.2","mp","LC","HP","LF",22,"alnvir",66,1,72,66,66
"861","mp.LC.HP.LF.22.samrac.1","mp","LC","HP","LF",22,"samrac",66,1,NA,66,66
"862","mp.LC.HP.LF.22.vacmem.1","mp","LC","HP","LF",22,"vacmem",32,1,NA,NA,NA
"863","mp.LC.HP.LF.23.loninv.1","mp","LC","HP","LF",23,"loninv",NA,0,NA,NA,NA
"864","mp.LC.HP.LF.23.poptre.1","mp","LC","HP","LF",23,"poptre",NA,0,NA,NA,NA
"865","mp.LC.HP.LF.23.rubpar.1","mp","LC","HP","LF",23,"rubpar",39,1,NA,NA,39
"866","mp.LC.HP.LF.23.sorsco.1","mp","LC","HP","LF",23,"sorsco",22,1,NA,24,22
"867","mp.LC.HP.LF.24.amealn.1","mp","LC","HP","LF",24,"amealn",45,1,NA,63,45
"868","mp.LC.HP.LF.24.popbal.1","mp","LC","HP","LF",24,"popbal",43,1,NA,NA,NA
"869","mp.LC.HP.LF.24.sorsco.1","mp","LC","HP","LF",24,"sorsco",NA,0,NA,NA,NA
"870","mp.LC.HP.LF.24.sorsco.2","mp","LC","HP","LF",24,"sorsco",NA,0,NA,NA,NA
"871","mp.LC.HP.LF.25.corsto.1","mp","LC","HP","LF",25,"corsto",19,1,43,28,22
"872","mp.LC.HP.LF.25.loninv.1","mp","LC","HP","LF",25,"loninv",24,1,NA,NA,24
"873","mp.LC.HP.LF.25.spibet.1","mp","LC","HP","LF",25,"spibet",34,1,NA,39,34
"874","mp.LC.HP.LF.25.spipyr.1","mp","LC","HP","LF",25,"spipyr",74,1,NA,NA,74
"875","mp.LC.HP.LF.26.alnvir.1","mp","LC","HP","LF",26,"alnvir",66,1,NA,NA,66
