day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.l,percent4.l,
16,sm,LHH,8,7,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,3,7,riblac,0,100,1,0,100,NA,NA,NA,NA,14,NA,NA,NA,
16,mp,LHH,NA,8,rhoalb,0,80,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,8,riblac,1,100,1,1,90,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,8,spibet,1,100,1,1,50,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,8,spipyr,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,8,betpap,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,8,corsto,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,8,riblac,0,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,8,riblac,0,100,2,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,6,9,samrac,3,100,3,3,70,1,30,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,9,samrac,NA,NA,2,1,100,NA,NA,NA,NA,NA,DEAD,NA,NA,
16,mp,LHH,NA,9,sorsco,0,100,1,0,100,NA,NA,NA,NA,5,NA,NA,NA,
16,mp,LHH,NA,9,vibedu,3,100,1,3,75,1,25,NA,NA,8,NA,NA,NA,
16,sm,LHH,NA,9,poptre,1,100,1,1,40,0,60,NA,NA,8,NA,NA,NA,
16,sm,LHH,NA,9,rubpar,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,A,9,vacmem,3,100,NA,1,20,0,80,NA,NA,NA,NA,NA,NA,
16,sm,LHH,B,9,vacmem,3,80,NA,3,20,1,20,0,60,NA,NA,NA,NA,
16,mp,LHH,NA,10,alnvir,3,100,2,3,70,7,5,1,25,13,NA,NA,NA,
16,mp,LHH,NA,10,loninv,3,100,1,3,20,1,80,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,10,menfer,1,25,4,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,10,spipyr,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,10,riblac,0,100,1,0,95,9,5,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,10,rupar,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,10,symalb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,NA,10,symalb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,11,acegla,3,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,11,alninc,3,100,3,1,80,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,11,amealn,3,100,2,1,70,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,11,vacmem,7,10,13,1,40,NA,NA,NA,NA,NA,NA,3,80,
16,sm,LHH,,11,rubpar,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,,11,spipyr,1,100,1,0,100,NA,NA,NA,NA,10,NA,NA,NA,
16,sm,LHH, oc21,11,vacmem,3,80,NA,7,10,3,40,1,50,NA,NA,1,20,
16,mp,LHH,Feg,12,poptre,0,100,2,0,100,NA,NA,NA,NA,18,NA,NA,NA,
16,mp,LHH,Bsf,12,riblac,3,100,14,3,60,1,30,0,10,NA,NA,NA,NA,
16,mp,LHH,14,12,sorsco,0,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,mp,LHH,2,12,spipyr,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
16,sm,LHH,,12,corsto,9,100,1,9,25,3,50,1,25,NA,NA,NA,NA,
16,sm,LHH,,12,loninv,3,80,6,3,10,3,40,0,50,23,NA,1,20,
16,sm,LHH,,12,poptre,0,100,8,0,100,NA,NA,NA,NA,5,NA,NA,NA,
16,sm,LHH,,12,symalb,,NA,NA,1,70,0,30,NA,NA,NA,NA,NA,NA,
16,mp,LHH,NA,13,alninc,1,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
