site,abbrev,asorscoignment,flask
sm,vacmem,HC_HP_HF,T7-oct21
sm,amealn,HC_HP_HF,T8-6
sm,betpap,HC_HP_HF,T8-6
sm,poptre,HC_HP_HF,T8-8
sm,sorsco,HC_HP_HF,T8-12
sm,acegla,HC_HP_HF,T9--13
sm,sorsco,HC_HP_HF,T9--11
sm,spipyr,HC_HP_HF,T9--b10
sm,amealn,HC_HP_LF,T1-7
sm,corsto,HC_HP_LF,T1-10
sm,symalb,HC_HP_LF,T1-cl
sm,sorsco,HC_HP_LF,T1-12
sm,amealn,HC_HP_LF,T10-7
sm,rubpar,HC_HP_LF,T10-w10
sm,vibedu,HC_HP_LF,T10-A
sm,shecan,HC_HP_LF,T10-12
sm,betpap,HC_HP_LF,T11-5
sm,riblac,HC_HP_LF,T11-11
sm,sorsco,HC_HP_LF,T11
sm,vibedu,HC_HP_LF,T11
sm,popbal,HC_HP_LF,T12-8
sm,poptre,HC_HP_LF,T12-B
sm,shecan,HC_HP_LF,T12-10
sm,amealn,HC_HP_LF,T13--7
sm,acegla,HC_HP_LF,T13--10
sm,betpap,HC_HP_LF,T13--A
sm,sorsco,HC_HP_LF,T13--12
sm,amealn,HC_HP_LF,T14-CLA
sm,amealn,HC_HP_LF,T14-6
sm,betpap,HC_HP_LF,T14-10
sm,poptre,HC_HP_LF,T14-8
sm,alnvir,HC_HP_LF,T15-2
sm,corsto,HC_HP_LF,T15-8
sm,menfer,HC_HP_LF,T15-2
sm,vibedu,HC_HP_LF,T15-9
sm,alnvir,HC_HP_LF,T16-6
sm,loninv,HC_HP_LF,T16-10
sm,loninv,HC_HP_LF,T16-11
sm,vacmem,HC_HP_LF,T16-oct21
sm,acegla,HC_HP_LF,T17--2
sm,alnvir,HC_HP_LF,T17--2
sm,spipyr,HC_HP_LF,T17--area w/ 9
sm,vacmem,HC_HP_LF,T17--oct21
sm,acegla,HC_HP_LF,T18--14
sm,corsto,HC_HP_LF,T18--4
sm,symalb,HC_HP_LF,T18--cl
sm,vacmem,HC_HP_LF,T18--oct21
sm,amealn,HC_HP_LF,T19-3
sm,spibet,HC_HP_LF,T19-A32
sm,sorsco,HC_HP_LF,T19-1
sm,shecan,HC_HP_LF,T19-7
sm,acegla,HC_HP_LF,T2--7
sm,alninc,HC_HP_LF,T2--2
sm,alninc,HC_HP_LF,T2--3
sm,loninv,HC_HP_LF,T2--11
sm,acegla,HC_HP_LF,T20--14
sm,popbal,HC_HP_LF,T20--3
sm,popbal,HC_HP_LF,T20--8
sm,symalb,HC_HP_LF,T20--2
sm,acegla,HC_HP_LF,T21--11
sm,popbal,HC_HP_LF,T21--8
sm,spibet,HC_HP_LF,T21--A8
