site,abbrev,asorscoignment,flask
sm,alnvir,LC_HP_HF,T16--10
sm,corsto,LC_HP_HF,T16--11
sm,vacmem,LC_HP_HF,T16-oct21
sm,popbal,LC_HP_HF,T17-8
sm,spibet,LC_HP_HF,T17
sm,symalb,LC_HP_HF,T17
sm,vibedu,LC_HP_HF,T17-3
sm,amealn,LC_HP_HF,T18-A
sm,loninv,LC_HP_HF,T18-5
sm,symalb,LC_HP_HF,T18-cl
sm,sorsco,LC_HP_HF,T18-A
sm,acegla,LC_HP_HF,T19--13
sm,poptre,LC_HP_HF,T19--D
sm,riblac,LC_HP_HF,T19--8
sm,spibet,LC_HP_HF,T19--A9
sm,loninv,LC_HP_HF,T2-7
sm,popbal,LC_HP_HF,T2-A
sm,riblac,LC_HP_HF,T2-3B
sm,shecan,LC_HP_HF,T2-13
sm,alnvir,LC_HP_HF,T20-6
sm,betpap,LC_HP_HF,T20-10
sm,rubpar,LC_HP_HF,T20-cl
sm,sorsco,LC_HP_HF,T20-11
sm,amealn,LC_HP_HF,T21-7
sm,amealn,LC_HP_HF,T21-3
sm,alninc,LC_HP_HF,T21-5
sm,menfer,LC_HP_HF,T21-#3
sm,corsto,LC_HP_HF,T22-A
sm,riblac,LC_HP_HF,T22-3
sm,spibet,LC_HP_HF,T22
sm,spipyr,LC_HP_HF,T22
Shecan10,,,
sm,alnvir,LC_HP_HF,T23-2
sm,betpap,LC_HP_HF,T23-10
sm,menfer,LC_HP_HF,T23-8
sm,acegla,LC_HP_HF,T24--10
sm,alnvir,LC_HP_HF,T24--19
sm,loninv,LC_HP_HF,T24--11
sm,sorsco,LC_HP_HF,T24--12
sm,poptre,LC_HP_HF,T25-C
sm,symalb,LC_HP_HF,T25
sm,spipyr,LC_HP_HF,T25
ShecanA,,,
sm,acegla,LC_HP_HF,T26--2
sm,acegla,LC_HP_HF,T26--9
sm,loninv,LC_HP_HF,T26--11
sm,poptre,LC_HP_HF,T26--D
sm,alninc,LC_HP_HF,T27--1
sm,poptre,LC_HP_HF,T27--C
sm,symalb,LC_HP_HF,T27--2
sm,acegla,LC_HP_HF,T28--9
sm,alninc,LC_HP_HF,T28--2
sm,alnvir,LC_HP_HF,T28--19
sm,poptre,LC_HP_HF,T28--D
sm,shecan,LC_HP_HF,T29-7
sm,spipyr,LC_HP_HF,T29
sm,spipyr,LC_HP_HF,T29
sm,shecan,LC_HP_HF,T29-11
sm,amealn,LC_HP_HF,T3-6
sm,corsto,LC_HP_HF,T3-10
sm,menfer,LC_HP_HF,T3-9
sm,spibet,LC_HP_HF,T3-A27
Shecan12,,,
sm,popbal,LC_HP_HF,T30-8
sm,rubpar,LC_HP_HF,T30
sm,spipyr,LC_HP_HF,T30
sm,vacmem,LC_HP_HF,T30-oct21
sm,amealn,LC_HP_HF,T31-7
sm,alninc,LC_HP_HF,T31-5
sm,betpap,LC_HP_HF,T31-A
sm,loninv,LC_HP_HF,T31-?
sm,alnvir,LC_HP_HF,T32-6
sm,betpap,LC_HP_HF,T32-10
sm,popbal,LC_HP_HF,T32-onionB
sm,rubpar,LC_HP_HF,T32-w/10
sm,acegla,LC_HP_HF,T33-13
sm,spipyr,LC_HP_HF,T33--b12
sm,vibedu,LC_HP_HF,T33--4
sm,amealn,LC_HP_HF,T34-1
sm,alninc,LC_HP_HF,T34-5
sm,riblac,LC_HP_HF,T34-7
sm,vibedu,LC_HP_HF,T34-2
sm,betpap,LC_HP_HF,T35-6
sm,menfer,LC_HP_HF,T35-2
sm,menfer,LC_HP_HF,T35-11
sm,symalb,LC_HP_HF,T35
sm,acegla,LC_HP_HF,T36--13
sm,sorsco,LC_HP_HF,T36--11
sm,vibedu,LC_HP_HF,T36--11
sm,vibedu,LC_HP_HF,T36--2
sm,poptre,LC_HP_HF,T37--b
sm,symalb,LC_HP_HF,T37
sm,vibedu,LC_HP_HF,T37-3
sm,symalb,LC_HP_HF,T38
sm,symalb,LC_HP_HF,T38
sm,spibet,LC_HP_HF,T38
sm,vacmem,LC_HP_HF,T38-oct21
sm,betpap,LC_HP_HF,T39-6
sm,menfer,LC_HP_HF,T39-#3
sm,sorsco,LC_HP_HF,T39-11
sm,vacmem,LC_HP_HF,T39-oct25
sm,menfer,LC_HP_HF,T4-1
sm,popbal,LC_HP_HF,T4-8
sm,spibet,LC_HP_HF,T4
sm,spibet,LC_HP_HF,T4
sm,amealn,LC_HP_HF,T40-5
sm,alninc,LC_HP_HF,T40-1
sm,symalb,LC_HP_HF,T40-cl
sm,vibedu,LC_HP_HF,T40-4
sm,betpap,LC_HP_HF,T5-6
sm,loninv,LC_HP_HF,T5-5
sm,spibet,LC_HP_HF,T5-A36
sm,vibedu,LC_HP_HF,T5-2
sm,alnvir,LC_HP_HF,T6-2
sm,symalb,LC_HP_HF,T6-cl
sm,sorsco,LC_HP_HF,T6-11
sm,vacmem,LC_HP_HF,T6-8
sm,corsto,LC_HP_HF,T7-8-straight
sm,corsto,LC_HP_HF,T7-A
sm,popbal,LC_HP_HF,T7-8
sm,riblac,LC_HP_HF,T7-3
sm,betpap,LC_HP_HF,T8-6
sm,corsto,LC_HP_HF,T8-10
sm,riblac,LC_HP_HF,T8-12(skinny
sm,riblac,LC_HP_HF,T8-9
sm,poptre,LC_HP_HF,T9-8
sm,rubpar,LC_HP_HF,T9-w10
sm,vacmem,LC_HP_HF,T9-oct21
sm,vacmem,LC_HP_HF,T9-oct21
sm,acegla,LC_HP_LF,T1--11
sm,corsto,LC_HP_LF,T1--11
sm,spibet,LC_HP_LF,T1--A7
sm,riblac,LC_HP_LF,T10-3b
sm,riblac,LC_HP_LF,T10-3b
sm,shecan,LC_HP_LF,T10-8
sm,amealn,LC_HP_LF,T11--7
sm,acegla,LC_HP_LF,T11--9
sm,alninc,LC_HP_LF,T11--4
sm,symalb,LC_HP_LF,T11--3
sm,amealn,LC_HP_LF,T12-1
sm,alninc,LC_HP_LF,T12--1
sm,sorsco,LC_HP_LF,T12-7
sm,vibedu,LC_HP_LF,T12-4
sm,betpap,LC_HP_LF,T13-10
sm,menfer,LC_HP_LF,T13-2
sm,rubpar,LC_HP_LF,T13-cl
sm,sorsco,LC_HP_LF,T13-1
sm,acegla,LC_HP_LF,T14--7
sm,alnvir,LC_HP_LF,T14--10
sm,rubpar,LC_HP_LF,T14-cl
sm,rubpar,LC_HP_LF,T14-cl
sm,corsto,LC_HP_LF,T15-A
sm,poptre,LC_HP_LF,T15-C
sm,symalb,LC_HP_LF,T15
sm,symalb,LC_HP_LF,T15
sm,alnvir,LC_HP_LF,T16-2
sm,riblac,LC_HP_LF,T16-2
sm,sorsco,LC_HP_LF,T16-11
sm,vibedu,LC_HP_LF,T16-9
sm,amealn,LC_HP_LF,T17-7
sm,loninv,LC_HP_LF,T17-10
sm,riblac,LC_HP_LF,T17-3
sm,vibedu,LC_HP_LF,T17-10
Shecan10,,,
sm,acegla,LC_HP_LF,T18 --2
sm,acegla,LC_HP_LF,T18--9
sm,alninc,LC_HP_LF,T18--2
sm,sorsco,LC_HP_LF,T18--12
sm,loninv,LC_HP_LF,T19-11
sm,riblac,LC_HP_LF,T19-3
sm,spibet,LC_HP_LF,T19
sm,spipyr,LC_HP_LF,T19
sm,amealn,LC_HP_LF,T2-3
sm,poptre,LC_HP_LF,T2-10
sm,spibet,LC_HP_LF,T2-A29
Shecan7,,,
sm,poptre,LC_HP_LF,T20-D
sm,rubpar,LC_HP_LF,T20
sm,spibet,LC_HP_LF,T20
sm,spipyr,LC_HP_LF,T20
sm,amealn,LC_HP_LF,T21-3
sm,alnvir,LC_HP_LF,T21-2
sm,sorsco,LC_HP_LF,T21-12
sm,corsto,LC_HP_LF,T22-A
sm,loninv,LC_HP_LF,T22-7
sm,menfer,LC_HP_LF,T22-13
sm,popbal,LC_HP_LF,T22-8
sm,riblac,LC_HP_LF,T23-3b
sm,spibet,LC_HP_LF,T23
sm,spipyr,LC_HP_LF,T23
sm,vibedu,LC_HP_LF,T23-3
sm,betpap,LC_HP_LF,T24-10
sm,sorsco,LC_HP_LF,T24
sm,sorsco,LC_HP_LF,T24
sm,vibedu,LC_HP_LF,T24
sm,popbal,LC_HP_LF,T25-8
sm,poptre,LC_HP_LF,T25-B
sm,spibet,LC_HP_LF,T25
sm,Shecan,LC_HP_LF,T25
sm,amealn,LC_HP_LF,T26-7
sm,betpap,LC_HP_LF,T26-6
sm,rubpar,LC_HP_LF,T26-w10
sm,vacmem,LC_HP_LF,T26oct 21
sm,amealn,LC_HP_LF,T27-6
sm,alnvir,LC_HP_LF,T27-6
sm,sorsco,LC_HP_LF,T27-12
sm,vacmem,LC_HP_LF,T27-oct 21
sm,alninc,LC_HP_LF,T28-1
sm,corsto,LC_HP_LF,T28-11
sm,spibet,LC_HP_LF,T28-A17
sm,sorsco,LC_HP_LF,T28-5
sm,alninc,LC_HP_LF,T29-5
sm,symalb,LC_HP_LF,T29-cl
sm,vacmem,LC_HP_LF,T29-cl
sm,vacmem,LC_HP_LF,T29-cl
sm,betpap,LC_HP_LF,T3-5
sm,loninv,LC_HP_LF,T3-5
sm,menfer,LC_HP_LF,T3-8
sm,symalb,LC_HP_LF,T3-cl
sm,amealn,LC_HP_LF,T30-3
sm,alninc,LC_HP_LF,T30-1
sm,poptre,LC_HP_LF,T30-C
sm,spipyr,LC_HP_LF,T30-B15
sm,loninv,LC_HP_LF,T31-10
sm,riblac,LC_HP_LF,T31-9
sm,riblac,LC_HP_LF,T31-3b
sm,sorsco,LC_HP_LF,T31-xx
Shecan11,,,
sm,loninv,LC_HP_LF,T32-10
sm,poptre,LC_HP_LF,T32-D
sm,sorsco,LC_HP_LF,T32-cx
sm,vibedu,LC_HP_LF,T32-3
sm,alninc,LC_HP_LF,T33-1
sm,popbal,LC_HP_LF,T33-8
sm,symalb,LC_HP_LF,T33-2
sm,spipyr,LC_HP_LF,T33-b21
sm,alnvir,LC_HP_LF,T34-2
sm,menfer,LC_HP_LF,T34-8
sm,poptre,LC_HP_LF,T34-8
sm,sorsco,LC_HP_LF,T34-11
sm,acegla,LC_HP_LF,T35-11
sm,menfer,LC_HP_LF,T35--#3
sm,rubpar,LC_HP_LF,T35--cl
sm,spipyr,LC_HP_LF,T35--b5
sm,corsto,LC_HP_LF,T36-A
sm,menfer,LC_HP_LF,T36-13
sm,symalb,LC_HP_LF,T36
sm,spipyr,LC_HP_LF,T36
sm,alninc,LC_HP_LF,T37-5
sm,betpap,LC_HP_LF,T37-1
sm,menfer,LC_HP_LF,T37-#3
sm,vacmem,LC_HP_LF,T37-oct21`
sm,alnvir,LC_HP_LF,T38-6
sm,alnvir,LC_HP_LF,T38-10
sm,corsto,LC_HP_LF,T38-12
sm,vibedu,LC_HP_LF,T38-9
sm,corsto,LC_HP_LF,T39-A
sm,symalb,LC_HP_LF,T39
sm,spipyr,LC_HP_LF,T39
sm,vibedu,LC_HP_LF,T39-3
sm,popbal,LC_HP_LF,T4-8
sm,poptre,LC_HP_LF,T4-C
sm,vacmem,LC_HP_LF,T4-oct21
Sm,shecan,LC_HP_LF,T4-7
sm,betpap,LC_HP_LF,T40-5
sm,corsto,LC_HP_LF,T40-b
sm,sorsco,LC_HP_LF,T40-A
sm,vacmem,LC_HP_LF,T40-oct 25
sm,betpap,LC_HP_LF,T5-5
sm,loninv,LC_HP_LF,T5-5
sm,popbal,LC_HP_LF,T5-A
sm,spibet,LC_HP_LF,T5-A34
sm,betpap,LC_HP_LF,T6-10
sm,loninv,LC_HP_LF,T6-9
sm,rubpar,LC_HP_LF,T6-cl
sm,rubpar,LC_HP_LF,T6-cl
Shecan7,,,
sm,alnvir,LC_HP_LF,T7-6
sm,sorsco,LC_HP_LF,T7-12
sm,vacmem,LC_HP_LF,T7-oct21
sm,acegla,LC_HP_LF,T8--13
sm,menfer,LC_HP_LF,T8--9
sm,popbal,LC_HP_LF,T8--12
sm,popbal,LC_HP_LF,T8--3
sm,acegla,LC_HP_LF,T9--13
sm,popbal,LC_HP_LF,T9--12
sm,sorsco,LC_HP_LF,T9--7
sm,amealn,LC_LP_HF,T1-1
sm,alnvir,LC_LP_HF,T1-6
sm,betpap,LC_LP_HF,T1-A
sm,sorsco,LC_LP_HF,T1-11
sm,acegla,LC_LP_HF,T10--11
sm,poptre,LC_LP_HF,T10--C
sm,rubpar,LC_LP_HF,T10-cl
sm,vacmem,LC_LP_HF,T10--oct21/8
sm,acegla,LC_LP_HF,T11--15
sm,betpap,LC_LP_HF,T11--A
sm,symalb,LC_LP_HF,T11--cl
sm,alninc,LC_LP_HF,T12-2
sm,alnvir,LC_LP_HF,T12-3
sm,corsto,LC_LP_HF,T12-11
sm,spipyr,LC_LP_HF,T12-b13
sm,alnvir,LC_LP_HF,T13-6
sm,poptre,LC_LP_HF,T13-8
sm,spibet,LC_LP_HF,T13-A23
sm,spibet,LC_LP_HF,T13-A24
sm,poptre,LC_LP_HF,T14-B
sm,riblac,LC_LP_HF,T14-9
sm,symalb,LC_LP_HF,T14
sm,spibet,LC_LP_HF,T14
sm,riblac,LC_LP_HF,T15-D
sm,rubpar,LC_LP_HF,T15
sm,symalb,LC_LP_HF,T15
sm,shecan,LC_LP_HF,T15-A
sm,corsto,LC_LP_HF,T16-A
sm,menfer,LC_LP_HF,T16-13
sm,symalb,LC_LP_HF,T16
sm,vacmem,LC_LP_HF,T16-oct21
sm,popbal,LC_LP_HF,T17-8
sm,riblac,LC_LP_HF,T17-9
sm,shecan,LC_LP_HF,T1710
sm,vibedu,LC_LP_HF,T17-3
sm,loninv,LC_LP_HF,T18-10
sm,popbal,LC_LP_HF,T18-8
sm,shecan,LC_LP_HF,T18-11
sm,vibedu,LC_LP_HF,T18-3
sm,alninc,LC_LP_HF,T19-1
sm,betpap,LC_LP_HF,T19-10
sm,poptre,LC_LP_HF,T19-7
sm,spipyr,LC_LP_HF,T19-B17
sm,riblac,LC_LP_HF,T2-D
sm,shecan,LC_LP_HF,T2-A
sm,symalb,LC_LP_HF,T2
sm,vacmem,LC_LP_HF,T2-oct21
sm,amealn,LC_LP_HF,T20-5
sm,alnvir,LC_LP_HF,T20-6
sm,sorsco,LC_LP_HF,T20-11
sm,alnvir,LC_LP_HF,T21-2
sm,popbal,LC_LP_HF,T21-onion b
sm,popbal,LC_LP_HF,T21-8
sm,rubpar,LC_LP_HF,T21-w/10
sm,alninc,LC_LP_HF,T22-4
sm,riblac,LC_LP_HF,T22-2
sm,spibet,LC_LP_HF,T22-A18
sm,vibedu,LC_LP_HF,T22-6
sm,amealn,LC_LP_HF,T23-3
sm,rubpar,LC_LP_HF,T23-cl
sm,symalb,LC_LP_HF,T23-cl
sm,vacmem,LC_LP_HF,T23-oct25
sm,betpap,LC_LP_HF,T24-10
sm,loninv,LC_LP_HF,T24-9
sm,symalb,LC_LP_HF,T24-cl
sm,vacmem,LC_LP_HF,T24-oct25
sm,betpap,LC_LP_HF,T25-11
sm,corsto,LC_LP_HF,T25-C
sm,riblac,LC_LP_HF,T25-11
sm,sorsco,LC_LP_HF,T25-A
sm,acegla,LC_LP_HF,T26--11
sm,corsto,LC_LP_HF,T26--9
sm,menfer,LC_LP_HF,T26--2
sm,menfer,LC_LP_HF,T26--9
sm,menfer,LC_LP_HF,T27-11
sm,poptre,LC_LP_HF,T27-D
sm,sorsco,LC_LP_HF,T27-xx
sm,vibedu,LC_LP_HF,T27-3
Shecan11,,,
sm,amealn,LC_LP_HF,T28-3
sm,loninv,LC_LP_HF,T28-9
sm,spipyr,LC_LP_HF,T28-B31
sm,vibedu,LC_LP_HF,T28-8
sm,acegla,LC_LP_HF,T29--10
sm,alninc,LC_LP_HF,T29--4
sm,rubpar,LC_LP_HF,T29--Cl
sm,spibet,LC_LP_HF,T29--spibet7_01
sm,alnvir,LC_LP_HF,T3-10
sm,loninv,LC_LP_HF,T3-6
sm,rubpar,LC_LP_HF,T3-w/10
sm,vacmem,LC_LP_HF,T3-oct 21
sm,riblac,LC_LP_HF,T30-3b
sm,spibet,LC_LP_HF,T30
sm,shecan,LC_LP_HF,T30-11
Sm,symalb,LC_LP_HF,T30
sm,acegla,LC_LP_HF,T31--13
sm,spipyr,LC_LP_HF,T31--b11
sm,sorsco,LC_LP_HF,T31--11
sm,alninc,LC_LP_HF,T32--5
sm,betpap,LC_LP_HF,T32-10
sm,menfer,LC_LP_HF,T32-4
sm,alnvir,LC_LP_HF,T33-2
sm,popbal,LC_LP_HF,T33-onion b
sm,poptre,LC_LP_HF,T33-8
sm,spipyr,LC_LP_HF,T33-b25
sm,corsto,LC_LP_HF,T34-A
sm,loninv,LC_LP_HF,T34-7
sm,sorsco,LC_LP_HF,T34-xx
sm,vacmem,LC_LP_HF,T34-oct25
Shecan10,,,
sm,popbal,LC_LP_HF,T35-8
sm,symalb,LC_LP_HF,T35
sm,spibet,LC_LP_HF,T35
sm,vacmem,LC_LP_HF,T35-oct21
sm,amealn,LC_LP_HF,T36-3
sm,poptre,LC_LP_HF,T36-10
sm,poptre,LC_LP_HF,T36-10
sm,vibedu,LC_LP_HF,T36-8
sm,loninv,LC_LP_HF,T37-10
sm,menfer,LC_LP_HF,T37-13
sm,shecan,LC_LP_HF,T37-6
sm,vibedu,LC_LP_HF,T37-3
sm,amealn,LC_LP_HF,T38-A
sm,corsto,LC_LP_HF,T38-B
sm,vibedu,LC_LP_HF,T38-8
Shecan7,,,
sm,betpap,LC_LP_HF,T39-5
sm,loninv,LC_LP_HF,T39-9
sm,menfer,LC_LP_HF,T39-6
sm,menfer,LC_LP_HF,T39-8
sm,acegla,LC_LP_HF,T4--11
sm,corsto,LC_LP_HF,T4--4
sm,spipyr,LC_LP_HF,T4-b1
sm,spipyr,LC_LP_HF,T4--b2
sm,alninc,LC_LP_HF,T40-3
sm,alninc,LC_LP_HF,T40-4
sm,popbal,LC_LP_HF,T40-12
sm,rubpar,LC_LP_HF,T40with 10
sm,amealn,LC_LP_HF,T5-A
sm,corsto,LC_LP_HF,T5-B
sm,symalb,LC_LP_HF,T5-cl
sm,spipyr,LC_LP_HF,T5-B32
Shecan7,,,
sm,amealn,LC_LP_HF,T6
sm,alnvir,LC_LP_HF,T6
sm,sorsco,LC_LP_HF,T6
sm,acegla,LC_LP_HF,T7--11
sm,popbal,LC_LP_HF,T7--8
sm,rubpar,LC_LP_HF,T7--cl
sm,acegla,LC_LP_HF,T8--15
sm,betpap,LC_LP_HF,T8--9
sm,loninv,LC_LP_HF,T8--11
sm,riblac,LC_LP_HF,T8--8
sm,alninc,LC_LP_HF,T9--1
sm,spibet,LC_LP_HF,T9-A16
sm,sorsco,LC_LP_HF,T9
sm,sorsco,LC_LP_HF,T9
sm,alninc,LC_LP_LF,T1-4
sm,poptre,LC_LP_LF,T1-7
sm,vibedu,LC_LP_LF,T1-6
sm,vacmem,LC_LP_LF,T1-oct21
sm,alninc,LC_LP_LF,T10-4
sm,loninv,LC_LP_LF,T10-11
sm,riblac,LC_LP_LF,T10-10
sm,symalb,LC_LP_LF,T10-9
sm,poptre,LC_LP_LF,T11-B
sm,poptre,LC_LP_LF,T11-D
sm,vibedu,LC_LP_LF,T11-3
sm,vacmem,LC_LP_LF,T11-oct21
sm,amealn,LC_LP_LF,T12-A
sm,corsto,LC_LP_LF,T12-c
sm,sorsco,LC_LP_LF,T12
sm,sorsco,LC_LP_LF,T12
sm,popbal,LC_LP_LF,T13-8
sm,popbal,LC_LP_LF,T13-8
sm,vacmem,LC_LP_LF,T13-oct21
sm,vacmem,LC_LP_LF,T13-oct21
sm,riblac,LC_LP_LF,T14-3
sm,riblac,LC_LP_LF,T14-3
sm,spipyr,LC_LP_LF,T14
sm,shecan,LC_LP_LF,T14-A
sm,alninc,LC_LP_LF,T15-1
sm,rubpar,LC_LP_LF,T15-w/10
sm,rubpar,LC_LP_LF,T15-w/10
sm,symalb,LC_LP_LF,T15-3
sm,amealn,LC_LP_LF,T16--7
sm,acegla,LC_LP_LF,T16--10
sm,betpap,LC_LP_LF,T16--A
sm,vibedu,LC_LP_LF,T16--11
sm,loninv,LC_LP_LF,T17-10
sm,menfer,LC_LP_LF,T17-12
sm,rubpar,LC_LP_LF,T17
Shecan11,,,
sm,alninc,LC_LP_LF,T18-1
sm,betpap,LC_LP_LF,T18-8
sm,popbal,LC_LP_LF,T18-4
sm,vacmem,LC_LP_LF,T18-oct21
sm,betpap,LC_LP_LF,T19-11
sm,corsto,LC_LP_LF,T19-C
sm,spibet,LC_LP_LF,T19-A34
sm,sorsco,LC_LP_LF,T19
sm,acegla,LC_LP_LF,T2--11
sm,popbal,LC_LP_LF,T2--12
sm,rubpar,LC_LP_LF,T2--cl
sm,spipyr,LC_LP_LF,T2--b7
sm,acegla,LC_LP_LF,T20
sm,spibet,LC_LP_LF,T20
sm,spipyr,LC_LP_LF,T20
sm,acegla,LC_LP_LF,T21--13
sm,popbal,LC_LP_LF,T21--3
sm,rubpar,LC_LP_LF,T21--cl
sm,sorsco,LC_LP_LF,T21--7
sm,acegla,LC_LP_LF,T22--15
sm,betpap,LC_LP_LF,T22--9
sm,menfer,LC_LP_LF,T22--#3
sm,symalb,LC_LP_LF,T22--CL
sm,alnvir,LC_LP_LF,T23--1
sm,alnvir,LC_LP_LF,T23--10
sm,corsto,LC_LP_LF,T23--9
sm,riblac,LC_LP_LF,T23--
sm,alninc,LC_LP_LF,T24-5
sm,alnvir,LC_LP_LF,T24-2
sm,menfer,LC_LP_LF,T24-1
sm,sorsco,LC_LP_LF,T24-11
sm,alninc,LC_LP_LF,T25-4
sm,poptre,LC_LP_LF,T25-7
sm,poptre,LC_LP_LF,T25-D
sm,sorsco,LC_LP_LF,T25-11
sm,acegla,LC_LP_LF,T26--7
sm,alnvir,LC_LP_LF,T26--10
sm,betpap,LC_LP_LF,T26--A
sm,corsto,LC_LP_LF,T26--9
sm,corsto,LC_LP_LF,T27-A
sm,sorsco,LC_LP_LF,T27-xx
sm,spipyr,LC_LP_LF,T27
sm,vibedu,LC_LP_LF,T27-3
sm,betpap,LC_LP_LF,T28-5
sm,menfer,LC_LP_LF,T28-2
sm,rubpar,LC_LP_LF,T28-cl
Shecan10,,,
sm,amealn,LC_LP_LF,T29-6
sm,alnvir,LC_LP_LF,T29-1
sm,popbal,LC_LP_LF,T29-8
sm,poptre,LC_LP_LF,T29-D
sm,alninc,LC_LP_LF,T3-4
sm,menfer,LC_LP_LF,T3-9
sm,rubpar,LC_LP_LF,T3-w/10
sm,shecan,LC_LP_LF,T30-8
sm,shecan,LC_LP_LF,T30-10
sm,shecan,LC_LP_LF,T30-6
sm,vibedu,LC_LP_LF,T30-b
sm,amealn,LC_LP_LF,T31--3
sm,acegla,LC_LP_LF,T31--5
sm,spibet,LC_LP_LF,T31--A4
sm,spibet,LC_LP_LF,T31--A5
sm,alnvir,LC_LP_LF,T32--10
sm,betpap,LC_LP_LF,T32--7
sm,vacmem,LC_LP_LF,T32-10
sm,amealn,LC_LP_LF,T33-5
sm,riblac,LC_LP_LF,T33-11
sm,sorsco,LC_LP_LF,T33-A
Shecan10,,,
sm,riblac,LC_LP_LF,T34-3
sm,rubpar,LC_LP_LF,T34
sm,spibet,LC_LP_LF,T34
sm,spibet,LC_LP_LF,T34
Sm,shecan,LC_LP_LF,T34-10
sm,poptre,LC_LP_LF,T35-7
sm,riblac,LC_LP_LF,T35-3b
sm,sorsco,LC_LP_LF,T35-xx
sm,spipyr,LC_LP_LF,T35
sm,loninv,LC_LP_LF,T36-10
sm,spipyr,LC_LP_LF,T36
sm,spipyr,LC_LP_LF,T36
sm,vacmem,LC_LP_LF,T36-oct21
sm,alnvir,LC_LP_LF,T37-2
sm,loninv,LC_LP_LF,T37-11
sm,menfer,LC_LP_LF,T37-9
sm,riblac,LC_LP_LF,T38-3
sm,spibet,LC_LP_LF,T38
sm,vibedu,LC_LP_LF,T38-B
Sm,shecan,LC_LP_LF,T38-7
sm,loninv,LC_LP_LF,T39-10
sm,loninv,LC_LP_LF,T39-10
sm,menfer,LC_LP_LF,T39-12
sm,symalb,LC_LP_LF,T39
sm,popbal,LC_LP_LF,T4-8
sm,poptre,LC_LP_LF,T4-bC
sm,symalb,LC_LP_LF,T4-
sm,shecan,LC_LP_LF,T4-11
sm,corsto,LC_LP_LF,T40-A
sm,symalb,LC_LP_LF,T40
sm,spibet,LC_LP_LF,T40
sm,vibedu,LC_LP_LF,T40-3
sm,alninc,LC_LP_LF,T5-1
sm,betpap,LC_LP_LF,T5-10
sm,popbal,LC_LP_LF,T5-20
sm,sorsco,LC_LP_LF,T5-8
sm,alnvir,LC_LP_LF,T6-19
sm,corsto,LC_LP_LF,T6--8
sm,loninv,LC_LP_LF,T6--5
sm,symalb,LC_LP_LF,T6--3
sm,amealn,LC_LP_LF,T7-7
sm,amealn,LC_LP_LF,T7-6
sm,loninv,LC_LP_LF,T7-9
Shecan10,,,
sm,symalb,LC_LP_LF,T7-cl
sm,acegla,LC_LP_LF,T8--11
sm,corsto,LC_LP_LF,T8--4
sm,spipyr,LC_LP_LF,T8--b3
sm,vacmem,LC_LP_LF,T8--oct21
sm,amealn,LC_LP_LF,T9-3
sm,menfer,LC_LP_LF,T9-2
sm,sorsco,LC_LP_LF,T9-1
sm,vibedu,LC_LP_LF,T9-11
