chamber,date_time,temp,day_night,callibration,force
8,2019-12-28 17:08,23.196,day,1.705,high
8,2019-12-28 18:08,23.388,day,1.705,high
8,2019-12-28 19:08,23.292,day,1.705,high
8,2019-12-28 20:08,18.616,day,1.705,high
8,2019-12-28 21:08,12.304,transition,1.705,high
8,2019-12-28 22:08,10.259,night,1.705,high
8,2019-12-28 23:08,10.357,night,1.705,high
8,2019-12-29 0:08,10.259,night,1.705,high
8,2019-12-29 1:08,10.259,night,1.705,high
8,2019-12-29 2:08,10.259,night,1.705,high
8,2019-12-29 3:08,10.357,night,1.705,high
8,2019-12-29 4:08,10.259,night,1.705,high
8,2019-12-29 5:08,10.259,night,1.705,high
8,2019-12-29 6:08,10.259,night,1.705,high
8,2019-12-29 7:08,10.357,night,1.705,high
8,2019-12-29 8:08,15.091,night,1.705,high
8,2019-12-29 9:08,21.187,transition,1.705,high
8,2019-12-29 10:08,23.292,day,1.705,high
8,2019-12-29 11:08,23.388,day,1.705,high
8,2019-12-29 12:08,23.388,day,1.705,high
8,2019-12-29 13:08,23.388,day,1.705,high
8,2019-12-29 14:08,23.388,day,1.705,high
8,2019-12-29 15:08,23.388,day,1.705,high
8,2019-12-29 16:08,24.062,day,1.705,high
8,2019-12-29 17:08,23.484,day,1.705,high
8,2019-12-29 18:08,23.484,day,1.705,high
8,2019-12-29 19:08,23.388,day,1.705,high
8,2019-12-29 20:08,20.138,day,1.705,high
8,2019-12-29 21:08,14.996,transition,1.705,high
8,2019-12-29 22:08,10.846,night,1.705,high
8,2019-12-29 23:08,10.455,night,1.705,high
8,2019-12-30 0:08,10.455,night,1.705,high
8,2019-12-30 1:08,10.357,night,1.705,high
8,2019-12-30 2:08,10.357,night,1.705,high
8,2019-12-30 3:08,10.357,night,1.705,high
8,2019-12-30 4:08,10.357,night,1.705,high
8,2019-12-30 5:08,10.357,night,1.705,high
8,2019-12-30 6:08,10.259,night,1.705,high
8,2019-12-30 7:08,10.357,night,1.705,high
8,2019-12-30 8:08,13.461,night,1.705,high
8,2019-12-30 9:08,18.521,transition,1.705,high
8,2019-12-30 10:08,23.004,day,1.705,high
8,2019-12-30 11:08,23.196,day,1.705,high
8,2019-12-30 12:08,21.855,day,1.705,high
8,2019-12-30 13:08,21.76,day,1.705,high
8,2019-12-30 14:08,22.046,day,1.705,high
8,2019-12-30 15:08,21.569,day,1.705,high
8,2019-12-30 16:08,21.664,day,1.705,high
8,2019-12-30 17:08,21.664,day,1.705,high
8,2019-12-30 18:08,21.664,day,1.705,high
12,2019-12-30 19:08,21.664,day,1.705,high
12,2019-12-30 20:08,21.473,day,1.705,high
12,2019-12-30 21:08,17.189,transition,1.705,high
12,2019-12-30 22:08,11.819,night,1.705,high
12,2019-12-30 23:08,10.944,night,1.705,high
12,2019-12-31 0:08,10.748,night,1.705,high
12,2019-12-31 1:08,10.651,night,1.705,high
12,2019-12-31 2:08,10.553,night,1.705,high
12,2019-12-31 3:08,10.553,night,1.705,high
12,2019-12-31 4:08,10.553,night,1.705,high
12,2019-12-31 5:08,10.651,night,1.705,high
12,2019-12-31 6:08,10.553,night,1.705,high
12,2019-12-31 7:08,10.553,night,1.705,high
12,2019-12-31 8:08,10.651,night,1.705,high
12,2019-12-31 9:08,14.9,transition,1.705,high
