"Plot Title: 15"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262364, SEN S/N: 2262364)","Bad Battery (LGR S/N: 2262364)","Coupler Attached (LGR S/N: 2262364)","Host Connected (LGR S/N: 2262364)","Coupler Detached (LGR S/N: 2262364)","Good Battery (LGR S/N: 2262364)","Stopped (LGR S/N: 2262364)","End Of File (LGR S/N: 2262364)"
1,2019/11/25 08:04:04 AM,22.142,,,,,,,
2,2019/11/25 09:04:04 AM,22.238,,,,,,,
3,2019/11/25 10:04:04 AM,-20.333,,,,,,,
4,2019/11/25 11:04:04 AM,-23.541,Logged,,,,,,
5,2019/11/25 12:04:04 PM,-22.092,,,,,,,
6,2019/11/25 01:04:04 PM,-24.187,,,,,,,
7,2019/11/25 02:04:04 PM,-24.848,,,,,,,
8,2019/11/25 03:04:04 PM,-21.891,,,,,,,
9,2019/11/25 04:04:04 PM,-22.092,,,,,,,
10,2019/11/25 05:04:04 PM,-23.970,,,,,,,
11,2019/11/25 06:04:04 PM,-22.092,,,,,,,
12,2019/11/25 06:33:49 PM,,,Logged,Logged,,,,
13,2019/11/25 06:33:57 PM,,,,,Logged,,,
14,2019/11/25 06:34:03 PM,,,Logged,Logged,,,,
15,2019/11/25 06:34:10 PM,,,,,Logged,,,
16,2019/11/25 07:04:04 PM,2.410,,,,,,,
17,2019/11/25 08:04:04 PM,17.379,,,,,Logged,,
18,2019/11/25 09:04:04 PM,20.424,,,,,,,
19,2019/11/25 10:04:04 PM,21.378,,,,,,,
20,2019/11/25 11:04:04 PM,21.569,,,,,,,
21,2019/11/26 12:04:04 AM,22.429,,,,,,,
22,2019/11/26 01:04:04 AM,21.855,,,,,,,
23,2019/11/26 02:04:04 AM,21.473,,,,,,,
24,2019/11/26 03:04:04 AM,21.091,,,,,,,
25,2019/11/26 04:04:04 AM,20.901,,,,,,,
26,2019/11/26 05:04:04 AM,20.805,,,,,,,
27,2019/11/26 06:04:04 AM,20.710,,,,,,,
28,2019/11/26 07:04:04 AM,20.710,,,,,,,
29,2019/11/26 08:04:04 AM,19.282,,,,,,,
30,2019/11/26 09:04:04 AM,20.805,,,,,,,
31,2019/11/26 10:04:04 AM,21.378,,,,,,,
32,2019/11/26 11:04:04 AM,21.664,,,,,,,
33,2019/11/26 12:04:04 PM,21.760,,,,,,,
34,2019/11/26 01:04:04 PM,21.951,,,,,,,
35,2019/11/26 02:04:04 PM,22.238,,,,,,,
36,2019/11/26 03:04:04 PM,22.333,,,,,,,
37,2019/11/26 04:04:04 PM,22.142,,,,,,,
38,2019/11/26 05:04:04 PM,18.236,,,,,,,
39,2019/11/26 06:04:04 PM,16.332,,,,,,,
40,2019/11/26 07:04:04 PM,18.521,,,,,,,
41,2019/11/26 08:04:04 PM,19.567,,,,,,,
42,2019/11/26 09:04:04 PM,20.996,,,,,,,
43,2019/11/26 09:32:01 PM,,,Logged,Logged,,,,
44,2019/11/26 09:32:29 PM,,,,,,,Logged,Logged
