"Plot Title: 12"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262376, SEN S/N: 2262376)","Bad Battery (LGR S/N: 2262376)","Good Battery (LGR S/N: 2262376)","Coupler Attached (LGR S/N: 2262376)","Host Connected (LGR S/N: 2262376)","Stopped (LGR S/N: 2262376)","End Of File (LGR S/N: 2262376)"
1,2019/11/25 08:04:00 AM,22.333,,,,,,
2,2019/11/25 09:04:00 AM,22.429,,,,,,
3,2019/11/25 10:04:00 AM,-17.966,,,,,,
4,2019/11/25 11:04:00 AM,-22.704,Logged,,,,,
5,2019/11/25 12:04:00 PM,-21.691,,,,,,
6,2019/11/25 01:04:00 PM,-23.329,,,,,,
7,2019/11/25 02:04:00 PM,-24.187,,,,,,
8,2019/11/25 03:04:00 PM,-21.891,,,,,,
9,2019/11/25 04:04:00 PM,-21.891,,,,,,
10,2019/11/25 05:04:00 PM,-23.329,,,,,,
11,2019/11/25 06:04:00 PM,-21.493,,,,,,
12,2019/11/25 07:04:00 PM,0.453,,,,,,
13,2019/11/25 08:04:00 PM,18.711,,Logged,,,,
14,2019/11/25 09:04:00 PM,20.710,,,,,,
15,2019/11/25 10:04:00 PM,21.378,,,,,,
16,2019/11/25 11:04:00 PM,21.569,,,,,,
17,2019/11/26 12:04:00 AM,22.238,,,,,,
18,2019/11/26 01:04:00 AM,21.760,,,,,,
19,2019/11/26 02:04:00 AM,21.282,,,,,,
20,2019/11/26 03:04:00 AM,20.996,,,,,,
21,2019/11/26 04:04:00 AM,20.805,,,,,,
22,2019/11/26 05:04:00 AM,20.710,,,,,,
23,2019/11/26 06:04:00 AM,20.615,,,,,,
24,2019/11/26 07:04:00 AM,20.615,,,,,,
25,2019/11/26 08:04:00 AM,19.377,,,,,,
26,2019/11/26 09:04:00 AM,20.996,,,,,,
27,2019/11/26 10:04:00 AM,21.569,,,,,,
28,2019/11/26 11:04:00 AM,21.951,,,,,,
29,2019/11/26 12:04:00 PM,21.855,,,,,,
30,2019/11/26 01:04:00 PM,22.142,,,,,,
31,2019/11/26 02:04:00 PM,22.525,,,,,,
32,2019/11/26 03:04:00 PM,22.333,,,,,,
33,2019/11/26 04:04:00 PM,22.429,,,,,,
34,2019/11/26 05:04:00 PM,19.662,,,,,,
35,2019/11/26 06:04:00 PM,17.284,,,,,,
36,2019/11/26 07:04:00 PM,18.521,,,,,,
37,2019/11/26 08:04:00 PM,19.472,,,,,,
38,2019/11/26 09:04:00 PM,21.091,,,,,,
39,2019/11/26 09:27:21 PM,,,,Logged,Logged,,
40,2019/11/26 09:27:34 PM,,,,,,Logged,Logged
