"Plot Title: 12"
"#","Date Time, GMT-08:00","Temp, °C (LGR S/N: 2262376, SEN S/N: 2262376)","Coupler Attached (LGR S/N: 2262376)","Host Connected (LGR S/N: 2262376)","Coupler Detached (LGR S/N: 2262376)","Stopped (LGR S/N: 2262376)","End Of File (LGR S/N: 2262376)"
1,2019/11/27 12:08:00 PM,4.311,,,,,
2,2019/11/27 01:08:00 PM,4.311,,,,,
3,2019/11/27 02:08:00 PM,4.311,,,,,
4,2019/11/27 03:08:00 PM,4.311,,,,,
5,2019/11/27 04:08:00 PM,4.311,,,,,
6,2019/11/27 05:08:00 PM,5.244,,,,,
7,2019/11/27 06:08:00 PM,4.311,,,,,
8,2019/11/27 07:08:00 PM,4.311,,,,,
9,2019/11/27 08:08:00 PM,4.311,,,,,
10,2019/11/27 09:08:00 PM,4.311,,,,,
11,2019/11/27 10:08:00 PM,4.311,,,,,
12,2019/11/27 11:08:00 PM,5.244,,,,,
13,2019/11/28 12:08:00 AM,4.311,,,,,
14,2019/11/28 01:08:00 AM,4.311,,,,,
15,2019/11/28 02:08:00 AM,4.311,,,,,
16,2019/11/28 03:08:00 AM,4.311,,,,,
17,2019/11/28 04:08:00 AM,4.311,,,,,
18,2019/11/28 05:08:00 AM,5.244,,,,,
19,2019/11/28 06:08:00 AM,4.311,,,,,
20,2019/11/28 07:08:00 AM,4.311,,,,,
21,2019/11/28 08:08:00 AM,4.311,,,,,
22,2019/11/28 09:08:00 AM,4.311,,,,,
23,2019/11/28 10:08:00 AM,4.311,,,,,
24,2019/11/28 11:08:00 AM,5.244,,,,,
25,2019/11/28 12:08:00 PM,4.311,,,,,
26,2019/11/28 01:08:00 PM,4.311,,,,,
27,2019/11/28 02:08:00 PM,4.311,,,,,
28,2019/11/28 03:08:00 PM,4.311,,,,,
29,2019/11/28 04:08:00 PM,4.311,,,,,
30,2019/11/28 05:08:00 PM,5.244,,,,,
31,2019/11/28 06:08:00 PM,4.311,,,,,
32,2019/11/28 07:08:00 PM,4.311,,,,,
33,2019/11/28 08:08:00 PM,4.311,,,,,
34,2019/11/28 09:08:00 PM,4.311,,,,,
35,2019/11/28 10:08:00 PM,4.311,,,,,
36,2019/11/28 11:08:00 PM,5.244,,,,,
37,2019/11/29 12:08:00 AM,4.311,,,,,
38,2019/11/29 01:08:00 AM,4.311,,,,,
39,2019/11/29 02:08:00 AM,4.311,,,,,
40,2019/11/29 03:08:00 AM,4.311,,,,,
41,2019/11/29 04:08:00 AM,4.311,,,,,
42,2019/11/29 05:08:00 AM,5.347,,,,,
43,2019/11/29 06:08:00 AM,4.311,,,,,
44,2019/11/29 07:08:00 AM,4.311,,,,,
45,2019/11/29 08:08:00 AM,4.311,,,,,
46,2019/11/29 09:08:00 AM,4.311,,,,,
47,2019/11/29 10:08:00 AM,4.311,,,,,
48,2019/11/29 11:08:00 AM,5.347,,,,,
49,2019/11/29 12:08:00 PM,4.311,,,,,
50,2019/11/29 01:08:00 PM,4.311,,,,,
51,2019/11/29 02:08:00 PM,4.311,,,,,
52,2019/11/29 03:08:00 PM,4.311,,,,,
53,2019/11/29 04:08:00 PM,4.311,,,,,
54,2019/11/29 05:08:00 PM,5.244,,,,,
55,2019/11/29 06:08:00 PM,4.311,,,,,
56,2019/11/29 07:08:00 PM,4.311,,,,,
57,2019/11/29 08:08:00 PM,4.311,,,,,
58,2019/11/29 09:08:00 PM,4.311,,,,,
59,2019/11/29 10:08:00 PM,4.311,,,,,
60,2019/11/29 11:08:00 PM,5.347,,,,,
61,2019/11/30 12:08:00 AM,4.415,,,,,
62,2019/11/30 01:08:00 AM,4.311,,,,,
63,2019/11/30 02:08:00 AM,4.311,,,,,
64,2019/11/30 03:08:00 AM,4.311,,,,,
65,2019/11/30 04:08:00 AM,4.311,,,,,
66,2019/11/30 05:08:00 AM,5.244,,,,,
67,2019/11/30 06:08:00 AM,4.415,,,,,
68,2019/11/30 07:08:00 AM,4.311,,,,,
69,2019/11/30 08:08:00 AM,4.311,,,,,
70,2019/11/30 09:08:00 AM,4.311,,,,,
71,2019/11/30 10:08:00 AM,4.311,,,,,
72,2019/11/30 11:08:00 AM,5.244,,,,,
73,2019/11/30 12:08:00 PM,4.311,,,,,
74,2019/11/30 01:08:00 PM,4.311,,,,,
75,2019/11/30 02:08:00 PM,4.311,,,,,
76,2019/11/30 03:08:00 PM,4.311,,,,,
77,2019/11/30 04:08:00 PM,4.311,,,,,
78,2019/11/30 05:08:00 PM,5.244,,,,,
79,2019/11/30 06:08:00 PM,4.415,,,,,
80,2019/11/30 07:08:00 PM,4.311,,,,,
81,2019/11/30 08:08:00 PM,4.311,,,,,
82,2019/11/30 09:08:00 PM,4.311,,,,,
83,2019/11/30 10:08:00 PM,4.311,,,,,
84,2019/11/30 11:08:00 PM,5.347,,,,,
85,2019/12/01 12:08:00 AM,4.311,,,,,
86,2019/12/01 01:08:00 AM,4.311,,,,,
87,2019/12/01 02:08:00 AM,4.311,,,,,
88,2019/12/01 03:08:00 AM,4.311,,,,,
89,2019/12/01 04:08:00 AM,4.311,,,,,
90,2019/12/01 05:08:00 AM,5.141,,,,,
91,2019/12/01 06:08:00 AM,4.311,,,,,
92,2019/12/01 07:08:00 AM,4.311,,,,,
93,2019/12/01 08:08:00 AM,4.311,,,,,
94,2019/12/01 09:08:00 AM,4.311,,,,,
95,2019/12/01 10:08:00 AM,4.311,,,,,
96,2019/12/01 11:08:00 AM,5.244,,,,,
97,2019/12/01 12:08:00 PM,4.311,,,,,
98,2019/12/01 01:08:00 PM,4.311,,,,,
99,2019/12/01 02:08:00 PM,4.311,,,,,
100,2019/12/01 03:08:00 PM,4.311,,,,,
101,2019/12/01 04:08:00 PM,4.311,,,,,
102,2019/12/01 05:08:00 PM,5.347,,,,,
103,2019/12/01 06:08:00 PM,4.415,,,,,
104,2019/12/01 07:08:00 PM,4.415,,,,,
105,2019/12/01 08:08:00 PM,4.311,,,,,
