site,trt,indiv,flask,species
sm,HC_HP_HF,13,9,acegla
sm,HC_HP_HF,11,9,sorsco
sm,HC_HP_HF, b10,9,spipyr
sm,HC_HP_LF,7,1,amealn
sm,HC_HP_LF,10,1,corso
sm,HC_HP_LF, cl,1,symalb
sm,HC_HP_LF,12,1,sorsco
sm,HC_HP_LF,7,10,amealn
sm,HC_HP_LF, w10,10,rubpar
sm,HC_HP_LF, A,10,vibedu
sm,HC_HP_LF,12,10,shecan
sm,HC_HP_LF,5,11,bepap
sm,HC_HP_LF,11,11,riblac
sm,HC_HP_LF,,11,sorsco
sm,HC_HP_LF,,11,vibedu
sm,HC_HP_LF,8,12,popbal
sm,HC_HP_LF, B,12,popre
sm,HC_HP_LF,10,12,shecan
sm,HC_HP_LF,7,13,amealn
sm,HC_HP_LF,10,13,acegla
sm,HC_HP_LF, A,13,bepap
sm,HC_HP_LF,12,13,sorsco
sm,HC_HP_LF, CLA,14,amealn
sm,HC_HP_LF,6,14,amealn
sm,HC_HP_LF,10,14,bepap
sm,HC_HP_LF,8,14,popre
sm,HC_HP_LF,2,15,alnvir
sm,HC_HP_LF,8,15,corso
sm,HC_HP_LF,2,15,menfer
sm,HC_HP_LF,9,15,vibedu
sm,HC_HP_LF,6,16,alnvir
sm,HC_HP_LF,10,16,loninv
sm,HC_HP_LF,11,16,loninv
sm,HC_HP_LF, oc21,16,vacmem
sm,HC_HP_LF,2,17,acegla
sm,HC_HP_LF,2,17,alnvir
sm,HC_HP_LF, area w/ 9,17,spipyr
sm,HC_HP_LF, oc21,17,vacmem
sm,HC_HP_LF,14,18,acegla
sm,HC_HP_LF,4,18,corso
sm,HC_HP_LF, cl,18,symalb
sm,HC_HP_LF, oc21,18,vacmem
sm,HC_HP_LF,3,19,amealn
sm,HC_HP_LF, A32,19,spibe
sm,HC_HP_LF,1,19,sorsco
sm,HC_HP_LF,7,19,shecan
sm,HC_HP_LF,7,2,acegla
sm,HC_HP_LF,2,2,alninc
sm,HC_HP_LF,3,2,alninc
sm,HC_HP_LF,11,2,loninv
sm,HC_HP_LF,14,20,acegla
sm,HC_HP_LF,3,20,popbal
sm,HC_HP_LF,8,20,popbal
sm,HC_HP_LF,2,20,symalb
sm,HC_HP_LF,11,21,acegla
sm,HC_HP_LF,8,21,popbal
sm,HC_HP_LF, A8,21,spibe
sm,HC_HP_LF,2,21,vibedu
sm,HC_HP_LF,8,22,menfer
sm,HC_HP_LF,1,22,menfer
sm,HC_HP_LF, cl,22,symalb
sm,HC_HP_LF, oc25,22,vacmem
sm,HC_HP_LF,11,23,bepap
sm,HC_HP_LF,11,23,riblac
sm,HC_HP_LF, cl,23,rubpar
sm,HC_HP_LF, cl,23,symalb
sm,HC_HP_LF,14,24,acegla
sm,HC_HP_LF,1,24,menfer
sm,HC_HP_LF,12,24,popbal
sm,HC_HP_LF,5,25,acegla
sm,HC_HP_LF,9,25,bepap
sm,HC_HP_LF,9,25,corso
sm,HC_HP_LF,11,25,vibedu
sm,HC_HP_LF,3,26,alninc
sm,HC_HP_LF,2,26,alnvir
sm,HC_HP_LF, #3,26,menfer
sm,HC_HP_LF,12,26,popbal
sm,HC_HP_LF,1,27,alninc
sm,HC_HP_LF,11,27,corso
sm,HC_HP_LF,7,27,popre
sm,HC_HP_LF,3,27,symalb
sm,HC_HP_LF,13,28,corso
sm,HC_HP_LF,5,28,loninv
sm,HC_HP_LF,10,28,loninv
sm,HC_HP_LF,,28,rubpar
sm,HC_HP_LF,2,29,popre
sm,HC_HP_LF,,29,spipyr
sm,HC_HP_LF,10,29,shecan
sm,HC_HP_LF,3,29,vibedu
sm,HC_HP_LF,6,3,bepap
sm,HC_HP_LF, xx,3,sorsco
sm,HC_HP_LF, xx,3,sorsco
sm,HC_HP_LF,12,3,shecan
sm,HC_HP_LF, oc25,3,vacmem
sm,HC_HP_LF,13,30,corso
sm,HC_HP_LF, B,30,popre
sm,HC_HP_LF,,30,rubpar
sm,HC_HP_LF, b38,30,spipyr
sm,HC_HP_LF,5,31,alninc
sm,HC_HP_LF, A,31,loninv
sm,HC_HP_LF,9,31,menfer
sm,HC_HP_LF, w/ 10,31,rubpar
sm,HC_HP_LF,10,32,alnvir
sm,HC_HP_LF, A,32,riblac
sm,HC_HP_LF,12,32,sorsco
sm,HC_HP_LF, oc21,32,vacmem
sm,HC_HP_LF, onion E,33,popbal
sm,HC_HP_LF,,33,symalb
sm,HC_HP_LF,,33,spipyr
sm,HC_HP_LF,,33,symalb
sm,HC_HP_LF, D,34,riblac
sm,HC_HP_LF,,34,symalb
sm,HC_HP_LF, xx,34,sorsco
sm,HC_HP_LF,,34,spipyr
sm,HC_HP_LF,10,35,alnvir
sm,HC_HP_LF,6,35,riblac
sm,HC_HP_LF, A25,35,spibe
sm,HC_HP_LF,5,36,amealn
sm,HC_HP_LF, b28,36,spipyr
sm,HC_HP_LF, b30,36,spipyr
sm,HC_HP_LF,12,36,sorsco
sm,HC_HP_LF,7,37,amealn
sm,HC_HP_LF,8,37,popre
sm,HC_HP_LF, A,37,vibedu
sm,HC_HP_LF,10,37,shecan
sm,HC_HP_LF,5,38,alninc
sm,HC_HP_LF,19,38,alnvir
sm,HC_HP_LF,11,38,riblac
sm,HC_HP_LF,12,38,riblac
sm,HC_HP_LF,10,39,loninv
sm,HC_HP_LF,,39,rubpar
sm,HC_HP_LF,,39,symalb
sm,HC_HP_LF,,39,sorsco
sm,HC_HP_LF,5,4,alninc
sm,HC_HP_LF,7,4,popre
sm,HC_HP_LF, w/10,4,rubpar
sm,HC_HP_LF,5,4,sorsco
sm,HC_HP_LF,1,40,alninc
sm,HC_HP_LF,1,40,alnvir
sm,HC_HP_LF, A14,40,spibe
sm,HC_HP_LF, oc21,40,vacmem
sm,HC_HP_LF,10,5,loninv
sm,HC_HP_LF,8,5,popbal
sm,HC_HP_LF,,5,rubpar
sm,HC_HP_LF,,5,spibe
sm,HC_HP_LF, B,6,bepap
sm,HC_HP_LF,13,6,corso
sm,HC_HP_LF,3,6,vibedu
sm,HC_HP_LF,13,7,menfer
sm,HC_HP_LF,,7,spibe
sm,HC_HP_LF,,7,spipyr
sm,HC_HP_LF, oc21,7,vacmem
sm,HC_HP_LF,6,8,bepap
sm,HC_HP_LF,9,8,riblac
sm,HC_HP_LF, ,8,spibe
sm,HC_HP_LF,,8,sorsco
sm,HC_HP_LF, #3,9,menfer
sm,HC_HP_LF,8,9,popre
sm,HC_HP_LF,,9,spibe
sm,HC_HP_LF,8,9,shecan
sm,HC_LP_HF,3,1,menfer
sm,HC_LP_HF,,1,spipyr
sm,HC_LP_HF,3,1,vibedu
sm,HC_LP_HF,11,1,shecan
sm,HC_LP_HF,13,10,menfer
sm,HC_LP_HF,,10,spibe
sm,HC_LP_HF, xx,10,sorsco
sm,HC_LP_HF, oc21,10,vacmem
sm,HC_LP_HF,6,11,alnvir
sm,HC_LP_HF,8,11,corso
sm,HC_LP_HF,2,11,riblac
sm,HC_LP_HF,11,11,vibedu
sm,HC_LP_HF,6,12,amealn
sm,HC_LP_HF,12,12,shecan
sm,HC_LP_HF,10,12,corso
sm,HC_LP_HF,9,12,loninv
sm,HC_LP_HF, cl,12,symalb
sm,HC_LP_HF,1,13,alninc
sm,HC_LP_HF,9,13,corso
sm,HC_LP_HF,4,13,popbal
sm,HC_LP_HF,6,14,alnvir
sm,HC_LP_HF, w/10,14,rubpar
sm,HC_LP_HF,12,14,sorsco
sm,HC_LP_HF,9,14,vibedu
sm,HC_LP_HF,6,15,bepap
sm,HC_LP_HF,8,15,popre
sm,HC_LP_HF, cl,15,symalb
sm,HC_LP_HF, clw,15,symalb
sm,HC_LP_HF, b,16,corso
sm,HC_LP_HF, b41,16,spipyr
sm,HC_LP_HF,,16,sorsco
sm,HC_LP_HF,6,16,shecan
sm,HC_LP_HF,2,17,alnvir
sm,HC_LP_HF, C,17,popre
sm,HC_LP_HF,2,17,riblac
sm,HC_LP_HF, A22,17,spibe
sm,HC_LP_HF,6,18,bepap
sm,HC_LP_HF, A,18,popbal
sm,HC_LP_HF,8,18,popre
sm,HC_LP_HF, w/10,18,rubpar
sm,HC_LP_HF,4,19,alninc
sm,HC_LP_HF,11,19,loninv
sm,HC_LP_HF,3,19,symalb
sm,HC_LP_HF, A19,19,spibe
sm,HC_LP_HF,13,2,menfer
sm,HC_LP_HF,9,2,symalb
sm,HC_LP_HF,,2,sorsco
sm,HC_LP_HF,,2,spipyr
sm,HC_LP_HF,14,20,acegla
sm,HC_LP_HF,5,20,loninv
sm,HC_LP_HF,2,20,popre
sm,HC_LP_HF,4,21,alninc
sm,HC_LP_HF,4,21,popbal
sm,HC_LP_HF,11,21,riblac
sm,HC_LP_HF,2,21,riblac
sm,HC_LP_HF,13,22,acegla
sm,HC_LP_HF,1,22,menfer
sm,HC_LP_HF, #2,22,popre
sm,HC_LP_HF, B4,22,spipyr
sm,HC_LP_HF,5,23,alninc
sm,HC_LP_HF, B,23,bepap
sm,HC_LP_HF, D,23,popre
sm,HC_LP_HF,7,23,sorsco
sm,HC_LP_HF,6,24,bepap
sm,HC_LP_HF,9,24,riblac
sm,HC_LP_HF,,24,sorsco
sm,HC_LP_HF,3,24,vibedu
sm,HC_LP_HF,12,24,shecan
sm,HC_LP_HF, c,25,corso
sm,HC_LP_HF,8,25,popbal
sm,HC_LP_HF,,25,rubpar
sm,HC_LP_HF,,25,sorsco
sm,HC_LP_HF,15,26,acegla
sm,HC_LP_HF,9,26,bepap
sm,HC_LP_HF,6,26,sorsco
sm,HC_LP_HF,9,26,spipyr
sm,HC_LP_HF,5,27,alninc
sm,HC_LP_HF,19,27,alnvir
sm,HC_LP_HF,10,27,riblac
sm,HC_LP_HF,7,27,sorsco
sm,HC_LP_HF,11,28,acegla
sm,HC_LP_HF,11,28,loninv
sm,HC_LP_HF,1,28,menfer
sm,HC_LP_HF, cl,28,symalb
sm,HC_LP_HF,2,29,alnvir
sm,HC_LP_HF, onionB,29,popbal
sm,HC_LP_HF,2,29,riblac
sm,HC_LP_HF,6,29,vibedu
sm,HC_LP_HF,9,3,loninv
sm,HC_LP_HF,10,3,popre
