site,flask_id,indiv
mp,poptre_HC_HP_HF_8,8
mp,rubpar_HC_HP_HF_8,sg
mp,corsto_HC_HP_HF_9,2
mp,riblac_HC_HP_HF_9,9
mp,rubpar_HC_HP_HF_9,sg
mp,vacmem_HC_HP_HF_9,wjt
mp,amealn_HC_HP_LF_1,6
mp,menfer_HC_HP_LF_1,10
mp,shecan_HC_HP_LF_1,8
mp,shecan_HC_HP_LF_1,9
mp,alninc_HC_HP_LF_10,9
mp,menfer_HC_HP_LF_10,10
mp,popbal_HC_HP_LF_10,6
mp,popbal_HC_HP_LF_10,2
mp,amealn_HC_HP_LF_11,8
mp,popbal_HC_HP_LF_11,8
mp,shecan_HC_HP_LF_11,4
mp,symalb_HC_HP_LF_11,LL
mp,poptre_HC_HP_LF_12,G eg
mp,samrac_HC_HP_LF_12,2
mp,shecan_HC_HP_LF_12,8
mp,spibet_HC_HP_LF_12,tml
mp,acegla_HC_HP_LF_13,3
mp,alninc_HC_HP_LF_13,9
mp,rhoalb_HC_HP_LF_13,1
mp,symalb_HC_HP_LF_13,4
mp,alninc_HC_HP_LF_14,3
mp,alninc_HC_HP_LF_14,4
mp,menfer_HC_HP_LF_14,10
mp,spipyr_HC_HP_LF_14,2
mp,menfer_HC_HP_LF_15,
mp,popbal_HC_HP_LF_15,
mp,spipyr_HC_HP_LF_15,
mp,symalb_HC_HP_LF_15,
mp,poptre_HC_HP_LF_16,8
mp,shecan_HC_HP_LF_16,6
mp,symalb_HC_HP_LF_16,9
mp,vibedu_HC_HP_LF_16,9
mp,corsto_HC_HP_LF_17,5
mp,rhoalb_HC_HP_LF_17,11
mp,riblac_HC_HP_LF_17,csf
mp,rubpar_HC_HP_LF_17,9
mp,acegla_HC_HP_LF_18,3
mp,alninc_HC_HP_LF_18,9
mp,alnvir_HC_HP_LF_18,6
mp,sorsco_HC_HP_LF_18,10
mp,poptre_HC_HP_LF_19,Geg
mp,rubpar_HC_HP_LF_19,9
mp,symalb_HC_HP_LF_19,Aeg
mp,vibedu_HC_HP_LF_19,2
mp,corsto_HC_HP_LF_2,5
mp,rubpar_HC_HP_LF_2,9
mp,rubpar_HC_HP_LF_2,9
mp,sorsco_HC_HP_LF_2,9
mp,amealn_HC_HP_LF_20,8
mp,menfer_HC_HP_LF_20,9
mp,rhoalb_HC_HP_LF_20,9
mp,sorsco_HC_HP_LF_20,12
mp,popbal_HC_HP_LF_21,10
mp,samrac_HC_HP_LF_21,2
mp,sorsco_HC_HP_LF_21,9
mp,vibedu_HC_HP_LF_21,2
mp,loninv_HC_HP_LF_22,4
mp,loninv_HC_HP_LF_22,10
mp,riblac_HC_HP_LF_22,8
mp,spipyr_HC_HP_LF_22,A
mp,alnvir_HC_HP_LF_23,5
mp,samrac_HC_HP_LF_23,5
mp,shecan_HC_HP_LF_23,4
mp,spipyr_HC_HP_LF_23,wjt
mp,alninc_HC_HP_LF_24,
mp,poptre_HC_HP_LF_24,
mp,spibet_HC_HP_LF_24,
mp,vibedu_HC_HP_LF_24,
mp,acegla_HC_HP_LF_25,5
mp,alnvir_HC_HP_LF_25,4
mp,corsto_HC_HP_LF_25,10
mp,menfer_HC_HP_LF_25,9
mp,acegla_HC_HP_LF_26,11
mp,alninc_HC_HP_LF_26,aLl
mp,poptre_HC_HP_LF_26,6
mp,shecan_HC_HP_LF_26,11
mp,poptre_HC_HP_LF_27,Asslope
mp,sorsco_HC_HP_LF_27,12
mp,vacmem_HC_HP_LF_27,wjt
mp,vacmem_HC_HP_LF_27,wjt
mp,amealn_HC_HP_LF_28,2
mp,rhoalb_HC_HP_LF_28,11
mp,riblac_HC_HP_LF_28,5
mp,sorsco_HC_HP_LF_28,10
mp,poptre_HC_HP_LF_29,Asslope
mp,riblac_HC_HP_LF_29,4
mp,spipyr_HC_HP_LF_29,
mp,spipyr_HC_HP_LF_29,
mp,popbal_HC_HP_LF_3,6
mp,poptre_HC_HP_LF_3,6
mp,spipyr_HC_HP_LF_3,wjt
mp,vacmem_HC_HP_LF_3,wjgt
mp,rhoalb_HC_HP_LF_30,4
mp,riblac_HC_HP_LF_30,4
mp,riblac_HC_HP_LF_30,10
mp,vacmem_HC_HP_LF_30,LL
mp,amealn_HC_HP_LF_31,2
mp,riblac_HC_HP_LF_31,8
mp,samrac_HC_HP_LF_31,10
mp,samrac_HC_HP_LF_31,10
mp,amealn_HC_HP_LF_32,2
mp,corsto_HC_HP_LF_32,2
mp,rhoalb_HC_HP_LF_32,11
mp,rubpar_HC_HP_LF_32,sg
mp,corsto_HC_HP_LF_33,2
mp,loninv_HC_HP_LF_33,3
mp,shecan_HC_HP_LF_33,6
mp,vibedu_HC_HP_LF_33,9
mp,alnvir_HC_HP_LF_34,4
mp,riblac_HC_HP_LF_34,3
mp,spibet_HC_HP_LF_34,
mp,spipyr_HC_HP_LF_34,
mp,loninv_HC_HP_LF_35,Atml
mp,loninv_HC_HP_LF_35,10
mp,sorsco_HC_HP_LF_35,
mp,vacmem_HC_HP_LF_35,
mp,corsto_HC_HP_LF_36,5
mp,corsto_HC_HP_LF_36,9
mp,popbal_HC_HP_LF_36,6
mp,vibedu_HC_HP_LF_36,12
mp,acegla_HC_HP_LF_37,4
mp,alnvir_HC_HP_LF_37,7
mp,loninv_HC_HP_LF_37,10
mp,symalb_HC_HP_LF_37,1
mp,loninv_HC_HP_LF_38,4
mp,rubpar_HC_HP_LF_38,tml
mp,spibet_HC_HP_LF_38,tml
mp,vacmem_HC_HP_LF_38,A
mp,alninc_HC_HP_LF_39,3
mp,amealn_HC_HP_LF_39,4
mp,spibet_HC_HP_LF_39,
mp,vibedu_HC_HP_LF_39,12
mp,menfer_HC_HP_LF_4,A
mp,samrac_HC_HP_LF_4,11
mp,spibet_HC_HP_LF_4,
mp,vacmem_HC_HP_LF_4,A
mp,acegla_HC_HP_LF_40,6
mp,acegla_HC_HP_LF_40,4
mp,rhoalb_HC_HP_LF_40,1
mp,rhoalb_HC_HP_LF_40,6
mp,acegla_HC_HP_LF_5,7
mp,menfer_HC_HP_LF_5,A
mp,symalb_HC_HP_LF_5,
mp,symalb_HC_HP_LF_5,
mp,alnvir_HC_HP_LF_6,
mp,popbal_HC_HP_LF_6,
mp,rubpar_HC_HP_LF_6,
mp,rubpar_HC_HP_LF_6,
mp,alnvir_HC_HP_LF_7,2
mp,amealn_HC_HP_LF_7,8
mp,sorsco_HC_HP_LF_7,9
mp,vacmem_HC_HP_LF_7,tml
mp,corsto_HC_HP_LF_8,10
mp,spibet_HC_HP_LF_8,
mp,spibet_HC_HP_LF_8,
mp,vibedu_HC_HP_LF_8,11
mp,alnvir_HC_HP_LF_9,5
mp,loninv_HC_HP_LF_9,10
mp,samrac_HC_HP_LF_9,7
mp,samrac_HC_HP_LF_9,7
mp,alninc_HC_LP_HF_1,5
mp,rhoalb_HC_LP_HF_1,4
mp,spibet_HC_LP_HF_1,
mp,symalb_HC_LP_HF_1,w/1
mp,corsto_HC_LP_HF_10,1
mp,menfer_HC_LP_HF_10,7
mp,vacmem_HC_LP_HF_10,A
mp,vacmem_HC_LP_HF_10,A
mp,popbal_HC_LP_HF_11,6
mp,samrac_HC_LP_HF_11,3
mp,symalb_HC_LP_HF_11,wjt
mp,vibedu_HC_LP_HF_11,9
mp,alninc_HC_LP_HF_12,4
mp,corsto_HC_LP_HF_12,1
mp,vacmem_HC_LP_HF_12,A
mp,vibedu_HC_LP_HF_12,12
mp,rhoalb_HC_LP_HF_13,11
mp,samrac_HC_LP_HF_13,7
mp,spibet_HC_LP_HF_13,
mp,vacmem_HC_LP_HF_13,A
mp,acegla_HC_LP_HF_14,7
mp,loninv_HC_LP_HF_14,8
mp,rhoalb_HC_LP_HF_14,4
mp,rubpar_HC_LP_HF_14,tml
mp,loninv_HC_LP_HF_15,6
mp,poptre_HC_LP_HF_15,6
mp,sorsco_HC_LP_HF_15,10
mp,symalb_HC_LP_HF_15,wjt
mp,alnvir_HC_LP_HF_16,6
mp,amealn_HC_LP_HF_16,2
mp,shecan_HC_LP_HF_16,6
mp,symalb_HC_LP_HF_16,wjt
mp,loninv_HC_LP_HF_17,13
mp,poptre_HC_LP_HF_17,Aski
mp,spibet_HC_LP_HF_17,
mp,vibedu_HC_LP_HF_17,11
mp,loninv_HC_LP_HF_18,13
mp,poptre_HC_LP_HF_18,Aski
mp,sorsco_HC_LP_HF_18,12
mp,spipyr_HC_LP_HF_18,
mp,amealn_HC_LP_HF_19,2
mp,loninv_HC_LP_HF_19,8
mp,popbal_HC_LP_HF_19,11
mp,spibet_HC_LP_HF_19,
mp,alninc_HC_LP_HF_2,3
mp,menfer_HC_LP_HF_2,7
mp,poptre_HC_LP_HF_2,Aski
mp,vibedu_HC_LP_HF_2,12
mp,alninc_HC_LP_HF_20,4
mp,alninc_HC_LP_HF_20,4
mp,poptre_HC_LP_HF_20,bski
mp,samrac_HC_LP_HF_20,7
mp,popbal_HC_LP_HF_21,11
mp,rhoalb_HC_LP_HF_21,4
mp,spipyr_HC_LP_HF_21,
mp,symalb_HC_LP_HF_21,w/6
mp,alnvir_HC_LP_HF_22,1
mp,amealn_HC_LP_HF_22,2
mp,corsto_HC_LP_HF_22,5
mp,shecan_HC_LP_HF_22,11
mp,alnvir_HC_LP_HF_23,6
mp,menfer_HC_LP_HF_23,10
mp,rhoalb_HC_LP_HF_23,1
mp,vacmem_HC_LP_HF_23,wjt
mp,acegla_HC_LP_HF_24,3
mp,acegla_HC_LP_HF_24,
mp,sorsco_HC_LP_HF_24,10
mp,vibedu_HC_LP_HF_24,9
