"lab2","lab3","population","treatment","chill","force","photo","species","tbb","latbb1"
"ACESAC09_SH_01","ACESAC09_SH_01_LC_HP_HF","SH","WL1","LC","HF","HP","ACESAC",57,NA
"ACESAC10_HF_02","ACESAC10_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","ACESAC",61,NA
"ACESAC10_HF_08","ACESAC10_HF_08_chill0_LP_LF","HF","CS0","chill0","LF","LP","ACESAC",68,NA
"ACESAC10_SH_03","ACESAC10_SH_03_LC_LP_LF","SH","CS1","LC","LF","LP","ACESAC",77,NA
"ACESAC10_SH_05","ACESAC10_SH_05_chill0_LP_LF","SH","CS0","chill0","LF","LP","ACESAC",68,NA
"ACESAC99_HF_01","ACESAC99_HF_01_HC_LP_LF","HF","CS2","HC","LF","LP","ACESAC",77,NA
"ACESAC99_HF_02","ACESAC99_HF_02_chill0_LP_HF","HF","WS0","chill0","HF","LP","ACESAC",68,NA
"ACESAC99_HF_04","ACESAC99_HF_04_LC_HP_HF","HF","WL1","LC","HF","HP","ACESAC",64,NA
"ACESAC99_HF_05","ACESAC99_HF_05_HC_HP_LF","HF","CL2","HC","LF","HP","ACESAC",70,NA
"ACESAC99_HF_06","ACESAC99_HF_06_chill0_LP_LF","HF","CS0","chill0","LF","LP","ACESAC",68,NA
"ACESAC99_HF_10","ACESAC99_HF_10_LC_HP_LF","HF","CL1","LC","LF","HP","ACESAC",70,NA
"ACESAC99_HF_12","ACESAC99_HF_12_chill0_HP_HF","HF","WL0","chill0","HF","HP","ACESAC",39,NA
"ACESAC99_SH_04","ACESAC99_SH_04_HC_HP_HF","SH","WL2","HC","HF","HP","ACESAC",69,NA
"BETALL01_SH_11","BETALL01_SH_11_HC_HP_HF","SH","WL2","HC","HF","HP","BETALL",47,NA
"CORCOR08_HF_01","CORCOR08_HF_01_chill0_HP_HF","HF","WL0","chill0","HF","HP","CORCOR",29,NA
"CORCOR09_HF_02","CORCOR09_HF_02_chill0_HP_HF","HF","WL0","chill0","HF","HP","CORCOR",6,NA
"FAGGRA02_SH_02","FAGGRA02_SH_02_chill0_LP_HF","SH","WS0","chill0","HF","LP","FAGGRA",12,NA
"FAGGRA02_SH_08","FAGGRA02_SH_08_HC_LP_HF","SH","WS2","HC","HF","LP","FAGGRA",83,NA
"FAGGRA03_HF_06","FAGGRA03_HF_06_HC_LP_LF","HF","CS2","HC","LF","LP","FAGGRA",85,NA
"FAGGRA04_SH_02","FAGGRA04_SH_02_chill0_LP_HF","SH","WS0","chill0","HF","LP","FAGGRA",29,NA
"FAGGRA04_SH_11","FAGGRA04_SH_11_HC_LP_LF","SH","CS2","HC","LF","LP","FAGGRA",63,NA
"FAGGRA05_SH_05","FAGGRA05_SH_05_HC_HP_HF","SH","WL2","HC","HF","HP","FAGGRA",47,NA
"FAGGRA06_SH_07","FAGGRA06_SH_07_HC_LP_LF","SH","CS2","HC","LF","LP","FAGGRA",85,NA
"FAGGRA07_SH_05","FAGGRA07_SH_05_LC_HP_HF","SH","WL1","LC","HF","HP","FAGGRA",64,NA
"FAGGRA08_SH_02","FAGGRA08_SH_02_LC_LP_HF","SH","WS1","LC","HF","LP","FAGGRA",83,NA
"FAGGRA10_HF_03","FAGGRA10_HF_03_HC_LP_HF","HF","WS2","HC","HF","LP","FAGGRA",83,NA
"FAGGRA10_HF_10","FAGGRA10_HF_10_chill0_HP_HF","HF","WL0","chill0","HF","HP","FAGGRA",53,NA
"FAGGRA11_HF_04","FAGGRA11_HF_04_chill0_LP_HF","HF","WS0","chill0","HF","LP","FAGGRA",68,NA
"FAGGRA14_HF_01","FAGGRA14_HF_01_HC_HP_LF","HF","CL2","HC","LF","HP","FAGGRA",70,NA
"FAGGRA14_HF_07","FAGGRA14_HF_07_chill0_HP_HF","HF","WL0","chill0","HF","HP","FAGGRA",39,NA
"FRANIG01_HF_03","FRANIG01_HF_03_chill0_HP_HF","HF","WL0","chill0","HF","HP","FRANIG",26,NA
"FRANIG01_HF_04","FRANIG01_HF_04_chill0_HP_LF","HF","CL0","chill0","LF","HP","FRANIG",34,NA
"FRANIG01_SH_02","FRANIG01_SH_02_chill0_HP_HF","SH","WL0","chill0","HF","HP","FRANIG",26,NA
"FRANIG03_HF_02","FRANIG03_HF_02_chill0_LP_LF","HF","CS0","chill0","LF","LP","FRANIG",47,NA
"FRANIG03_HF_03","FRANIG03_HF_03_chill0_HP_HF","HF","WL0","chill0","HF","HP","FRANIG",39,NA
"FRANIG04_HF_02","FRANIG04_HF_02_chill0_HP_HF","HF","WL0","chill0","HF","HP","FRANIG",33,NA
"FRANIG04_HF_03","FRANIG04_HF_03_chill0_LP_HF","HF","WS0","chill0","HF","LP","FRANIG",34,NA
"FRANIG04_HF_04","FRANIG04_HF_04_chill0_LP_LF","HF","CS0","chill0","LF","LP","FRANIG",53,NA
"FRANIG05_SH_04","FRANIG05_SH_04_chill0_HP_HF","SH","WL0","chill0","HF","HP","FRANIG",33,NA
"FRANIG06_HF_01","FRANIG06_HF_01_chill0_HP_HF","HF","WL0","chill0","HF","HP","FRANIG",29,NA
"FRANIG06_HF_02","FRANIG06_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","FRANIG",34,NA
"FRANIG06_HF_03","FRANIG06_HF_03_chill0_LP_HF","HF","WS0","chill0","HF","LP","FRANIG",34,NA
"FRANIG06_HF_04","FRANIG06_HF_04_chill0_LP_LF","HF","CS0","chill0","LF","LP","FRANIG",47,NA
"FRANIG06_SH_01","FRANIG06_SH_01_chill0_HP_HF","SH","WL0","chill0","HF","HP","FRANIG",26,NA
"FRANIG06_SH_03","FRANIG06_SH_03_chill0_HP_LF","SH","CL0","chill0","LF","HP","FRANIG",34,NA
"FRANIG06_SH_04","FRANIG06_SH_04_chill0_LP_LF","SH","CS0","chill0","LF","LP","FRANIG",39,NA
"FRANIG08_HF_01","FRANIG08_HF_01_chill0_LP_LF","HF","CS0","chill0","LF","LP","FRANIG",39,NA
"FRANIG08_HF_02","FRANIG08_HF_02_chill0_HP_HF","HF","WL0","chill0","HF","HP","FRANIG",33,NA
"FRANIG08_HF_03","FRANIG08_HF_03_chill0_HP_LF","HF","CL0","chill0","LF","HP","FRANIG",34,NA
"FRANIG08_HF_04","FRANIG08_HF_04_chill0_LP_HF","HF","WS0","chill0","HF","LP","FRANIG",34,NA
"FRANIG08_SH_01","FRANIG08_SH_01_chill0_LP_LF","SH","CS0","chill0","LF","LP","FRANIG",68,NA
"FRANIG08_SH_02","FRANIG08_SH_02_chill0_LP_HF","SH","WS0","chill0","HF","LP","FRANIG",34,NA
"FRANIG08_SH_03","FRANIG08_SH_03_chill0_HP_HF","SH","WL0","chill0","HF","HP","FRANIG",33,NA
"FRANIG08_SH_04","FRANIG08_SH_04_chill0_HP_LF","SH","CL0","chill0","LF","HP","FRANIG",40,NA
"FRANIG09_SH_01","FRANIG09_SH_01_chill0_HP_HF","SH","WL0","chill0","HF","HP","FRANIG",33,NA
"KALANG03_SH_01","KALANG03_SH_01_chill0_HP_HF","SH","WL0","chill0","HF","HP","KALANG",29,NA
"KALANG03_SH_03","KALANG03_SH_03_chill0_LP_LF","SH","CS0","chill0","LF","LP","KALANG",33,NA
"KALANG03_SH_04","KALANG03_SH_04_chill0_HP_LF","SH","CL0","chill0","LF","HP","KALANG",40,NA
"KALANG04_SH_02","KALANG04_SH_02_chill0_LP_LF","SH","CS0","chill0","LF","LP","KALANG",68,NA
"KALANG04_SH_03","KALANG04_SH_03_chill0_HP_LF","SH","CL0","chill0","LF","HP","KALANG",32,NA
"KALANG05_SH_02","KALANG05_SH_02_chill0_LP_LF","SH","CS0","chill0","LF","LP","KALANG",33,NA
"KALANG05_SH_04","KALANG05_SH_04_chill0_LP_HF","SH","WS0","chill0","HF","LP","KALANG",27,NA
"KALANG07_HF_01","KALANG07_HF_01_chill0_LP_HF","HF","WS0","chill0","HF","LP","KALANG",27,NA
"KALANG07_HF_02","KALANG07_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","KALANG",34,NA
"KALANG07_HF_03","KALANG07_HF_03_chill0_LP_LF","HF","CS0","chill0","LF","LP","KALANG",39,NA
"KALANG07_HF_04","KALANG07_HF_04_chill0_HP_HF","HF","WL0","chill0","HF","HP","KALANG",26,NA
"KALANG07_SH_02","KALANG07_SH_02_chill0_LP_LF","SH","CS0","chill0","LF","LP","KALANG",33,NA
"KALANG07_SH_03","KALANG07_SH_03_chill0_HP_LF","SH","CL0","chill0","LF","HP","KALANG",32,NA
"KALANG07_SH_04","KALANG07_SH_04_chill0_HP_HF","SH","WL0","chill0","HF","HP","KALANG",29,NA
"KALANG08_SH_01","KALANG08_SH_01_chill0_LP_HF","SH","WS0","chill0","HF","LP","KALANG",34,NA
"KALANG08_SH_02","KALANG08_SH_02_chill0_HP_LF","SH","CL0","chill0","LF","HP","KALANG",40,NA
"KALANG08_SH_03","KALANG08_SH_03_chill0_LP_LF","SH","CS0","chill0","LF","LP","KALANG",39,NA
"KALANG09_HF_01","KALANG09_HF_01_chill0_HP_HF","HF","WL0","chill0","HF","HP","KALANG",26,NA
"KALANG09_HF_02","KALANG09_HF_02_chill0_LP_LF","HF","CS0","chill0","LF","LP","KALANG",33,NA
"KALANG09_HF_03","KALANG09_HF_03_chill0_HP_LF","HF","CL0","chill0","LF","HP","KALANG",32,NA
"KALANG11_HF_02","KALANG11_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","KALANG",34,NA
"KALANG11_HF_03","KALANG11_HF_03_chill0_LP_HF","HF","WS0","chill0","HF","LP","KALANG",26,NA
"KALANG12_HF_01","KALANG12_HF_01_chill0_HP_HF","HF","WL0","chill0","HF","HP","KALANG",29,NA
"KALANG12_HF_02","KALANG12_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","KALANG",34,NA
"KALANG12_HF_04","KALANG12_HF_04_chill0_LP_LF","HF","CS0","chill0","LF","LP","KALANG",33,NA
"KALANG13_HF_01","KALANG13_HF_01_chill0_LP_LF","HF","CS0","chill0","LF","LP","KALANG",33,NA
"KALANG13_HF_02","KALANG13_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","KALANG",34,NA
"KALANG13_HF_03","KALANG13_HF_03_chill0_HP_HF","HF","WL0","chill0","HF","HP","KALANG",29,NA
"KALANG13_HF_04","KALANG13_HF_04_chill0_LP_HF","HF","WS0","chill0","HF","LP","KALANG",27,NA
"KALANG14_HF_01","KALANG14_HF_01_chill0_LP_HF","HF","WS0","chill0","HF","LP","KALANG",27,NA
"KALANG14_HF_02","KALANG14_HF_02_chill0_HP_HF","HF","WL0","chill0","HF","HP","KALANG",26,NA
"KALANG14_HF_03","KALANG14_HF_03_chill0_LP_LF","HF","CS0","chill0","LF","LP","KALANG",33,NA
"KALANG14_HF_04","KALANG14_HF_04_chill0_HP_LF","HF","CL0","chill0","LF","HP","KALANG",32,NA
"KALANG99_SH_02","KALANG99_SH_02_chill0_LP_LF","SH","CS0","chill0","LF","LP","KALANG",33,NA
"KALANG99_SH_03","KALANG99_SH_03_chill0_HP_LF","SH","CL0","chill0","LF","HP","KALANG",40,NA
"NYSSYL13_HF_04","NYSSYL13_HF_04_chill0_HP_LF","HF","CL0","chill0","LF","HP","NYSSYL",34,NA
"POPGRA01_SH_02","POPGRA01_SH_02_LC_HP_HF","SH","WL1","LC","HF","HP","POPGRA",46,NA
"POPGRA01_SH_04","POPGRA01_SH_04_HC_HP_HF","SH","WL2","HC","HF","HP","POPGRA",53,NA
"POPGRA01_SH_06","POPGRA01_SH_06_HC_LP_LF","SH","CS2","HC","LF","LP","POPGRA",56,NA
"POPGRA01_SH_07","POPGRA01_SH_07_HC_LP_HF","SH","WS2","HC","HF","LP","POPGRA",57,NA
"POPGRA01_SH_09","POPGRA01_SH_09_HC_HP_LF","SH","CL2","HC","LF","HP","POPGRA",56,NA
"POPGRA02_SH_03","POPGRA02_SH_03_LC_HP_HF","SH","WL1","LC","HF","HP","POPGRA",46,NA
"POPGRA02_SH_08","POPGRA02_SH_08_HC_LP_HF","SH","WS2","HC","HF","LP","POPGRA",57,NA
"POPGRA04_SH_09","POPGRA04_SH_09_LC_LP_HF","SH","WS1","LC","HF","LP","POPGRA",71,NA
"POPGRA05_HF_01","POPGRA05_HF_01_HC_LP_HF","HF","WS2","HC","HF","LP","POPGRA",74,NA
"POPGRA05_HF_02","POPGRA05_HF_02_chill0_HP_HF","HF","WL0","chill0","HF","HP","POPGRA",39,NA
"POPGRA05_HF_03","POPGRA05_HF_03_chill0_LP_LF","HF","CS0","chill0","LF","LP","POPGRA",68,NA
"POPGRA05_HF_04","POPGRA05_HF_04_HC_HP_HF","HF","WL2","HC","HF","HP","POPGRA",60,NA
"POPGRA05_HF_05","POPGRA05_HF_05_LC_HP_LF","HF","CL1","LC","LF","HP","POPGRA",76,NA
"POPGRA05_HF_06","POPGRA05_HF_06_LC_LP_LF","HF","CS1","LC","LF","LP","POPGRA",77,NA
"POPGRA05_HF_07","POPGRA05_HF_07_HC_HP_LF","HF","CL2","HC","LF","HP","POPGRA",76,NA
"POPGRA05_HF_08","POPGRA05_HF_08_chill0_HP_LF","HF","CL0","chill0","LF","HP","POPGRA",68,NA
"POPGRA05_HF_09","POPGRA05_HF_09_LC_LP_HF","HF","WS1","LC","HF","LP","POPGRA",64,NA
"POPGRA05_HF_10","POPGRA05_HF_10_LC_HP_HF","HF","WL1","LC","HF","HP","POPGRA",57,NA
"POPGRA05_HF_11","POPGRA05_HF_11_HC_LP_LF","HF","CS2","HC","LF","LP","POPGRA",85,NA
"POPGRA05_SH_08","POPGRA05_SH_08_chill0_LP_HF","SH","WS0","chill0","HF","LP","POPGRA",40,NA
"POPGRA06_HF_03","POPGRA06_HF_03_LC_HP_LF","HF","CL1","LC","LF","HP","POPGRA",63,NA
"POPGRA06_HF_06","POPGRA06_HF_06_HC_LP_HF","HF","WS2","HC","HF","LP","POPGRA",64,NA
"POPGRA06_HF_10","POPGRA06_HF_10_HC_HP_LF","HF","CL2","HC","LF","HP","POPGRA",70,NA
"POPGRA06_HF_11","POPGRA06_HF_11_LC_HP_HF","HF","WL1","LC","HF","HP","POPGRA",57,NA
"POPGRA06_HF_12","POPGRA06_HF_12_HC_HP_HF","HF","WL2","HC","HF","HP","POPGRA",60,NA
"POPGRA06_SH_02","POPGRA06_SH_02_LC_LP_LF","SH","CS1","LC","LF","LP","POPGRA",56,NA
"POPGRA07_HF_02","POPGRA07_HF_02_LC_LP_LF","HF","CS1","LC","LF","LP","POPGRA",77,NA
"POPGRA07_HF_05","POPGRA07_HF_05_LC_LP_HF","HF","WS1","LC","HF","LP","POPGRA",57,NA
"POPGRA07_HF_06","POPGRA07_HF_06_HC_HP_LF","HF","CL2","HC","LF","HP","POPGRA",70,NA
"POPGRA07_HF_09","POPGRA07_HF_09_chill0_HP_LF","HF","CL0","chill0","LF","HP","POPGRA",68,NA
"POPGRA07_HF_12","POPGRA07_HF_12_HC_LP_LF","HF","CS2","HC","LF","LP","POPGRA",63,NA
"POPGRA08_SH_09","POPGRA08_SH_09_chill0_HP_LF","SH","CL0","chill0","LF","HP","POPGRA",40,NA
"QUEALB12_HF_02","QUEALB12_HF_02_chill0_LP_HF","HF","WS0","chill0","HF","LP","QUEALB",56,NA
"QUERUB04_SH_07","QUERUB04_SH_07_HC_HP_LF","SH","CL2","HC","LF","HP","QUERUB",56,NA
"QUERUB05_SH_01","QUERUB05_SH_01_LC_HP_LF","SH","CL1","LC","LF","HP","QUERUB",55,NA
"QUERUB05_SH_09","QUERUB05_SH_09_HC_LP_LF","SH","CS2","HC","LF","LP","QUERUB",63,NA
"QUERUB05_SH_11","QUERUB05_SH_11_LC_HP_HF","SH","WL1","LC","HF","HP","QUERUB",57,NA
"QUERUB06_SH_01","QUERUB06_SH_01_LC_HP_HF","SH","WL1","LC","HF","HP","QUERUB",57,NA
"QUERUB06_SH_02","QUERUB06_SH_02_LC_LP_LF","SH","CS1","LC","LF","LP","QUERUB",63,NA
"QUERUB06_SH_03","QUERUB06_SH_03_chill0_LP_LF","SH","CS0","chill0","LF","LP","QUERUB",68,NA
"QUERUB06_SH_08","QUERUB06_SH_08_HC_HP_LF","SH","CL2","HC","LF","HP","QUERUB",70,NA
"QUERUB06_SH_09","QUERUB06_SH_09_HC_LP_HF","SH","WS2","HC","HF","LP","QUERUB",64,NA
"QUERUB06_SH_10","QUERUB06_SH_10_HC_LP_LF","SH","CS2","HC","LF","LP","QUERUB",63,NA
"QUERUB07_SH_03","QUERUB07_SH_03_LC_LP_LF","SH","CS1","LC","LF","LP","QUERUB",48,NA
"QUERUB07_SH_05","QUERUB07_SH_05_chill0_HP_HF","SH","WL0","chill0","HF","HP","QUERUB",53,NA
"QUERUB07_SH_06","QUERUB07_SH_06_chill0_HP_LF","SH","CL0","chill0","LF","HP","QUERUB",54,NA
"QUERUB07_SH_07","QUERUB07_SH_07_HC_LP_HF","SH","WS2","HC","HF","LP","QUERUB",57,NA
"QUERUB07_SH_09","QUERUB07_SH_09_LC_LP_HF","SH","WS1","LC","HF","LP","QUERUB",57,NA
"QUERUB07_SH_10","QUERUB07_SH_10_LC_HP_HF","SH","WL1","LC","HF","HP","QUERUB",50,NA
"QUERUB07_SH_11","QUERUB07_SH_11_LC_HP_LF","SH","CL1","LC","LF","HP","QUERUB",50,NA
"QUERUB07_SH_12","QUERUB07_SH_12_HC_HP_HF","SH","WL2","HC","HF","HP","QUERUB",47,NA
"QUERUB08_SH_01","QUERUB08_SH_01_chill0_LP_LF","SH","CS0","chill0","LF","LP","QUERUB",68,NA
"QUERUB08_SH_04","QUERUB08_SH_04_HC_HP_LF","SH","CL2","HC","LF","HP","QUERUB",70,NA
"QUERUB08_SH_07","QUERUB08_SH_07_HC_LP_LF","SH","CS2","HC","LF","LP","QUERUB",77,NA
"QUERUB08_SH_09","QUERUB08_SH_09_LC_LP_HF","SH","WS1","LC","HF","LP","QUERUB",57,NA
"QUERUB10_SH_01","QUERUB10_SH_01_LC_HP_LF","SH","CL1","LC","LF","HP","QUERUB",63,NA
"QUERUB10_SH_02","QUERUB10_SH_02_HC_LP_HF","SH","WS2","HC","HF","LP","QUERUB",64,NA
"QUERUB10_SH_03","QUERUB10_SH_03_LC_LP_LF","SH","CS1","LC","LF","LP","QUERUB",63,NA
"QUERUB10_SH_07","QUERUB10_SH_07_HC_LP_LF","SH","CS2","HC","LF","LP","QUERUB",63,NA
"QUERUB10_SH_08","QUERUB10_SH_08_chill0_LP_LF","SH","CS0","chill0","LF","LP","QUERUB",68,NA
"QUERUB10_SH_09","QUERUB10_SH_09_LC_LP_HF","SH","WS1","LC","HF","LP","QUERUB",57,NA
"QUERUB10_SH_12","QUERUB10_SH_12_HC_HP_LF","SH","CL2","HC","LF","HP","QUERUB",56,NA
"QUERUB15_HF_01","QUERUB15_HF_01_chill0_HP_LF","HF","CL0","chill0","LF","HP","QUERUB",48,NA
"QUERUB15_HF_06","QUERUB15_HF_06_LC_LP_HF","HF","WS1","LC","HF","LP","QUERUB",57,NA
"QUERUB15_HF_07","QUERUB15_HF_07_chill0_LP_LF","HF","CS0","chill0","LF","LP","QUERUB",68,NA
"QUERUB15_HF_10","QUERUB15_HF_10_chill0_HP_HF","HF","WL0","chill0","HF","HP","QUERUB",33,NA
"QUERUB17_HF_01","QUERUB17_HF_01_LC_LP_HF","HF","WS1","LC","HF","LP","QUERUB",57,NA
"QUERUB17_HF_02","QUERUB17_HF_02_chill0_LP_LF","HF","CS0","chill0","LF","LP","QUERUB",68,NA
"QUERUB17_HF_05","QUERUB17_HF_05_HC_HP_HF","HF","WL2","HC","HF","HP","QUERUB",60,NA
"QUERUB17_HF_06","QUERUB17_HF_06_chill0_HP_HF","HF","WL0","chill0","HF","HP","QUERUB",42,NA
"QUERUB20_HF_10","QUERUB20_HF_10_chill0_LP_HF","HF","WS0","chill0","HF","LP","QUERUB",56,NA
"QUERUB21_HF_03","QUERUB21_HF_03_chill0_LP_LF","HF","CS0","chill0","LF","LP","QUERUB",53,NA
"QUERUB23_HF_02","QUERUB23_HF_02_HC_LP_HF","HF","WS2","HC","HF","LP","QUERUB",74,NA
"QUERUB23_HF_08","QUERUB23_HF_08_chill0_LP_LF","HF","CS0","chill0","LF","LP","QUERUB",68,NA
"QUEVEL01_HF_02","QUEVEL01_HF_02_chill0_HP_HF","HF","WL0","chill0","HF","HP","QUEVEL",39,NA
"QUEVEL01_HF_04","QUEVEL01_HF_04_chill0_LP_LF","HF","CS0","chill0","LF","LP","QUEVEL",68,NA
"QUEVEL02_HF_02","QUEVEL02_HF_02_chill0_LP_LF","HF","CS0","chill0","LF","LP","QUEVEL",68,NA
"QUEVEL03_HF_02","QUEVEL03_HF_02_chill0_LP_LF","HF","CS0","chill0","LF","LP","QUEVEL",75,NA
"QUEVEL03_HF_03","QUEVEL03_HF_03_chill0_HP_LF","HF","CL0","chill0","LF","HP","QUEVEL",68,NA
"QUEVEL03_HF_04","QUEVEL03_HF_04_chill0_LP_HF","HF","WS0","chill0","HF","LP","QUEVEL",56,NA
"QUEVEL06_HF_04","QUEVEL06_HF_04_chill0_HP_LF","HF","CL0","chill0","LF","HP","QUEVEL",48,NA
"RHAFRA16_HF_03","RHAFRA16_HF_03_chill0_LP_LF","HF","CS0","chill0","LF","LP","RHAFRA",75,NA
"VACMYR07_HF_02","VACMYR07_HF_02_chill0_LP_LF","HF","CS0","chill0","LF","LP","VACMYR",33,NA
"VIBLAN02_SH_01","VIBLAN02_SH_01_HC_LP_LF","SH","CS2","HC","LF","LP","VIBLAN",77,NA
"VIBLAN02_SH_02","VIBLAN02_SH_02_chill0_HP_HF","SH","WL0","chill0","HF","HP","VIBLAN",26,NA
"VIBLAN02_SH_07","VIBLAN02_SH_07_LC_LP_HF","SH","WS1","LC","HF","LP","VIBLAN",57,NA
"VIBLAN02_SH_08","VIBLAN02_SH_08_chill0_HP_LF","SH","CL0","chill0","LF","HP","VIBLAN",82,NA
"VIBLAN02_SH_09","VIBLAN02_SH_09_chill0_LP_LF","SH","CS0","chill0","LF","LP","VIBLAN",68,NA
"VIBLAN02_SH_10","VIBLAN02_SH_10_LC_HP_LF","SH","CL1","LC","LF","HP","VIBLAN",63,NA
"VIBLAN02_SH_11","VIBLAN02_SH_11_LC_LP_LF","SH","CS1","LC","LF","LP","VIBLAN",77,NA
"VIBLAN03_HF_04","VIBLAN03_HF_04_LC_LP_HF","HF","WS1","LC","HF","LP","VIBLAN",83,NA
"VIBLAN03_HF_09","VIBLAN03_HF_09_HC_HP_LF","HF","CL2","HC","LF","HP","VIBLAN",63,NA
"VIBLAN04_HF_02","VIBLAN04_HF_02_chill0_HP_LF","HF","CL0","chill0","LF","HP","VIBLAN",61,NA
"VIBLAN04_HF_03","VIBLAN04_HF_03_LC_HP_LF","HF","CL1","LC","LF","HP","VIBLAN",90,NA
"VIBLAN04_HF_06","VIBLAN04_HF_06_LC_HP_HF","HF","WL1","LC","HF","HP","VIBLAN",64,NA
"VIBLAN04_HF_09","VIBLAN04_HF_09_HC_LP_LF","HF","CS2","HC","LF","LP","VIBLAN",77,NA
"VIBLAN04_SH_06","VIBLAN04_SH_06_HC_HP_HF","SH","WL2","HC","HF","HP","VIBLAN",60,NA
"VIBLAN04_SH_10","VIBLAN04_SH_10_HC_LP_LF","SH","CS2","HC","LF","LP","VIBLAN",63,NA
"VIBLAN04_SH_11","VIBLAN04_SH_11_LC_LP_HF","SH","WS1","LC","HF","LP","VIBLAN",64,NA
"VIBLAN04_SH_12","VIBLAN04_SH_12_chill0_LP_HF","SH","WS0","chill0","HF","LP","VIBLAN",29,NA
"VIBLAN05_SH_09","VIBLAN05_SH_09_LC_LP_LF","SH","CS1","LC","LF","LP","VIBLAN",56,NA
"VIBLAN06_SH_05","VIBLAN06_SH_05_chill0_HP_LF","SH","CL0","chill0","LF","HP","VIBLAN",40,NA
"VIBLAN06_SH_10","VIBLAN06_SH_10_HC_HP_HF","SH","WL2","HC","HF","HP","VIBLAN",47,NA
"VIBLAN07_SH_06","VIBLAN07_SH_06_chill0_LP_HF","SH","WS0","chill0","HF","LP","VIBLAN",34,NA
"VIBLAN09_SH_01","VIBLAN09_SH_01_LC_LP_LF","SH","CS1","LC","LF","LP","VIBLAN",56,NA
"VIBLAN09_SH_12","VIBLAN09_SH_12_HC_LP_HF","SH","WS2","HC","HF","LP","VIBLAN",57,NA
"VIBLAN10_HF_11","VIBLAN10_HF_11_chill0_HP_HF","HF","WL0","chill0","HF","HP","VIBLAN",33,NA
"VIBLAN11_HF_01","VIBLAN11_HF_01_HC_HP_HF","HF","WL2","HC","HF","HP","VIBLAN",60,NA
"ACESAC06_HF_10","ACESAC06_HF_10_LC_LP_LF","HF","CS1","LC","LF","LP","ACESAC",NA,42
"ACESAC07_SH_04","ACESAC07_SH_04_LC_LP_LF","SH","CS1","LC","LF","LP","ACESAC",NA,85
"ACESAC07_SH_11","ACESAC07_SH_11_chill0_LP_LF","SH","CS0","chill0","LF","LP","ACESAC",NA,68
"ACESAC07_SH_12","ACESAC07_SH_12_HC_HP_LF","SH","CL2","HC","LF","HP","ACESAC",NA,83
"ACESAC09_SH_03","ACESAC09_SH_03_chill0_LP_LF","SH","CS0","chill0","LF","LP","ACESAC",NA,68
"ACESAC09_SH_04","ACESAC09_SH_04_LC_LP_LF","SH","CS1","LC","LF","LP","ACESAC",NA,77
"ACESAC10_SH_01","ACESAC10_SH_01_LC_HP_HF","SH","WL1","LC","HF","HP","ACESAC",NA,57
"ACESAC10_SH_08","ACESAC10_SH_08_chill0_HP_LF","SH","CL0","chill0","LF","HP","ACESAC",NA,54
"ACESAC10_SH_11","ACESAC10_SH_11_HC_LP_LF","SH","CS2","HC","LF","LP","ACESAC",NA,77
"ACESAC10_SH_12","ACESAC10_SH_12_LC_LP_HF","SH","WS1","LC","HF","LP","ACESAC",NA,64
"ACESAC99_SH_06","ACESAC99_SH_06_LC_HP_LF","SH","CL1","LC","LF","HP","ACESAC",NA,70
"ACESAC99_SH_07","ACESAC99_SH_07_HC_LP_LF","SH","CS2","HC","LF","LP","ACESAC",NA,77
"ACESAC99_SH_10","ACESAC99_SH_10_LC_LP_LF","SH","CS1","LC","LF","LP","ACESAC",NA,77
"ACESAC99_SH_11","ACESAC99_SH_11_LC_LP_HF","SH","WS1","LC","HF","LP","ACESAC",NA,71
"ACESAC99_SH_12","ACESAC99_SH_12_chill0_LP_LF","SH","CS0","chill0","LF","LP","ACESAC",NA,82
"ALNINC04_SH_02","ALNINC04_SH_02_chill0_HP_HF","SH","WL0","chill0","HF","HP","ALNINC",NA,29
"ALNINC05_SH_02","ALNINC05_SH_02_chill0_LP_HF","SH","WS0","chill0","HF","LP","ALNINC",NA,27
"BETALL02_SH_02","BETALL02_SH_02_HC_LP_LF","SH","CS2","HC","LF","LP","BETALL",NA,56
"BETALL08_SH_06","BETALL08_SH_06_HC_LP_HF","SH","WS2","HC","HF","LP","BETALL",NA,46
"BETALL08_SH_12","BETALL08_SH_12_LC_LP_HF","SH","WS1","LC","HF","LP","BETALL",NA,49
"BETALL09_SH_08","BETALL09_SH_08_chill0_LP_LF","SH","CS0","chill0","LF","LP","BETALL",NA,42
"BETALL10_SH_06","BETALL10_SH_06_LC_LP_HF","SH","WS1","LC","HF","LP","BETALL",NA,49
"BETALL17_HF_10","BETALL17_HF_10_chill0_LP_HF","HF","WS0","chill0","HF","LP","BETALL",NA,27
"BETALL18_HF_04","BETALL18_HF_04_chill0_HP_HF","HF","WL0","chill0","HF","HP","BETALL",NA,18
"BETPAP06_HF_07","BETPAP06_HF_07_chill0_LP_LF","HF","CS0","chill0","LF","LP","BETPAP",NA,21
