"lab2","lab3","population","treatment","chill","force","photo","species","tbb","latbb1"
"VIBLAN04_HF_11","VIBLAN04_HF_11_chill0_LP_LF","HF","CS0","chill0","LF","LP","VIBLAN",47,68
"VIBLAN04_HF_12","VIBLAN04_HF_12_HC_LP_HF","HF","WS2","HC","HF","LP","VIBLAN",64,83
"VIBLAN04_SH_02","VIBLAN04_SH_02_chill0_LP_LF","SH","CS0","chill0","LF","LP","VIBLAN",47,47
"VIBLAN04_SH_03","VIBLAN04_SH_03_LC_HP_HF","SH","WL1","LC","HF","HP","VIBLAN",46,71
"VIBLAN04_SH_04","VIBLAN04_SH_04_LC_HP_LF","SH","CL1","LC","LF","HP","VIBLAN",55,90
"VIBLAN04_SH_07","VIBLAN04_SH_07_chill0_HP_HF","SH","WL0","chill0","HF","HP","VIBLAN",26,29
"VIBLAN04_SH_08","VIBLAN04_SH_08_LC_LP_LF","SH","CS1","LC","LF","LP","VIBLAN",56,56
"VIBLAN04_SH_09","VIBLAN04_SH_09_chill0_HP_LF","SH","CL0","chill0","LF","HP","VIBLAN",34,40
"VIBLAN05_SH_01","VIBLAN05_SH_01_chill0_HP_HF","SH","WL0","chill0","HF","HP","VIBLAN",26,26
"VIBLAN05_SH_02","VIBLAN05_SH_02_HC_LP_LF","SH","CS2","HC","LF","LP","VIBLAN",63,77
"VIBLAN05_SH_03","VIBLAN05_SH_03_chill0_LP_HF","SH","WS0","chill0","HF","LP","VIBLAN",12,12
"VIBLAN05_SH_04","VIBLAN05_SH_04_LC_HP_HF","SH","WL1","LC","HF","HP","VIBLAN",46,71
"VIBLAN05_SH_05","VIBLAN05_SH_05_LC_HP_LF","SH","CL1","LC","LF","HP","VIBLAN",50,55
"VIBLAN05_SH_06","VIBLAN05_SH_06_LC_LP_HF","SH","WS1","LC","HF","LP","VIBLAN",57,49
"VIBLAN05_SH_07","VIBLAN05_SH_07_HC_HP_HF","SH","WL2","HC","HF","HP","VIBLAN",60,47
"VIBLAN05_SH_08","VIBLAN05_SH_08_HC_HP_LF","SH","CL2","HC","LF","HP","VIBLAN",46,56
"VIBLAN05_SH_10","VIBLAN05_SH_10_HC_LP_HF","SH","WS2","HC","HF","LP","VIBLAN",57,57
"VIBLAN05_SH_11","VIBLAN05_SH_11_chill0_LP_LF","SH","CS0","chill0","LF","LP","VIBLAN",33,39
"VIBLAN05_SH_12","VIBLAN05_SH_12_chill0_HP_LF","SH","CL0","chill0","LF","HP","VIBLAN",29,29
"VIBLAN06_SH_01","VIBLAN06_SH_01_LC_LP_HF","SH","WS1","LC","HF","LP","VIBLAN",57,57
"VIBLAN06_SH_02","VIBLAN06_SH_02_LC_HP_LF","SH","CL1","LC","LF","HP","VIBLAN",50,50
"VIBLAN06_SH_03","VIBLAN06_SH_03_HC_HP_LF","SH","CL2","HC","LF","HP","VIBLAN",49,56
"VIBLAN06_SH_07","VIBLAN06_SH_07_LC_HP_HF","SH","WL1","LC","HF","HP","VIBLAN",46,71
"VIBLAN06_SH_09","VIBLAN06_SH_09_HC_LP_HF","SH","WS2","HC","HF","LP","VIBLAN",74,64
"VIBLAN06_SH_11","VIBLAN06_SH_11_chill0_LP_LF","SH","CS0","chill0","LF","LP","VIBLAN",47,68
"VIBLAN07_SH_02","VIBLAN07_SH_02_LC_LP_HF","SH","WS1","LC","HF","LP","VIBLAN",57,89
"VIBLAN07_SH_10","VIBLAN07_SH_10_LC_LP_LF","SH","CS1","LC","LF","LP","VIBLAN",63,63
"VIBLAN07_SH_12","VIBLAN07_SH_12_LC_HP_HF","SH","WL1","LC","HF","HP","VIBLAN",50,57
"VIBLAN09_HF_01","VIBLAN09_HF_01_LC_HP_HF","HF","WL1","LC","HF","HP","VIBLAN",46,71
"VIBLAN09_HF_02","VIBLAN09_HF_02_chill0_LP_LF","HF","CS0","chill0","LF","LP","VIBLAN",68,68
"VIBLAN09_HF_03","VIBLAN09_HF_03_HC_LP_HF","HF","WS2","HC","HF","LP","VIBLAN",57,83
"VIBLAN09_HF_04","VIBLAN09_HF_04_chill0_HP_LF","HF","CL0","chill0","LF","HP","VIBLAN",54,61
"VIBLAN09_HF_05","VIBLAN09_HF_05_HC_HP_LF","HF","CL2","HC","LF","HP","VIBLAN",49,56
"VIBLAN09_HF_07","VIBLAN09_HF_07_chill0_HP_HF","HF","WL0","chill0","HF","HP","VIBLAN",47,47
