"","lab","day","population","chill","photo","force","flask","percent4.t","indiv","tbb","nl","latbb80","latbb50","latbb1","treatment"
"555","mp_HC_LP_LF_34_amealn",32,"mp","HC","LP","LF",34,NA,"6",32,1,10,10,10,"HC_LP_LF"
"556","mp_HC_LP_LF_34_vacmem",55,"mp","HC","LP","LF",34,30,"ll",55,1,NA,NA,24,"HC_LP_LF"
"557","mp_HC_LP_LF_34_vibedu",24,"mp","HC","LP","LF",34,NA,"2",24,1,24,24,13,"HC_LP_LF"
"558","mp_HC_LP_LF_35_alnvir",31,"mp","HC","LP","LF",35,NA,"1",70,1,NA,61,42,"HC_LP_LF"
"559","mp_HC_LP_LF_35_sorsco",24,"mp","HC","LP","LF",35,NA,"9",24,1,NA,NA,NA,"HC_LP_LF"
"560","mp_HC_LP_LF_35_spibet",36,"mp","HC","LP","LF",35,NA,"tml",36,1,NA,NA,33,"HC_LP_LF"
"561","mp_HC_LP_LF_35_vacmem",34,"mp","HC","LP","LF",35,NA,"ll",34,1,24,24,16,"HC_LP_LF"
"562","mp_HC_LP_LF_36_amealn",24,"mp","HC","LP","LF",36,NA,"4",24,1,20,20,13,"HC_LP_LF"
"563","mp_HC_LP_LF_36_menfer",55,"mp","HC","LP","LF",36,NA,"8",NA,0,NA,NA,NA,"HC_LP_LF"
"564","mp_HC_LP_LF_36_popbal",33,"mp","HC","LP","LF",36,NA,"9",33,1,NA,NA,NA,"HC_LP_LF"
"565","mp_HC_LP_LF_36_rubpar",79,"mp","HC","LP","LF",36,NA,"sf",79,1,24,24,24,"HC_LP_LF"
"566","mp_HC_LP_LF_37_amealn",58,"mp","HC","LP","LF",37,NA,"2",58,1,13,13,10,"HC_LP_LF"
"567","mp_HC_LP_LF_37_shecan",57,"mp","HC","LP","LF",37,NA,"6",57,1,61,39,30,"HC_LP_LF"
"568","mp_HC_LP_LF_37_sorsco",57,"mp","HC","LP","LF",37,NA,"10",57,1,24,24,24,"HC_LP_LF"
"569","mp_HC_LP_LF_37_spibet",41,"mp","HC","LP","LF",37,NA,"tml",41,1,NA,NA,30,"HC_LP_LF"
"570","mp_HC_LP_LF_38_alnvir",47,"mp","HC","LP","LF",38,NA,"4",60,1,61,61,58,"HC_LP_LF"
"571","mp_HC_LP_LF_38_corsto",38,"mp","HC","LP","LF",38,NA,"6",47,1,16,16,16,"HC_LP_LF"
"572","mp_HC_LP_LF_38_popbal",17,"mp","HC","LP","LF",38,NA,"8",NA,0,NA,NA,NA,"HC_LP_LF"
"573","mp_HC_LP_LF_39_menfer",69,"mp","HC","LP","LF",39,NA,"4",69,1,NA,NA,39,"HC_LP_LF"
"574","mp_HC_LP_LF_39_poptre",34,"mp","HC","LP","LF",39,NA,"h_eg",49,1,NA,NA,NA,"HC_LP_LF"
"575","mp_HC_LP_LF_39_samrac",78,"mp","HC","LP","LF",39,50,"a_sf",78,1,NA,NA,NA,"HC_LP_LF"
"576","mp_HC_LP_LF_39_spibet",41,"mp","HC","LP","LF",39,NA,"tml",41,1,24,19,19,"HC_LP_LF"
"577","mp_HC_LP_LF_4_alnvir",12,"mp","HC","LP","LF",4,NA,"7",80,1,63,63,58,"HC_LP_LF"
"578","mp_HC_LP_LF_4_corsto",60,"mp","HC","LP","LF",4,NA,"7",60,1,13,13,10,"HC_LP_LF"
"579","mp_HC_LP_LF_4_rhoalb",55,"mp","HC","LP","LF",4,40,"1",55,1,NA,NA,39,"HC_LP_LF"
"580","mp_HC_LP_LF_4_vacmem",35,"mp","HC","LP","LF",4,50,"wjt",35,1,NA,NA,19,"HC_LP_LF"
"581","mp_HC_LP_LF_40_loninv",3,"mp","HC","LP","LF",40,NA,"a",29,1,NA,58,30,"HC_LP_LF"
"582","mp_HC_LP_LF_40_menfer",34,"mp","HC","LP","LF",40,NA,"4",51,1,NA,NA,36,"HC_LP_LF"
"583","mp_HC_LP_LF_40_riblac",80,"mp","HC","LP","LF",40,NA,"a_sf",84,1,NA,NA,84,"HC_LP_LF"
"584","mp_HC_LP_LF_40_spipyr",67,"mp","HC","LP","LF",40,NA,"2",67,1,NA,NA,NA,"HC_LP_LF"
"585","mp_HC_LP_LF_5_poptre",79,"mp","HC","LP","LF",5,20,"h_eg",79,1,NA,NA,NA,"HC_LP_LF"
"586","mp_HC_LP_LF_5_shecan",84,"mp","HC","LP","LF",5,25,"10",84,1,33,30,24,"HC_LP_LF"
"587","mp_HC_LP_LF_5_symalb",10,"mp","HC","LP","LF",5,NA,"eg",78,1,33,24,19,"HC_LP_LF"
"588","mp_HC_LP_LF_6_menfer",22,"mp","HC","LP","LF",6,NA,"2",46,1,NA,NA,36,"HC_LP_LF"
"589","mp_HC_LP_LF_6_sorsco",11,"mp","HC","LP","LF",6,NA,"8",80,1,NA,NA,NA,"HC_LP_LF"
"590","mp_HC_LP_LF_6_spipyr",46,"mp","HC","LP","LF",6,NA,"wjt",46,1,24,20,20,"HC_LP_LF"
"591","mp_HC_LP_LF_7_menfer",37,"mp","HC","LP","LF",7,NA,"10",82,1,NA,NA,49,"HC_LP_LF"
"592","mp_HC_LP_LF_7_popbal",60,"mp","HC","LP","LF",7,NA,"10",60,1,NA,NA,NA,"HC_LP_LF"
"593","mp_HC_LP_LF_7_sorsco",45,"mp","HC","LP","LF",7,NA,"9",45,1,NA,24,24,"HC_LP_LF"
"594","mp_HC_LP_LF_7_vacmem",10,"mp","HC","LP","LF",7,NA,"ll",60,1,NA,NA,36,"HC_LP_LF"
"595","mp_HC_LP_LF_8_loninv",64,"mp","HC","LP","LF",8,NA,"8",64,1,NA,NA,36,"HC_LP_LF"
"596","mp_HC_LP_LF_8_riblac",28,"mp","HC","LP","LF",8,NA,"6",NA,0,NA,NA,NA,"HC_LP_LF"
"597","mp_HC_LP_LF_8_shecan",63,"mp","HC","LP","LF",8,NA,"6",63,1,39,36,27,"HC_LP_LF"
"598","mp_HC_LP_LF_8_spipyr",42,"mp","HC","LP","LF",8,NA,"wjt",42,1,NA,NA,19,"HC_LP_LF"
"599","mp_HC_LP_LF_9_amealn",42,"mp","HC","LP","LF",9,NA,"2",42,1,24,13,13,"HC_LP_LF"
"600","mp_HC_LP_LF_9_loninv",24,"mp","HC","LP","LF",9,NA,"8",24,1,NA,NA,NA,"HC_LP_LF"
"601","mp_HC_LP_LF_9_spibet",34,"mp","HC","LP","LF",9,NA,"tml",82,1,NA,NA,43,"HC_LP_LF"
"602","mp_HC_LP_LF_9_spipyr",18,"mp","HC","LP","LF",9,NA,"wjt",73,1,NA,24,19,"HC_LP_LF"
"603","mp_LC_HP_HF_1_amealn",7,"mp","LC","HP","HF",1,NA,"4",69,1,23,23,23,"LC_HP_HF"
"604","mp_LC_HP_HF_1_menfer",77,"mp","LC","HP","HF",1,NA,"7",77,1,27,27,25,"LC_HP_HF"
"605","mp_LC_HP_HF_1_poptre",63,"mp","LC","HP","HF",1,20,"5",63,1,NA,NA,NA,"LC_HP_HF"
"606","mp_LC_HP_HF_1_symalb",67,"mp","LC","HP","HF",1,NA,"9",67,1,NA,NA,31,"LC_HP_HF"
"607","mp_LC_HP_HF_10_alnvir",66,"mp","LC","HP","HF",10,50,"8",66,1,NA,NA,15,"LC_HP_HF"
"608","mp_LC_HP_HF_10_loninv",65,"mp","LC","HP","HF",10,NA,"a",65,1,NA,NA,23,"LC_HP_HF"
"609","mp_LC_HP_HF_10_menfer",51,"mp","LC","HP","HF",10,NA,"10",51,1,NA,NA,31,"LC_HP_HF"
"610","mp_LC_HP_HF_10_spipyr",18,"mp","LC","HP","HF",10,NA,"2",67,1,27,27,19,"LC_HP_HF"
"611","mp_LC_HP_HF_11_acegla",33,"mp","LC","HP","HF",11,NA,"8",33,1,NA,NA,NA,"LC_HP_HF"
"612","mp_LC_HP_HF_11_alninc",19,"mp","LC","HP","HF",11,NA,"10",80,1,27,27,27,"LC_HP_HF"
"613","mp_LC_HP_HF_11_amealn",82,"mp","LC","HP","HF",11,50,"2",82,1,31,31,31,"LC_HP_HF"
"614","mp_LC_HP_HF_11_vacmem",82,"mp","LC","HP","HF",11,20,"wjt",82,1,NA,19,17,"LC_HP_HF"
"615","mp_LC_HP_HF_12_poptre",74,"mp","LC","HP","HF",12,NA,"f_eg",74,1,37,33,29,"LC_HP_HF"
"616","mp_LC_HP_HF_12_riblac",43,"mp","LC","HP","HF",12,NA,"b_sf",43,1,NA,NA,19,"LC_HP_HF"
"617","mp_LC_HP_HF_12_sorsco",82,"mp","LC","HP","HF",12,30,"14",82,1,NA,NA,27,"LC_HP_HF"
"618","mp_LC_HP_HF_12_spipyr",32,"mp","LC","HP","HF",12,NA,"2",32,1,29,29,29,"LC_HP_HF"
"619","mp_LC_HP_HF_13_alninc",34,"mp","LC","HP","HF",13,50,"10",34,1,36,36,31,"LC_HP_HF"
"620","mp_LC_HP_HF_13_loninv",79,"mp","LC","HP","HF",13,NA,"8",79,1,NA,NA,40,"LC_HP_HF"
"621","mp_LC_HP_HF_13_popbal",36,"mp","LC","HP","HF",13,NA,"2",36,1,36,27,23,"LC_HP_HF"
"622","mp_LC_HP_HF_13_vacmem",40,"mp","LC","HP","HF",13,NA,"wjt",40,1,NA,NA,19,"LC_HP_HF"
"623","mp_LC_HP_HF_14_rhoalb",41,"mp","LC","HP","HF",14,NA,"11",41,1,NA,NA,22,"LC_HP_HF"
"624","mp_LC_HP_HF_14_sorsco",60,"mp","LC","HP","HF",14,NA,"4",60,1,NA,22,17,"LC_HP_HF"
"625","mp_LC_HP_HF_14_symalb",49,"mp","LC","HP","HF",14,NA,"NA",49,1,19,19,19,"LC_HP_HF"
"626","mp_LC_HP_HF_14_vibedu",82,"mp","LC","HP","HF",14,NA,"NA",82,1,NA,NA,22,"LC_HP_HF"
"627","mp_LC_HP_HF_15_acegla",19,"mp","LC","HP","HF",15,60,NA,19,1,NA,NA,NA,"LC_HP_HF"
"628","mp_LC_HP_HF_15_amealn",58,"mp","LC","HP","HF",15,NA,"2",58,1,NA,31,25,"LC_HP_HF"
"629","mp_LC_HP_HF_15_menfer",17,"mp","LC","HP","HF",15,NA,"10",NA,0,NA,NA,NA,"LC_HP_HF"
"630","mp_LC_HP_HF_15_rhoalb",73,"mp","LC","HP","HF",15,25,"11",73,1,NA,NA,NA,"LC_HP_HF"
"631","mp_LC_HP_HF_15_samrac",50,"mp","LC","HP","HF",15,NA,"7",50,1,NA,NA,NA,"LC_HP_HF"
"632","mp_LC_HP_HF_16_corsto",83,"mp","LC","HP","HF",16,NA,"8",83,1,10,10,10,"LC_HP_HF"
"633","mp_LC_HP_HF_16_rhoalb",62,"mp","LC","HP","HF",16,NA,"3",62,1,NA,NA,NA,"LC_HP_HF"
"634","mp_LC_HP_HF_16_riblac",83,"mp","LC","HP","HF",16,20,"8",83,1,NA,NA,19,"LC_HP_HF"
"635","mp_LC_HP_HF_16_spibet",77,"mp","LC","HP","HF",16,NA,"tml",77,1,NA,NA,NA,"LC_HP_HF"
"636","mp_LC_HP_HF_17_alninc",47,"mp","LC","HP","HF",17,NA,"b_ll",47,1,31,31,25,"LC_HP_HF"
"637","mp_LC_HP_HF_17_amealn",78,"mp","LC","HP","HF",17,85,"7",78,1,34,27,22,"LC_HP_HF"
"638","mp_LC_HP_HF_17_sorsco",47,"mp","LC","HP","HF",17,NA,"14",47,1,NA,22,22,"LC_HP_HF"
"639","mp_LC_HP_HF_17_vibedu",77,"mp","LC","HP","HF",17,35,"10",77,1,NA,NA,NA,"LC_HP_HF"
"640","mp_LC_HP_HF_18_loninv",41,"mp","LC","HP","HF",18,NA,"10",31,1,NA,NA,NA,"LC_HP_HF"
"641","mp_LC_HP_HF_18_riblac",62,"mp","LC","HP","HF",18,NA,"8",62,1,NA,NA,15,"LC_HP_HF"
"642","mp_LC_HP_HF_18_spipyr",62,"mp","LC","HP","HF",18,NA,"wjt",62,1,19,17,17,"LC_HP_HF"
"643","mp_LC_HP_HF_19_acegla",79,"mp","LC","HP","HF",19,NA,"8",33,1,NA,NA,NA,"LC_HP_HF"
"644","mp_LC_HP_HF_19_alnvir",40,"mp","LC","HP","HF",19,NA,"7",74,1,53,49,49,"LC_HP_HF"
"645","mp_LC_HP_HF_19_samrac",57,"mp","LC","HP","HF",19,50,"8",57,1,NA,49,49,"LC_HP_HF"
"646","mp_LC_HP_HF_2_loninv",76,"mp","LC","HP","HF",2,NA,"a",31,1,NA,NA,10,"LC_HP_HF"
"647","mp_LC_HP_HF_2_menfer",44,"mp","LC","HP","HF",2,NA,"4",44,1,NA,NA,40,"LC_HP_HF"
"648","mp_LC_HP_HF_2_poptre",35,"mp","LC","HP","HF",2,50,"f_eg",35,1,25,25,22,"LC_HP_HF"
"649","mp_LC_HP_HF_2_spibet",37,"mp","LC","HP","HF",2,NA,"tml",37,1,25,17,15,"LC_HP_HF"
"650","mp_LC_HP_HF_20_acegla",5,"mp","LC","HP","HF",20,NA,"3",31,1,NA,NA,NA,"LC_HP_HF"
"651","mp_LC_HP_HF_20_poptre",16,"mp","LC","HP","HF",20,NA,NA,NA,0,NA,NA,NA,"LC_HP_HF"
"652","mp_LC_HP_HF_20_rhoalb",28,"mp","LC","HP","HF",20,50,"11",28,1,NA,NA,19,"LC_HP_HF"
"653","mp_LC_HP_HF_20_riblac",21,"mp","LC","HP","HF",20,NA,"2",21,1,NA,NA,19,"LC_HP_HF"
"654","mp_LC_HP_HF_20_sorsco",16,"mp","LC","HP","HF",20,NA,NA,NA,0,NA,NA,NA,"LC_HP_HF"
"655","mp_LC_HP_HF_20_spibet",39,"mp","LC","HP","HF",20,NA,"tml",39,1,NA,NA,37,"LC_HP_HF"
"656","mp_LC_HP_HF_20_symalb",16,"mp","LC","HP","HF",20,NA,NA,NA,0,NA,NA,NA,"LC_HP_HF"
"657","mp_LC_HP_HF_20_vacmem",16,"mp","LC","HP","HF",20,NA,NA,NA,0,NA,NA,NA,"LC_HP_HF"
"658","mp_LC_HP_HF_21_acegla",19,"mp","LC","HP","HF",21,NA,"4",80,1,NA,NA,42,"LC_HP_HF"
"659","mp_LC_HP_HF_21_menfer",27,"mp","LC","HP","HF",21,NA,"7",27,1,27,23,23,"LC_HP_HF"
"660","mp_LC_HP_HF_21_rhoalb",73,"mp","LC","HP","HF",21,70,"11",73,1,NA,19,19,"LC_HP_HF"
"661","mp_LC_HP_HF_21_spipyr",39,"mp","LC","HP","HF",21,NA,"NA",39,1,NA,15,15,"LC_HP_HF"
"662","mp_LC_HP_HF_22_acegla",39,"mp","LC","HP","HF",22,NA,"8",79,1,NA,NA,57,"LC_HP_HF"
"663","mp_LC_HP_HF_22_alninc",78,"mp","LC","HP","HF",22,NA,"10",78,1,21,21,21,"LC_HP_HF"
"664","mp_LC_HP_HF_22_spibet",41,"mp","LC","HP","HF",22,NA,"wjt",41,1,25,21,21,"LC_HP_HF"
"665","mp_LC_HP_HF_23_alnvir",7,"mp","LC","HP","HF",23,NA,"4",61,1,NA,NA,60,"LC_HP_HF"
"666","mp_LC_HP_HF_23_popbal",29,"mp","LC","HP","HF",23,NA,"6",29,1,31,27,27,"LC_HP_HF"
"667","mp_LC_HP_HF_23_rhoalb",80,"mp","LC","HP","HF",23,25,"11",80,1,NA,NA,19,"LC_HP_HF"
"668","mp_LC_HP_HF_23_vacmem",0,"mp","LC","HP","HF",23,NA,"a",82,1,NA,53,25,"LC_HP_HF"
"669","mp_LC_HP_HF_24_poptre",82,"mp","LC","HP","HF",24,25,"5",82,1,NA,NA,NA,"LC_HP_HF"
"670","mp_LC_HP_HF_24_sorsco",38,"mp","LC","HP","HF",24,NA,"13",38,1,NA,NA,NA,"LC_HP_HF"
"671","mp_LC_HP_HF_24_symalb",64,"mp","LC","HP","HF",24,NA,"9",64,1,NA,NA,40,"LC_HP_HF"
"672","mp_LC_HP_HF_24_vacmem",36,"mp","LC","HP","HF",24,80,"wjt",36,1,NA,NA,19,"LC_HP_HF"
"673","mp_LC_HP_HF_25_alninc",33,"mp","LC","HP","HF",25,NA,"b_ll",33,1,31,27,27,"LC_HP_HF"
"674","mp_LC_HP_HF_25_amealn",33,"mp","LC","HP","HF",25,25,"7",33,1,25,23,16,"LC_HP_HF"
"675","mp_LC_HP_HF_25_corsto",81,"mp","LC","HP","HF",25,NA,"1",81,1,27,16,15,"LC_HP_HF"
"676","mp_LC_HP_HF_25_symalb",63,"mp","LC","HP","HF",25,NA,"sf",63,1,NA,NA,33,"LC_HP_HF"
"677","mp_LC_HP_HF_26_acegla",62,"mp","LC","HP","HF",26,NA,"7",62,1,NA,NA,NA,"LC_HP_HF"
"678","mp_LC_HP_HF_26_alnvir",36,"mp","LC","HP","HF",26,NA,"1",62,1,66,66,39,"LC_HP_HF"
"679","mp_LC_HP_HF_26_vibedu",33,"mp","LC","HP","HF",26,NA,"12",33,1,NA,NA,NA,"LC_HP_HF"
"680","mp_LC_HP_HF_27_alninc",41,"mp","LC","HP","HF",27,65,"10",41,1,42,36,34,"LC_HP_HF"
"681","mp_LC_HP_HF_27_amealn",79,"mp","LC","HP","HF",27,NA,"10",79,1,27,25,19,"LC_HP_HF"
"682","mp_LC_HP_HF_27_samrac",69,"mp","LC","HP","HF",27,NA,"8",78,1,NA,78,78,"LC_HP_HF"
"683","mp_LC_HP_HF_27_spibet",46,"mp","LC","HP","HF",27,NA,"tml",46,1,NA,34,23,"LC_HP_HF"
"684","mp_LC_HP_HF_28_acegla",63,"mp","LC","HP","HF",28,NA,"8",63,1,NA,NA,53,"LC_HP_HF"
"685","mp_LC_HP_HF_28_corsto",82,"mp","LC","HP","HF",28,NA,"8",82,1,NA,25,15,"LC_HP_HF"
"686","mp_LC_HP_HF_28_popbal",57,"mp","LC","HP","HF",28,NA,"2",57,1,46,34,25,"LC_HP_HF"
"687","mp_LC_HP_HF_28_vacmem",18,"mp","LC","HP","HF",28,45,"ll",18,1,NA,23,10,"LC_HP_HF"
"688","mp_LC_HP_HF_29_rubpar",24,"mp","LC","HP","HF",29,NA,"7",24,1,23,23,23,"LC_HP_HF"
"689","mp_LC_HP_HF_29_shecan",34,"mp","LC","HP","HF",29,NA,"10",34,1,23,23,19,"LC_HP_HF"
"690","mp_LC_HP_HF_29_symalb",62,"mp","LC","HP","HF",29,NA,"sf",62,1,NA,NA,40,"LC_HP_HF"
"691","mp_LC_HP_HF_3_amealn",28,"mp","LC","HP","HF",3,NA,"10",28,1,25,19,15,"LC_HP_HF"
"692","mp_LC_HP_HF_3_popbal",49,"mp","LC","HP","HF",3,NA,"6",49,1,NA,34,31,"LC_HP_HF"
"693","mp_LC_HP_HF_3_poptre",24,"mp","LC","HP","HF",3,NA,"5",32,1,NA,NA,NA,"LC_HP_HF"
"694","mp_LC_HP_HF_3_sorsco",25,"mp","LC","HP","HF",3,50,"13",25,1,NA,NA,NA,"LC_HP_HF"
"695","mp_LC_HP_HF_30_rubpar",32,"mp","LC","HP","HF",30,NA,"7",32,1,NA,NA,25,"LC_HP_HF"
"696","mp_LC_HP_HF_30_samrac",75,"mp","LC","HP","HF",30,50,"6",75,1,16,16,16,"LC_HP_HF"
"697","mp_LC_HP_HF_30_symalb",80,"mp","LC","HP","HF",30,NA,"sf",80,1,31,31,19,"LC_HP_HF"
"698","mp_LC_HP_HF_31_corsto",76,"mp","LC","HP","HF",31,NA,"1",76,1,NA,NA,23,"LC_HP_HF"
"699","mp_LC_HP_HF_31_riblac",43,"mp","LC","HP","HF",31,NA,"a_sf",43,1,NA,NA,19,"LC_HP_HF"
"700","mp_LC_HP_HF_31_vacmem",42,"mp","LC","HP","HF",31,NA,"ll",42,1,23,19,19,"LC_HP_HF"
"701","mp_LC_HP_HF_32_alninc",48,"mp","LC","HP","HF",32,NA,"10",48,1,53,33,33,"LC_HP_HF"
"702","mp_LC_HP_HF_32_poptre",28,"mp","LC","HP","HF",32,NA,"5",49,1,NA,NA,NA,"LC_HP_HF"
"703","mp_LC_HP_HF_32_sorsco",70,"mp","LC","HP","HF",32,NA,"13",70,1,NA,NA,NA,"LC_HP_HF"
"704","mp_LC_HP_HF_32_spibet",24,"mp","LC","HP","HF",32,NA,"tml",45,1,37,33,23,"LC_HP_HF"
"705","mp_LC_HP_HF_33_amealn",18,"mp","LC","HP","HF",33,NA,"7",67,1,25,22,22,"LC_HP_HF"
"706","mp_LC_HP_HF_33_menfer",82,"mp","LC","HP","HF",33,NA,"4",82,1,NA,NA,40,"LC_HP_HF"
"707","mp_LC_HP_HF_33_popbal",60,"mp","LC","HP","HF",33,NA,"10",60,1,31,29,25,"LC_HP_HF"
"708","mp_LC_HP_HF_33_vacmem",81,"mp","LC","HP","HF",33,30,"ll",81,1,NA,27,17,"LC_HP_HF"
"709","mp_LC_HP_HF_34_menfer",17,"mp","LC","HP","HF",34,NA,"4",82,1,37,37,37,"LC_HP_HF"
"710","mp_LC_HP_HF_34_popbal",8,"mp","LC","HP","HF",34,NA,"10",54,1,29,27,27,"LC_HP_HF"
"711","mp_LC_HP_HF_34_rubpar",81,"mp","LC","HP","HF",34,NA,"7",81,1,NA,31,27,"LC_HP_HF"
"712","mp_LC_HP_HF_34_shecan",52,"mp","LC","HP","HF",34,50,"9",52,1,29,27,23,"LC_HP_HF"
"713","mp_LC_HP_HF_35_loninv",66,"mp","LC","HP","HF",35,NA,"8",66,1,NA,NA,42,"LC_HP_HF"
"714","mp_LC_HP_HF_35_popbal",82,"mp","LC","HP","HF",35,NA,"2",82,1,NA,78,31,"LC_HP_HF"
"715","mp_LC_HP_HF_35_spibet",65,"mp","LC","HP","HF",35,NA,"tml",65,1,23,16,16,"LC_HP_HF"
"716","mp_LC_HP_HF_35_vibedu",65,"mp","LC","HP","HF",35,NA,"8",65,1,NA,NA,NA,"LC_HP_HF"
"717","mp_LC_HP_HF_36_alnvir",72,"mp","LC","HP","HF",36,50,"8",72,1,NA,NA,42,"LC_HP_HF"
"718","mp_LC_HP_HF_36_menfer",21,"mp","LC","HP","HF",36,NA,"4",73,1,NA,NA,39,"LC_HP_HF"
"719","mp_LC_HP_HF_36_poptre",43,"mp","LC","HP","HF",36,50,"f_eg",43,1,29,29,27,"LC_HP_HF"
"720","mp_LC_HP_HF_36_rubpar",4,"mp","LC","HP","HF",36,NA,"7",76,1,NA,NA,17,"LC_HP_HF"
"721","mp_LC_HP_HF_37_alnvir",45,"mp","LC","HP","HF",37,50,"8",45,1,NA,NA,NA,"LC_HP_HF"
"722","mp_LC_HP_HF_37_loninv",76,"mp","LC","HP","HF",37,40,"a",76,1,NA,NA,NA,"LC_HP_HF"
"723","mp_LC_HP_HF_37_poptre",73,"mp","LC","HP","HF",37,50,"f_eg",73,1,25,25,25,"LC_HP_HF"
"724","mp_LC_HP_HF_37_vibedu",23,"mp","LC","HP","HF",37,NA,"10",23,1,NA,NA,19,"LC_HP_HF"
"725","mp_LC_HP_HF_38_popbal",73,"mp","LC","HP","HF",38,NA,"2",73,1,33,29,29,"LC_HP_HF"
"726","mp_LC_HP_HF_38_rubpar",17,"mp","LC","HP","HF",38,NA,"sf",58,1,23,23,23,"LC_HP_HF"
"727","mp_LC_HP_HF_38_samrac",40,"mp","LC","HP","HF",38,NA,"9",75,1,78,53,53,"LC_HP_HF"
"728","mp_LC_HP_HF_38_shecan",75,"mp","LC","HP","HF",38,25,"2",75,1,NA,NA,23,"LC_HP_HF"
"729","mp_LC_HP_HF_39_acegla",64,"mp","LC","HP","HF",39,NA,"8",64,1,NA,57,57,"LC_HP_HF"
"730","mp_LC_HP_HF_39_corsto",19,"mp","LC","HP","HF",39,75,"8",19,1,23,17,15,"LC_HP_HF"
"731","mp_LC_HP_HF_39_samrac",74,"mp","LC","HP","HF",39,50,"8",74,1,NA,NA,NA,"LC_HP_HF"
"732","mp_LC_HP_HF_39_shecan",45,"mp","LC","HP","HF",39,NA,"2",45,1,NA,NA,15,"LC_HP_HF"
"733","mp_LC_HP_HF_4_corsto",0,"mp","LC","HP","HF",4,NA,"1",67,1,23,19,17,"LC_HP_HF"
"734","mp_LC_HP_HF_4_shecan",16,"mp","LC","HP","HF",4,NA,"9",80,1,23,23,19,"LC_HP_HF"
"735","mp_LC_HP_HF_4_symalb",0,"mp","LC","HP","HF",4,NA,"a_eg",82,1,NA,NA,36,"LC_HP_HF"
"736","mp_LC_HP_HF_40_corsto",47,"mp","LC","HP","HF",40,NA,"8",47,1,21,17,15,"LC_HP_HF"
"737","mp_LC_HP_HF_40_rhoalb",25,"mp","LC","HP","HF",40,NA,"3",25,1,NA,NA,19,"LC_HP_HF"
"738","mp_LC_HP_HF_40_rubpar",68,"mp","LC","HP","HF",40,NA,"sf",68,1,NA,23,21,"LC_HP_HF"
"739","mp_LC_HP_HF_40_shecan",34,"mp","LC","HP","HF",40,NA,"2",34,1,NA,NA,23,"LC_HP_HF"
"740","mp_LC_HP_HF_5_alnvir",80,"mp","LC","HP","HF",5,NA,"1",80,1,NA,57,53,"LC_HP_HF"
"741","mp_LC_HP_HF_5_loninv",46,"mp","LC","HP","HF",5,NA,"a",46,1,NA,NA,NA,"LC_HP_HF"
"742","mp_LC_HP_HF_5_sorsco",82,"mp","LC","HP","HF",5,NA,"14",82,1,34,29,29,"LC_HP_HF"
"743","mp_LC_HP_HF_5_spipyr",15,"mp","LC","HP","HF",5,NA,"2",37,1,NA,NA,29,"LC_HP_HF"
"744","mp_LC_HP_HF_6_corsto",18,"mp","LC","HP","HF",6,NA,"10",18,1,15,15,15,"LC_HP_HF"
"745","mp_LC_HP_HF_6_loninv",68,"mp","LC","HP","HF",6,50,"10",68,1,NA,40,15,"LC_HP_HF"
"746","mp_LC_HP_HF_6_riblac",18,"mp","LC","HP","HF",6,80,"8",18,1,NA,23,15,"LC_HP_HF"
"747","mp_LC_HP_HF_6_rubpar",50,"mp","LC","HP","HF",6,NA,"sf",50,1,27,23,23,"LC_HP_HF"
"748","mp_LC_HP_HF_7_riblac",59,"mp","LC","HP","HF",7,40,"2",59,1,NA,36,19,"LC_HP_HF"
"749","mp_LC_HP_HF_7_rubpar",78,"mp","LC","HP","HF",7,NA,"sf",78,1,NA,57,27,"LC_HP_HF"
"750","mp_LC_HP_HF_7_spipyr",34,"mp","LC","HP","HF",7,NA,"wjt",34,1,NA,17,15,"LC_HP_HF"
"751","mp_LC_HP_HF_7_vibedu",41,"mp","LC","HP","HF",7,NA,"11",41,1,NA,NA,17,"LC_HP_HF"
"752","mp_LC_HP_HF_8_rhoalb",41,"mp","LC","HP","HF",8,NA,"3",41,1,NA,NA,22,"LC_HP_HF"
"753","mp_LC_HP_HF_8_riblac",39,"mp","LC","HP","HF",8,20,"2",39,1,NA,NA,31,"LC_HP_HF"
"754","mp_LC_HP_HF_8_spibet",16,"mp","LC","HP","HF",8,NA,"tml",39,1,27,19,19,"LC_HP_HF"
"755","mp_LC_HP_HF_8_spipyr",75,"mp","LC","HP","HF",8,NA,"wjt",75,1,22,19,19,"LC_HP_HF"
"756","mp_LC_HP_HF_9_samrac",44,"mp","LC","HP","HF",9,NA,"6",44,1,27,27,27,"LC_HP_HF"
"757","mp_LC_HP_HF_9_sorsco",64,"mp","LC","HP","HF",9,NA,"4",64,1,NA,NA,27,"LC_HP_HF"
"758","mp_LC_HP_HF_9_vibedu",35,"mp","LC","HP","HF",9,NA,"10",35,1,NA,NA,22,"LC_HP_HF"
"759","mp_LC_HP_LF_1_amealn",21,"mp","LC","HP","LF",1,50,"10",21,1,28,19,15,"LC_HP_LF"
"760","mp_LC_HP_LF_1_menfer",57,"mp","LC","HP","LF",1,NA,"8",NA,0,NA,NA,NA,"LC_HP_LF"
"761","mp_LC_HP_LF_1_poptre",43,"mp","LC","HP","LF",1,NA,"5",82,1,NA,NA,NA,"LC_HP_LF"
"762","mp_LC_HP_LF_1_rhoalb",70,"mp","LC","HP","LF",1,NA,"1",70,1,NA,NA,22,"LC_HP_LF"
