"","site","chill","photo","force","indiv","flask","species"
"112","sm","HC","HP","HF","w/10","34","rubpar"
"113","sm","HC","HP","HF","b","34","vibedu"
"114","sm","HC","HP","HF","NA","35","betpap"
"115","sm","HC","HP","HF",NA,"35","loninv"
"116","sm","HC","HP","HF",NA,"35","rubpar"
"117","sm","HC","HP","HF",NA,"35","sorsco"
"118","sm","HC","HP","HF","5","36","alninc"
"119","sm","HC","HP","HF","5","36","loninv"
"120","sm","HC","HP","HF","4","36","menfer"
"121","sm","HC","HP","HF"," B13","36","spipyr"
"122","sm","HC","HP","HF","11","37","acegla"
"123","sm","HC","HP","HF","5","37","corsto"
"124","sm","HC","HP","HF","cl","37","rubpar"
"125","sm","HC","HP","HF","7","37","sorsco"
"126","sm","HC","HP","HF","5","38","amealn"
"127","sm","HC","HP","HF","a","38","menfer"
"128","sm","HC","HP","HF","b","38","spipyr"
"129","sm","HC","HP","HF","10","38","shecan"
"130","sm","HC","HP","HF","2","39","acegla"
"131","sm","HC","HP","HF","19","39","alnvir"
"132","sm","HC","HP","HF","a","39","spibet"
"133","sm","HC","HP","HF","a","39","spibet"
"134","sm","HC","HP","HF","5","4","amealn"
"135","sm","HC","HP","HF","5","4","alninc"
"136","sm","HC","HP","HF","11","4","sorsco"
"137","sm","HC","HP","HF","13","40","acegla"
"138","sm","HC","HP","HF","2","40","symalb"
"139","sm","HC","HP","HF","11","40","sorsco"
"140","sm","HC","HP","HF","b","40","spipyr"
"141","sm","HC","HP","HF","7","5","acegla"
"142","sm","HC","HP","HF","19","5","alnvir"
"143","sm","HC","HP","HF","9","5","corsto"
"144","sm","HC","HP","HF","10","5","riblac"
"145","sm","HC","HP","HF","5","6","amealn"
"146","sm","HC","HP","HF","9","6","loninv"
"147","sm","HC","HP","HF","c","6","vibedu"
"148","sm","HC","HP","HF","d","6","vibedu"
"149","sm","HC","HP","HF","c","7","poptre"
"150","sm","HC","HP","HF","3","7","riblac"
"151","sm","HC","HP","HF","8","7","shecan"
"152","sm","HC","HP","HF","oct_21","7","vacmem"
"153","sm","HC","HP","HF","6","8","amealn"
"154","sm","HC","HP","HF","6","8","betpap"
"155","sm","HC","HP","HF","8","8","poptre"
"156","sm","HC","HP","HF","12","8","sorsco"
"157","sm","HC","HP","HF","13","9","acegla"
"158","sm","HC","HP","HF","11","9","sorsco"
"159","sm","HC","HP","HF","b","9","spipyr"
"160","sm","HC","HP","LF","7","1","amealn"
"161","sm","HC","HP","LF","10","1","corsto"
"162","sm","HC","HP","LF","cl","1","symalb"
"163","sm","HC","HP","LF","12","1","sorsco"
"164","sm","HC","HP","LF","7","10","amealn"
"165","sm","HC","HP","LF","w/10","10","rubpar"
"166","sm","HC","HP","LF","a","10","vibedu"
"167","sm","HC","HP","LF","12","10","shecan"
"168","sm","HC","HP","LF","5","11","betpap"
"169","sm","HC","HP","LF","11","11","riblac"
