lab2,population,treatment,flask,species,bb,trt
mp.LC.HP.HF.16.corsto.1,mp,LC.HP.HF,16,corsto,9,LC_HP_HF
sm.LC.HP.HF.16.corsto.1,sm,LC.HP.HF,16,corsto,9,LC_HP_HF
mp.LC.LP.HF.16.corsto.1,mp,LC.LP.HF,16,corsto,19,LC_LP_HF
sm.LC.LP.HF.16.corsto.1,sm,LC.LP.HF,16,corsto,15,LC_LP_HF
mp.HC.HP.LF.17.corsto.1,mp,HC.HP.LF,17,corsto,16,HC_HP_LF
mp.LC.LP.LF.17.corsto.1,mp,LC.LP.LF,17,corsto,15,LC_LP_LF
sm.HC.HP.LF.18.corsto.1,sm,HC.HP.LF,18,corsto,20,HC_HP_LF
mp.HC.LP.LF.18.corsto.1,mp,HC.LP.LF,18,corsto,12,HC_LP_LF
mp.LC.LP.HF.18.corsto.1,mp,LC.LP.HF,18,corsto,15,LC_LP_HF
sm.HC.HP.HF.19.corsto.1,sm,HC.HP.HF,19,corsto,7,HC_HP_HF
mp.LC.HP.LF.19.corsto.1,mp,LC.HP.LF,19,corsto,17,LC_HP_LF
mp.LC.LP.LF.19.corsto.1,mp,LC.LP.LF,19,corsto,17,LC_LP_LF
sm.LC.LP.LF.19.corsto.1,sm,LC.LP.LF,19,corsto,21,LC_LP_LF
sm.HC.LP.LF.20.corsto.1,sm,HC.LP.LF,20,corsto,13,HC_LP_LF
mp.LC.HP.LF.20.corsto.1,mp,LC.HP.LF,20,corsto,24,LC_HP_LF
mp.LC.HP.LF.20.corsto.2,mp,LC.HP.LF,20,corsto,22,LC_HP_LF
mp.HC.LP.LF.21.corsto.1,mp,HC.LP.LF,21,corsto,20,HC_LP_LF
mp.HC.LP.HF.22.corsto.1,mp,HC.LP.HF,22,corsto,10,HC_LP_HF
sm.LC.HP.HF.22.corsto.1,sm,LC.HP.HF,22,corsto,15,LC_HP_HF
sm.LC.HP.LF.22.corsto.1,sm,LC.HP.LF,22,corsto,21,LC_HP_LF
sm.LC.LP.LF.23.corsto.1,sm,LC.LP.LF,23,corsto,31,LC_LP_LF
sm.HC.HP.HF.25.corsto.1,sm,HC.HP.HF,25,corsto,7,HC_HP_HF
mp.HC.HP.LF.25.corsto.1,mp,HC.HP.LF,25,corsto,13,HC_HP_LF
sm.HC.HP.LF.25.corsto.1,sm,HC.HP.LF,25,corsto,12,HC_HP_LF
mp.HC.LP.HF.25.corsto.1,mp,HC.LP.HF,25,corsto,8,HC_LP_HF
sm.HC.LP.HF.25.corsto.1,sm,HC.LP.HF,25,corsto,8,HC_LP_HF
mp.LC.HP.HF.25.corsto.1,mp,LC.HP.HF,25,corsto,15,LC_HP_HF
mp.LC.HP.LF.25.corsto.1,mp,LC.HP.LF,25,corsto,19,LC_HP_LF
sm.LC.LP.HF.25.corsto.1,sm,LC.LP.HF,25,corsto,9,LC_LP_HF
mp.LC.LP.HF.26.corsto.1,mp,LC.LP.HF,26,corsto,15,LC_LP_HF
sm.LC.LP.HF.26.corsto.1,sm,LC.LP.HF,26,corsto,15,LC_LP_HF
sm.LC.LP.LF.26.corsto.1,sm,LC.LP.LF,26,corsto,31,LC_LP_LF
sm.HC.HP.LF.27.corsto.1,sm,HC.HP.LF,27,corsto,16,HC_HP_LF
sm.LC.LP.LF.27.corsto.1,sm,LC.LP.LF,27,corsto,17,LC_LP_LF
sm.HC.HP.LF.28.corsto.1,sm,HC.HP.LF,28,corsto,13,HC_HP_LF
mp.HC.LP.HF.28.corsto.1,mp,HC.LP.HF,28,corsto,10,HC_LP_HF
mp.LC.HP.HF.28.corsto.1,mp,LC.HP.HF,28,corsto,9,LC_HP_HF
sm.LC.HP.LF.28.corsto.1,sm,LC.HP.LF,28,corsto,28,LC_HP_LF
sm.HC.HP.HF.30.corsto.1,sm,HC.HP.HF,30,corsto,7,HC_HP_HF
sm.HC.HP.LF.30.corsto.1,sm,HC.HP.LF,30,corsto,13,HC_HP_LF
sm.HC.LP.HF.30.corsto.1,sm,HC.LP.HF,30,corsto,12,HC_LP_HF
mp.HC.LP.LF.31.corsto.1,mp,HC.LP.LF,31,corsto,20,HC_LP_LF
mp.LC.HP.HF.31.corsto.1,mp,LC.HP.HF,31,corsto,19,LC_HP_HF
mp.LC.HP.LF.31.corsto.1,mp,LC.HP.LF,31,corsto,22,LC_HP_LF
mp.HC.HP.LF.32.corsto.1,mp,HC.HP.LF,32,corsto,10,HC_HP_LF
sm.HC.HP.HF.33.corsto.1,sm,HC.HP.HF,33,corsto,7,HC_HP_HF
mp.HC.HP.LF.33.corsto.1,mp,HC.HP.LF,33,corsto,13,HC_HP_LF
sm.HC.LP.HF.33.corsto.1,sm,HC.LP.HF,33,corsto,10,HC_LP_HF
sm.HC.LP.LF.33.corsto.1,sm,HC.LP.LF,33,corsto,30,HC_LP_LF
mp.LC.LP.LF.33.corsto.1,mp,LC.LP.LF,33,corsto,31,LC_LP_LF
sm.HC.HP.HF.34.corsto.1,sm,HC.HP.HF,34,corsto,12,HC_HP_HF
mp.HC.LP.HF.34.corsto.1,mp,HC.LP.HF,34,corsto,10,HC_LP_HF
sm.HC.LP.LF.34.corsto.1,sm,HC.LP.LF,34,corsto,20,HC_LP_LF
sm.LC.LP.HF.34.corsto.1,sm,LC.LP.HF,34,corsto,19,LC_LP_HF
mp.LC.HP.LF.35.corsto.1,mp,LC.HP.LF,35,corsto,15,LC_HP_LF
mp.LC.LP.HF.35.corsto.1,mp,LC.LP.HF,35,corsto,15,LC_LP_HF
mp.HC.HP.HF.36.corsto.1,mp,HC.HP.HF,36,corsto,10,HC_HP_HF
mp.HC.HP.LF.36.corsto.1,mp,HC.HP.LF,36,corsto,16,HC_HP_LF
mp.HC.HP.LF.36.corsto.2,mp,HC.HP.LF,36,corsto,13,HC_HP_LF
mp.HC.LP.HF.36.corsto.1,mp,HC.LP.HF,36,corsto,10,HC_LP_HF
sm.HC.LP.LF.36.corsto.1,sm,HC.LP.LF,36,corsto,16,HC_LP_LF
sm.HC.LP.LF.36.corsto.2,sm,HC.LP.LF,36,corsto,16,HC_LP_LF
sm.LC.HP.LF.36.corsto.1,sm,LC.HP.LF,36,corsto,15,LC_HP_LF
mp.LC.LP.HF.36.corsto.1,mp,LC.LP.HF,36,corsto,15,LC_LP_HF
sm.HC.HP.HF.37.corsto.1,sm,HC.HP.HF,37,corsto,10,HC_HP_HF
mp.HC.HP.HF.38.corsto.1,mp,HC.HP.HF,38,corsto,7,HC_HP_HF
mp.HC.LP.LF.38.corsto.1,mp,HC.LP.LF,38,corsto,16,HC_LP_LF
sm.LC.HP.LF.38.corsto.1,sm,LC.HP.LF,38,corsto,15,LC_HP_LF
sm.LC.LP.HF.38.corsto.1,sm,LC.LP.HF,38,corsto,15,LC_LP_HF
mp.LC.HP.HF.39.corsto.1,mp,LC.HP.HF,39,corsto,15,LC_HP_HF
sm.LC.HP.LF.39.corsto.1,sm,LC.HP.LF,39,corsto,22,LC_HP_LF
mp.LC.LP.HF.39.corsto.1,mp,LC.LP.HF,39,corsto,19,LC_LP_HF
mp.HC.HP.HF.40.corsto.1,mp,HC.HP.HF,40,corsto,10,HC_HP_HF
mp.LC.HP.HF.40.corsto.1,mp,LC.HP.HF,40,corsto,15,LC_HP_HF
sm.LC.HP.LF.40.corsto.1,sm,LC.HP.LF,40,corsto,15,LC_HP_LF
sm.LC.LP.LF.40.corsto.1,sm,LC.LP.LF,40,corsto,31,LC_LP_LF
mp.HC.HP.HF.1.loninv.1,mp,HC.HP.HF,1,loninv,10,HC_HP_HF
sm.HC.LP.LF.1.loninv.1,sm,HC.LP.LF,1,loninv,20,HC_LP_LF
sm.LC.HP.HF.1.loninv.1,sm,LC.HP.HF,1,loninv,19,LC_HP_HF
sm.HC.HP.LF.2.loninv.1,sm,HC.HP.LF,2,loninv,4,HC_HP_LF
mp.LC.HP.HF.2.loninv.1,mp,LC.HP.HF,2,loninv,10,LC_HP_HF
sm.HC.LP.HF.3.loninv.1,sm,HC.LP.HF,3,loninv,7,HC_LP_HF
sm.HC.LP.LF.3.loninv.1,sm,HC.LP.LF,3,loninv,12,HC_LP_LF
sm.LC.HP.LF.3.loninv.1,sm,LC.HP.LF,3,loninv,57,LC_HP_LF
sm.LC.LP.HF.3.loninv.1,sm,LC.LP.HF,3,loninv,17,LC_LP_HF
sm.HC.HP.LF.5.loninv.1,sm,HC.HP.LF,5,loninv,4,HC_HP_LF
sm.HC.LP.HF.5.loninv.1,sm,HC.LP.HF,5,loninv,10,HC_LP_HF
mp.LC.HP.HF.5.loninv.1,mp,LC.HP.HF,5,loninv,22,LC_HP_HF
sm.LC.HP.HF.5.loninv.1,sm,LC.HP.HF,5,loninv,19,LC_HP_HF
mp.LC.HP.LF.5.loninv.1,mp,LC.HP.LF,5,loninv,39,LC_HP_LF
sm.LC.HP.LF.5.loninv.1,sm,LC.HP.LF,5,loninv,38,LC_HP_LF
mp.LC.LP.LF.5.loninv.1,mp,LC.LP.LF,5,loninv,38,LC_LP_LF
mp.HC.HP.HF.6.loninv.1,mp,HC.HP.HF,6,loninv,5,HC_HP_HF
sm.HC.HP.HF.6.loninv.1,sm,HC.HP.HF,6,loninv,7,HC_HP_HF
mp.LC.HP.HF.6.loninv.1,mp,LC.HP.HF,6,loninv,15,LC_HP_HF
sm.LC.HP.LF.6.loninv.1,sm,LC.HP.LF,6,loninv,24,LC_HP_LF
sm.LC.LP.LF.6.loninv.1,sm,LC.LP.LF,6,loninv,43,LC_LP_LF
sm.LC.LP.LF.7.loninv.1,sm,LC.LP.LF,7,loninv,31,LC_LP_LF
sm.HC.LP.HF.8.loninv.1,sm,HC.LP.HF,8,loninv,5,HC_LP_HF
mp.HC.LP.LF.8.loninv.1,mp,HC.LP.LF,8,loninv,20,HC_LP_LF
sm.LC.LP.HF.8.loninv.1,sm,LC.LP.HF,8,loninv,15,LC_LP_HF
mp.HC.HP.LF.9.loninv.1,mp,HC.HP.LF,9,loninv,46,HC_HP_LF
sm.HC.LP.HF.9.loninv.1,sm,HC.LP.HF,9,loninv,0,HC_LP_HF
mp.HC.LP.LF.9.loninv.1,mp,HC.LP.LF,9,loninv,20,HC_LP_LF
sm.HC.LP.LF.9.loninv.1,sm,HC.LP.LF,9,loninv,20,HC_LP_LF
mp.LC.HP.HF.10.loninv.1,mp,LC.HP.HF,10,loninv,23,LC_HP_HF
sm.LC.LP.LF.10.loninv.1,sm,LC.LP.LF,10,loninv,49,LC_LP_LF
sm.HC.HP.HF.12.loninv.1,sm,HC.HP.HF,12,loninv,7,HC_HP_HF
sm.HC.LP.HF.12.loninv.1,sm,HC.LP.HF,12,loninv,7,HC_LP_HF
sm.LC.HP.HF.12.loninv.1,sm,LC.HP.HF,12,loninv,19,LC_HP_HF
sm.HC.LP.LF.13.loninv.1,sm,HC.LP.LF,13,loninv,20,HC_LP_LF
mp.LC.HP.HF.13.loninv.1,mp,LC.HP.HF,13,loninv,40,LC_HP_HF
sm.HC.HP.HF.14.loninv.1,sm,HC.HP.HF,14,loninv,10,HC_HP_HF
mp.HC.LP.HF.14.loninv.1,mp,HC.LP.HF,14,loninv,10,HC_LP_HF
sm.HC.HP.HF.15.loninv.1,sm,HC.HP.HF,15,loninv,7,HC_HP_HF
mp.HC.LP.HF.15.loninv.1,mp,HC.LP.HF,15,loninv,10,HC_LP_HF
sm.HC.LP.LF.15.loninv.1,sm,HC.LP.LF,15,loninv,12,HC_LP_LF
mp.LC.LP.HF.15.loninv.1,mp,LC.LP.HF,15,loninv,15,LC_LP_HF
mp.HC.HP.HF.16.loninv.1,mp,HC.HP.HF,16,loninv,7,HC_HP_HF
sm.HC.HP.LF.16.loninv.1,sm,HC.HP.LF,16,loninv,13,HC_HP_LF
sm.HC.HP.LF.16.loninv.2,sm,HC.HP.LF,16,loninv,20,HC_HP_LF
mp.HC.LP.HF.17.loninv.1,mp,HC.LP.HF,17,loninv,9,HC_LP_HF
sm.LC.HP.LF.17.loninv.1,sm,LC.HP.LF,17,loninv,45,LC_HP_LF
sm.LC.LP.LF.17.loninv.1,sm,LC.LP.LF,17,loninv,46,LC_LP_LF
mp.HC.LP.HF.18.loninv.1,mp,HC.LP.HF,18,loninv,10,HC_LP_HF
sm.LC.HP.HF.18.loninv.1,sm,LC.HP.HF,18,loninv,42,LC_HP_HF
sm.LC.LP.HF.18.loninv.1,sm,LC.LP.HF,18,loninv,15,LC_LP_HF
mp.HC.LP.HF.19.loninv.1,mp,HC.LP.HF,19,loninv,10,HC_LP_HF
sm.HC.LP.HF.19.loninv.1,sm,HC.LP.HF,19,loninv,10,HC_LP_HF
sm.LC.HP.LF.19.loninv.1,sm,LC.HP.LF,19,loninv,15,LC_HP_LF
sm.HC.LP.HF.20.loninv.1,sm,HC.LP.HF,20,loninv,10,HC_LP_HF
mp.HC.LP.LF.20.loninv.1,mp,HC.LP.LF,20,loninv,33,HC_LP_LF
sm.HC.LP.LF.20.loninv.1,sm,HC.LP.LF,20,loninv,12,HC_LP_LF
sm.HC.HP.HF.21.loninv.1,sm,HC.HP.HF,21,loninv,7,HC_HP_HF
mp.HC.HP.HF.22.loninv.1,mp,HC.HP.HF,22,loninv,10,HC_HP_HF
mp.HC.HP.LF.22.loninv.1,mp,HC.HP.LF,22,loninv,84,HC_HP_LF
mp.HC.HP.LF.22.loninv.2,mp,HC.HP.LF,22,loninv,30,HC_HP_LF
sm.LC.HP.LF.22.loninv.1,sm,LC.HP.LF,22,loninv,66,LC_HP_LF
mp.HC.HP.HF.23.loninv.1,mp,HC.HP.HF,23,loninv,10,HC_HP_HF
mp.LC.LP.HF.23.loninv.1,mp,LC.LP.HF,23,loninv,19,LC_LP_HF
sm.LC.HP.HF.24.loninv.1,sm,LC.HP.HF,24,loninv,15,LC_HP_HF
mp.LC.LP.HF.24.loninv.1,mp,LC.LP.HF,24,loninv,17,LC_LP_HF
sm.LC.LP.HF.24.loninv.1,sm,LC.LP.HF,24,loninv,24,LC_LP_HF
mp.LC.HP.LF.25.loninv.1,mp,LC.HP.LF,25,loninv,24,LC_HP_LF
mp.HC.HP.HF.26.loninv.1,mp,HC.HP.HF,26,loninv,10,HC_HP_HF
mp.HC.LP.HF.26.loninv.1,mp,HC.LP.HF,26,loninv,13,HC_LP_HF
sm.LC.HP.HF.26.loninv.1,sm,LC.HP.HF,26,loninv,10,LC_HP_HF
mp.HC.LP.HF.27.loninv.1,mp,HC.LP.HF,27,loninv,12,HC_LP_HF
mp.HC.LP.LF.27.loninv.1,mp,HC.LP.LF,27,loninv,12,HC_LP_LF
sm.HC.HP.LF.28.loninv.1,sm,HC.HP.LF,28,loninv,13,HC_HP_LF
sm.HC.HP.LF.28.loninv.2,sm,HC.HP.LF,28,loninv,20,HC_HP_LF
sm.HC.LP.HF.28.loninv.1,sm,HC.LP.HF,28,loninv,5,HC_LP_HF
sm.HC.LP.LF.28.loninv.1,sm,HC.LP.LF,28,loninv,0,HC_LP_LF
sm.LC.LP.HF.28.loninv.1,sm,LC.LP.HF,28,loninv,15,LC_LP_HF
mp.HC.HP.HF.30.loninv.1,mp,HC.HP.HF,30,loninv,10,HC_HP_HF
mp.HC.LP.HF.30.loninv.1,mp,HC.LP.HF,30,loninv,10,HC_LP_HF
mp.LC.LP.HF.30.loninv.1,mp,LC.LP.HF,30,loninv,17,LC_LP_HF
sm.HC.HP.LF.31.loninv.1,sm,HC.HP.LF,31,loninv,0,HC_HP_LF
mp.HC.LP.LF.31.loninv.1,mp,HC.LP.LF,31,loninv,20,HC_LP_LF
sm.LC.HP.HF.31.loninv.1,sm,LC.HP.HF,31,loninv,33,LC_HP_HF
sm.LC.HP.LF.31.loninv.1,sm,LC.HP.LF,31,loninv,17,LC_HP_LF
sm.HC.HP.HF.32.loninv.1,sm,HC.HP.HF,32,loninv,10,HC_HP_HF
mp.HC.LP.LF.32.loninv.1,mp,HC.LP.LF,32,loninv,13,HC_LP_LF
sm.LC.HP.LF.32.loninv.1,sm,LC.HP.LF,32,loninv,17,LC_HP_LF
mp.HC.HP.LF.33.loninv.1,mp,HC.HP.LF,33,loninv,36,HC_HP_LF
mp.HC.HP.HF.34.loninv.1,mp,HC.HP.HF,34,loninv,10,HC_HP_HF
mp.LC.LP.HF.34.loninv.1,mp,LC.LP.HF,34,loninv,39,LC_LP_HF
sm.LC.LP.HF.34.loninv.1,sm,LC.LP.HF,34,loninv,19,LC_LP_HF
sm.HC.HP.HF.35.loninv.1,sm,HC.HP.HF,35,loninv,10,HC_HP_HF
mp.HC.HP.LF.35.loninv.1,mp,HC.HP.LF,35,loninv,20,HC_HP_LF
mp.HC.HP.LF.35.loninv.2,mp,HC.HP.LF,35,loninv,10,HC_HP_LF
mp.LC.HP.HF.35.loninv.1,mp,LC.HP.HF,35,loninv,42,LC_HP_HF
mp.LC.LP.HF.35.loninv.1,mp,LC.LP.HF,35,loninv,57,LC_LP_HF
sm.HC.HP.HF.36.loninv.1,sm,HC.HP.HF,36,loninv,7,HC_HP_HF
mp.LC.LP.HF.36.loninv.1,mp,LC.LP.HF,36,loninv,34,LC_LP_HF
sm.LC.LP.LF.36.loninv.1,sm,LC.LP.LF,36,loninv,69,LC_LP_LF
mp.HC.HP.LF.37.loninv.1,mp,HC.HP.LF,37,loninv,10,HC_HP_LF
mp.HC.LP.HF.37.loninv.1,mp,HC.LP.HF,37,loninv,7,HC_LP_HF
sm.HC.LP.LF.37.loninv.1,sm,HC.LP.LF,37,loninv,9,HC_LP_LF
mp.LC.HP.HF.37.loninv.1,mp,LC.HP.HF,37,loninv,39,LC_HP_HF
sm.LC.LP.HF.37.loninv.1,sm,LC.LP.HF,37,loninv,15,LC_LP_HF
mp.HC.HP.LF.38.loninv.1,mp,HC.HP.LF,38,loninv,61,HC_HP_LF
sm.HC.HP.LF.39.loninv.1,sm,HC.HP.LF,39,loninv,13,HC_HP_LF
sm.LC.LP.HF.39.loninv.1,sm,LC.LP.HF,39,loninv,24,LC_LP_HF
sm.LC.LP.LF.39.loninv.1,sm,LC.LP.LF,39,loninv,45,LC_LP_LF
sm.LC.LP.LF.39.loninv.2,sm,LC.LP.LF,39,loninv,45,LC_LP_LF
mp.HC.LP.LF.40.loninv.1,mp,HC.LP.LF,40,loninv,13,HC_LP_LF
mp.HC.HP.HF.1.menfer.1,mp,HC.HP.HF,1,menfer,45,HC_HP_HF
mp.HC.HP.LF.1.menfer.1,mp,HC.HP.LF,1,menfer,49,HC_HP_LF
sm.HC.LP.HF.1.menfer.1,sm,HC.LP.HF,1,menfer,34,HC_LP_HF
mp.LC.HP.HF.1.menfer.1,mp,LC.HP.HF,1,menfer,25,LC_HP_HF
mp.HC.HP.HF.2.menfer.1,mp,HC.HP.HF,2,menfer,31,HC_HP_HF
mp.HC.HP.HF.2.menfer.2,mp,HC.HP.HF,2,menfer,26,HC_HP_HF
mp.LC.HP.HF.2.menfer.1,mp,LC.HP.HF,2,menfer,40,LC_HP_HF
mp.LC.LP.HF.2.menfer.1,mp,LC.LP.HF,2,menfer,81,LC_LP_HF
mp.HC.LP.HF.3.menfer.1,mp,HC.LP.HF,3,menfer,26,HC_LP_HF
sm.LC.HP.HF.3.menfer.1,sm,LC.HP.HF,3,menfer,63,LC_HP_HF
mp.HC.HP.LF.4.menfer.1,mp,HC.HP.LF,4,menfer,36,HC_HP_LF
sm.HC.LP.LF.4.menfer.1,sm,HC.LP.LF,4,menfer,39,HC_LP_LF
sm.LC.HP.HF.4.menfer.1,sm,LC.HP.HF,4,menfer,46,LC_HP_HF
mp.LC.LP.LF.4.menfer.1,mp,LC.LP.LF,4,menfer,72,LC_LP_LF
mp.LC.LP.LF.4.menfer.2,mp,LC.LP.LF,4,menfer,78,LC_LP_LF
mp.HC.HP.HF.5.menfer.1,mp,HC.HP.HF,5,menfer,40,HC_HP_HF
mp.HC.HP.LF.5.menfer.1,mp,HC.HP.LF,5,menfer,42,HC_HP_LF
mp.HC.LP.HF.6.menfer.1,mp,HC.LP.HF,6,menfer,23,HC_LP_HF
mp.HC.LP.LF.6.menfer.1,mp,HC.LP.LF,6,menfer,36,HC_LP_LF
sm.HC.HP.LF.7.menfer.1,sm,HC.HP.LF,7,menfer,33,HC_HP_LF
mp.HC.LP.LF.7.menfer.1,mp,HC.LP.LF,7,menfer,49,HC_LP_LF
sm.HC.HP.LF.9.menfer.1,sm,HC.HP.LF,9,menfer,42,HC_HP_LF
sm.HC.LP.LF.9.menfer.1,sm,HC.LP.LF,9,menfer,73,HC_LP_LF
mp.HC.HP.LF.10.menfer.1,mp,HC.HP.LF,10,menfer,43,HC_HP_LF
mp.HC.LP.HF.10.menfer.1,mp,HC.LP.HF,10,menfer,26,HC_LP_HF
sm.HC.LP.HF.10.menfer.1,sm,HC.LP.HF,10,menfer,34,HC_LP_HF
sm.HC.LP.LF.10.menfer.1,sm,HC.LP.LF,10,menfer,42,HC_LP_LF
mp.LC.HP.HF.10.menfer.1,mp,LC.HP.HF,10,menfer,33,LC_HP_HF
sm.HC.LP.LF.11.menfer.1,sm,HC.LP.LF,11,menfer,49,HC_LP_LF
sm.HC.HP.HF.12.menfer.1,sm,HC.HP.HF,12,menfer,31,HC_HP_HF
mp.HC.LP.LF.12.menfer.1,mp,HC.LP.LF,12,menfer,33,HC_LP_LF
sm.LC.HP.LF.13.menfer.1,sm,LC.HP.LF,13,menfer,69,LC_HP_LF
sm.HC.HP.HF.14.menfer.1,sm,HC.HP.HF,14,menfer,34,HC_HP_HF
mp.HC.HP.LF.14.menfer.1,mp,HC.HP.LF,14,menfer,52,HC_HP_LF
mp.HC.HP.LF.15.menfer.1,mp,HC.HP.LF,15,menfer,33,HC_HP_LF
sm.HC.HP.LF.15.menfer.1,sm,HC.HP.LF,15,menfer,36,HC_HP_LF
sm.LC.HP.HF.15.menfer.1,sm,LC.HP.HF,15,menfer,27,LC_HP_HF
sm.HC.LP.LF.16.menfer.1,sm,HC.LP.LF,16,menfer,39,HC_LP_LF
sm.LC.LP.HF.16.menfer.1,sm,LC.LP.HF,16,menfer,42,LC_LP_HF
mp.LC.LP.LF.16.menfer.2,mp,LC.LP.LF,16,menfer,72,LC_LP_LF
mp.LC.LP.HF.17.menfer.1,mp,LC.LP.HF,17,menfer,72,LC_LP_HF
sm.HC.HP.HF.18.menfer.1,sm,HC.HP.HF,18,menfer,25,HC_HP_HF
sm.HC.LP.LF.18.menfer.1,sm,HC.LP.LF,18,menfer,42,HC_LP_LF
sm.HC.HP.HF.19.menfer.1,sm,HC.HP.HF,19,menfer,26,HC_HP_HF
mp.HC.HP.HF.20.menfer.1,mp,HC.HP.HF,20,menfer,26,HC_HP_HF
mp.HC.HP.LF.20.menfer.1,mp,HC.HP.LF,20,menfer,58,HC_HP_LF
mp.LC.LP.LF.20.menfer.1,mp,LC.LP.LF,20,menfer,66,LC_LP_LF
mp.LC.HP.HF.21.menfer.1,mp,LC.HP.HF,21,menfer,23,LC_HP_HF
sm.LC.HP.HF.21.menfer.1,sm,LC.HP.HF,21,menfer,40,LC_HP_HF
sm.HC.HP.LF.22.menfer.1,sm,HC.HP.LF,22,menfer,73,HC_HP_LF
sm.HC.HP.LF.22.menfer.2,sm,HC.HP.LF,22,menfer,30,HC_HP_LF
sm.HC.LP.HF.22.menfer.1,sm,HC.LP.HF,22,menfer,37,HC_LP_HF
sm.LC.HP.LF.22.menfer.1,sm,LC.HP.LF,22,menfer,75,LC_HP_LF
mp.HC.LP.HF.23.menfer.1,mp,HC.LP.HF,23,menfer,28,HC_LP_HF
sm.LC.HP.HF.23.menfer.1,sm,LC.HP.HF,23,menfer,66,LC_HP_HF
sm.HC.HP.LF.24.menfer.1,sm,HC.HP.LF,24,menfer,73,HC_HP_LF
mp.LC.LP.HF.24.menfer.1,mp,LC.LP.HF,24,menfer,57,LC_LP_HF
mp.LC.LP.LF.24.menfer.1,mp,LC.LP.LF,24,menfer,54,LC_LP_LF
mp.HC.HP.LF.25.menfer.1,mp,HC.HP.LF,25,menfer,49,HC_HP_LF
mp.HC.LP.LF.25.menfer.1,mp,HC.LP.LF,25,menfer,42,HC_LP_LF
sm.HC.HP.HF.26.menfer.1,sm,HC.HP.HF,26,menfer,22,HC_HP_HF
sm.HC.HP.HF.26.menfer.2,sm,HC.HP.HF,26,menfer,26,HC_HP_HF
sm.HC.HP.LF.26.menfer.1,sm,HC.HP.LF,26,menfer,84,HC_HP_LF
mp.HC.LP.LF.26.menfer.1,mp,HC.LP.LF,26,menfer,43,HC_LP_LF
sm.LC.LP.HF.26.menfer.1,sm,LC.LP.HF,26,menfer,57,LC_LP_HF
sm.LC.LP.HF.26.menfer.2,sm,LC.LP.HF,26,menfer,57,LC_LP_HF
sm.LC.LP.HF.27.menfer.1,sm,LC.LP.HF,27,menfer,40,LC_LP_HF
sm.HC.LP.HF.28.menfer.1,sm,HC.LP.HF,28,menfer,60,HC_LP_HF
sm.LC.LP.LF.28.menfer.1,sm,LC.LP.LF,28,menfer,75,LC_LP_LF
mp.HC.LP.HF.29.menfer.1,mp,HC.LP.HF,29,menfer,26,HC_LP_HF
mp.HC.LP.HF.29.menfer.2,mp,HC.LP.HF,29,menfer,28,HC_LP_HF
mp.HC.HP.HF.30.menfer.1,mp,HC.HP.HF,30,menfer,23,HC_HP_HF
sm.HC.HP.LF.31.menfer.1,sm,HC.HP.LF,31,menfer,49,HC_HP_LF
sm.HC.LP.HF.31.menfer.1,sm,HC.LP.HF,31,menfer,34,HC_LP_HF
sm.HC.LP.LF.31.menfer.1,sm,HC.LP.LF,31,menfer,42,HC_LP_LF
mp.HC.HP.HF.32.menfer.1,mp,HC.HP.HF,32,menfer,23,HC_HP_HF
sm.HC.LP.HF.32.menfer.1,sm,HC.LP.HF,32,menfer,31,HC_LP_HF
sm.LC.LP.HF.32.menfer.1,sm,LC.LP.HF,32,menfer,40,LC_LP_HF
mp.LC.HP.HF.33.menfer.1,mp,LC.HP.HF,33,menfer,40,LC_HP_HF
mp.LC.HP.HF.34.menfer.1,mp,LC.HP.HF,34,menfer,37,LC_HP_HF
sm.LC.HP.HF.35.menfer.1,sm,LC.HP.HF,35,menfer,33,LC_HP_HF
sm.LC.HP.HF.35.menfer.2,sm,LC.HP.HF,35,menfer,27,LC_HP_HF
sm.LC.HP.LF.35.menfer.1,sm,LC.HP.LF,35,menfer,66,LC_HP_LF
mp.LC.LP.HF.35.menfer.1,mp,LC.LP.HF,35,menfer,26,LC_LP_HF
sm.HC.HP.HF.36.menfer.1,sm,HC.HP.HF,36,menfer,22,HC_HP_HF
mp.LC.HP.HF.36.menfer.1,mp,LC.HP.HF,36,menfer,39,LC_HP_HF
sm.LC.HP.LF.36.menfer.1,sm,LC.HP.LF,36,menfer,69,LC_HP_LF
mp.LC.HP.LF.37.menfer.1,mp,LC.HP.LF,37,menfer,61,LC_HP_LF
mp.LC.LP.HF.37.menfer.1,mp,LC.LP.HF,37,menfer,33,LC_LP_HF
sm.LC.LP.HF.37.menfer.1,sm,LC.LP.HF,37,menfer,53,LC_LP_HF
sm.HC.HP.HF.38.menfer.1,sm,HC.HP.HF,38,menfer,37,HC_HP_HF
sm.HC.LP.LF.38.menfer.1,sm,HC.LP.LF,38,menfer,49,HC_LP_LF
mp.LC.LP.LF.38.menfer.1,mp,LC.LP.LF,38,menfer,81,LC_LP_LF
mp.HC.HP.HF.39.menfer.1,mp,HC.HP.HF,39,menfer,23,HC_HP_HF
mp.HC.LP.HF.39.menfer.1,mp,HC.LP.HF,39,menfer,37,HC_LP_HF
sm.HC.LP.HF.39.menfer.1,sm,HC.LP.HF,39,menfer,31,HC_LP_HF
mp.HC.LP.LF.39.menfer.1,mp,HC.LP.LF,39,menfer,39,HC_LP_LF
sm.LC.HP.HF.39.menfer.1,sm,LC.HP.HF,39,menfer,37,LC_HP_HF
