"","X","day","population","indiv","chill","photo","force","flask","species","bbch.t","percent.t","bbch.l","percent.l","bbch2.l","percent2.l","bbch3.l","percent3.l","bbch4.t","percent4.t","lab","dup","ref","lab2"
"30521",102371,15,"mp","9","HC","HP","LF",2,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_2_rubpar",TRUE,"b","mp_HC_HP_LF_2_rubpar_b"
"30525",102375,15,"sm","3","HC","HP","LF",2,"alninc",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_HP_LF_2_alninc",TRUE,"b","sm_HC_HP_LF_2_alninc_b"
"30545",102397,15,"mp",NA,"HC","HP","LF",5,"symalb",NA,NA,7,15,3,15,1,30,NA,NA,"mp_HC_HP_LF_5_symalb",TRUE,"b","mp_HC_HP_LF_5_symalb_b"
"30553",102405,15,"mp",NA,"HC","HP","LF",6,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_6_rubpar",TRUE,"b","mp_HC_HP_LF_6_rubpar_b"
"30567",102419,15,"mp",NA,"HC","HP","LF",8,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_8_spibet",TRUE,"b","mp_HC_HP_LF_8_spibet_b"
"30575",102427,15,"mp","7","HC","HP","LF",9,"samrac",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_9_samrac",TRUE,"b","mp_HC_HP_LF_9_samrac_b"
"30583",102435,15,"mp","6","HC","HP","LF",10,"popbal",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_10_popbal",TRUE,"b","mp_HC_HP_LF_10_popbal_b"
"30611",102464,15,"mp","4","HC","HP","LF",14,"alninc",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_14_alninc",TRUE,"b","mp_HC_HP_LF_14_alninc_b"
"30615",102468,15,"sm","CLA","HC","HP","LF",14,"amealn",7,60,7,25,1,60,0,15,3,40,"sm_HC_HP_LF_14_amealn",TRUE,"b","sm_HC_HP_LF_14_amealn_b"
"30632",102485,15,"sm","11","HC","HP","LF",16,"loninv",1,100,1,100,NA,NA,NA,NA,NA,NA,"sm_HC_HP_LF_16_loninv",TRUE,"b","sm_HC_HP_LF_16_loninv_b"
"30664",102517,15,"sm","8","HC","HP","LF",20,"popbal",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_HP_LF_20_popbal",TRUE,"b","sm_HC_HP_LF_20_popbal_b"
"30675",102528,15,"mp","10","HC","HP","LF",22,"loninv",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_22_loninv",TRUE,"b","mp_HC_HP_LF_22_loninv_b"
"30679",102532,15,"sm","8","HC","HP","LF",22,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_HP_LF_22_menfer",TRUE,"b","sm_HC_HP_LF_22_menfer_b"
"30716",102569,15,"mp","wjt","HC","HP","LF",27,"vacmem",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_27_vacmem",TRUE,"b","mp_HC_HP_LF_27_vacmem_b"
"30727",102580,15,"sm","10","HC","HP","LF",28,"loninv",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_HP_LF_28_loninv",TRUE,"b","sm_HC_HP_LF_28_loninv_b"
"30732",102585,15,"mp",NA,"HC","HP","LF",29,"spipyr",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_29_spipyr",TRUE,"b","mp_HC_HP_LF_29_spipyr_b"
"30739",102592,15,"mp","10","HC","HP","LF",30,"riblac",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_30_riblac",TRUE,"b","mp_HC_HP_LF_30_riblac_b"
"30748",102601,15,"mp","10","HC","HP","LF",31,"samrac",1,100,1,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_31_samrac",TRUE,"b","mp_HC_HP_LF_31_samrac_b"
"30768",102621,15,"sm",NA,"HC","HP","LF",33,"symalb",NA,NA,3,40,1,60,NA,NA,NA,NA,"sm_HC_HP_LF_33_symalb",TRUE,"b","sm_HC_HP_LF_33_symalb_b"
"30777",102631,15,"mp","Atml","HC","HP","LF",35,"loninv",9,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_35_loninv",TRUE,"b","mp_HC_HP_LF_35_loninv_b"
"30784",102638,15,"mp","9","HC","HP","LF",36,"corsto",7,100,7,40,3,30,1,30,NA,NA,"mp_HC_HP_LF_36_corsto",TRUE,"b","mp_HC_HP_LF_36_corsto_b"
"30790",102644,15,"sm","b30","HC","HP","LF",36,"spipyr",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_HP_LF_36_spipyr",TRUE,"b","sm_HC_HP_LF_36_spipyr_b"
"30806",102660,15,"sm","12","HC","HP","LF",38,"riblac",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_HP_LF_38_riblac",TRUE,"b","sm_HC_HP_LF_38_riblac_b"
"30815",102670,15,"mp","6","HC","HP","LF",40,"acegla",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_40_acegla",TRUE,"b","mp_HC_HP_LF_40_acegla_b"
"30817",102672,15,"mp","6","HC","HP","LF",40,"rhoalb",7,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_HP_LF_40_rhoalb",TRUE,"b","mp_HC_HP_LF_40_rhoalb_b"
"30844",102700,15,"sm",NA,"HC","LP","HF",3,"sorsco",7,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_HF_3_sorsco",TRUE,"b","sm_HC_LP_HF_3_sorsco_b"
"30868",102724,15,"sm","6","HC","LP","HF",6,"vibedu",15,50,15,15,11,5,10,5,3,50,"sm_HC_LP_HF_6_vibedu",TRUE,"b","sm_HC_LP_HF_6_vibedu_b"
"30896",102752,15,"mp","A","HC","LP","HF",10,"vacmem",3,100,3,50,1,25,0,25,NA,NA,"mp_HC_LP_HF_10_vacmem",TRUE,"b","mp_HC_LP_HF_10_vacmem_b"
"30939",102796,15,"sm","clw","HC","LP","HF",15,"symalb",NA,NA,7,60,1,30,0,10,NA,NA,"sm_HC_LP_HF_15_symalb",TRUE,"b","sm_HC_LP_HF_15_symalb_b"
"30972",102829,15,"mp","4","HC","LP","HF",20,"alninc",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_HF_20_alninc",TRUE,"b","mp_HC_LP_HF_20_alninc_b"
"30985",102842,15,"sm","11","HC","LP","HF",21,"riblac",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_HF_21_riblac",TRUE,"b","sm_HC_LP_HF_21_riblac_b"
"31002",102860,15,"mp","11","HC","LP","HF",24,"acegla",7,100,1,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_HF_24_acegla",TRUE,"b","mp_HC_LP_HF_24_acegla_b"
"31043",102901,15,"mp","7","HC","LP","HF",29,"amealn",7,50,7,5,3,95,NA,NA,3,50,"mp_HC_LP_HF_29_amealn",TRUE,"b","mp_HC_LP_HF_29_amealn_b"
"31045",102903,15,"mp","10","HC","LP","HF",29,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_HF_29_menfer",TRUE,"b","mp_HC_LP_HF_29_menfer_b"
"31055",102913,15,"sm","4","HC","LP","HF",30,"alninc",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_HF_30_alninc",TRUE,"b","sm_HC_LP_HF_30_alninc_b"
"31060",102918,15,"mp","10","HC","LP","HF",31,"shecan",3,100,1,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_HF_31_shecan",TRUE,"b","mp_HC_LP_HF_31_shecan_b"
"31075",102933,15,"mp","9","HC","LP","HF",33,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_HF_33_rubpar",TRUE,"b","mp_HC_LP_HF_33_rubpar_b"
"31082",102940,15,"mp","9","HC","LP","HF",34,"alninc",7,100,7,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_HF_34_alninc",TRUE,"b","mp_HC_LP_HF_34_alninc_b"
"31087",102945,15,"sm","cl","HC","LP","HF",34,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_HF_34_rubpar",TRUE,"b","sm_HC_LP_HF_34_rubpar_b"
"31111",102970,15,"sm","oc25","HC","LP","HF",37,"vacmem",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_HF_37_vacmem",TRUE,"b","sm_HC_LP_HF_37_vacmem_b"
"31112",102971,15,"sm","oc25","HC","LP","HF",37,"vacmem",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_HF_37_vacmem",TRUE,"b","sm_HC_LP_HF_37_vacmem_b"
"31115",102974,15,"mp","Ase","HC","LP","HF",38,"samrac",7,50,7,50,1,50,NA,NA,3,50,"mp_HC_LP_HF_38_samrac",TRUE,"b","mp_HC_LP_HF_38_samrac_b"
"31123",102982,15,"mp","8","HC","LP","HF",39,"popbal",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_HF_39_popbal",TRUE,"b","mp_HC_LP_HF_39_popbal_b"
"31153",103012,15,"mp","13","HC","LP","LF",3,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_LF_3_sorsco",TRUE,"b","mp_HC_LP_LF_3_sorsco_b"
"31167",103027,15,"mp","10","HC","LP","LF",5,"shecan",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_LF_5_shecan",TRUE,"b","mp_HC_LP_LF_5_shecan_b"
"31176",103036,15,"mp","wjt","HC","LP","LF",6,"spipyr",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_LF_6_spipyr",TRUE,"b","mp_HC_LP_LF_6_spipyr_b"
"31179",103039,15,"sm","12","HC","LP","LF",6,"sorsco",9,50,0,100,NA,NA,NA,NA,3,50,"sm_HC_LP_LF_6_sorsco",TRUE,"b","sm_HC_LP_LF_6_sorsco_b"
"31235",103095,15,"mp","7","HC","LP","LF",14,"amealn",7,70,7,60,3,40,NA,NA,3,30,"mp_HC_LP_LF_14_amealn",TRUE,"b","mp_HC_LP_LF_14_amealn_b"
"31260",103120,15,"mp","tml","HC","LP","LF",17,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_LF_17_rubpar",TRUE,"b","mp_HC_LP_LF_17_rubpar_b"
"31264",103124,15,"sm","12","HC","LP","LF",17,"sorsco",7,100,1,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_LF_17_sorsco",TRUE,"b","sm_HC_LP_LF_17_sorsco_b"
"31272",103132,15,"sm",NA,"HC","LP","LF",18,"spibet",1,100,7,25,1,75,NA,NA,NA,NA,"sm_HC_LP_LF_18_spibet",TRUE,"b","sm_HC_LP_LF_18_spibet_b"
"31305",103167,15,"mp","sf","HC","LP","LF",23,"symalb",NA,NA,7,15,3,30,1,40,NA,NA,"mp_HC_LP_LF_23_symalb",TRUE,"b","mp_HC_LP_LF_23_symalb_b"
"31311",103173,15,"mp","10","HC","LP","LF",24,"popbal",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_HC_LP_LF_24_popbal",TRUE,"b","mp_HC_LP_LF_24_popbal_b"
"31345",103209,15,"sm","A","HC","LP","LF",28,"amealn",3,100,7,20,3,55,1,25,NA,NA,"sm_HC_LP_LF_28_amealn",TRUE,"b","sm_HC_LP_LF_28_amealn_b"
"31352",103216,15,"mp","4","HC","LP","LF",29,"vibedu",3,100,7,20,3,80,NA,10,NA,NA,"mp_HC_LP_LF_29_vibedu",TRUE,"b","mp_HC_LP_LF_29_vibedu_b"
"31354",103218,15,"sm","4","HC","LP","LF",29,"alninc",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_LF_29_alninc",TRUE,"b","sm_HC_LP_LF_29_alninc_b"
"31356",103220,15,"sm","b","HC","LP","LF",29,"betpap",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_LF_29_betpap",TRUE,"b","sm_HC_LP_LF_29_betpap_b"
"31395",103259,15,"sm","6","HC","LP","LF",34,"alnvir",1,100,1,100,NA,NA,NA,NA,NA,NA,"sm_HC_LP_LF_34_alnvir",TRUE,"b","sm_HC_LP_LF_34_alnvir_b"
"31422",103288,15,"mp","10","HC","LP","LF",38,"corsto",3,100,3,65,0,35,NA,NA,NA,NA,"mp_HC_LP_LF_38_corsto",TRUE,"b","mp_HC_LP_LF_38_corsto_b"
"31470",12787,16,"mp","10","LC","HP","HF",4,"shecan",3,100,3,60,1,20,0,20,NA,NA,"mp_LC_HP_HF_4_shecan",TRUE,"b","mp_LC_HP_HF_4_shecan_b"
"31475",12792,16,"sm",NA,"LC","HP","HF",4,"spibet",10,50,9,10,3,25,0,55,3,50,"sm_LC_HP_HF_4_spibet",TRUE,"b","sm_LC_HP_HF_4_spibet_b"
"31497",12814,16,"sm","A branched","LC","HP","HF",7,"corsto",9,25,1,100,NA,NA,NA,NA,7,75,"sm_LC_HP_HF_7_corsto",TRUE,"b","sm_LC_HP_HF_7_corsto_b"
"31507",12824,16,"sm",NA,"LC","HP","HF",8,"riblac",0,100,1,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_8_riblac",TRUE,"b","sm_LC_HP_HF_8_riblac_b"
"31509",12826,16,"mp",NA,"LC","HP","HF",9,"samrac",NA,NA,1,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_9_samrac",TRUE,"b","mp_LC_HP_HF_9_samrac_b"
"31515",12832,16,"sm","B","LC","HP","HF",9,"vacmem",3,80,3,20,1,20,0,60,NA,NA,"sm_LC_HP_HF_9_vacmem",TRUE,"b","sm_LC_HP_HF_9_vacmem_b"
"31523",12840,16,"sm",NA,"LC","HP","HF",10,"symalb",NA,NA,1,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_10_symalb",TRUE,"b","sm_LC_HP_HF_10_symalb_b"
"31582",12899,16,"mp",NA,"LC","HP","HF",18,"spipyr",1,100,3,20,1,30,0,50,NA,NA,"mp_LC_HP_HF_18_spipyr",TRUE,"b","mp_LC_HP_HF_18_spipyr_b"
"31586",12903,16,"sm",NA,"LC","HP","HF",18,"sorsco",9,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_18_sorsco",TRUE,"b","sm_LC_HP_HF_18_sorsco_b"
"31590",12907,16,"mp","7","LC","HP","HF",19,"alnvir",3,100,3,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_19_alnvir",TRUE,"b","mp_LC_HP_HF_19_alnvir_b"
"31614",12931,16,"sm",NA,"LC","HP","HF",21,"amealn",7,100,7,85,3,15,NA,NA,NA,NA,"sm_LC_HP_HF_21_amealn",TRUE,"b","sm_LC_HP_HF_21_amealn_b"
"31618",12935,16,"mp","10","LC","HP","HF",22,"alninc",1,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_22_alninc",TRUE,"b","mp_LC_HP_HF_22_alninc_b"
"31651",12968,16,"mp",NA,"LC","HP","HF",26,"vibedu",3,100,3,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_HF_26_vibedu",TRUE,"b","mp_LC_HP_HF_26_vibedu_b"
"31653",12970,16,"sm","9","LC","HP","HF",26,"acegla",3,100,1,60,0,40,NA,NA,NA,NA,"sm_LC_HP_HF_26_acegla",TRUE,"b","sm_LC_HP_HF_26_acegla_b"
"31673",12990,16,"mp",NA,"LC","HP","HF",29,"shecan",3,100,3,60,1,40,NA,NA,NA,NA,"mp_LC_HP_HF_29_shecan",TRUE,"b","mp_LC_HP_HF_29_shecan_b"
"31676",12993,16,"sm",NA,"LC","HP","HF",29,"shecan",1,100,7,20,3,80,NA,NA,NA,NA,"sm_LC_HP_HF_29_shecan",TRUE,"b","sm_LC_HP_HF_29_shecan_b"
"31684",13001,16,"mp",NA,"LC","HP","HF",30,"symalb",NA,NA,3,10,1,30,0,60,NA,NA,"mp_LC_HP_HF_30_symalb",TRUE,"b","mp_LC_HP_HF_30_symalb_b"
"31686",13003,16,"sm",NA,"LC","HP","HF",30,"vacmem",1,40,NA,NA,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_30_vacmem",TRUE,"b","sm_LC_HP_HF_30_vacmem_b"
"31690",13007,16,"mp","B","LC","HP","HF",31,"vacmem",1,80,1,20,0,80,NA,NA,NA,NA,"mp_LC_HP_HF_31_vacmem",TRUE,"b","mp_LC_HP_HF_31_vacmem_b"
"31692",13009,16,"sm",NA,"LC","HP","HF",31,"alninc",1,66,NA,NA,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_31_alninc",TRUE,"b","sm_LC_HP_HF_31_alninc_b"
"31700",13017,16,"mp","B","LC","HP","HF",32,"spibet",1,100,3,30,1,20,0,50,NA,NA,"mp_LC_HP_HF_32_spibet",TRUE,"b","mp_LC_HP_HF_32_spibet_b"
"31725",13044,16,"sm","11","LC","HP","HF",35,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_HF_35_menfer",TRUE,"b","sm_LC_HP_HF_35_menfer_b"
"31734",13053,16,"sm","2","LC","HP","HF",36,"vibedu",7,33,7,30,3,70,NA,NA,NA,NA,"sm_LC_HP_HF_36_vibedu",TRUE,"b","sm_LC_HP_HF_36_vibedu_b"
"31748",13069,16,"sm","B","LC","HP","HF",38,"symalb",NA,NA,3,70,1,30,NA,NA,NA,NA,"sm_LC_HP_HF_38_symalb",TRUE,"b","sm_LC_HP_HF_38_symalb_b"
"31792",13113,16,"mp","tml","LC","HP","LF",4,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_4_spibet",TRUE,"b","mp_LC_HP_LF_4_spibet_b"
"31806",13127,16,"mp","4","LC","HP","LF",6,"alninc",1,100,1,30,0,70,NA,NA,NA,NA,"mp_LC_HP_LF_6_alninc",TRUE,"b","mp_LC_HP_LF_6_alninc_b"
"31812",13133,16,"sm","cl","LC","HP","LF",6,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_6_rubpar",TRUE,"b","sm_LC_HP_LF_6_rubpar_b"
"31828",13149,16,"sm","3","LC","HP","LF",8,"popbal",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_8_popbal",TRUE,"b","sm_LC_HP_LF_8_popbal_b"
"31841",13162,16,"sm","3b","LC","HP","LF",10,"riblac",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_10_riblac",TRUE,"b","sm_LC_HP_LF_10_riblac_b"
"31852",13173,16,"mp","6","LC","HP","LF",12,"amealn",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_12_amealn",TRUE,"b","mp_LC_HP_LF_12_amealn_b"
"31854",13175,16,"mp","9","LC","HP","LF",12,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_12_sorsco",TRUE,"b","mp_LC_HP_LF_12_sorsco_b"
"31874",13195,16,"sm","cl","LC","HP","LF",14,"rubpar",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_14_rubpar",TRUE,"b","sm_LC_HP_LF_14_rubpar_b"
"31882",13203,16,"sm",NA,"LC","HP","LF",15,"symalb",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_15_symalb",TRUE,"b","sm_LC_HP_LF_15_symalb_b"
"31890",13211,16,"sm",NA,"LC","HP","LF",16,"vibedu",7,33,NA,NA,NA,NA,NA,NA,3,33,"sm_LC_HP_LF_16_vibedu",TRUE,"b","sm_LC_HP_LF_16_vibedu_b"
"31903",13224,16,"mp","9","LC","HP","LF",18,"samrac",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_18_samrac",TRUE,"b","mp_LC_HP_LF_18_samrac_b"
"31905",13226,16,"sm","9","LC","HP","LF",18,"acegla",1,100,1,60,0,40,NA,NA,NA,NA,"sm_LC_HP_LF_18_acegla",TRUE,"b","sm_LC_HP_LF_18_acegla_b"
"31911",13232,16,"mp","11","LC","HP","LF",19,"vibedu",3,100,3,75,1,20,0,5,NA,NA,"mp_LC_HP_LF_19_vibedu",TRUE,"b","mp_LC_HP_LF_19_vibedu_b"
"31917",13238,16,"mp","5","LC","HP","LF",20,"corsto",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_20_corsto",TRUE,"b","mp_LC_HP_LF_20_corsto_b"
"31933",13254,16,"mp","3","LC","HP","LF",22,"alnvir",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_22_alnvir",TRUE,"b","mp_LC_HP_LF_22_alnvir_b"
"31951",13272,16,"mp","13","LC","HP","LF",24,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_24_sorsco",TRUE,"b","mp_LC_HP_LF_24_sorsco_b"
"31954",13275,16,"sm",NA,"LC","HP","LF",24,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_24_sorsco",TRUE,"b","sm_LC_HP_LF_24_sorsco_b"
"31983",13304,16,"mp","2","LC","HP","LF",28,"spipyr",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_28_spipyr",TRUE,"b","mp_LC_HP_LF_28_spipyr_b"
"31995",13316,16,"sm","cl","LC","HP","LF",29,"vacmem",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_29_vacmem",TRUE,"b","sm_LC_HP_LF_29_vacmem_b"
"31997",13318,16,"mp","5","LC","HP","LF",30,"alnvir",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_30_alnvir",TRUE,"b","mp_LC_HP_LF_30_alnvir_b"
"32010",13331,16,"sm","9","LC","HP","LF",31,"riblac",0,100,1,20,0,80,NA,NA,NA,NA,"sm_LC_HP_LF_31_riblac",TRUE,"b","sm_LC_HP_LF_31_riblac_b"
"32044",13365,16,"mp","4","LC","HP","LF",36,"acegla",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_36_acegla",TRUE,"b","mp_LC_HP_LF_36_acegla_b"
"32060",13381,16,"mp","11","LC","HP","LF",38,"acegla",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_HP_LF_38_acegla",TRUE,"b","mp_LC_HP_LF_38_acegla_b"
"32064",13385,16,"sm","10","LC","HP","LF",38,"alnvir",0,100,1,10,0,90,NA,NA,NA,NA,"sm_LC_HP_LF_38_alnvir",TRUE,"b","sm_LC_HP_LF_38_alnvir_b"
"32072",13393,16,"sm",NA,"LC","HP","LF",39,"corsto",3,100,3,100,NA,NA,NA,NA,NA,NA,"sm_LC_HP_LF_39_corsto",TRUE,"b","sm_LC_HP_LF_39_corsto_b"
"32074",13395,16,"sm",NA,"LC","HP","LF",39,"spipyr",1,100,1,90,0,10,NA,NA,NA,NA,"sm_LC_HP_LF_39_spipyr",TRUE,"b","sm_LC_HP_LF_39_spipyr_b"
"32076",13397,16,"sm",NA,"LC","HP","LF",39,"symalb",NA,NA,1,40,0,60,NA,NA,NA,NA,"sm_LC_HP_LF_39_symalb",TRUE,"b","sm_LC_HP_LF_39_symalb_b"
"32078",13399,16,"sm",NA,"LC","HP","LF",39,"vibedu",3,100,7,55,3,45,NA,NA,NA,NA,"sm_LC_HP_LF_39_vibedu",TRUE,"b","sm_LC_HP_LF_39_vibedu_b"
"32097",13418,16,"mp",NA,"LC","LP","HF",2,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_2_menfer",TRUE,"b","mp_LC_LP_HF_2_menfer_b"
"32122",13443,16,"sm","B1","LC","LP","HF",4,"spipyr",7,100,7,10,3,90,NA,NA,NA,NA,"sm_LC_LP_HF_4_spipyr",TRUE,"b","sm_LC_LP_HF_4_spipyr_b"
"32134",13455,16,"mp","3","LC","LP","HF",6,"alninc",3,100,1,30,0,70,NA,NA,NA,NA,"mp_LC_LP_HF_6_alninc",TRUE,"b","mp_LC_LP_HF_6_alninc_b"
"32149",13470,16,"mp","7","LC","LP","HF",8,"alnvir",1,100,1,55,0,45,NA,NA,NA,NA,"mp_LC_LP_HF_8_alnvir",TRUE,"b","mp_LC_LP_HF_8_alnvir_b"
"32162",13483,16,"sm","8","LC","LP","HF",9,"sorsco",1,100,1,30,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_9_sorsco",TRUE,"b","sm_LC_LP_HF_9_sorsco_b"
"32174",13495,16,"mp","5","LC","LP","HF",11,"poptre",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_11_poptre",TRUE,"b","mp_LC_LP_HF_11_poptre_b"
"32177",13498,16,"sm",NA,"LC","LP","HF",11,"acegla",1,100,1,50,0,50,NA,NA,NA,NA,"sm_LC_LP_HF_11_acegla",TRUE,"b","sm_LC_LP_HF_11_acegla_b"
"32196",13517,16,"sm","B","LC","LP","HF",13,"spibet",7,100,10,10,7,10,3,30,NA,NA,"sm_LC_LP_HF_13_spibet",TRUE,"b","sm_LC_LP_HF_13_spibet_b"
"32199",13520,16,"mp","9","LC","LP","HF",14,"shecan",3,50,3,20,1,80,NA,NA,1,50,"mp_LC_LP_HF_14_shecan",TRUE,"b","mp_LC_LP_HF_14_shecan_b"
"32240",13561,16,"mp","13","LC","LP","HF",19,"sorsco",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_19_sorsco",TRUE,"b","mp_LC_LP_HF_19_sorsco_b"
"32246",13567,16,"mp","3","LC","LP","HF",20,"rhoalb",1,100,NA,NA,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_20_rhoalb",TRUE,"b","mp_LC_LP_HF_20_rhoalb_b"
"32253",13574,16,"mp",NA,"LC","LP","HF",21,"acegla",3,100,1,35,0,65,NA,NA,NA,NA,"mp_LC_LP_HF_21_acegla",TRUE,"b","mp_LC_LP_HF_21_acegla_b"
"32262",13583,16,"sm",NA,"LC","LP","HF",21,"popbal",0,100,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_21_popbal",TRUE,"b","sm_LC_LP_HF_21_popbal_b"
"32290",13611,16,"mp",NA,"LC","LP","HF",25,"spibet",0,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_25_spibet",TRUE,"b","mp_LC_LP_HF_25_spibet_b"
"32304",13625,16,"sm","9","LC","LP","HF",26,"menfer",NA,NA,0,100,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_26_menfer",TRUE,"b","sm_LC_LP_HF_26_menfer_b"
"32333",13654,16,"mp",NA,"LC","LP","HF",30,"sorsco",0,66,NA,NA,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_30_sorsco",TRUE,"b","mp_LC_LP_HF_30_sorsco_b"
"32340",13661,16,"mp",NA,"LC","LP","HF",31,"poptre",1,100,0,100,NA,NA,NA,NA,NA,NA,"mp_LC_LP_HF_31_poptre",TRUE,"b","mp_LC_LP_HF_31_poptre_b"
"32344",13665,16,"sm",NA,"LC","LP","HF",31,"acegla",3,100,3,80,1,20,NA,NA,NA,NA,"sm_LC_LP_HF_31_acegla",TRUE,"b","sm_LC_LP_HF_31_acegla_b"
"32354",13675,16,"sm",NA,"LC","LP","HF",32,"menfer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sm_LC_LP_HF_32_menfer",TRUE,"b","sm_LC_LP_HF_32_menfer_b"
