day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,Final.percent,Final.percent,
55,sm,LHH,NA,8,betpap,17,100,1,10,25,9,75,,,NA,NA,NA,NA,,,
55,sm,LHH,NA,8,corsto,17,100,1,17,80,15,20,,,NA,NA,NA,NA,,,
55,sm,LHH,NA,8,riblac,17,100,1,15,10,11,10,3,60,NA,NA,NA,NA,,,
55,sm,LHH,NA,8,riblac,1,100,2,15,10,3,40,1,20,NA,NA,NA,NA,,,
55,mp,LHH,6,9,samrac,11,50,2,9,50,3,50,NA,NA,NA,NA,10,50,,,
55,mp,LHH,NA,9,samrac,NA,NA,NA,10,50,3,50,NA,NA,NA,DEAD,NA,NA,,,
55,mp,LHH,NA,9,sorsco,17,100,1,9,25,3,75,NA,NA,5,NA,NA,NA,,,
55,mp,LHH,NA,9,vibedu,17,100,1,7,10,3,75,1,15,8,NA,NA,NA,,,
55,sm,LHH,NA,9,poptre,17,30,6,17,30,15,30,9,15,8,NA,7,15,,,
55,sm,LHH,NA,9,rubpar,1,100,2,17,25,15,25,1,50,4,NA,NA,NA,,,
55,sm,LHH,A,9,vacmem,9,5,NA,17,40,7,5,3,50,NA,NA,7,5,,,
55,sm,LHH,B,9,vacmem,17,5,NA,3,80,1,20,NA,NA,NA,y,7,5,,,
55,mp,LHH,NA,10,alnvir,17,50,2,11,5,3,70,1,25,13,NA,3,50,,,
55,mp,LHH,NA,10,loninv,3,100,1,17,30,3,15,1,70,6,y,NA,NA,,,
55,mp,LHH,NA,10,menfer,3,100,4,17,20,3,80,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,10,spipyr,17,100,1,17,10,7,5,3,15,29,NA,NA,NA,,,
55,sm,LHH,NA,10,riblac,17,100,1,11,35,3,50,1,15,19,NA,NA,NA,,,
55,sm,LHH,NA,10,rupar,0,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,10,symalb,NA,NA,NA,3,30,1,70,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,10,symalb,NA,NA,NA,3,60,1,20,0,20,NA,NA,NA,NA,,,
55,mp,LHH,NA,11,acegla,3,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,11,alninc,17,70,3,15,20,11,5,10,5,15,NA,15,30,,,
55,mp,LHH,NA,11,amealn,11,50,2,10,30,9,70,NA,NA,16,y,9,50,,,
55,mp,LHH,NA,11,vacmem,17,20,13,17,20,11,10,1,70,NA,NA,10,20,,,
55,sm,LHH,NA,11,rubpar,17,100,1,17,25,10,50,3,25,NA,y,NA,NA,,,
55,sm,LHH,NA,11,spipyr,17,100,1,17,20,15,20,7,20,10,NA,NA,NA,,,
55,sm,LHH, oc21,11,vacmem,3,100,NA,17,45,3,55,,,NA,NA,1,20,,,
55,mp,LHH,Feg,12,poptre,9,50,2,17,45,15,5,11,15,18,NA,NA,NA,,,
55,mp,LHH,Bsf,12,riblac,9,100,14,10,20,9,20,3,60,NA,NA,NA,NA,,,
55,mp,LHH,14,12,sorsco,17,30,3,17,15,3,85,NA,NA,NA,NA,11,30,,,
55,mp,LHH,2,12,spipyr,17,100,1,17,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,12,corsto,17,100,1,17,45,9,45,1,10,7,y,NA,NA,,,
55,sm,LHH,NA,12,loninv,17,60,5,17,30,7,5,3,65,16,NA,7,30,,,
55,sm,LHH,NA,12,poptre,17,75,11,17,50,1,50,NA,NA,5,NA,7,15,,,
55,sm,LHH,NA,12,symalb,NA,NA,NA,3,70,1,30,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,13,alninc,17,50,2,17,10,15,40,11,20,15,NA,11,50,,,
55,mp,LHH,NA,13,loninv,1,100,1,9,20,1,80,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,13,popbal,11,100,1,17,60,10,20,3,20,NA,NA,NA,NA,,,
55,mp,LHH,NA,13,vacmem,3,100,12,17,15,7,5,3,80,NA,NA,NA,NA,,,
55,sm,LHH,NA,13,alnvir,1,100,2,1,10,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,13,corsto,17,100,1,17,60,11,30,,,6,y,NA,NA,,,
55,sm,LHH,NA,13,rubpar,3,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,14,rhoalb,17,100,4,11,20,9,20,3,60,6,NA,NA,NA,,,
55,mp,LHH,NA,14,sorsco,17,100,1,17,25,15,25,3,50,8,NA,NA,NA,,,
55,mp,LHH,NA,14,symalb,NA,NA,NA,9,20,7,80,NA,NA,17,NA,NA,NA,,,
55,mp,LHH,NA,14,vibedu,17,100,1,15,30,3,70,,,6,y,NA,NA,,,
55,sm,LHH,10,14,acegla,15,35,3,9,5,3,75,NA,NA,13,NA,9,35,,,
55,sm,LHH,4,14,alninc,NA,NA,NA,17,50,15,25,10,25,4,NA,NA,NA,,,
55,sm,LHH,3,14,popbal,17,100,1,17,100,,,,,NA,NA,NA,NA,,,
55,mp,LHH,NA,15,amealn,10,100,1,10,40,9,30,1,30,10,y,NA,NA,,,
55,mp,LHH,NA,15,menfer,1,20,5,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,15,rhoalb,17,75,4,3,100,NA,NA,NA,NA,NA,NA,15,25,,,
55,mp,LHH,NA,15,samrac,17,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,15,menfer,11,25,4,11,20,10,10,9,10,NA,NA,9,25,,,
55,sm,LHH,NA,15,rubpar,15,50,2,11,30,7,30,1,30,7,NA,0,50,,,
55,sm,LHH,NA,15,shecan,17,100,2,17,95,9,5,,,NA,y,,,,,
55,sm,LHH,NA,15,spipyr,NA,NA,NA,17,30,9,30,7,25,9,NA,NA,NA,,,
55,mp,LHH,8,16,corsto,17,100,1,17,70,15,15,1,15,6,NA,NA,NA,,,
55,mp,LHH,3,16,rhoalb,17,100,3,3,70,1,30,NA,13,NA,NA,NA,NA,,,
55,mp,LHH,8,16,riblac,11,20,5,9,20,7,10,3,50,NA,NA,9,20,,,
55,mp,LHH,tml,16,spibet,9,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,2,16,alninc,15,70,3,17,10,15,55,9,40,13,NA,11,30,,,
55,sm,LHH,10,16,alnvir,1,100,2,1,55,0,45,NA,NA,7,NA,NA,NA,,,
55,sm,LHH,11,16,corsto,17,100,1,17,50,11,50,,,NA,NA,NA,NA,,,
55,sm,LHH, oc21,16,vacmem,17,100,NA,17,65,1,35,,,NA,NA,,,,,
55,mp,LHH,bLL,17,alninc,17,100,1,15,20,10,80,,,6,NA,NA,NA,,,
55,mp,LHH,7,17,amealn,17,15,7,17,5,9,50,7,30,41,NA,9,85,,,
55,mp,LHH,14,17,sorsco,11,100,1,17,25,11,50,3,25,NA,NA,NA,NA,,,
55,mp,LHH,10,17,vibedu,17,35,3,3,95,1,5,NA,NA,14,NA,11,35,,,
55,sm,LHH,8,17,popbal,3,100,1,17,75,3,25,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,17,sorsco,17,100,2,17,100,,,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,17,spibet,1,100,1,17,25,9,75,,,NA,NA,NA,NA,,,
55,sm,LHH,NA,17,symalb,NA,NA,NA,7,5,3,40,1,30,NA,NA,NA,NA,,,
55,sm,LHH,3,17,vibedu,17,100,2,17,30,9,45,,,13,NA,NA,NA,,,
55,mp,LHH,NA,18,loninv,3,100,2,0,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,mp,LHH,NA,18,riblac,9,100,2,9,30,3,60,1,10,NA,NA,NA,NA,,,
55,mp,LHH,branched,18,spipyr,17,100,NA,17,50,15,40,7,10,NA,NA,NA,NA,,,
55,mp,LHH,NA,18,spipyr,15,100,1,15,50,9,25,3,25,NA,NA,NA,NA,,,
55,sm,LHH,NA,18,amealn,NA,NA,NA,17,10,11,15,10,15,12,NA,NA,NA,,,
55,sm,LHH,NA,18,loninv,3,100,1,7,30,3,20,1,50,10,NA,NA,NA,,,
55,sm,LHH,added one,18,sorsco,17,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,,
55,sm,LHH,NA,18,sorsco,17,100,1,0,100,NA,NA,NA,NA,NA,y,NA,NA,,,
