day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments
116,mp,HC_HP_HF,9,8,alninc,15,100,1,15,75,11,25,NA,NA,4,NA,NA,NA,
116,mp,HC_HP_HF,8,8,poptre,17,100,1,17,75,3,25,,,8,NA,NA,NA,
116,mp,HC_HP_HF,sg,8,rubpar,7,100,1,17,15,10,30,9,30,6,y,NA,NA,
116,sm,HC_HP_HF,6,8,amealn,11,20,5,10,5,9,70,7,30,16,NA,10,20,
116,sm,HC_HP_HF,6,8,betpap,15,100,1,15,30,10,30,9,40,6,NA,NA,NA,leaves dried and buds turning brown
116,sm,HC_HP_HF,8,8,poptre,17,65,15,17,100,NA,NA,NA,NA,1,NA,15,25,"total budburst =100%, 10% at 11, died"
116,sm,HC_HP_HF,12,8,sorsco,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,
116,mp,HC_HP_HF,2,9,corsto,17,100,3,17,50,15,50,NA,NA,4,NA,NA,NA,
116,mp,HC_HP_HF,9,9,riblac,7,100,1,15,10,10,10,9,15,12,NA,NA,NA,
116,mp,HC_HP_HF,sg,9,rubpar,17,100,1,17,15,15,15,9,15,6,y,NA,NA,remaining buds dead
116,mp,HC_HP_HF,wjt,9,vacmem,3,100,16,15,5,9,5,1,30,NA,NA,NA,NA,"1/5 buds dead, others sv"
116,sm,HC_HP_HF,13,9,acegla,15,100,1,3,50,1,50,NA,NA,NA,NA,NA,NA,leaves died and buds dried but still green inside 
116,sm,HC_HP_HF,11,9,sorsco,17,100,1,0,100,NA,NA,NA,NA,4,NA,NA,NA,leaves died but still green buds
116,sm,HC_HP_HF, b10,9,spipyr,17,100,2,17,40,10,30,7,30,NA,NA,NA,NA,
116,mp,HC_HP_HF,6,10,amealn,17,100,1,17,20,15,10,11,60,14,y,NA,NA,
116,mp,HC_HP_HF,1,10,corsto,15,100,3,15,75,11,25,NA,NA,8,NA,NA,NA,
116,mp,HC_HP_HF,Ase,10,samrac,17,50,2,15,100,,,NA,NA,2,y,10,50,
116,mp,HC_HP_HF,eg,10,symalb,NA,NA,NA,17,40,10,5,9,5,NA,NA,NA,NA,
116,sm,HC_HP_HF, b,10,corsto,NA,NA,NA,17,50,15,50,NA,NA,4,NA,NA,NA,
116,sm,HC_HP_HF,NA,10,rubpar,0,100,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA,dead
116,sm,HC_HP_HF, b40,10,spipyr,17,100,1,17,30,15,15,3,55,6,NA,NA,NA,remaining buds dried out but green
116,sm,HC_HP_HF,NA,10,symalb,NA,NA,NA,11,10,7,25,3,50,NA,NA,NA,NA,
116,mp,HC_HP_HF,1,11,corsto,17,100,1,15,30,0,70,NA,NA,6,NA,NA,NA,
116,mp,HC_HP_HF,5,11,corsto,17,20,5,15,25,11,75,NA,NA,12,NA,15,80,
116,mp,HC_HP_HF,9,11,rhoalb,17,100,4,17,50,11,30,9,20,6,NA,NA,NA,
116,mp,HC_HP_HF,LL,11,vacmem,17,5,NA,15,15,10,10,3,50,NA,NA,11,5,
116,sm,HC_HP_HF, A,11,betpap,17,50,2,15,15,10,40,9,40,8,NA,10,50,died
116,sm,HC_HP_HF, A,11,betpap,15,100,2,15,20,11,60,10,20,5,NA,,,
116,sm,HC_HP_HF, B,11,poptre,17,75,4,NA,NA,NA,NA,NA,NA,NA,NA,7,25,
116,sm,HC_HP_HF, b,11,poptre,17,100,7,NA,NA,NA,NA,NA,NA,NA,NA,,,
116,sm,HC_HP_HF,12,11,shecan,17,100,2,17,20,15,65,3,15,NA,y,9,50,
116,mp,HC_HP_HF,1,12,rhoalb,17,50,6,11,20,10,20,9,10,10,y,11,30,
116,mp,HC_HP_HF,9,12,riblac,3,100,2,17,5,9,15,7,40,12,NA,NA,NA,
116,mp,HC_HP_HF,6,12,shecan,15,85,7,15,70,11,30,,,NA,y,9,15,
116,mp,HC_HP_HF,10,12,sorsco,15,100,1,1,100,NA,NA,NA,NA,2,NA,NA,NA,sv
116,sm,HC_HP_HF,10,12,loninv,NA,NA,NA,17,25,15,25,3,50,8,NA,NA,NA,
116,sm,HC_HP_HF,12,12,menfer,0,100,NA,15,10,10,10,9,15,NA,y,NA,NA,
116,sm,HC_HP_HF, A,12,popbal,17,100,3,17,100,NA,NA,NA,NA,1,NA,,,
116,sm,HC_HP_HF,8,12,poptre,17,15,6,1,100,NA,NA,NA,NA,1,NA,15,30,
116,mp,HC_HP_HF,bll,13,alninc,17,50,2,15,40,10,60,,,5,NA,15,50,
116,mp,HC_HP_HF,6,13,amealn,17,80,8,15,20,11,15,10,35,11,NA,11,20,died
116,mp,HC_HP_HF,10,13,popbal,17,100,4,NA,NA,NA,NA,NA,NA,NA,NA,,,
116,mp,HC_HP_HF,bsf,13,riblac,3,100,1,10,20,9,20,3,60,12,NA,NA,NA,
116,sm,HC_HP_HF,1,13,alninc,17,100,1,17,25,15,50,11,25,8,NA,NA,NA,
