day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t
27,mp,LHH,10,4,shecan,9,100,1,9,80,3,20,,,NA,60,NA,NA
27,mp,LHH,A eg,4,symalb,NA,NA,NA,1,60,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,1,4,menfer,1,80,16,1,40,0,60,NA,NA,NA,NA,0,20
27,sm,LHH,8,4,popbal,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,straight,4,spibet,1,100,1,11,25,3,25,1,25,NA,NA,NA,NA
27,sm,LHH,NA,4,spibet,15,50,4,15,20,10,20,9,10,18,NA,7,25
27,mp,LHH,1,5,alnvir,1,100,3,3,20,1,20,0,60,8,NA,NA,NA
27,mp,LHH,A,5,loninv,7,100,1,1,100,NA,NA,NA,NA,2,NA,NA,NA
27,mp,LHH,14,5,sorsco,7,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,2,5,spipyr,0,100,1,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,6,5,betpap,10,100,2,10,40,9,60,NA,NA,5,NA,NA,NA
27,sm,LHH,5,5,loninv,7,25,8,9,30,7,5,3,45,13,NA,3,75
27,sm,LHH, A36,5,spibet,9,80,5,9,20,3,40,1,20,13,NA,NA,NA
27,sm,LHH,2,5,vibedu,15,60,5,15,5,10,30,9,20,16,NA,10,40
27,mp,LHH,10,6,corsto,11,100,1,11,100,NA,NA,NA,NA,NA,NA,NA,NA
27,mp,LHH,10,6,loninv,9,50,2,9,5,3,20,1,75,15,NA,3,50
27,mp,LHH,8,6,riblac,9,50,5,9,25,7,25,3,55,NA,NA,3,80
27,mp,LHH,sg,6,rubpar,10,100,2,11,20,9,20,7,60,NA,NA,NA,NA
27,sm,LHH,2,6,alnvir,0,100,1,0,100,NA,NA,NA,NA,9,NA,NA,NA
27,sm,LHH,11,6,sorsco,10,100,1,1,50,0,50,NA,NA,NA,NA,NA,NA
27,sm,LHH, cl,6,symalb,NA,NA,NA,0,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,8,6,vacmem,9,100,NA,11,20,10,20,9,20,NA,NA,3,50
27,mp,LHH,2,7,riblac,9,10,8,7,20,3,40,1,20,NA,NA,7,40
27,mp,LHH,sg,7,rubpar,10,100,1,7,25,3,50,0,25,NA,NA,NA,NA
27,mp,LHH,wjt,7,spipyr,11,100,1,15,25,11,25,10,25,12,NA,NA,NA
27,mp,LHH,11,7,vibedu,9,100,1,10,10,3,50,NA,NA,10,NA,NA,NA
27,sm,LHH,8,7,corsto,7,100,2,9,60,7,40,,,NA,NA,NA,NA
27,sm,LHH, A branched,7,corsto,17,100,1,15,50,10,40,7,10,10,NA,11,75
27,sm,LHH,8,7,popbal,1,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA
27,sm,LHH,3,7,riblac,9,100,1,11,20,7,15,,,14,NA,NA,NA
27,mp,LHH,NA,8,rhoalb,15,100,4,9,5,7,5,3,90,13,NA,NA,NA
27,mp,LHH,NA,8,riblac,3,100,1,3,70,1,30,NA,NA,NA,NA,NA,NA
