day,population,treatment,indiv,flask,species,bbch.t,percent.t,count.t,bbch.l,percent.l,bbch2.l,percent2.l,bbch3.l,percent3.l,bud.count,flowering,bbch4.t,percent4.t,comments,
113,sm,LHH,NA,10,rupar,0,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,,
113,sm,LHH,NA,10,symalb,NA,NA,NA,3,30,1,70,NA,NA,NA,NA,NA,NA,,
113,sm,LHH,NA,10,symalb,NA,NA,NA,3,60,1,20,0,20,NA,NA,NA,NA,,
113,mp,LHH,NA,11,acegla,3,100,1,1,100,NA,NA,NA,NA,NA,NA,NA,NA,buds are green but dry,
113,mp,LHH,NA,11,alninc,17,70,3,17,20,15,25,9,40,15,NA,15,30,,
113,mp,LHH,NA,11,amealn,11,50,2,10,30,9,70,NA,NA,16,y,9,50,,
113,mp,LHH,NA,11,vacmem,17,20,13,17,20,11,10,1,70,NA,NA,10,20,,
113,sm,LHH,NA,11,rubpar,17,100,1,17,25,15,50,3,25,NA,y,NA,NA,,
113,sm,LHH,NA,11,spipyr,17,100,1,17,20,15,20,7,20,10,NA,NA,NA,,
113,sm,LHH, oc21,11,vacmem,3,100,NA,17,45,3,55,NA,NA,NA,NA,1,20,,
113,mp,LHH,Feg,12,poptre,9,50,2,17,65,15,10,7,15,8,NA,NA,NA,,
113,mp,LHH,Bsf,12,riblac,9,100,14,17,10,15,15,11,25,33,NA,NA,NA,,
113,mp,LHH,14,12,sorsco,17,30,3,17,15,3,85,NA,NA,NA,NA,11,30,,
113,mp,LHH,2,12,spipyr,17,100,1,17,100,NA,NA,NA,NA,NA,NA,NA,NA,,
113,sm,LHH,NA,12,corsto,17,100,1,17,45,9,45,1,10,7,y,NA,NA,,
113,sm,LHH,NA,12,loninv,17,60,5,17,30,7,5,3,65,16,NA,7,30,sv,
113,sm,LHH,NA,12,poptre,17,75,11,17,50,1,50,NA,NA,5,NA,7,15,,
113,sm,LHH,NA,12,symalb,NA,NA,NA,9,5,3,50,1,30,NA,NA,NA,NA,sv,
113,mp,LHH,NA,13,alninc,17,100,2,17,10,15,40,11,40,15,NA,15,50,leaves falling off,
113,mp,LHH,NA,13,loninv,10,100,1,10,20,1,80,NA,NA,5,NA,NA,NA,remaining bud dead,
113,mp,LHH,NA,13,popbal,17,100,1,17,60,11,20,3,20,NA,NA,NA,NA,coat shriveled but sv inside,
113,mp,LHH,NA,13,vacmem,3,100,12,17,15,7,5,3,80,NA,NA,NA,NA,,
113,sm,LHH,NA,13,alnvir,7,50,2,10,25,7,25,3,50,8,NA,3,50,dead,
113,sm,LHH,NA,13,corsto,17,100,1,17,60,11,30,NA,NA,6,y,NA,NA,,
113,sm,LHH,NA,13,rubpar,3,100,2,3,100,NA,NA,NA,NA,4,NA,NA,NA,dead,
113,mp,LHH,NA,14,rhoalb,17,100,4,11,20,9,20,3,60,6,NA,NA,NA,,
113,mp,LHH,NA,14,sorsco,17,100,1,17,25,15,25,3,50,8,NA,NA,NA,,
113,mp,LHH,NA,14,symalb,NA,NA,NA,17,5,9,75,0,20,17,NA,NA,NA,,
113,mp,LHH,NA,14,vibedu,17,100,1,15,30,3,70,NA,NA,6,y,NA,NA,,
113,sm,LHH,10,14,acegla,15,35,3,9,5,3,75,NA,NA,13,NA,9,35,dead,
113,sm,LHH,4,14,alninc,NA,NA,NA,17,50,15,25,10,25,4,NA,NA,NA,,
113,sm,LHH,3,14,popbal,17,100,1,17,100,NA,NA,NA,NA,NA,NA,NA,NA,,
113,mp,LHH,NA,15,amealn,10,100,1,10,40,9,30,1,30,10,y,NA,NA,,
113,mp,LHH,NA,15,menfer,1,20,5,10,30,0,70,NA,NA,10,NA,NA,NA,,
113,mp,LHH,NA,15,rhoalb,17,75,4,3,100,NA,NA,NA,NA,NA,NA,15,25,,
113,mp,LHH,NA,15,samrac,17,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA,buds still green inside,
113,sm,LHH,NA,15,menfer,11,25,4,11,20,10,10,9,10,NA,NA,9,25,,
113,sm,LHH,NA,15,rubpar,17,50,2,15,30,7,30,1,30,7,NA,0,50,remaining buds dead,
113,sm,LHH,NA,15,shecan,17,100,2,17,95,9,5,NA,NA,NA,y,NA,NA,,
113,sm,LHH,NA,15,spipyr,NA,NA,NA,17,30,9,30,7,25,9,NA,NA,NA,,
113,mp,LHH,8,16,corsto,17,100,1,17,70,15,15,1,15,6,NA,NA,NA,,
113,mp,LHH,3,16,rhoalb,17,100,3,3,70,1,30,NA,13,NA,NA,NA,NA,,
113,mp,LHH,8,16,riblac,11,20,5,9,20,7,10,3,50,NA,NA,9,20,,
113,mp,LHH,tml,16,spibet,10,100,1,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,
113,sm,LHH,2,16,alninc,15,70,3,17,10,15,50,9,40,13,NA,11,30,,
113,sm,LHH,10,16,alnvir,11,50,2,11,30,7,15,3,30,7,NA,3,50,buds are green but dry,
113,sm,LHH,11,16,corsto,17,100,1,17,50,11,50,NA,NA,NA,NA,NA,NA,,
113,sm,LHH, oc21,16,vacmem,17,100,NA,17,65,1,35,NA,NA,NA,NA,NA,NA,,
113,mp,LHH,bLL,17,alninc,17,100,1,15,20,11,20,10,60,5,NA,NA,NA,,
113,mp,LHH,7,17,amealn,17,15,7,17,5,9,50,7,30,41,NA,9,85,,
113,mp,LHH,14,17,sorsco,11,100,1,17,25,11,50,3,25,NA,NA,NA,NA,,
113,mp,LHH,10,17,vibedu,17,35,3,3,95,1,5,NA,NA,14,NA,11,35,,
113,sm,LHH,8,17,popbal,3,100,1,17,100,NA,NA,NA,NA,3,NA,NA,NA,sv,
113,sm,LHH,NA,17,sorsco,17,100,2,17,100,NA,NA,NA,NA,NA,NA,NA,NA,,
113,sm,LHH,NA,17,spibet,1,100,1,17,25,9,75,NA,NA,NA,NA,NA,NA,,
113,sm,LHH,NA,17,symalb,NA,NA,NA,17,5,3,40,1,30,NA,NA,NA,NA,sv,
113,sm,LHH,3,17,vibedu,17,100,2,17,30,9,45,NA,NA,13,NA,NA,NA,,
113,mp,LHH,NA,18,loninv,3,100,2,17,10,10,20,1,70,10,NA,NA,NA,,
113,mp,LHH,NA,18,riblac,15,100,2,15,15,11,15,9,5,14,NA,NA,NA,,
113,mp,LHH,branched,18,spipyr,17,100,NA,17,50,15,40,7,10,NA,NA,NA,NA,,
113,mp,LHH,NA,18,spipyr,15,100,1,15,50,9,25,3,25,NA,NA,NA,NA,,
113,sm,LHH,NA,18,amealn,NA,NA,NA,17,10,11,15,10,15,12,NA,NA,NA,,
113,sm,LHH,NA,18,loninv,3,100,1,11,30,9,20,3,20,10,NA,NA,NA,alnvir,
113,sm,LHH,added one,18,sorsco,17,100,2,3,100,NA,NA,NA,NA,NA,NA,NA,NA,,
113,sm,LHH,NA,18,sorsco,17,100,1,0,100,NA,NA,NA,NA,NA,y,NA,NA,,
113,sm,LHH,NA,18,symalb,NA,NA,NA,11,10,3,60,1,NA,40,14,NA,NA,,
113,mp,LHH,NA,19,acegla,3,100,3,1,60,NA,NA,NA,NA,NA,NA,NA,NA,sv,
113,mp,LHH,5,19,alnvir,17,50,2,15,15,10,30,9,45,7,NA,11,50,remaining buds dead,
113,mp,LHH,7,19,alnvir,17,25,4,10,40,7,60,NA,NA,5,NA,10,25,sv,
113,mp,LHH,NA,19,samrac,11,50,2,17,50,1,50,NA,NA,2,NA,3,50,sv,
113,sm,LHH,NA,19,acegla,3,100,1,11,15,10,25,3,60,8,NA,NA,NA,,
113,sm,LHH,NA,19,poptre,17,100,6,17,50,15,35,3,15,16,NA,NA,NA,,
113,sm,LHH,NA,19,riblac,3,30,9,7,5,3,20,0,30,NA,NA,1,70,"buds still green, but dry",
113,sm,LHH,NA,19,sorsco,0,100,1,17,35,1,35,0,30,NA,NA,NA,NA,,
113,sm,LHH,NA,19,spibet,17,100,2,17,20,11,20,9,20,NA,NA,NA,NA,,
113,mp,LHH,NA,20,acegla,1,80,10,1,50,NA,NA,NA,NA,NA,NA,NA,NA,dead,
113,mp,LHH,NA,20,rhoalb,17,25,4,10,40,7,5,3,55,11,NA,10,75,,
113,mp,LHH,NA,20,riblac,15,30,7,17,5,15,30,7,10,24,NA,7,15,,
113,mp,LHH,NA,20,spibet,0,100,0,7,25,0,75,NA,NA,NA,NA,NA,NA,,
113,sm,LHH,NA,20,alnvir,17,100,1,11,65,10,30,3,20,6,NA,NA,NA,,
113,sm,LHH,NA,20,betpap,15,100,3,17,25,15,25,10,25,4,NA,NA,NA,,
113,sm,LHH,NA,20,rubpar,3,100,1,17,50,3,50,NA,NA,y,NA,NA,NA,remaining buds dead,
113,mp,LHH,4,21,acegla,1,100,3,9,5,3,50,1,45,14,NA,NA,NA,buds are green but dry,
113,mp,LHH,7,21,menfer,7,20,12,17,50,15,30,11,5,18,y,3,70,,
113,mp,LHH,11,21,rhoalb,17,30,6,11,10,10,5,9,20,18,NA,15,70,,
113,mp,LHH,NA,21,spipyr,9,100,1,17,50,9,25,3,25,NA,NA,NA,NA,,
113,sm,LHH,NA,21,alninc,17,25,4,17,15,15,25,11,40,12,NA,15,50,,
113,sm,LHH,7,21,amealn,17,100,1,17,25,10,25,9,25,8,NA,NA,NA,,
113,sm,LHH,NA,21,amealn,17,100,1,17,70,11,10,9,5,7,NA,NA,NA,,
113,sm,LHH,3,21,menfer,3,100,5,17,25,7,25,3,50,11,y,NA,NA,,
113,mp,LHH,NA,22,acegla,3,100,1,15,15,10,15,3,30,7,y,NA,NA,,
113,mp,LHH,9,22,alninc,17,100,1,17,40,15,40,10,10,8,NA,NA,NA,,
113,mp,LHH,10,22,alninc,17,100,1,15,40,11,60,NA,NA,5,NA,NA,NA,,
113,mp,LHH,10,22,spibet,15,100,1,10,65,9,35,NA,NA,3,NA,NA,NA,,
