"","DAY","Max_Temp_degC","Min_Temp_degC","Mean_Temp_degC","site"
"114",2019-10-11,13,-3,5,"Hope"
"115",2019-10-12,13,-2,5.5,"Hope"
"116",2019-10-13,9,2,5.5,"Hope"
"117",2019-10-14,12,1,6.5,"Hope"
"118",2019-10-15,12.5,1.5,7,"Hope"
"119",2019-10-16,15,3.5,9.3,"Hope"
"120",2019-10-17,10.5,3,6.8,"Hope"
"121",2019-10-18,8,3.5,5.8,"Hope"
"122",2019-10-19,8,2,5,"Hope"
"123",2019-10-20,7,2,4.5,"Hope"
"124",2019-10-21,7,2.5,4.8,"Hope"
"125",2019-10-22,10,4,7,"Hope"
"126",2019-10-23,11.5,0,5.8,"Hope"
"127",2019-10-24,10,0,5,"Hope"
"128",2019-10-25,10,4,7,"Hope"
"129",2019-10-26,5.5,-0.5,2.5,"Hope"
"130",2019-10-27,7,-2,2.5,"Hope"
"131",2019-10-28,10,-2.5,3.8,"Hope"
"132",2019-10-29,5.5,-5.5,0,"Hope"
"133",2019-10-30,8,-4.5,1.8,"Hope"
"134",2019-10-31,8,-4.5,1.8,"Hope"
