"lab2","latbb1","latbb50","latbb80","treatment","tbb","population","chill","photo","force","flask","species","rep","lab3","chill.n","force.n","photo.n","site.n"
"vibedu_mp_1",7,12,26,"HC.HP.HF",12,"mp","HC","HP","HF",18,"vibedu",1,"mp.HC.HP.HF.18.vibedu.1",1,1,1,0
"shecan_mp_1",16,23,23,"HC.HP.HF",26,"mp","HC","HP","HF",19,"shecan",1,"mp.HC.HP.HF.19.shecan.1",1,1,1,0
"symalb_mp_1",10,13,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",19,"symalb",1,"mp.HC.HP.HF.19.symalb.1",1,1,1,0
"vacmem_mp_1",13,NA,NA,"HC.HP.HF",13,"mp","HC","HP","HF",19,"vacmem",1,"mp.HC.HP.HF.19.vacmem.1",1,1,1,0
"vacmem_mp_2",10,28,NA,"HC.HP.HF",10,"mp","HC","HP","HF",19,"vacmem",2,"mp.HC.HP.HF.19.vacmem.2",1,1,1,0
"menfer_mp_1",31,31,34,"HC.HP.HF",NA,"mp","HC","HP","HF",2,"menfer",1,"mp.HC.HP.HF.2.menfer.1",1,1,1,0
"menfer_mp_2",26,42,84,"HC.HP.HF",NA,"mp","HC","HP","HF",2,"menfer",2,"mp.HC.HP.HF.2.menfer.2",1,1,1,0
"rhoalb_mp_1",13,19,19,"HC.HP.HF",7,"mp","HC","HP","HF",2,"rhoalb",1,"mp.HC.HP.HF.2.rhoalb.1",1,1,1,0
"menfer_mp_1",26,NA,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",20,"menfer",1,"mp.HC.HP.HF.20.menfer.1",1,1,1,0
"rhoalb_mp_1",7,19,26,"HC.HP.HF",7,"mp","HC","HP","HF",20,"rhoalb",1,"mp.HC.HP.HF.20.rhoalb.1",1,1,1,0
"shecan_mp_1",13,19,23,"HC.HP.HF",16,"mp","HC","HP","HF",20,"shecan",1,"mp.HC.HP.HF.20.shecan.1",1,1,1,0
"spipyr_mp_1",13,26,NA,"HC.HP.HF",13,"mp","HC","HP","HF",20,"spipyr",1,"mp.HC.HP.HF.20.spipyr.1",1,1,1,0
"acegla_mp_1",42,45,NA,"HC.HP.HF",23,"mp","HC","HP","HF",21,"acegla",1,"mp.HC.HP.HF.21.acegla.1",1,1,1,0
"sorsco_mp_1",NA,NA,NA,"HC.HP.HF",13,"mp","HC","HP","HF",21,"sorsco",1,"mp.HC.HP.HF.21.sorsco.1",1,1,1,0
"spipyr_mp_1",13,13,13,"HC.HP.HF",NA,"mp","HC","HP","HF",21,"spipyr",1,"mp.HC.HP.HF.21.spipyr.1",1,1,1,0
"vibedu_mp_1",13,13,NA,"HC.HP.HF",10,"mp","HC","HP","HF",21,"vibedu",1,"mp.HC.HP.HF.21.vibedu.1",1,1,1,0
"loninv_mp_1",19,19,19,"HC.HP.HF",10,"mp","HC","HP","HF",22,"loninv",1,"mp.HC.HP.HF.22.loninv.1",1,1,1,0
"samrac_mp_1",16,16,23,"HC.HP.HF",10,"mp","HC","HP","HF",22,"samrac",1,"mp.HC.HP.HF.22.samrac.1",1,1,1,0
"sorsco_mp_1",NA,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",22,"sorsco",1,"mp.HC.HP.HF.22.sorsco.1",1,1,1,0
"spipyr_mp_1",26,NA,NA,"HC.HP.HF",16,"mp","HC","HP","HF",22,"spipyr",1,"mp.HC.HP.HF.22.spipyr.1",1,1,1,0
"loninv_mp_1",13,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",23,"loninv",1,"mp.HC.HP.HF.23.loninv.1",1,1,1,0
"riblac_mp_1",19,NA,NA,"HC.HP.HF",45,"mp","HC","HP","HF",23,"riblac",1,"mp.HC.HP.HF.23.riblac.1",1,1,1,0
"rubpar_mp_1",19,19,NA,"HC.HP.HF",23,"mp","HC","HP","HF",23,"rubpar",1,"mp.HC.HP.HF.23.rubpar.1",1,1,1,0
"symalb_mp_1",10,13,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",23,"symalb",1,"mp.HC.HP.HF.23.symalb.1",1,1,1,0
"poptre_mp_1",45,45,NA,"HC.HP.HF",42,"mp","HC","HP","HF",24,"poptre",1,"mp.HC.HP.HF.24.poptre.1",1,1,1,0
"riblac_mp_1",12,NA,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",24,"riblac",1,"mp.HC.HP.HF.24.riblac.1",1,1,1,0
"shecan_mp_1",19,22,31,"HC.HP.HF",19,"mp","HC","HP","HF",24,"shecan",1,"mp.HC.HP.HF.24.shecan.1",1,1,1,0
"vibedu_mp_1",10,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",24,"vibedu",1,"mp.HC.HP.HF.24.vibedu.1",1,1,1,0
"acegla_mp_1",NA,NA,NA,"HC.HP.HF",34,"mp","HC","HP","HF",25,"acegla",1,"mp.HC.HP.HF.25.acegla.1",1,1,1,0
"popbal_mp_1",16,19,19,"HC.HP.HF",16,"mp","HC","HP","HF",25,"popbal",1,"mp.HC.HP.HF.25.popbal.1",1,1,1,0
"samrac_mp_1",48,48,NA,"HC.HP.HF",13,"mp","HC","HP","HF",25,"samrac",1,"mp.HC.HP.HF.25.samrac.1",1,1,1,0
"loninv_mp_1",NA,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",26,"loninv",1,"mp.HC.HP.HF.26.loninv.1",1,1,1,0
"riblac_mp_1",10,22,28,"HC.HP.HF",10,"mp","HC","HP","HF",26,"riblac",1,"mp.HC.HP.HF.26.riblac.1",1,1,1,0
"sorsco_mp_1",13,13,NA,"HC.HP.HF",13,"mp","HC","HP","HF",26,"sorsco",1,"mp.HC.HP.HF.26.sorsco.1",1,1,1,0
"vibedu_mp_1",13,13,19,"HC.HP.HF",13,"mp","HC","HP","HF",26,"vibedu",1,"mp.HC.HP.HF.26.vibedu.1",1,1,1,0
"amealn_mp_1",4,4,10,"HC.HP.HF",4,"mp","HC","HP","HF",27,"amealn",1,"mp.HC.HP.HF.27.amealn.1",1,1,1,0
"rubpar_mp_1",19,23,NA,"HC.HP.HF",NA,"mp","HC","HP","HF",27,"rubpar",1,"mp.HC.HP.HF.27.rubpar.1",1,1,1,0
"shecan_mp_1",15,19,19,"HC.HP.HF",15,"mp","HC","HP","HF",27,"shecan",1,"mp.HC.HP.HF.27.shecan.1",1,1,1,0
"vacmem_mp_1",8,NA,NA,"HC.HP.HF",10,"mp","HC","HP","HF",27,"vacmem",1,"mp.HC.HP.HF.27.vacmem.1",1,1,1,0
"alninc_mp_1",22,22,22,"HC.HP.HF",22,"mp","HC","HP","HF",28,"alninc",1,"mp.HC.HP.HF.28.alninc.1",1,1,1,0
"amealn_mp_1",7,7,13,"HC.HP.HF",7,"mp","HC","HP","HF",28,"amealn",1,"mp.HC.HP.HF.28.amealn.1",1,1,1,0
"spibet_mp_1",10,10,10,"HC.HP.HF",10,"mp","HC","HP","HF",28,"spibet",1,"mp.HC.HP.HF.28.spibet.1",1,1,1,0
"spipyr_mp_1",13,19,NA,"HC.HP.HF",16,"mp","HC","HP","HF",28,"spipyr",1,"mp.HC.HP.HF.28.spipyr.1",1,1,1,0
"amealn_mp_1",12,22,NA,"HC.HP.HF",10,"mp","HC","HP","HF",29,"amealn",1,"mp.HC.HP.HF.29.amealn.1",1,1,1,0
