"lab2","latbb1","latbb50","latbb80","treatment","tbb","population","chill","photo","force","flask","species","rep","lab3","chill.n","force.n","photo.n","site.n"
"vacmem_mp_1",17,27,NA,"LC.HP.HF",17,"mp","LC","HP","HF",33,"vacmem",1,"mp.LC.HP.HF.33.vacmem.1",0,1,1,0
"menfer_mp_1",37,37,37,"LC.HP.HF",NA,"mp","LC","HP","HF",34,"menfer",1,"mp.LC.HP.HF.34.menfer.1",0,1,1,0
"popbal_mp_1",27,27,29,"LC.HP.HF",27,"mp","LC","HP","HF",34,"popbal",1,"mp.LC.HP.HF.34.popbal.1",0,1,1,0
"rubpar_mp_1",27,31,NA,"LC.HP.HF",27,"mp","LC","HP","HF",34,"rubpar",1,"mp.LC.HP.HF.34.rubpar.1",0,1,1,0
"shecan_mp_1",23,27,29,"LC.HP.HF",27,"mp","LC","HP","HF",34,"shecan",1,"mp.LC.HP.HF.34.shecan.1",0,1,1,0
"loninv_mp_1",42,NA,NA,"LC.HP.HF",69,"mp","LC","HP","HF",35,"loninv",1,"mp.LC.HP.HF.35.loninv.1",0,1,1,0
"popbal_mp_1",31,78,NA,"LC.HP.HF",21,"mp","LC","HP","HF",35,"popbal",1,"mp.LC.HP.HF.35.popbal.1",0,1,1,0
"spibet_mp_1",16,16,23,"LC.HP.HF",27,"mp","LC","HP","HF",35,"spibet",1,"mp.LC.HP.HF.35.spibet.1",0,1,1,0
"vibedu_mp_1",NA,NA,NA,"LC.HP.HF",21,"mp","LC","HP","HF",35,"vibedu",1,"mp.LC.HP.HF.35.vibedu.1",0,1,1,0
"alnvir_mp_1",42,NA,NA,"LC.HP.HF",39,"mp","LC","HP","HF",36,"alnvir",1,"mp.LC.HP.HF.36.alnvir.1",0,1,1,0
"menfer_mp_1",39,NA,NA,"LC.HP.HF",NA,"mp","LC","HP","HF",36,"menfer",1,"mp.LC.HP.HF.36.menfer.1",0,1,1,0
"poptre_mp_1",27,29,29,"LC.HP.HF",31,"mp","LC","HP","HF",36,"poptre",1,"mp.LC.HP.HF.36.poptre.1",0,1,1,0
"rubpar_mp_1",17,NA,NA,"LC.HP.HF",23,"mp","LC","HP","HF",36,"rubpar",1,"mp.LC.HP.HF.36.rubpar.1",0,1,1,0
"alnvir_mp_1",NA,NA,NA,"LC.HP.HF",17,"mp","LC","HP","HF",37,"alnvir",1,"mp.LC.HP.HF.37.alnvir.1",0,1,1,0
"loninv_mp_1",NA,NA,NA,"LC.HP.HF",39,"mp","LC","HP","HF",37,"loninv",1,"mp.LC.HP.HF.37.loninv.1",0,1,1,0
"poptre_mp_1",25,25,25,"LC.HP.HF",33,"mp","LC","HP","HF",37,"poptre",1,"mp.LC.HP.HF.37.poptre.1",0,1,1,0
"vibedu_mp_1",19,NA,NA,"LC.HP.HF",17,"mp","LC","HP","HF",37,"vibedu",1,"mp.LC.HP.HF.37.vibedu.1",0,1,1,0
"popbal_mp_1",29,29,33,"LC.HP.HF",29,"mp","LC","HP","HF",38,"popbal",1,"mp.LC.HP.HF.38.popbal.1",0,1,1,0
"rubpar_mp_1",23,23,23,"LC.HP.HF",23,"mp","LC","HP","HF",38,"rubpar",1,"mp.LC.HP.HF.38.rubpar.1",0,1,1,0
"samrac_mp_1",53,53,78,"LC.HP.HF",69,"mp","LC","HP","HF",38,"samrac",1,"mp.LC.HP.HF.38.samrac.1",0,1,1,0
"shecan_mp_1",23,NA,NA,"LC.HP.HF",29,"mp","LC","HP","HF",38,"shecan",1,"mp.LC.HP.HF.38.shecan.1",0,1,1,0
"acegla_mp_1",57,57,NA,"LC.HP.HF",NA,"mp","LC","HP","HF",39,"acegla",1,"mp.LC.HP.HF.39.acegla.1",0,1,1,0
"corsto_mp_1",15,17,23,"LC.HP.HF",15,"mp","LC","HP","HF",39,"corsto",1,"mp.LC.HP.HF.39.corsto.1",0,1,1,0
"samrac_mp_1",NA,NA,NA,"LC.HP.HF",40,"mp","LC","HP","HF",39,"samrac",1,"mp.LC.HP.HF.39.samrac.1",0,1,1,0
"shecan_mp_1",15,NA,NA,"LC.HP.HF",27,"mp","LC","HP","HF",39,"shecan",1,"mp.LC.HP.HF.39.shecan.1",0,1,1,0
"corsto_mp_1",17,19,23,"LC.HP.HF",17,"mp","LC","HP","HF",4,"corsto",1,"mp.LC.HP.HF.4.corsto.1",0,1,1,0
"shecan_mp_1",23,29,31,"LC.HP.HF",15,"mp","LC","HP","HF",4,"shecan",1,"mp.LC.HP.HF.4.shecan.1",0,1,1,0
"shecan_mp_2",19,23,25,"LC.HP.HF",19,"mp","LC","HP","HF",4,"shecan",2,"mp.LC.HP.HF.4.shecan.2",0,1,1,0
"symalb_mp_1",36,NA,NA,"LC.HP.HF",NA,"mp","LC","HP","HF",4,"symalb",1,"mp.LC.HP.HF.4.symalb.1",0,1,1,0
"corsto_mp_1",15,17,21,"LC.HP.HF",15,"mp","LC","HP","HF",40,"corsto",1,"mp.LC.HP.HF.40.corsto.1",0,1,1,0
"rhoalb_mp_1",19,NA,NA,"LC.HP.HF",19,"mp","LC","HP","HF",40,"rhoalb",1,"mp.LC.HP.HF.40.rhoalb.1",0,1,1,0
"rubpar_mp_1",21,23,NA,"LC.HP.HF",NA,"mp","LC","HP","HF",40,"rubpar",1,"mp.LC.HP.HF.40.rubpar.1",0,1,1,0
"shecan_mp_1",23,NA,NA,"LC.HP.HF",31,"mp","LC","HP","HF",40,"shecan",1,"mp.LC.HP.HF.40.shecan.1",0,1,1,0
"alnvir_mp_1",53,57,NA,"LC.HP.HF",75,"mp","LC","HP","HF",5,"alnvir",1,"mp.LC.HP.HF.5.alnvir.1",0,1,1,0
"loninv_mp_1",NA,NA,NA,"LC.HP.HF",22,"mp","LC","HP","HF",5,"loninv",1,"mp.LC.HP.HF.5.loninv.1",0,1,1,0
"sorsco_mp_1",29,29,34,"LC.HP.HF",22,"mp","LC","HP","HF",5,"sorsco",1,"mp.LC.HP.HF.5.sorsco.1",0,1,1,0
"spipyr_mp_1",29,NA,NA,"LC.HP.HF",29,"mp","LC","HP","HF",5,"spipyr",1,"mp.LC.HP.HF.5.spipyr.1",0,1,1,0
"corsto_mp_1",15,15,15,"LC.HP.HF",10,"mp","LC","HP","HF",6,"corsto",1,"mp.LC.HP.HF.6.corsto.1",0,1,1,0
"loninv_mp_1",15,40,NA,"LC.HP.HF",15,"mp","LC","HP","HF",6,"loninv",1,"mp.LC.HP.HF.6.loninv.1",0,1,1,0
"riblac_mp_1",15,23,NA,"LC.HP.HF",15,"mp","LC","HP","HF",6,"riblac",1,"mp.LC.HP.HF.6.riblac.1",0,1,1,0
"rubpar_mp_1",23,23,27,"LC.HP.HF",23,"mp","LC","HP","HF",6,"rubpar",1,"mp.LC.HP.HF.6.rubpar.1",0,1,1,0
"riblac_mp_1",19,36,NA,"LC.HP.HF",15,"mp","LC","HP","HF",7,"riblac",1,"mp.LC.HP.HF.7.riblac.1",0,1,1,0
"rubpar_mp_1",27,57,NA,"LC.HP.HF",22,"mp","LC","HP","HF",7,"rubpar",1,"mp.LC.HP.HF.7.rubpar.1",0,1,1,0
"spipyr_mp_1",15,17,NA,"LC.HP.HF",15,"mp","LC","HP","HF",7,"spipyr",1,"mp.LC.HP.HF.7.spipyr.1",0,1,1,0
"vibedu_mp_1",17,NA,NA,"LC.HP.HF",22,"mp","LC","HP","HF",7,"vibedu",1,"mp.LC.HP.HF.7.vibedu.1",0,1,1,0
"rhoalb_mp_1",22,NA,NA,"LC.HP.HF",18,"mp","LC","HP","HF",8,"rhoalb",1,"mp.LC.HP.HF.8.rhoalb.1",0,1,1,0
"riblac_mp_1",31,NA,NA,"LC.HP.HF",33,"mp","LC","HP","HF",8,"riblac",1,"mp.LC.HP.HF.8.riblac.1",0,1,1,0
"spipyr_mp_1",19,19,22,"LC.HP.HF",NA,"mp","LC","HP","HF",8,"spipyr",1,"mp.LC.HP.HF.8.spipyr.1",0,1,1,0
"samrac_mp_1",27,27,NA,"LC.HP.HF",19,"mp","LC","HP","HF",9,"samrac",1,"mp.LC.HP.HF.9.samrac.1",0,1,1,0
"samrac_mp_2",36,46,NA,"LC.HP.HF",NA,"mp","LC","HP","HF",9,"samrac",2,"mp.LC.HP.HF.9.samrac.2",0,1,1,0
"sorsco_mp_1",27,NA,NA,"LC.HP.HF",19,"mp","LC","HP","HF",9,"sorsco",1,"mp.LC.HP.HF.9.sorsco.1",0,1,1,0
"vibedu_mp_1",22,NA,NA,"LC.HP.HF",19,"mp","LC","HP","HF",9,"vibedu",1,"mp.LC.HP.HF.9.vibedu.1",0,1,1,0
"amealn_mp_1",15,19,28,"LC.HP.LF",15,"mp","LC","HP","LF",1,"amealn",1,"mp.LC.HP.LF.1.amealn.1",0,0,1,0
"poptre_mp_1",NA,NA,NA,"LC.HP.LF",75,"mp","LC","HP","LF",1,"poptre",1,"mp.LC.HP.LF.1.poptre.1",0,0,1,0
"rhoalb_mp_1",22,NA,NA,"LC.HP.LF",22,"mp","LC","HP","LF",1,"rhoalb",1,"mp.LC.HP.LF.1.rhoalb.1",0,0,1,0
"acegla_mp_1",81,NA,NA,"LC.HP.LF",81,"mp","LC","HP","LF",10,"acegla",1,"mp.LC.HP.LF.10.acegla.1",0,0,1,0
"shecan_mp_1",28,45,57,"LC.HP.LF",39,"mp","LC","HP","LF",10,"shecan",1,"mp.LC.HP.LF.10.shecan.1",0,0,1,0
"spipyr_mp_1",28,39,43,"LC.HP.LF",NA,"mp","LC","HP","LF",10,"spipyr",1,"mp.LC.HP.LF.10.spipyr.1",0,0,1,0
"shecan_mp_1",43,55,78,"LC.HP.LF",55,"mp","LC","HP","LF",11,"shecan",1,"mp.LC.HP.LF.11.shecan.1",0,0,1,0
"spipyr_mp_1",39,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",11,"spipyr",1,"mp.LC.HP.LF.11.spipyr.1",0,0,1,0
"vacmem_mp_1",24,NA,NA,"LC.HP.LF",32,"mp","LC","HP","LF",11,"vacmem",1,"mp.LC.HP.LF.11.vacmem.1",0,0,1,0
"amealn_mp_1",28,43,45,"LC.HP.LF",37,"mp","LC","HP","LF",12,"amealn",1,"mp.LC.HP.LF.12.amealn.1",0,0,1,0
"amealn_mp_2",28,37,45,"LC.HP.LF",37,"mp","LC","HP","LF",12,"amealn",2,"mp.LC.HP.LF.12.amealn.2",0,0,1,0
"sorsco_mp_1",26,28,NA,"LC.HP.LF",32,"mp","LC","HP","LF",12,"sorsco",1,"mp.LC.HP.LF.12.sorsco.1",0,0,1,0
"sorsco_mp_2",37,49,NA,"LC.HP.LF",37,"mp","LC","HP","LF",12,"sorsco",2,"mp.LC.HP.LF.12.sorsco.2",0,0,1,0
"alninc_mp_1",45,48,53,"LC.HP.LF",43,"mp","LC","HP","LF",13,"alninc",1,"mp.LC.HP.LF.13.alninc.1",0,0,1,0
"shecan_mp_1",39,NA,NA,"LC.HP.LF",48,"mp","LC","HP","LF",13,"shecan",1,"mp.LC.HP.LF.13.shecan.1",0,0,1,0
"spipyr_mp_1",57,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",13,"spipyr",1,"mp.LC.HP.LF.13.spipyr.1",0,0,1,0
"acegla_mp_1",17,NA,NA,"LC.HP.LF",17,"mp","LC","HP","LF",14,"acegla",1,"mp.LC.HP.LF.14.acegla.1",0,0,1,0
"poptre_mp_1",NA,NA,NA,"LC.HP.LF",78,"mp","LC","HP","LF",14,"poptre",1,"mp.LC.HP.LF.14.poptre.1",0,0,1,0
"alninc_mp_1",39,39,39,"LC.HP.LF",39,"mp","LC","HP","LF",15,"alninc",1,"mp.LC.HP.LF.15.alninc.1",0,0,1,0
"rubpar_mp_1",36,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",15,"rubpar",1,"mp.LC.HP.LF.15.rubpar.1",0,0,1,0
"spipyr_mp_1",43,43,43,"LC.HP.LF",NA,"mp","LC","HP","LF",15,"spipyr",1,"mp.LC.HP.LF.15.spipyr.1",0,0,1,0
"vibedu_mp_1",36,NA,NA,"LC.HP.LF",81,"mp","LC","HP","LF",15,"vibedu",1,"mp.LC.HP.LF.15.vibedu.1",0,0,1,0
"symalb_mp_1",45,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",16,"symalb",1,"mp.LC.HP.LF.16.symalb.1",0,0,1,0
"vacmem_mp_1",28,NA,NA,"LC.HP.LF",22,"mp","LC","HP","LF",16,"vacmem",1,"mp.LC.HP.LF.16.vacmem.1",0,0,1,0
"vibedu_mp_1",37,NA,NA,"LC.HP.LF",32,"mp","LC","HP","LF",16,"vibedu",1,"mp.LC.HP.LF.16.vibedu.1",0,0,1,0
"alnvir_mp_1",69,NA,NA,"LC.HP.LF",69,"mp","LC","HP","LF",17,"alnvir",1,"mp.LC.HP.LF.17.alnvir.1",0,0,1,0
"popbal_mp_1",38,43,55,"LC.HP.LF",38,"mp","LC","HP","LF",17,"popbal",1,"mp.LC.HP.LF.17.popbal.1",0,0,1,0
"spibet_mp_1",NA,NA,NA,"LC.HP.LF",38,"mp","LC","HP","LF",17,"spibet",1,"mp.LC.HP.LF.17.spibet.1",0,0,1,0
"symalb_mp_1",69,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",17,"symalb",1,"mp.LC.HP.LF.17.symalb.1",0,0,1,0
"alninc_mp_1",NA,NA,NA,"LC.HP.LF",49,"mp","LC","HP","LF",18,"alninc",1,"mp.LC.HP.LF.18.alninc.1",0,0,1,0
"popbal_mp_1",49,49,49,"LC.HP.LF",43,"mp","LC","HP","LF",18,"popbal",1,"mp.LC.HP.LF.18.popbal.1",0,0,1,0
"samrac_mp_1",60,60,81,"LC.HP.LF",NA,"mp","LC","HP","LF",18,"samrac",1,"mp.LC.HP.LF.18.samrac.1",0,0,1,0
"samrac_mp_2",60,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",18,"samrac",2,"mp.LC.HP.LF.18.samrac.2",0,0,1,0
"corsto_mp_1",19,24,43,"LC.HP.LF",17,"mp","LC","HP","LF",19,"corsto",1,"mp.LC.HP.LF.19.corsto.1",0,0,1,0
"rhoalb_mp_1",24,24,26,"LC.HP.LF",24,"mp","LC","HP","LF",19,"rhoalb",1,"mp.LC.HP.LF.19.rhoalb.1",0,0,1,0
"vibedu_mp_1",NA,NA,NA,"LC.HP.LF",31,"mp","LC","HP","LF",19,"vibedu",1,"mp.LC.HP.LF.19.vibedu.1",0,0,1,0
"vibedu_mp_2",39,NA,NA,"LC.HP.LF",69,"mp","LC","HP","LF",19,"vibedu",2,"mp.LC.HP.LF.19.vibedu.2",0,0,1,0
"popbal_mp_1",38,43,55,"LC.HP.LF",38,"mp","LC","HP","LF",2,"popbal",1,"mp.LC.HP.LF.2.popbal.1",0,0,1,0
"rhoalb_mp_1",21,21,24,"LC.HP.LF",21,"mp","LC","HP","LF",2,"rhoalb",1,"mp.LC.HP.LF.2.rhoalb.1",0,0,1,0
"samrac_mp_1",78,78,78,"LC.HP.LF",55,"mp","LC","HP","LF",2,"samrac",1,"mp.LC.HP.LF.2.samrac.1",0,0,1,0
"vibedu_mp_1",38,38,39,"LC.HP.LF",38,"mp","LC","HP","LF",2,"vibedu",1,"mp.LC.HP.LF.2.vibedu.1",0,0,1,0
"corsto_mp_1",28,32,34,"LC.HP.LF",24,"mp","LC","HP","LF",20,"corsto",1,"mp.LC.HP.LF.20.corsto.1",0,0,1,0
"corsto_mp_2",24,NA,NA,"LC.HP.LF",22,"mp","LC","HP","LF",20,"corsto",2,"mp.LC.HP.LF.20.corsto.2",0,0,1,0
"rhoalb_mp_1",NA,NA,NA,"LC.HP.LF",22,"mp","LC","HP","LF",20,"rhoalb",1,"mp.LC.HP.LF.20.rhoalb.1",0,0,1,0
"vibedu_mp_1",28,NA,NA,"LC.HP.LF",74,"mp","LC","HP","LF",20,"vibedu",1,"mp.LC.HP.LF.20.vibedu.1",0,0,1,0
"rhoalb_mp_1",48,57,57,"LC.HP.LF",24,"mp","LC","HP","LF",21,"rhoalb",1,"mp.LC.HP.LF.21.rhoalb.1",0,0,1,0
"rubpar_mp_1",26,26,26,"LC.HP.LF",26,"mp","LC","HP","LF",21,"rubpar",1,"mp.LC.HP.LF.21.rubpar.1",0,0,1,0
"alnvir_mp_1",66,NA,NA,"LC.HP.LF",17,"mp","LC","HP","LF",22,"alnvir",1,"mp.LC.HP.LF.22.alnvir.1",0,0,1,0
"alnvir_mp_2",66,66,72,"LC.HP.LF",66,"mp","LC","HP","LF",22,"alnvir",2,"mp.LC.HP.LF.22.alnvir.2",0,0,1,0
"samrac_mp_1",66,66,NA,"LC.HP.LF",72,"mp","LC","HP","LF",22,"samrac",1,"mp.LC.HP.LF.22.samrac.1",0,0,1,0
"vacmem_mp_1",NA,NA,NA,"LC.HP.LF",32,"mp","LC","HP","LF",22,"vacmem",1,"mp.LC.HP.LF.22.vacmem.1",0,0,1,0
"rubpar_mp_1",39,NA,NA,"LC.HP.LF",45,"mp","LC","HP","LF",23,"rubpar",1,"mp.LC.HP.LF.23.rubpar.1",0,0,1,0
"sorsco_mp_1",22,24,NA,"LC.HP.LF",22,"mp","LC","HP","LF",23,"sorsco",1,"mp.LC.HP.LF.23.sorsco.1",0,0,1,0
"amealn_mp_1",45,63,NA,"LC.HP.LF",63,"mp","LC","HP","LF",24,"amealn",1,"mp.LC.HP.LF.24.amealn.1",0,0,1,0
"popbal_mp_1",NA,NA,NA,"LC.HP.LF",43,"mp","LC","HP","LF",24,"popbal",1,"mp.LC.HP.LF.24.popbal.1",0,0,1,0
"corsto_mp_1",22,28,43,"LC.HP.LF",19,"mp","LC","HP","LF",25,"corsto",1,"mp.LC.HP.LF.25.corsto.1",0,0,1,0
"loninv_mp_1",24,NA,NA,"LC.HP.LF",24,"mp","LC","HP","LF",25,"loninv",1,"mp.LC.HP.LF.25.loninv.1",0,0,1,0
"spibet_mp_1",34,39,NA,"LC.HP.LF",34,"mp","LC","HP","LF",25,"spibet",1,"mp.LC.HP.LF.25.spibet.1",0,0,1,0
"spipyr_mp_1",74,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",25,"spipyr",1,"mp.LC.HP.LF.25.spipyr.1",0,0,1,0
"alnvir_mp_1",66,NA,NA,"LC.HP.LF",66,"mp","LC","HP","LF",26,"alnvir",1,"mp.LC.HP.LF.26.alnvir.1",0,0,1,0
"poptre_mp_1",NA,NA,NA,"LC.HP.LF",78,"mp","LC","HP","LF",26,"poptre",1,"mp.LC.HP.LF.26.poptre.1",0,0,1,0
"rhoalb_mp_1",24,NA,NA,"LC.HP.LF",24,"mp","LC","HP","LF",26,"rhoalb",1,"mp.LC.HP.LF.26.rhoalb.1",0,0,1,0
"riblac_mp_1",66,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",26,"riblac",1,"mp.LC.HP.LF.26.riblac.1",0,0,1,0
"popbal_mp_1",46,57,57,"LC.HP.LF",46,"mp","LC","HP","LF",27,"popbal",1,"mp.LC.HP.LF.27.popbal.1",0,0,1,0
"rhoalb_mp_1",24,24,39,"LC.HP.LF",22,"mp","LC","HP","LF",27,"rhoalb",1,"mp.LC.HP.LF.27.rhoalb.1",0,0,1,0
"riblac_mp_1",78,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",27,"riblac",1,"mp.LC.HP.LF.27.riblac.1",0,0,1,0
"spipyr_mp_1",78,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",28,"spipyr",1,"mp.LC.HP.LF.28.spipyr.1",0,0,1,0
"rhoalb_mp_1",24,24,39,"LC.HP.LF",21,"mp","LC","HP","LF",29,"rhoalb",1,"mp.LC.HP.LF.29.rhoalb.1",0,0,1,0
"riblac_mp_1",NA,NA,NA,"LC.HP.LF",39,"mp","LC","HP","LF",29,"riblac",1,"mp.LC.HP.LF.29.riblac.1",0,0,1,0
"sorsco_mp_1",NA,NA,NA,"LC.HP.LF",32,"mp","LC","HP","LF",29,"sorsco",1,"mp.LC.HP.LF.29.sorsco.1",0,0,1,0
"symalb_mp_1",74,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",29,"symalb",1,"mp.LC.HP.LF.29.symalb.1",0,0,1,0
"popbal_mp_1",43,48,NA,"LC.HP.LF",43,"mp","LC","HP","LF",3,"popbal",1,"mp.LC.HP.LF.3.popbal.1",0,0,1,0
"rubpar_mp_1",35,45,57,"LC.HP.LF",28,"mp","LC","HP","LF",3,"rubpar",1,"mp.LC.HP.LF.3.rubpar.1",0,0,1,0
"spibet_mp_1",NA,NA,NA,"LC.HP.LF",45,"mp","LC","HP","LF",3,"spibet",1,"mp.LC.HP.LF.3.spibet.1",0,0,1,0
"vibedu_mp_1",26,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",3,"vibedu",1,"mp.LC.HP.LF.3.vibedu.1",0,0,1,0
"alnvir_mp_1",NA,NA,NA,"LC.HP.LF",75,"mp","LC","HP","LF",30,"alnvir",1,"mp.LC.HP.LF.30.alnvir.1",0,0,1,0
"alnvir_mp_2",61,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",30,"alnvir",2,"mp.LC.HP.LF.30.alnvir.2",0,0,1,0
"corsto_mp_1",24,45,NA,"LC.HP.LF",22,"mp","LC","HP","LF",31,"corsto",1,"mp.LC.HP.LF.31.corsto.1",0,0,1,0
"poptre_mp_1",61,61,63,"LC.HP.LF",NA,"mp","LC","HP","LF",31,"poptre",1,"mp.LC.HP.LF.31.poptre.1",0,0,1,0
"symalb_mp_1",55,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",31,"symalb",1,"mp.LC.HP.LF.31.symalb.1",0,0,1,0
"alnvir_mp_1",81,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",32,"alnvir",1,"mp.LC.HP.LF.32.alnvir.1",0,0,1,0
"symalb_mp_1",66,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",32,"symalb",1,"mp.LC.HP.LF.32.symalb.1",0,0,1,0
"alninc_mp_1",45,45,45,"LC.HP.LF",43,"mp","LC","HP","LF",33,"alninc",1,"mp.LC.HP.LF.33.alninc.1",0,0,1,0
"shecan_mp_1",39,43,48,"LC.HP.LF",4,"mp","LC","HP","LF",33,"shecan",1,"mp.LC.HP.LF.33.shecan.1",0,0,1,0
"sorsco_mp_1",NA,NA,NA,"LC.HP.LF",26,"mp","LC","HP","LF",33,"sorsco",1,"mp.LC.HP.LF.33.sorsco.1",0,0,1,0
"corsto_mp_1",15,15,37,"LC.HP.LF",15,"mp","LC","HP","LF",35,"corsto",1,"mp.LC.HP.LF.35.corsto.1",0,0,1,0
"vacmem_mp_1",32,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",35,"vacmem",1,"mp.LC.HP.LF.35.vacmem.1",0,0,1,0
"acegla_mp_2",45,53,60,"LC.HP.LF",26,"mp","LC","HP","LF",36,"acegla",2,"mp.LC.HP.LF.36.acegla.2",0,0,1,0
"amealn_mp_1",45,NA,NA,"LC.HP.LF",45,"mp","LC","HP","LF",36,"amealn",1,"mp.LC.HP.LF.36.amealn.1",0,0,1,0
"vibedu_mp_1",34,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",36,"vibedu",1,"mp.LC.HP.LF.36.vibedu.1",0,0,1,0
"menfer_mp_1",61,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",37,"menfer",1,"mp.LC.HP.LF.37.menfer.1",0,0,1,0
"samrac_mp_1",19,19,19,"LC.HP.LF",38,"mp","LC","HP","LF",37,"samrac",1,"mp.LC.HP.LF.37.samrac.1",0,0,1,0
"shecan_mp_1",39,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",37,"shecan",1,"mp.LC.HP.LF.37.shecan.1",0,0,1,0
"vacmem_mp_1",38,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",37,"vacmem",1,"mp.LC.HP.LF.37.vacmem.1",0,0,1,0
"acegla_mp_1",NA,NA,NA,"LC.HP.LF",61,"mp","LC","HP","LF",38,"acegla",1,"mp.LC.HP.LF.38.acegla.1",0,0,1,0
"acegla_mp_2",61,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",38,"acegla",2,"mp.LC.HP.LF.38.acegla.2",0,0,1,0
"rubpar_mp_1",45,45,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",38,"rubpar",1,"mp.LC.HP.LF.38.rubpar.1",0,0,1,0
"shecan_mp_1",37,43,45,"LC.HP.LF",39,"mp","LC","HP","LF",38,"shecan",1,"mp.LC.HP.LF.38.shecan.1",0,0,1,0
"amealn_mp_1",28,57,57,"LC.HP.LF",39,"mp","LC","HP","LF",39,"amealn",1,"mp.LC.HP.LF.39.amealn.1",0,0,1,0
"poptre_mp_1",66,66,66,"LC.HP.LF",72,"mp","LC","HP","LF",39,"poptre",1,"mp.LC.HP.LF.39.poptre.1",0,0,1,0
"spibet_mp_1",72,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",39,"spibet",1,"mp.LC.HP.LF.39.spibet.1",0,0,1,0
"alninc_mp_1",45,45,48,"LC.HP.LF",43,"mp","LC","HP","LF",4,"alninc",1,"mp.LC.HP.LF.4.alninc.1",0,0,1,0
"popbal_mp_1",24,75,NA,"LC.HP.LF",48,"mp","LC","HP","LF",4,"popbal",1,"mp.LC.HP.LF.4.popbal.1",0,0,1,0
"spibet_mp_1",39,NA,NA,"LC.HP.LF",39,"mp","LC","HP","LF",4,"spibet",1,"mp.LC.HP.LF.4.spibet.1",0,0,1,0
"spibet_mp_2",NA,NA,NA,"LC.HP.LF",61,"mp","LC","HP","LF",4,"spibet",2,"mp.LC.HP.LF.4.spibet.2",0,0,1,0
"alninc_mp_1",48,48,48,"LC.HP.LF",48,"mp","LC","HP","LF",40,"alninc",1,"mp.LC.HP.LF.40.alninc.1",0,0,1,0
"samrac_mp_1",NA,NA,NA,"LC.HP.LF",57,"mp","LC","HP","LF",40,"samrac",1,"mp.LC.HP.LF.40.samrac.1",0,0,1,0
"shecan_mp_1",39,46,46,"LC.HP.LF",43,"mp","LC","HP","LF",40,"shecan",1,"mp.LC.HP.LF.40.shecan.1",0,0,1,0
"loninv_mp_1",45,NA,NA,"LC.HP.LF",39,"mp","LC","HP","LF",5,"loninv",1,"mp.LC.HP.LF.5.loninv.1",0,0,1,0
"samrac_mp_1",81,81,NA,"LC.HP.LF",45,"mp","LC","HP","LF",5,"samrac",1,"mp.LC.HP.LF.5.samrac.1",0,0,1,0
"alninc_mp_1",55,55,55,"LC.HP.LF",48,"mp","LC","HP","LF",6,"alninc",1,"mp.LC.HP.LF.6.alninc.1",0,0,1,0
"alninc_mp_2",38,39,43,"LC.HP.LF",26,"mp","LC","HP","LF",6,"alninc",2,"mp.LC.HP.LF.6.alninc.2",0,0,1,0
"amealn_mp_1",48,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",6,"amealn",1,"mp.LC.HP.LF.6.amealn.1",0,0,1,0
"rubpar_mp_1",43,45,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",6,"rubpar",1,"mp.LC.HP.LF.6.rubpar.1",0,0,1,0
"riblac_mp_1",49,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",7,"riblac",1,"mp.LC.HP.LF.7.riblac.1",0,0,1,0
"sorsco_mp_1",NA,NA,NA,"LC.HP.LF",21,"mp","LC","HP","LF",7,"sorsco",1,"mp.LC.HP.LF.7.sorsco.1",0,0,1,0
"vacmem_mp_1",43,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",7,"vacmem",1,"mp.LC.HP.LF.7.vacmem.1",0,0,1,0
"amealn_mp_1",39,NA,NA,"LC.HP.LF",NA,"mp","LC","HP","LF",8,"amealn",1,"mp.LC.HP.LF.8.amealn.1",0,0,1,0
